Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0.4806 ± 0.0192,0.3976 ± 0.0237,0.3984 ± 0.0244,0.3973 ± 0.0242,0.5584 ± 0.0170,0.4780 ± 0.0198,0.4806 ± 0.0192,0.4786 ± 0.0186,0.5775 ± 0.0149,0.4814 ± 0.0176,0.4012 ± 0.0204,0.4017 ± 0.0202,0.4012 ± 0.0203,0.5603 ± 0.0154,0.4805 ± 0.0200,0.4814 ± 0.0176,0.4808 ± 0.0185,0.5784 ± 0.0169
0.5678 ± 0.0209,0.4254 ± 0.0539,0.4345 ± 0.0207,0.4100 ± 0.0248,0.7055 ± 0.0163,0.5062 ± 0.0369,0.5678 ± 0.0209,0.5227 ± 0.0207,0.7286 ± 0.0181,0.5643 ± 0.0086,0.4426 ± 0.0289,0.4346 ± 0.0130,0.4169 ± 0.0169,0.6959 ± 0.0105,0.5132 ± 0.0176,0.5643 ± 0.0086,0.5237 ± 0.0115,0.7177 ± 0.0089
0.5714 ± 0.0177,0.4464 ± 0.0435,0.4472 ± 0.0193,0.4270 ± 0.0241,0.6987 ± 0.0183,0.5239 ± 0.0281,0.5714 ± 0.0177,0.5346 ± 0.0184,0.7211 ± 0.0178,0.5645 ± 0.0140,0.4546 ± 0.0172,0.4461 ± 0.0123,0.4320 ± 0.0122,0.6970 ± 0.0110,0.5273 ± 0.0125,0.5645 ± 0.0140,0.5341 ± 0.0123,0.7167 ± 0.0114
0.5414 ± 0.0191,0.4197 ± 0.0309,0.4254 ± 0.0238,0.4167 ± 0.0281,0.6810 ± 0.0134,0.5031 ± 0.0236,0.5414 ± 0.0191,0.5175 ± 0.0202,0.7035 ± 0.0152,0.5439 ± 0.0108,0.4378 ± 0.0158,0.4354 ± 0.0127,0.4312 ± 0.0127,0.6841 ± 0.0125,0.5143 ± 0.0121,0.5439 ± 0.0108,0.5251 ± 0.0109,0.7052 ± 0.0130
0.5744 ± 0.0203,0.4756 ± 0.0291,0.4625 ± 0.0199,0.4567 ± 0.0236,0.6922 ± 0.0187,0.5434 ± 0.0186,0.5744 ± 0.0203,0.5503 ± 0.0180,0.7162 ± 0.0145,0.5492 ± 0.0149,0.4393 ± 0.0239,0.4391 ± 0.0175,0.4322 ± 0.0201,0.6791 ± 0.0145,0.5196 ± 0.0174,0.5492 ± 0.0149,0.5297 ± 0.0156,0.7008 ± 0.0127
0.5839 ± 0.0142,0.3989 ± 0.0584,0.4523 ± 0.0177,0.4091 ± 0.0195,0.7004 ± 0.0189,0.4972 ± 0.0362,0.5839 ± 0.0142,0.5284 ± 0.0156,0.7214 ± 0.0204,0.5744 ± 0.0117,0.4342 ± 0.1043,0.4458 ± 0.0138,0.4038 ± 0.0135,0.6930 ± 0.0117,0.5147 ± 0.0614,0.5744 ± 0.0117,0.5219 ± 0.0123,0.7118 ± 0.0130
0.4901 ± 0.0279,0.4247 ± 0.0307,0.4237 ± 0.0313,0.4225 ± 0.0308,0.5716 ± 0.0351,0.5012 ± 0.0306,0.4901 ± 0.0279,0.4942 ± 0.0282,0.5965 ± 0.0362,0.4874 ± 0.0177,0.4210 ± 0.0150,0.4206 ± 0.0145,0.4198 ± 0.0145,0.5696 ± 0.0120,0.5028 ± 0.0173,0.4874 ± 0.0177,0.4942 ± 0.0174,0.5963 ± 0.0148
0.5546 ± 0.0194,0.4475 ± 0.0310,0.4216 ± 0.0169,0.4118 ± 0.0204,0.6477 ± 0.0117,0.5123 ± 0.0259,0.5546 ± 0.0194,0.5106 ± 0.0185,0.6760 ± 0.0122,0.5461 ± 0.0125,0.4431 ± 0.0237,0.4201 ± 0.0168,0.4126 ± 0.0203,0.6491 ± 0.0125,0.5068 ± 0.0209,0.5461 ± 0.0125,0.5070 ± 0.0168,0.6730 ± 0.0116
0.5524 ± 0.0273,0.4678 ± 0.0321,0.4690 ± 0.0252,0.4550 ± 0.0279,0.7038 ± 0.0188,0.5553 ± 0.0260,0.5524 ± 0.0273,0.5440 ± 0.0245,0.7192 ± 0.0186,0.5409 ± 0.0179,0.4715 ± 0.0171,0.4693 ± 0.0176,0.4580 ± 0.0158,0.6825 ± 0.0073,0.5565 ± 0.0164,0.5409 ± 0.0179,0.5400 ± 0.0141,0.6995 ± 0.0075
