Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0.4780 ± 0.0186,0.3967 ± 0.0222,0.3971 ± 0.0232,0.3962 ± 0.0228,0.5572 ± 0.0159,0.4769 ± 0.0177,0.4780 ± 0.0186,0.4768 ± 0.0171,0.5760 ± 0.0134,0.4825 ± 0.0162,0.4019 ± 0.0196,0.4025 ± 0.0192,0.4020 ± 0.0194,0.5609 ± 0.0146,0.4811 ± 0.0189,0.4825 ± 0.0162,0.4816 ± 0.0173,0.5789 ± 0.0159
0.5674 ± 0.0222,0.4273 ± 0.0628,0.4343 ± 0.0235,0.4113 ± 0.0310,0.7051 ± 0.0162,0.5068 ± 0.0432,0.5674 ± 0.0222,0.5230 ± 0.0248,0.7285 ± 0.0181,0.5646 ± 0.0076,0.4436 ± 0.0214,0.4345 ± 0.0107,0.4163 ± 0.0133,0.6961 ± 0.0106,0.5133 ± 0.0133,0.5646 ± 0.0076,0.5233 ± 0.0097,0.7177 ± 0.0088
0.5714 ± 0.0177,0.4464 ± 0.0435,0.4472 ± 0.0193,0.4270 ± 0.0241,0.6987 ± 0.0183,0.5239 ± 0.0281,0.5714 ± 0.0177,0.5346 ± 0.0184,0.7211 ± 0.0178,0.5645 ± 0.0140,0.4546 ± 0.0172,0.4461 ± 0.0123,0.4320 ± 0.0122,0.6970 ± 0.0110,0.5273 ± 0.0125,0.5645 ± 0.0140,0.5341 ± 0.0123,0.7167 ± 0.0114
0.5421 ± 0.0188,0.4196 ± 0.0310,0.4259 ± 0.0235,0.4172 ± 0.0279,0.6813 ± 0.0131,0.5037 ± 0.0232,0.5421 ± 0.0188,0.5183 ± 0.0196,0.7038 ± 0.0151,0.5447 ± 0.0098,0.4382 ± 0.0145,0.4361 ± 0.0116,0.4317 ± 0.0119,0.6840 ± 0.0124,0.5149 ± 0.0111,0.5447 ± 0.0098,0.5258 ± 0.0100,0.7051 ± 0.0132
0.5744 ± 0.0203,0.4756 ± 0.0291,0.4625 ± 0.0199,0.4567 ± 0.0236,0.6922 ± 0.0187,0.5434 ± 0.0186,0.5744 ± 0.0203,0.5503 ± 0.0180,0.7162 ± 0.0145,0.5492 ± 0.0149,0.4393 ± 0.0239,0.4391 ± 0.0175,0.4322 ± 0.0201,0.6792 ± 0.0146,0.5196 ± 0.0174,0.5492 ± 0.0149,0.5297 ± 0.0156,0.7009 ± 0.0127
0.5850 ± 0.0181,0.4596 ± 0.1401,0.4530 ± 0.0198,0.4105 ± 0.0189,0.7051 ± 0.0189,0.5312 ± 0.0802,0.5850 ± 0.0181,0.5295 ± 0.0171,0.7268 ± 0.0203,0.5774 ± 0.0075,0.4089 ± 0.0499,0.4459 ± 0.0084,0.4062 ± 0.0124,0.6949 ± 0.0114,0.5005 ± 0.0297,0.5774 ± 0.0075,0.5244 ± 0.0092,0.7147 ± 0.0122
0.5278 ± 0.0297,0.4559 ± 0.0310,0.4546 ± 0.0308,0.4538 ± 0.0308,0.6453 ± 0.0255,0.5451 ± 0.0284,0.5278 ± 0.0297,0.5352 ± 0.0284,0.6774 ± 0.0247,0.5131 ± 0.0166,0.4478 ± 0.0166,0.4455 ± 0.0171,0.4447 ± 0.0166,0.6366 ± 0.0151,0.5384 ± 0.0176,0.5131 ± 0.0166,0.5240 ± 0.0168,0.6657 ± 0.0164
0.5425 ± 0.0202,0.4315 ± 0.0386,0.4141 ± 0.0229,0.4060 ± 0.0271,0.6563 ± 0.0219,0.5011 ± 0.0310,0.5425 ± 0.0202,0.5046 ± 0.0214,0.6833 ± 0.0224,0.5377 ± 0.0156,0.4287 ± 0.0235,0.4116 ± 0.0154,0.4029 ± 0.0188,0.6604 ± 0.0101,0.4963 ± 0.0205,0.5377 ± 0.0156,0.4993 ± 0.0173,0.6847 ± 0.0104
0.5524 ± 0.0258,0.4691 ± 0.0254,0.4679 ± 0.0249,0.4563 ± 0.0246,0.7039 ± 0.0187,0.5547 ± 0.0236,0.5524 ± 0.0258,0.5446 ± 0.0230,0.7189 ± 0.0185,0.5426 ± 0.0170,0.4712 ± 0.0171,0.4689 ± 0.0174,0.4591 ± 0.0162,0.6831 ± 0.0074,0.5549 ± 0.0160,0.5426 ± 0.0170,0.5410 ± 0.0141,0.6996 ± 0.0074
