Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0.4853 ± 0.0288,0.4083 ± 0.0291,0.4090 ± 0.0317,0.4068 ± 0.0303,0.5661 ± 0.0221,0.4883 ± 0.0236,0.4853 ± 0.0288,0.4853 ± 0.0256,0.5849 ± 0.0201,0.4904 ± 0.0175,0.4133 ± 0.0215,0.4123 ± 0.0207,0.4125 ± 0.0212,0.5668 ± 0.0153,0.4871 ± 0.0186,0.4904 ± 0.0175,0.4885 ± 0.0182,0.5818 ± 0.0166
0.5791 ± 0.0199,0.4406 ± 0.0571,0.4513 ± 0.0249,0.4295 ± 0.0308,0.7039 ± 0.0152,0.5215 ± 0.0356,0.5791 ± 0.0199,0.5386 ± 0.0212,0.7281 ± 0.0174,0.5667 ± 0.0090,0.4483 ± 0.0257,0.4395 ± 0.0116,0.4238 ± 0.0141,0.6978 ± 0.0108,0.5192 ± 0.0155,0.5667 ± 0.0090,0.5292 ± 0.0101,0.7188 ± 0.0098
0.5769 ± 0.0198,0.4553 ± 0.0286,0.4563 ± 0.0192,0.4393 ± 0.0221,0.6959 ± 0.0177,0.5318 ± 0.0187,0.5769 ± 0.0198,0.5433 ± 0.0169,0.7188 ± 0.0184,0.5637 ± 0.0170,0.4567 ± 0.0333,0.4475 ± 0.0219,0.4320 ± 0.0224,0.6946 ± 0.0100,0.5289 ± 0.0252,0.5637 ± 0.0170,0.5336 ± 0.0186,0.7137 ± 0.0103
0.5407 ± 0.0168,0.4323 ± 0.0219,0.4294 ± 0.0182,0.4232 ± 0.0203,0.6675 ± 0.0163,0.5065 ± 0.0189,0.5407 ± 0.0168,0.5178 ± 0.0179,0.6884 ± 0.0173,0.5390 ± 0.0078,0.4311 ± 0.0143,0.4311 ± 0.0102,0.4261 ± 0.0116,0.6757 ± 0.0100,0.5094 ± 0.0088,0.5390 ± 0.0078,0.5206 ± 0.0075,0.6960 ± 0.0096
0.5645 ± 0.0187,0.4599 ± 0.0438,0.4524 ± 0.0253,0.4431 ± 0.0319,0.6922 ± 0.0215,0.5333 ± 0.0270,0.5645 ± 0.0187,0.5400 ± 0.0210,0.7144 ± 0.0208,0.5536 ± 0.0128,0.4462 ± 0.0266,0.4437 ± 0.0170,0.4378 ± 0.0195,0.6780 ± 0.0139,0.5242 ± 0.0175,0.5536 ± 0.0128,0.5340 ± 0.0138,0.6980 ± 0.0124
0.5857 ± 0.0124,0.4138 ± 0.0692,0.4540 ± 0.0167,0.4109 ± 0.0180,0.6983 ± 0.0186,0.5062 ± 0.0433,0.5857 ± 0.0124,0.5301 ± 0.0146,0.7193 ± 0.0201,0.5750 ± 0.0118,0.4002 ± 0.0403,0.4461 ± 0.0144,0.4037 ± 0.0131,0.6926 ± 0.0113,0.4961 ± 0.0263,0.5750 ± 0.0118,0.5222 ± 0.0121,0.7113 ± 0.0124
0.4824 ± 0.0277,0.4142 ± 0.0290,0.4126 ± 0.0299,0.4122 ± 0.0293,0.5623 ± 0.0373,0.4921 ± 0.0275,0.4824 ± 0.0277,0.4862 ± 0.0270,0.5880 ± 0.0372,0.4901 ± 0.0141,0.4233 ± 0.0166,0.4227 ± 0.0173,0.4220 ± 0.0167,0.5635 ± 0.0148,0.5064 ± 0.0147,0.4901 ± 0.0141,0.4974 ± 0.0142,0.5916 ± 0.0156
0.5491 ± 0.0159,0.4374 ± 0.0300,0.4163 ± 0.0213,0.4064 ± 0.0259,0.6551 ± 0.0115,0.5062 ± 0.0249,0.5491 ± 0.0159,0.5069 ± 0.0202,0.6830 ± 0.0108,0.5462 ± 0.0118,0.4412 ± 0.0209,0.4195 ± 0.0185,0.4117 ± 0.0224,0.6529 ± 0.0107,0.5053 ± 0.0176,0.5462 ± 0.0118,0.5067 ± 0.0174,0.6768 ± 0.0102
0.5553 ± 0.0290,0.4741 ± 0.0332,0.4740 ± 0.0240,0.4594 ± 0.0279,0.7046 ± 0.0189,0.5600 ± 0.0255,0.5553 ± 0.0290,0.5469 ± 0.0245,0.7200 ± 0.0186,0.5420 ± 0.0154,0.4739 ± 0.0142,0.4720 ± 0.0137,0.4602 ± 0.0126,0.6828 ± 0.0075,0.5585 ± 0.0145,0.5420 ± 0.0154,0.5413 ± 0.0115,0.6998 ± 0.0078
