Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
0.4319 ± 0.0204,0.3705 ± 0.0184,0.3697 ± 0.0198,0.3694 ± 0.0195,0.5294 ± 0.0149,0.4231 ± 0.0132,0.3592 ± 0.0119,0.3592 ± 0.0125,0.3589 ± 0.0122,0.5218 ± 0.0098
0.5319 ± 0.0224,0.4015 ± 0.1549,0.3581 ± 0.0200,0.3073 ± 0.0254,0.5805 ± 0.0322,0.5326 ± 0.0081,0.3493 ± 0.0487,0.3609 ± 0.0109,0.3136 ± 0.0158,0.5832 ± 0.0104
0.5346 ± 0.0209,0.3429 ± 0.0694,0.3610 ± 0.0169,0.3102 ± 0.0193,0.5801 ± 0.0283,0.5333 ± 0.0102,0.3708 ± 0.0601,0.3617 ± 0.0113,0.3151 ± 0.0151,0.5801 ± 0.0172
0.5066 ± 0.0330,0.3787 ± 0.0511,0.3655 ± 0.0289,0.3442 ± 0.0327,0.5676 ± 0.0270,0.5069 ± 0.0149,0.3719 ± 0.0238,0.3700 ± 0.0155,0.3521 ± 0.0183,0.5707 ± 0.0178
0.5247 ± 0.0278,0.3388 ± 0.0723,0.3620 ± 0.0204,0.3184 ± 0.0227,0.5552 ± 0.0324,0.5191 ± 0.0127,0.3576 ± 0.0430,0.3657 ± 0.0172,0.3325 ± 0.0225,0.5525 ± 0.0222
0.4456 ± 0.0402,0.3881 ± 0.0399,0.3877 ± 0.0414,0.3861 ± 0.0409,0.5630 ± 0.0386,0.4385 ± 0.0206,0.3756 ± 0.0170,0.3758 ± 0.0176,0.3751 ± 0.0175,0.5483 ± 0.0162
0.4527 ± 0.0246,0.3887 ± 0.0225,0.3858 ± 0.0220,0.3862 ± 0.0223,0.5554 ± 0.0371,0.4488 ± 0.0182,0.3752 ± 0.0157,0.3751 ± 0.0155,0.3748 ± 0.0158,0.5439 ± 0.0141
0.5346 ± 0.0097,0.3284 ± 0.0290,0.3496 ± 0.0092,0.2809 ± 0.0188,nan ± nan,0.5399 ± 0.0075,0.3189 ± 0.0232,0.3507 ± 0.0110,0.2827 ± 0.0212,nan ± nan
0.5126 ± 0.0339,0.3884 ± 0.0888,0.3633 ± 0.0365,0.3354 ± 0.0488,0.5742 ± 0.0218,0.5107 ± 0.0097,0.3879 ± 0.0154,0.3654 ± 0.0091,0.3442 ± 0.0108,0.5666 ± 0.0117
0.2505 ± 0.0583,0.4407 ± 0.0806,0.3483 ± 0.0298,0.2266 ± 0.0712,0.5507 ± 0.0300,0.2593 ± 0.0407,0.4141 ± 0.0337,0.3518 ± 0.0121,0.2454 ± 0.0498,0.5499 ± 0.0105
