,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,0.7055 ± 0.0179,0.5494 ± 0.0275,0.5525 ± 0.0241,0.5496 ± 0.0259,0.6612 ± 0.0239,0.6977 ± 0.0219,0.7055 ± 0.0179,0.7003 ± 0.0189,0.7295 ± 0.0177,0.6945 ± 0.0125,0.5535 ± 0.0161,0.5540 ± 0.0157,0.5529 ± 0.0153,0.6598 ± 0.0097,0.6970 ± 0.0135,0.6945 ± 0.0125,0.6949 ± 0.0120,0.7234 ± 0.0113
random_forest,0.7908 ± 0.0236,0.5855 ± 0.0468,0.6007 ± 0.0216,0.5819 ± 0.0248,0.7803 ± 0.0225,0.7396 ± 0.0270,0.7908 ± 0.0236,0.7598 ± 0.0218,0.8635 ± 0.0179,0.7764 ± 0.0092,0.5708 ± 0.0256,0.5887 ± 0.0110,0.5704 ± 0.0152,0.7724 ± 0.0118,0.7262 ± 0.0129,0.7764 ± 0.0092,0.7465 ± 0.0101,0.8526 ± 0.0086
extra_trees,0.7842 ± 0.0231,0.5711 ± 0.0388,0.5933 ± 0.0208,0.5724 ± 0.0230,0.7834 ± 0.0282,0.7292 ± 0.0254,0.7842 ± 0.0231,0.7517 ± 0.0220,0.8555 ± 0.0195,0.7734 ± 0.0128,0.5603 ± 0.0272,0.5843 ± 0.0129,0.5639 ± 0.0159,0.7716 ± 0.0138,0.7197 ± 0.0158,0.7734 ± 0.0128,0.7420 ± 0.0128,0.8447 ± 0.0112
xgboost,0.7696 ± 0.0320,0.5905 ± 0.0405,0.5923 ± 0.0243,0.5801 ± 0.0252,0.7770 ± 0.0252,0.7289 ± 0.0271,0.7696 ± 0.0320,0.7445 ± 0.0265,0.8556 ± 0.0205,0.7577 ± 0.0180,0.5910 ± 0.0361,0.5899 ± 0.0219,0.5837 ± 0.0261,0.7667 ± 0.0140,0.7253 ± 0.0202,0.7577 ± 0.0180,0.7387 ± 0.0180,0.8440 ± 0.0120
adaboost,0.7960 ± 0.0195,0.5447 ± 0.0270,0.5970 ± 0.0141,0.5654 ± 0.0132,0.8115 ± 0.0087,0.7190 ± 0.0171,0.7960 ± 0.0195,0.7530 ± 0.0176,0.8794 ± 0.0093,0.7847 ± 0.0099,0.5803 ± 0.0490,0.5899 ± 0.0087,0.5622 ± 0.0110,0.8032 ± 0.0135,0.7249 ± 0.0185,0.7847 ± 0.0099,0.7448 ± 0.0102,0.8679 ± 0.0088
svm,0.8073 ± 0.0199,0.5399 ± 0.0140,0.6047 ± 0.0149,0.5698 ± 0.0142,0.7926 ± 0.0247,0.7210 ± 0.0187,0.8073 ± 0.0199,0.7609 ± 0.0190,0.8697 ± 0.0185,0.7940 ± 0.0079,0.5316 ± 0.0053,0.5939 ± 0.0059,0.5601 ± 0.0056,0.7875 ± 0.0118,0.7113 ± 0.0071,0.7940 ± 0.0079,0.7492 ± 0.0075,0.8598 ± 0.0082
logistic_regression,0.6916 ± 0.0190,0.6022 ± 0.0165,0.5871 ± 0.0196,0.5821 ± 0.0169,0.7851 ± 0.0196,0.7538 ± 0.0162,0.6916 ± 0.0190,0.7124 ± 0.0177,0.8569 ± 0.0162,0.6750 ± 0.0107,0.5929 ± 0.0096,0.5825 ± 0.0115,0.5741 ± 0.0110,0.7775 ± 0.0103,0.7390 ± 0.0100,0.6750 ± 0.0107,0.6971 ± 0.0109,0.8423 ± 0.0081
knn,0.7399 ± 0.0206,0.5608 ± 0.0430,0.5656 ± 0.0169,0.5496 ± 0.0201,0.7527 ± 0.0256,0.7005 ± 0.0194,0.7399 ± 0.0206,0.7115 ± 0.0164,0.8372 ± 0.0210,0.7291 ± 0.0153,0.5681 ± 0.0409,0.5654 ± 0.0220,0.5556 ± 0.0292,0.7473 ± 0.0209,0.6960 ± 0.0227,0.7291 ± 0.0153,0.7049 ± 0.0184,0.8264 ± 0.0149
gaussian_nb,0.6513 ± 0.0417,0.5632 ± 0.0306,0.5458 ± 0.0359,0.5330 ± 0.0367,0.7799 ± 0.0198,0.6969 ± 0.0235,0.6513 ± 0.0417,0.6493 ± 0.0359,0.8415 ± 0.0149,0.6366 ± 0.0191,0.5579 ± 0.0207,0.5439 ± 0.0231,0.5274 ± 0.0170,0.7695 ± 0.0156,0.6890 ± 0.0208,0.6366 ± 0.0191,0.6373 ± 0.0151,0.8273 ± 0.0127
