,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,RandomOverSampler,0.5967 ± 0.0218,0.6077 ± 0.0207,0.7451 ± 0.0200,0.6099 ± 0.0194,0.6081 ± 0.0215,0.7381 ± 0.0146,0.7497 ± 0.0169,0.7451 ± 0.0200,0.7463 ± 0.0167,0.8023 ± 0.0152,0.7325 ± 0.0203,0.5986 ± 0.0202,0.5965 ± 0.0230,0.7301 ± 0.0161,0.7450 ± 0.0151,0.7325 ± 0.0203,0.7382 ± 0.0177,0.7954 ± 0.0145
1,decision_tree,mutual_info,RandomOverSampler,0.6004 ± 0.0138,0.6026 ± 0.0242,0.7421 ± 0.0192,0.6046 ± 0.0226,0.6026 ± 0.0253,0.7350 ± 0.0166,0.7492 ± 0.0156,0.7421 ± 0.0192,0.7447 ± 0.0171,0.8011 ± 0.0147,0.7349 ± 0.0156,0.6021 ± 0.0128,0.6005 ± 0.0143,0.7323 ± 0.0103,0.7454 ± 0.0106,0.7349 ± 0.0156,0.7396 ± 0.0123,0.7961 ± 0.0102
2,decision_tree,spearman_sulov,RandomOverSampler,0.5967 ± 0.0218,0.6077 ± 0.0207,0.7451 ± 0.0200,0.6099 ± 0.0194,0.6081 ± 0.0215,0.7381 ± 0.0146,0.7497 ± 0.0169,0.7451 ± 0.0200,0.7463 ± 0.0167,0.8023 ± 0.0152,0.7325 ± 0.0203,0.5986 ± 0.0202,0.5965 ± 0.0230,0.7301 ± 0.0161,0.7450 ± 0.0151,0.7325 ± 0.0203,0.7382 ± 0.0177,0.7954 ± 0.0145
3,decision_tree,chi2,RandomOverSampler,0.6223 ± 0.0211,0.6410 ± 0.0147,0.7667 ± 0.0153,0.6418 ± 0.0138,0.6435 ± 0.0157,0.7427 ± 0.0106,0.7748 ± 0.0092,0.7667 ± 0.0153,0.7692 ± 0.0125,0.8053 ± 0.0134,0.7535 ± 0.0223,0.6235 ± 0.0200,0.6231 ± 0.0216,0.7246 ± 0.0187,0.7638 ± 0.0144,0.7535 ± 0.0223,0.7580 ± 0.0182,0.7947 ± 0.0190
4,decision_tree,chi2_mi_union_topk,RandomOverSampler,0.6062 ± 0.0138,0.6065 ± 0.0282,0.7527 ± 0.0272,0.6072 ± 0.0298,0.6080 ± 0.0260,0.7395 ± 0.0168,0.7543 ± 0.0152,0.7527 ± 0.0272,0.7527 ± 0.0200,0.8078 ± 0.0160,0.7418 ± 0.0137,0.6075 ± 0.0133,0.6063 ± 0.0142,0.7363 ± 0.0098,0.7497 ± 0.0120,0.7418 ± 0.0137,0.7452 ± 0.0116,0.8002 ± 0.0096
5,random_forest,spearman_corr,RandomOverSampler,0.6513 ± 0.0292,0.6480 ± 0.0217,0.8575 ± 0.0098,0.7925 ± 0.0802,0.6615 ± 0.0135,0.8923 ± 0.0111,0.8395 ± 0.0290,0.8575 ± 0.0098,0.8207 ± 0.0117,0.9398 ± 0.0076,0.8522 ± 0.0077,0.7326 ± 0.0592,0.6606 ± 0.0182,0.8905 ± 0.0086,0.8182 ± 0.0228,0.8522 ± 0.0077,0.8191 ± 0.0124,0.9363 ± 0.0050
6,random_forest,mutual_info,RandomOverSampler,0.6485 ± 0.0204,0.6575 ± 0.0175,0.8593 ± 0.0078,0.7854 ± 0.0723,0.6670 ± 0.0104,0.8938 ± 0.0115,0.8387 ± 0.0238,0.8593 ± 0.0078,0.8247 ± 0.0087,0.9405 ± 0.0077,0.8513 ± 0.0063,0.7251 ± 0.0514,0.6588 ± 0.0123,0.8933 ± 0.0091,0.8160 ± 0.0184,0.8513 ± 0.0063,0.8181 ± 0.0082,0.9377 ± 0.0054
7,random_forest,spearman_sulov,RandomOverSampler,0.6513 ± 0.0292,0.6480 ± 0.0217,0.8575 ± 0.0098,0.7925 ± 0.0802,0.6615 ± 0.0135,0.8923 ± 0.0111,0.8395 ± 0.0290,0.8575 ± 0.0098,0.8207 ± 0.0117,0.9398 ± 0.0076,0.8522 ± 0.0077,0.7326 ± 0.0592,0.6606 ± 0.0182,0.8905 ± 0.0086,0.8182 ± 0.0228,0.8522 ± 0.0077,0.8191 ± 0.0124,0.9363 ± 0.0050
8,random_forest,chi2,RandomOverSampler,0.6581 ± 0.0193,0.6832 ± 0.0215,0.8516 ± 0.0117,0.7385 ± 0.0381,0.6813 ± 0.0141,0.8895 ± 0.0148,0.8255 ± 0.0146,0.8516 ± 0.0117,0.8287 ± 0.0091,0.9360 ± 0.0099,0.8324 ± 0.0133,0.6842 ± 0.0329,0.6593 ± 0.0157,0.8726 ± 0.0116,0.8012 ± 0.0156,0.8324 ± 0.0133,0.8117 ± 0.0125,0.9262 ± 0.0062
9,random_forest,chi2_mi_union_topk,RandomOverSampler,0.6574 ± 0.0206,0.6705 ± 0.0272,0.8579 ± 0.0100,0.7672 ± 0.0413,0.6743 ± 0.0180,0.8975 ± 0.0125,0.8338 ± 0.0181,0.8579 ± 0.0100,0.8278 ± 0.0124,0.9421 ± 0.0073,0.8508 ± 0.0062,0.7231 ± 0.0372,0.6635 ± 0.0134,0.8903 ± 0.0089,0.8166 ± 0.0149,0.8508 ± 0.0062,0.8208 ± 0.0090,0.9363 ± 0.0050
10,extra_trees,spearman_corr,RandomOverSampler,0.6175 ± 0.0189,0.6188 ± 0.0148,0.8571 ± 0.0065,0.7554 ± 0.1655,0.6478 ± 0.0081,0.8859 ± 0.0166,0.8243 ± 0.0545,0.8571 ± 0.0065,0.8113 ± 0.0076,0.9376 ± 0.0098,0.8525 ± 0.0051,0.7220 ± 0.1273,0.6444 ± 0.0101,0.8877 ± 0.0078,0.8112 ± 0.0430,0.8525 ± 0.0051,0.8085 ± 0.0080,0.9358 ± 0.0045
11,extra_trees,mutual_info,RandomOverSampler,0.6177 ± 0.0223,0.6256 ± 0.0161,0.8582 ± 0.0073,0.7982 ± 0.1477,0.6511 ± 0.0096,0.8932 ± 0.0122,0.8395 ± 0.0494,0.8582 ± 0.0073,0.8142 ± 0.0088,0.9403 ± 0.0080,0.8500 ± 0.0069,0.7133 ± 0.1147,0.6433 ± 0.0129,0.8864 ± 0.0094,0.8076 ± 0.0399,0.8500 ± 0.0069,0.8072 ± 0.0100,0.9347 ± 0.0046
12,extra_trees,spearman_sulov,RandomOverSampler,0.6175 ± 0.0189,0.6188 ± 0.0148,0.8571 ± 0.0065,0.7554 ± 0.1655,0.6478 ± 0.0081,0.8859 ± 0.0166,0.8243 ± 0.0545,0.8571 ± 0.0065,0.8113 ± 0.0076,0.9376 ± 0.0098,0.8525 ± 0.0051,0.7220 ± 0.1273,0.6444 ± 0.0101,0.8877 ± 0.0078,0.8112 ± 0.0430,0.8525 ± 0.0051,0.8085 ± 0.0080,0.9358 ± 0.0045
13,extra_trees,chi2,RandomOverSampler,0.6298 ± 0.0263,0.6450 ± 0.0204,0.8516 ± 0.0130,0.7431 ± 0.0587,0.6579 ± 0.0134,0.8841 ± 0.0189,0.8211 ± 0.0243,0.8516 ± 0.0130,0.8164 ± 0.0120,0.9337 ± 0.0112,0.8390 ± 0.0089,0.6760 ± 0.0642,0.6442 ± 0.0168,0.8719 ± 0.0126,0.7939 ± 0.0238,0.8390 ± 0.0089,0.8051 ± 0.0116,0.9260 ± 0.0067
