,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
15,xgboost,spearman_corr,SMOTE,0.6565 ± 0.0162,0.6524 ± 0.0321,0.8366 ± 0.0186,0.6895 ± 0.0431,0.6584 ± 0.0238,0.8811 ± 0.0177,0.8027 ± 0.0220,0.8366 ± 0.0186,0.8114 ± 0.0176,0.9321 ± 0.0106,0.8338 ± 0.0076,0.6823 ± 0.0210,0.6585 ± 0.0126,0.8753 ± 0.0063,0.8011 ± 0.0110,0.8338 ± 0.0076,0.8121 ± 0.0091,0.9272 ± 0.0050
16,xgboost,mutual_info,SMOTE,0.6573 ± 0.0134,0.6631 ± 0.0265,0.8407 ± 0.0093,0.6976 ± 0.0371,0.6664 ± 0.0204,0.8819 ± 0.0158,0.8088 ± 0.0148,0.8407 ± 0.0093,0.8174 ± 0.0095,0.9328 ± 0.0092,0.8307 ± 0.0083,0.6795 ± 0.0188,0.6584 ± 0.0108,0.8782 ± 0.0072,0.7999 ± 0.0099,0.8307 ± 0.0083,0.8108 ± 0.0086,0.9283 ± 0.0055
17,xgboost,spearman_sulov,SMOTE,0.6565 ± 0.0162,0.6524 ± 0.0321,0.8366 ± 0.0186,0.6895 ± 0.0431,0.6584 ± 0.0238,0.8811 ± 0.0177,0.8027 ± 0.0220,0.8366 ± 0.0186,0.8114 ± 0.0176,0.9321 ± 0.0106,0.8338 ± 0.0076,0.6823 ± 0.0210,0.6585 ± 0.0126,0.8753 ± 0.0063,0.8011 ± 0.0110,0.8338 ± 0.0076,0.8121 ± 0.0091,0.9272 ± 0.0050
18,xgboost,chi2,SMOTE,0.6530 ± 0.0178,0.6562 ± 0.0157,0.8256 ± 0.0182,0.6738 ± 0.0211,0.6585 ± 0.0140,0.8609 ± 0.0249,0.7982 ± 0.0118,0.8256 ± 0.0182,0.8079 ± 0.0124,0.9181 ± 0.0145,0.8197 ± 0.0085,0.6644 ± 0.0219,0.6537 ± 0.0146,0.8479 ± 0.0154,0.7928 ± 0.0109,0.8197 ± 0.0085,0.8039 ± 0.0093,0.9109 ± 0.0087
19,xgboost,chi2_mi_union_topk,SMOTE,0.6594 ± 0.0160,0.6672 ± 0.0292,0.8436 ± 0.0145,0.7074 ± 0.0445,0.6686 ± 0.0221,0.8832 ± 0.0187,0.8128 ± 0.0209,0.8436 ± 0.0145,0.8202 ± 0.0162,0.9322 ± 0.0114,0.8316 ± 0.0094,0.6798 ± 0.0217,0.6602 ± 0.0131,0.8753 ± 0.0091,0.8015 ± 0.0117,0.8316 ± 0.0094,0.8124 ± 0.0100,0.9269 ± 0.0068
20,adaboost,spearman_corr,SMOTE,0.6480 ± 0.0175,0.6514 ± 0.0328,0.8158 ± 0.0134,0.6571 ± 0.0376,0.6544 ± 0.0297,0.8396 ± 0.0143,0.7941 ± 0.0208,0.8158 ± 0.0134,0.8030 ± 0.0160,0.9137 ± 0.0069,0.7967 ± 0.0094,0.6489 ± 0.0181,0.6485 ± 0.0166,0.8299 ± 0.0093,0.7889 ± 0.0107,0.7967 ± 0.0094,0.7924 ± 0.0093,0.9074 ± 0.0059
21,adaboost,mutual_info,SMOTE,0.6385 ± 0.0227,0.6479 ± 0.0361,0.8139 ± 0.0204,0.6543 ± 0.0423,0.6513 ± 0.0329,0.8387 ± 0.0188,0.7925 ± 0.0231,0.8139 ± 0.0204,0.8009 ± 0.0195,0.9125 ± 0.0108,0.7981 ± 0.0110,0.6392 ± 0.0250,0.6397 ± 0.0206,0.8266 ± 0.0118,0.7844 ± 0.0123,0.7981 ± 0.0110,0.7907 ± 0.0112,0.9069 ± 0.0057
22,adaboost,spearman_sulov,SMOTE,0.6480 ± 0.0175,0.6514 ± 0.0328,0.8158 ± 0.0134,0.6571 ± 0.0376,0.6544 ± 0.0297,0.8396 ± 0.0143,0.7941 ± 0.0208,0.8158 ± 0.0134,0.8030 ± 0.0160,0.9137 ± 0.0069,0.7967 ± 0.0094,0.6489 ± 0.0181,0.6485 ± 0.0166,0.8299 ± 0.0093,0.7889 ± 0.0107,0.7967 ± 0.0094,0.7924 ± 0.0093,0.9074 ± 0.0059
23,adaboost,chi2,SMOTE,0.6568 ± 0.0208,0.6624 ± 0.0301,0.8128 ± 0.0199,0.6681 ± 0.0317,0.6622 ± 0.0278,0.8531 ± 0.0181,0.7972 ± 0.0187,0.8128 ± 0.0199,0.8036 ± 0.0186,0.9179 ± 0.0099,0.7992 ± 0.0094,0.6582 ± 0.0214,0.6569 ± 0.0206,0.8450 ± 0.0118,0.7921 ± 0.0118,0.7992 ± 0.0094,0.7952 ± 0.0101,0.9140 ± 0.0048
24,adaboost,chi2_mi_union_topk,SMOTE,0.6380 ± 0.0266,0.6574 ± 0.0312,0.8168 ± 0.0162,0.6627 ± 0.0329,0.6602 ± 0.0269,0.8408 ± 0.0220,0.7967 ± 0.0183,0.8168 ± 0.0162,0.8049 ± 0.0155,0.9139 ± 0.0105,0.7936 ± 0.0112,0.6382 ± 0.0275,0.6392 ± 0.0258,0.8323 ± 0.0177,0.7840 ± 0.0160,0.7936 ± 0.0112,0.7884 ± 0.0133,0.9088 ± 0.0088
25,svm,spearman_corr,SMOTE,0.6599 ± 0.0132,0.6677 ± 0.0245,0.8462 ± 0.0117,0.6992 ± 0.0384,0.6704 ± 0.0172,0.8837 ± 0.0172,0.8133 ± 0.0176,0.8462 ± 0.0117,0.8228 ± 0.0124,0.9356 ± 0.0095,0.8343 ± 0.0060,0.6771 ± 0.0169,0.6616 ± 0.0107,0.8714 ± 0.0097,0.8033 ± 0.0084,0.8343 ± 0.0060,0.8150 ± 0.0068,0.9277 ± 0.0048
26,svm,mutual_info,SMOTE,0.6637 ± 0.0156,0.6687 ± 0.0260,0.8451 ± 0.0135,0.7000 ± 0.0409,0.6705 ± 0.0193,0.8840 ± 0.0173,0.8129 ± 0.0180,0.8451 ± 0.0135,0.8223 ± 0.0135,0.9358 ± 0.0096,0.8338 ± 0.0074,0.6807 ± 0.0215,0.6642 ± 0.0128,0.8725 ± 0.0104,0.8049 ± 0.0097,0.8338 ± 0.0074,0.8158 ± 0.0079,0.9281 ± 0.0054
27,svm,spearman_sulov,SMOTE,0.6599 ± 0.0132,0.6677 ± 0.0245,0.8462 ± 0.0117,0.6992 ± 0.0384,0.6704 ± 0.0172,0.8837 ± 0.0172,0.8133 ± 0.0176,0.8462 ± 0.0117,0.8228 ± 0.0124,0.9356 ± 0.0095,0.8343 ± 0.0060,0.6771 ± 0.0169,0.6616 ± 0.0107,0.8714 ± 0.0097,0.8033 ± 0.0084,0.8343 ± 0.0060,0.8150 ± 0.0068,0.9277 ± 0.0048
28,svm,chi2,SMOTE,0.6647 ± 0.0147,0.6723 ± 0.0246,0.8374 ± 0.0152,0.6994 ± 0.0373,0.6714 ± 0.0196,0.8787 ± 0.0187,0.8101 ± 0.0191,0.8374 ± 0.0152,0.8184 ± 0.0154,0.9303 ± 0.0100,0.8278 ± 0.0084,0.6809 ± 0.0210,0.6638 ± 0.0121,0.8686 ± 0.0114,0.8021 ± 0.0095,0.8278 ± 0.0084,0.8120 ± 0.0081,0.9220 ± 0.0059
29,svm,chi2_mi_union_topk,SMOTE,0.6624 ± 0.0134,0.6706 ± 0.0327,0.8440 ± 0.0101,0.6959 ± 0.0402,0.6730 ± 0.0232,0.8841 ± 0.0194,0.8117 ± 0.0185,0.8440 ± 0.0101,0.8220 ± 0.0137,0.9355 ± 0.0103,0.8321 ± 0.0081,0.6794 ± 0.0196,0.6629 ± 0.0112,0.8712 ± 0.0080,0.8035 ± 0.0091,0.8321 ± 0.0081,0.8143 ± 0.0078,0.9273 ± 0.0047
30,logistic_regression,spearman_corr,SMOTE,0.6493 ± 0.0191,0.6529 ± 0.0243,0.7821 ± 0.0166,0.6563 ± 0.0242,0.6575 ± 0.0283,0.8596 ± 0.0225,0.8030 ± 0.0185,0.7821 ± 0.0166,0.7893 ± 0.0150,0.9213 ± 0.0128,0.7769 ± 0.0143,0.6520 ± 0.0168,0.6518 ± 0.0209,0.8447 ± 0.0142,0.8005 ± 0.0093,0.7769 ± 0.0143,0.7870 ± 0.0116,0.9123 ± 0.0083
