,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
21,adaboost,mutual_info,RandomOverSampler,0.6563 ± 0.0146,0.6710 ± 0.0275,0.8103 ± 0.0237,0.6739 ± 0.0287,0.6728 ± 0.0267,0.8496 ± 0.0135,0.8077 ± 0.0169,0.8103 ± 0.0237,0.8076 ± 0.0182,0.9201 ± 0.0056,0.7849 ± 0.0093,0.6563 ± 0.0140,0.6589 ± 0.0165,0.8362 ± 0.0141,0.7984 ± 0.0113,0.7849 ± 0.0093,0.7908 ± 0.0096,0.9116 ± 0.0064
22,adaboost,spearman_sulov,RandomOverSampler,0.6633 ± 0.0152,0.6653 ± 0.0273,0.8026 ± 0.0229,0.6677 ± 0.0292,0.6662 ± 0.0266,0.8487 ± 0.0111,0.8029 ± 0.0150,0.8026 ± 0.0229,0.8017 ± 0.0173,0.9194 ± 0.0049,0.7868 ± 0.0120,0.6634 ± 0.0141,0.6666 ± 0.0161,0.8344 ± 0.0181,0.8027 ± 0.0088,0.7868 ± 0.0120,0.7938 ± 0.0100,0.9104 ± 0.0068
23,adaboost,chi2,RandomOverSampler,0.6616 ± 0.0132,0.6572 ± 0.0274,0.8044 ± 0.0151,0.6594 ± 0.0292,0.6592 ± 0.0269,0.8546 ± 0.0085,0.7965 ± 0.0192,0.8044 ± 0.0151,0.7991 ± 0.0148,0.9194 ± 0.0036,0.7915 ± 0.0125,0.6616 ± 0.0129,0.6635 ± 0.0133,0.8429 ± 0.0137,0.8011 ± 0.0081,0.7915 ± 0.0125,0.7956 ± 0.0101,0.9141 ± 0.0061
24,adaboost,chi2_mi_union_topk,RandomOverSampler,0.6601 ± 0.0125,0.6466 ± 0.0216,0.7967 ± 0.0198,0.6481 ± 0.0218,0.6476 ± 0.0225,0.8539 ± 0.0143,0.7932 ± 0.0136,0.7967 ± 0.0198,0.7942 ± 0.0148,0.9209 ± 0.0073,0.7874 ± 0.0107,0.6602 ± 0.0118,0.6630 ± 0.0138,0.8371 ± 0.0136,0.8002 ± 0.0077,0.7874 ± 0.0107,0.7929 ± 0.0082,0.9115 ± 0.0045
25,svm,spearman_corr,RandomOverSampler,0.6574 ± 0.0174,0.6684 ± 0.0374,0.8462 ± 0.0147,0.7069 ± 0.0568,0.6713 ± 0.0270,0.8931 ± 0.0156,0.8142 ± 0.0243,0.8462 ± 0.0147,0.8219 ± 0.0166,0.9396 ± 0.0083,0.8325 ± 0.0118,0.6777 ± 0.0267,0.6592 ± 0.0144,0.8775 ± 0.0065,0.8012 ± 0.0128,0.8325 ± 0.0118,0.8124 ± 0.0111,0.9299 ± 0.0037
26,svm,mutual_info,RandomOverSampler,0.6592 ± 0.0130,0.6729 ± 0.0302,0.8451 ± 0.0148,0.7020 ± 0.0378,0.6746 ± 0.0231,0.8915 ± 0.0130,0.8152 ± 0.0190,0.8451 ± 0.0148,0.8237 ± 0.0152,0.9389 ± 0.0066,0.8319 ± 0.0090,0.6768 ± 0.0192,0.6606 ± 0.0106,0.8783 ± 0.0094,0.8018 ± 0.0094,0.8319 ± 0.0090,0.8129 ± 0.0082,0.9302 ± 0.0053
27,svm,spearman_sulov,RandomOverSampler,0.6574 ± 0.0174,0.6684 ± 0.0374,0.8462 ± 0.0147,0.7069 ± 0.0568,0.6713 ± 0.0270,0.8931 ± 0.0156,0.8142 ± 0.0243,0.8462 ± 0.0147,0.8219 ± 0.0166,0.9396 ± 0.0083,0.8325 ± 0.0118,0.6777 ± 0.0267,0.6592 ± 0.0144,0.8775 ± 0.0065,0.8012 ± 0.0128,0.8325 ± 0.0118,0.8124 ± 0.0111,0.9299 ± 0.0037
28,svm,chi2,RandomOverSampler,0.6631 ± 0.0221,0.6743 ± 0.0295,0.8454 ± 0.0123,0.7141 ± 0.0428,0.6741 ± 0.0215,0.8949 ± 0.0155,0.8155 ± 0.0195,0.8454 ± 0.0123,0.8228 ± 0.0145,0.9383 ± 0.0088,0.8358 ± 0.0109,0.6908 ± 0.0319,0.6636 ± 0.0175,0.8761 ± 0.0098,0.8048 ± 0.0154,0.8358 ± 0.0109,0.8150 ± 0.0121,0.9265 ± 0.0049
29,svm,chi2_mi_union_topk,RandomOverSampler,0.6690 ± 0.0168,0.6722 ± 0.0326,0.8484 ± 0.0136,0.7099 ± 0.0466,0.6746 ± 0.0226,0.8974 ± 0.0162,0.8172 ± 0.0193,0.8484 ± 0.0136,0.8248 ± 0.0139,0.9415 ± 0.0086,0.8374 ± 0.0101,0.6928 ± 0.0275,0.6684 ± 0.0137,0.8817 ± 0.0074,0.8089 ± 0.0121,0.8374 ± 0.0101,0.8185 ± 0.0099,0.9317 ± 0.0041
30,logistic_regression,spearman_corr,RandomOverSampler,0.6445 ± 0.0203,0.6671 ± 0.0164,0.7923 ± 0.0128,0.6694 ± 0.0153,0.6710 ± 0.0186,0.8613 ± 0.0149,0.8076 ± 0.0088,0.7923 ± 0.0128,0.7971 ± 0.0092,0.9206 ± 0.0084,0.7772 ± 0.0101,0.6462 ± 0.0193,0.6466 ± 0.0222,0.8460 ± 0.0089,0.7951 ± 0.0113,0.7772 ± 0.0101,0.7848 ± 0.0102,0.9108 ± 0.0055
31,logistic_regression,mutual_info,RandomOverSampler,0.6452 ± 0.0208,0.6707 ± 0.0208,0.7872 ± 0.0156,0.6735 ± 0.0206,0.6772 ± 0.0226,0.8658 ± 0.0151,0.8092 ± 0.0139,0.7872 ± 0.0156,0.7946 ± 0.0130,0.9228 ± 0.0083,0.7748 ± 0.0126,0.6475 ± 0.0193,0.6477 ± 0.0232,0.8508 ± 0.0137,0.7961 ± 0.0114,0.7748 ± 0.0126,0.7838 ± 0.0116,0.9137 ± 0.0081
32,logistic_regression,spearman_sulov,RandomOverSampler,0.6445 ± 0.0203,0.6671 ± 0.0164,0.7923 ± 0.0128,0.6694 ± 0.0153,0.6710 ± 0.0186,0.8613 ± 0.0149,0.8076 ± 0.0088,0.7923 ± 0.0128,0.7971 ± 0.0092,0.9206 ± 0.0084,0.7772 ± 0.0101,0.6462 ± 0.0193,0.6466 ± 0.0222,0.8460 ± 0.0089,0.7951 ± 0.0113,0.7772 ± 0.0101,0.7848 ± 0.0102,0.9108 ± 0.0055
33,logistic_regression,chi2,RandomOverSampler,0.6572 ± 0.0164,0.6610 ± 0.0201,0.7722 ± 0.0208,0.6672 ± 0.0161,0.6701 ± 0.0217,0.8773 ± 0.0130,0.8089 ± 0.0102,0.7722 ± 0.0208,0.7848 ± 0.0158,0.9285 ± 0.0086,0.7671 ± 0.0105,0.6620 ± 0.0148,0.6667 ± 0.0200,0.8678 ± 0.0078,0.8059 ± 0.0106,0.7671 ± 0.0105,0.7821 ± 0.0102,0.9217 ± 0.0051
34,logistic_regression,chi2_mi_union_topk,RandomOverSampler,0.6560 ± 0.0189,0.6771 ± 0.0241,0.7960 ± 0.0197,0.6796 ± 0.0221,0.6821 ± 0.0241,0.8732 ± 0.0159,0.8149 ± 0.0137,0.7960 ± 0.0197,0.8023 ± 0.0162,0.9268 ± 0.0096,0.7825 ± 0.0120,0.6574 ± 0.0176,0.6593 ± 0.0208,0.8582 ± 0.0109,0.8018 ± 0.0101,0.7825 ± 0.0120,0.7905 ± 0.0107,0.9176 ± 0.0064
35,knn,spearman_corr,RandomOverSampler,0.5057 ± 0.0128,0.5189 ± 0.0262,0.6432 ± 0.0176,0.5944 ± 0.0240,0.5387 ± 0.0290,0.7647 ± 0.0208,0.7348 ± 0.0183,0.6432 ± 0.0176,0.6271 ± 0.0187,0.8277 ± 0.0173,0.6274 ± 0.0106,0.5879 ± 0.0133,0.5317 ± 0.0170,0.7656 ± 0.0096,0.7325 ± 0.0093,0.6274 ± 0.0106,0.6121 ± 0.0131,0.8270 ± 0.0075
36,knn,mutual_info,RandomOverSampler,0.5337 ± 0.0207,0.5422 ± 0.0339,0.6663 ± 0.0274,0.6065 ± 0.0214,0.5586 ± 0.0343,0.7774 ± 0.0197,0.7493 ± 0.0171,0.6663 ± 0.0274,0.6559 ± 0.0316,0.8385 ± 0.0169,0.6542 ± 0.0189,0.5988 ± 0.0165,0.5534 ± 0.0203,0.7686 ± 0.0096,0.7429 ± 0.0150,0.6542 ± 0.0189,0.6457 ± 0.0210,0.8323 ± 0.0081
37,knn,spearman_sulov,RandomOverSampler,0.5057 ± 0.0128,0.5189 ± 0.0262,0.6432 ± 0.0176,0.5944 ± 0.0240,0.5387 ± 0.0290,0.7647 ± 0.0208,0.7348 ± 0.0183,0.6432 ± 0.0176,0.6271 ± 0.0187,0.8277 ± 0.0173,0.6274 ± 0.0106,0.5879 ± 0.0133,0.5317 ± 0.0170,0.7656 ± 0.0096,0.7325 ± 0.0093,0.6274 ± 0.0106,0.6121 ± 0.0131,0.8270 ± 0.0075
38,knn,chi2,RandomOverSampler,0.6192 ± 0.0194,0.6321 ± 0.0382,0.7513 ± 0.0352,0.6504 ± 0.0306,0.6384 ± 0.0406,0.8441 ± 0.0195,0.7903 ± 0.0181,0.7513 ± 0.0352,0.7564 ± 0.0299,0.8989 ± 0.0129,0.7319 ± 0.0133,0.6396 ± 0.0159,0.6308 ± 0.0239,0.8210 ± 0.0110,0.7858 ± 0.0099,0.7319 ± 0.0133,0.7429 ± 0.0126,0.8836 ± 0.0062
39,knn,chi2_mi_union_topk,RandomOverSampler,0.5420 ± 0.0095,0.5591 ± 0.0363,0.6850 ± 0.0324,0.6102 ± 0.0314,0.5701 ± 0.0364,0.7845 ± 0.0223,0.7497 ± 0.0218,0.6850 ± 0.0324,0.6774 ± 0.0298,0.8466 ± 0.0191,0.6631 ± 0.0146,0.5999 ± 0.0099,0.5583 ± 0.0129,0.7707 ± 0.0103,0.7468 ± 0.0072,0.6631 ± 0.0146,0.6593 ± 0.0133,0.8362 ± 0.0089
40,gaussian_nb,spearman_corr,RandomOverSampler,0.6145 ± 0.0277,0.6410 ± 0.0377,0.7330 ± 0.0553,0.6677 ± 0.0239,0.6649 ± 0.0347,0.8565 ± 0.0132,0.8171 ± 0.0210,0.7330 ± 0.0553,0.7577 ± 0.0421,0.9117 ± 0.0096,0.7072 ± 0.0481,0.6436 ± 0.0109,0.6366 ± 0.0144,0.8357 ± 0.0086,0.7956 ± 0.0101,0.7072 ± 0.0481,0.7341 ± 0.0392,0.8952 ± 0.0048
41,gaussian_nb,mutual_info,RandomOverSampler,0.6270 ± 0.0178,0.6522 ± 0.0391,0.7447 ± 0.0555,0.6761 ± 0.0247,0.6762 ± 0.0342,0.8609 ± 0.0154,0.8251 ± 0.0207,0.7447 ± 0.0555,0.7690 ± 0.0434,0.9155 ± 0.0108,0.7211 ± 0.0339,0.6506 ± 0.0138,0.6474 ± 0.0180,0.8441 ± 0.0111,0.8024 ± 0.0133,0.7211 ± 0.0339,0.7478 ± 0.0260,0.9012 ± 0.0057
42,gaussian_nb,spearman_sulov,RandomOverSampler,0.6145 ± 0.0277,0.6410 ± 0.0377,0.7330 ± 0.0553,0.6677 ± 0.0239,0.6649 ± 0.0347,0.8565 ± 0.0132,0.8171 ± 0.0210,0.7330 ± 0.0553,0.7577 ± 0.0421,0.9117 ± 0.0096,0.7072 ± 0.0481,0.6436 ± 0.0109,0.6366 ± 0.0144,0.8357 ± 0.0086,0.7956 ± 0.0101,0.7072 ± 0.0481,0.7341 ± 0.0392,0.8952 ± 0.0048
43,gaussian_nb,chi2,RandomOverSampler,0.6320 ± 0.0166,0.6489 ± 0.0250,0.7377 ± 0.0368,0.6777 ± 0.0217,0.6776 ± 0.0274,0.8739 ± 0.0125,0.8288 ± 0.0201,0.7377 ± 0.0368,0.7632 ± 0.0283,0.9253 ± 0.0083,0.7149 ± 0.0293,0.6639 ± 0.0113,0.6639 ± 0.0153,0.8623 ± 0.0116,0.8145 ± 0.0128,0.7149 ± 0.0293,0.7434 ± 0.0230,0.9139 ± 0.0057
44,gaussian_nb,chi2_mi_union_topk,RandomOverSampler,0.6433 ± 0.0224,0.6565 ± 0.0339,0.7498 ± 0.0447,0.6766 ± 0.0229,0.6768 ± 0.0339,0.8673 ± 0.0150,0.8267 ± 0.0181,0.7498 ± 0.0447,0.7755 ± 0.0337,0.9200 ± 0.0102,0.7338 ± 0.0298,0.6630 ± 0.0169,0.6644 ± 0.0233,0.8555 ± 0.0094,0.8130 ± 0.0123,0.7338 ± 0.0298,0.7617 ± 0.0223,0.9087 ± 0.0053
