,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
28,svm,chi2,SMOTE,0.6666 ± 0.0142,0.6751 ± 0.0272,0.8440 ± 0.0074,0.7120 ± 0.0393,0.6747 ± 0.0195,0.8936 ± 0.0154,0.8145 ± 0.0143,0.8440 ± 0.0074,0.8220 ± 0.0093,0.9379 ± 0.0080,0.8314 ± 0.0086,0.6861 ± 0.0186,0.6658 ± 0.0114,0.8774 ± 0.0107,0.8041 ± 0.0099,0.8314 ± 0.0086,0.8141 ± 0.0085,0.9272 ± 0.0049
29,svm,chi2_mi_union_topk,SMOTE,0.6605 ± 0.0186,0.6790 ± 0.0396,0.8520 ± 0.0129,0.7184 ± 0.0578,0.6799 ± 0.0276,0.8971 ± 0.0179,0.8211 ± 0.0245,0.8520 ± 0.0129,0.8285 ± 0.0169,0.9416 ± 0.0091,0.8336 ± 0.0075,0.6788 ± 0.0268,0.6619 ± 0.0147,0.8822 ± 0.0065,0.8033 ± 0.0111,0.8336 ± 0.0075,0.8145 ± 0.0084,0.9323 ± 0.0039
30,logistic_regression,spearman_corr,SMOTE,0.6457 ± 0.0188,0.6504 ± 0.0165,0.7780 ± 0.0180,0.6539 ± 0.0157,0.6537 ± 0.0176,0.8597 ± 0.0164,0.7984 ± 0.0131,0.7780 ± 0.0180,0.7855 ± 0.0140,0.9203 ± 0.0094,0.7781 ± 0.0088,0.6470 ± 0.0179,0.6477 ± 0.0209,0.8460 ± 0.0082,0.7950 ± 0.0100,0.7781 ± 0.0088,0.7854 ± 0.0090,0.9113 ± 0.0051
31,logistic_regression,mutual_info,SMOTE,0.6508 ± 0.0183,0.6625 ± 0.0240,0.7824 ± 0.0192,0.6661 ± 0.0234,0.6678 ± 0.0262,0.8653 ± 0.0167,0.8065 ± 0.0168,0.7824 ± 0.0192,0.7910 ± 0.0162,0.9233 ± 0.0095,0.7791 ± 0.0117,0.6525 ± 0.0167,0.6535 ± 0.0206,0.8500 ± 0.0126,0.7991 ± 0.0090,0.7791 ± 0.0117,0.7877 ± 0.0100,0.9138 ± 0.0074
32,logistic_regression,spearman_sulov,SMOTE,0.6457 ± 0.0188,0.6504 ± 0.0165,0.7780 ± 0.0180,0.6539 ± 0.0157,0.6537 ± 0.0176,0.8597 ± 0.0164,0.7984 ± 0.0131,0.7780 ± 0.0180,0.7855 ± 0.0140,0.9203 ± 0.0094,0.7781 ± 0.0088,0.6470 ± 0.0179,0.6477 ± 0.0209,0.8460 ± 0.0082,0.7950 ± 0.0100,0.7781 ± 0.0088,0.7854 ± 0.0090,0.9113 ± 0.0051
33,logistic_regression,chi2,SMOTE,0.6626 ± 0.0124,0.6524 ± 0.0184,0.7656 ± 0.0170,0.6595 ± 0.0181,0.6602 ± 0.0215,0.8776 ± 0.0136,0.8051 ± 0.0153,0.7656 ± 0.0170,0.7801 ± 0.0135,0.9291 ± 0.0092,0.7698 ± 0.0081,0.6667 ± 0.0112,0.6731 ± 0.0151,0.8685 ± 0.0077,0.8091 ± 0.0082,0.7698 ± 0.0081,0.7852 ± 0.0074,0.9221 ± 0.0048
34,logistic_regression,chi2_mi_union_topk,SMOTE,0.6592 ± 0.0122,0.6698 ± 0.0245,0.7879 ± 0.0225,0.6728 ± 0.0219,0.6753 ± 0.0261,0.8726 ± 0.0175,0.8111 ± 0.0174,0.7879 ± 0.0225,0.7963 ± 0.0186,0.9271 ± 0.0104,0.7830 ± 0.0081,0.6603 ± 0.0113,0.6630 ± 0.0135,0.8579 ± 0.0096,0.8035 ± 0.0065,0.7830 ± 0.0081,0.7917 ± 0.0069,0.9179 ± 0.0057
35,knn,spearman_corr,SMOTE,0.4777 ± 0.0119,0.4950 ± 0.0202,0.5842 ± 0.0175,0.6256 ± 0.0157,0.5589 ± 0.0220,0.7717 ± 0.0198,0.7777 ± 0.0191,0.5842 ± 0.0175,0.5772 ± 0.0263,0.8229 ± 0.0160,0.5635 ± 0.0118,0.6217 ± 0.0075,0.5477 ± 0.0098,0.7641 ± 0.0089,0.7777 ± 0.0097,0.5635 ± 0.0118,0.5597 ± 0.0154,0.8140 ± 0.0103
36,knn,mutual_info,SMOTE,0.5191 ± 0.0201,0.5314 ± 0.0362,0.6242 ± 0.0308,0.6353 ± 0.0216,0.5821 ± 0.0386,0.7812 ± 0.0204,0.7869 ± 0.0215,0.6242 ± 0.0308,0.6229 ± 0.0371,0.8325 ± 0.0172,0.6096 ± 0.0182,0.6304 ± 0.0133,0.5764 ± 0.0172,0.7787 ± 0.0084,0.7838 ± 0.0153,0.6096 ± 0.0182,0.6097 ± 0.0235,0.8294 ± 0.0088
37,knn,spearman_sulov,SMOTE,0.4777 ± 0.0119,0.4950 ± 0.0202,0.5842 ± 0.0175,0.6256 ± 0.0157,0.5589 ± 0.0220,0.7717 ± 0.0198,0.7777 ± 0.0191,0.5842 ± 0.0175,0.5772 ± 0.0263,0.8229 ± 0.0160,0.5635 ± 0.0118,0.6217 ± 0.0075,0.5477 ± 0.0098,0.7641 ± 0.0089,0.7777 ± 0.0097,0.5635 ± 0.0118,0.5597 ± 0.0154,0.8140 ± 0.0103
38,knn,chi2,SMOTE,0.6100 ± 0.0145,0.6203 ± 0.0257,0.7245 ± 0.0266,0.6479 ± 0.0178,0.6351 ± 0.0283,0.8426 ± 0.0137,0.7941 ± 0.0120,0.7245 ± 0.0266,0.7386 ± 0.0213,0.8951 ± 0.0108,0.7080 ± 0.0159,0.6437 ± 0.0111,0.6307 ± 0.0177,0.8237 ± 0.0089,0.7931 ± 0.0083,0.7080 ± 0.0159,0.7263 ± 0.0138,0.8807 ± 0.0052
39,knn,chi2_mi_union_topk,SMOTE,0.5340 ± 0.0169,0.5481 ± 0.0289,0.6443 ± 0.0243,0.6254 ± 0.0176,0.5814 ± 0.0328,0.7876 ± 0.0225,0.7727 ± 0.0163,0.6443 ± 0.0243,0.6480 ± 0.0266,0.8417 ± 0.0161,0.6266 ± 0.0204,0.6242 ± 0.0082,0.5744 ± 0.0139,0.7816 ± 0.0093,0.7767 ± 0.0093,0.6266 ± 0.0204,0.6336 ± 0.0209,0.8352 ± 0.0083
40,gaussian_nb,spearman_corr,SMOTE,0.6367 ± 0.0115,0.6555 ± 0.0348,0.7634 ± 0.0537,0.6672 ± 0.0273,0.6694 ± 0.0340,0.8538 ± 0.0157,0.8114 ± 0.0223,0.7634 ± 0.0537,0.7796 ± 0.0382,0.9100 ± 0.0112,0.7476 ± 0.0263,0.6463 ± 0.0147,0.6470 ± 0.0178,0.8352 ± 0.0080,0.7940 ± 0.0143,0.7476 ± 0.0263,0.7653 ± 0.0150,0.8957 ± 0.0053
41,gaussian_nb,mutual_info,SMOTE,0.6461 ± 0.0119,0.6596 ± 0.0351,0.7685 ± 0.0501,0.6700 ± 0.0280,0.6708 ± 0.0363,0.8575 ± 0.0191,0.8150 ± 0.0222,0.7685 ± 0.0501,0.7855 ± 0.0356,0.9139 ± 0.0120,0.7579 ± 0.0232,0.6534 ± 0.0149,0.6555 ± 0.0178,0.8419 ± 0.0124,0.7995 ± 0.0143,0.7579 ± 0.0232,0.7743 ± 0.0131,0.9008 ± 0.0070
42,gaussian_nb,spearman_sulov,SMOTE,0.6367 ± 0.0115,0.6555 ± 0.0348,0.7634 ± 0.0537,0.6672 ± 0.0273,0.6694 ± 0.0340,0.8538 ± 0.0157,0.8114 ± 0.0223,0.7634 ± 0.0537,0.7796 ± 0.0382,0.9100 ± 0.0112,0.7476 ± 0.0263,0.6463 ± 0.0147,0.6470 ± 0.0178,0.8352 ± 0.0080,0.7940 ± 0.0143,0.7476 ± 0.0263,0.7653 ± 0.0150,0.8957 ± 0.0053
43,gaussian_nb,chi2,SMOTE,0.6506 ± 0.0089,0.6525 ± 0.0189,0.7469 ± 0.0284,0.6734 ± 0.0186,0.6753 ± 0.0236,0.8730 ± 0.0146,0.8234 ± 0.0162,0.7469 ± 0.0284,0.7707 ± 0.0205,0.9240 ± 0.0082,0.7382 ± 0.0198,0.6679 ± 0.0103,0.6767 ± 0.0147,0.8634 ± 0.0109,0.8129 ± 0.0124,0.7382 ± 0.0198,0.7627 ± 0.0127,0.9136 ± 0.0056
44,gaussian_nb,chi2_mi_union_topk,SMOTE,0.6575 ± 0.0114,0.6652 ± 0.0251,0.7725 ± 0.0381,0.6750 ± 0.0171,0.6763 ± 0.0243,0.8654 ± 0.0146,0.8211 ± 0.0152,0.7725 ± 0.0381,0.7907 ± 0.0260,0.9194 ± 0.0092,0.7613 ± 0.0173,0.6637 ± 0.0107,0.6688 ± 0.0142,0.8518 ± 0.0090,0.8080 ± 0.0102,0.7613 ± 0.0173,0.7804 ± 0.0108,0.9068 ± 0.0054
