,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,RandomOverSampler,0.6165 ± 0.0104,0.6443 ± 0.0252,0.7648 ± 0.0203,0.6450 ± 0.0232,0.6472 ± 0.0279,0.7641 ± 0.0179,0.7775 ± 0.0160,0.7648 ± 0.0203,0.7702 ± 0.0172,0.8216 ± 0.0139,0.7511 ± 0.0116,0.6176 ± 0.0097,0.6167 ± 0.0111,0.7452 ± 0.0070,0.7623 ± 0.0068,0.7511 ± 0.0116,0.7563 ± 0.0086,0.8104 ± 0.0076
1,decision_tree,mutual_info,RandomOverSampler,0.6146 ± 0.0125,0.6431 ± 0.0307,0.7696 ± 0.0243,0.6455 ± 0.0302,0.6433 ± 0.0302,0.7623 ± 0.0200,0.7748 ± 0.0175,0.7696 ± 0.0243,0.7710 ± 0.0207,0.8219 ± 0.0161,0.7491 ± 0.0082,0.6160 ± 0.0123,0.6148 ± 0.0136,0.7437 ± 0.0085,0.7609 ± 0.0099,0.7491 ± 0.0082,0.7546 ± 0.0072,0.8088 ± 0.0059
2,decision_tree,spearman_sulov,RandomOverSampler,0.6255 ± 0.0210,0.6347 ± 0.0238,0.7663 ± 0.0191,0.6357 ± 0.0233,0.6357 ± 0.0251,0.7582 ± 0.0170,0.7727 ± 0.0184,0.7663 ± 0.0191,0.7688 ± 0.0180,0.8210 ± 0.0150,0.7552 ± 0.0185,0.6265 ± 0.0211,0.6263 ± 0.0215,0.7511 ± 0.0146,0.7673 ± 0.0137,0.7552 ± 0.0185,0.7608 ± 0.0156,0.8138 ± 0.0127
3,decision_tree,chi2,RandomOverSampler,0.6169 ± 0.0170,0.6412 ± 0.0340,0.7718 ± 0.0310,0.6443 ± 0.0299,0.6415 ± 0.0363,0.7626 ± 0.0248,0.7794 ± 0.0208,0.7718 ± 0.0310,0.7742 ± 0.0258,0.8256 ± 0.0208,0.7517 ± 0.0091,0.6176 ± 0.0168,0.6175 ± 0.0182,0.7456 ± 0.0113,0.7618 ± 0.0132,0.7517 ± 0.0091,0.7564 ± 0.0102,0.8104 ± 0.0088
4,decision_tree,chi2_mi_union_topk,RandomOverSampler,0.6183 ± 0.0248,0.6224 ± 0.0255,0.7612 ± 0.0139,0.6231 ± 0.0263,0.6244 ± 0.0258,0.7498 ± 0.0171,0.7663 ± 0.0223,0.7612 ± 0.0139,0.7626 ± 0.0170,0.8151 ± 0.0147,0.7610 ± 0.0164,0.6188 ± 0.0239,0.6182 ± 0.0258,0.7464 ± 0.0165,0.7671 ± 0.0147,0.7610 ± 0.0164,0.7639 ± 0.0155,0.8151 ± 0.0122
5,random_forest,spearman_corr,RandomOverSampler,0.6701 ± 0.0132,0.6731 ± 0.0213,0.8637 ± 0.0129,0.7685 ± 0.0555,0.6770 ± 0.0159,0.8916 ± 0.0117,0.8380 ± 0.0229,0.8637 ± 0.0129,0.8330 ± 0.0139,0.9399 ± 0.0076,0.8607 ± 0.0045,0.7476 ± 0.0152,0.6738 ± 0.0088,0.8932 ± 0.0076,0.8304 ± 0.0071,0.8607 ± 0.0045,0.8311 ± 0.0065,0.9393 ± 0.0043
6,random_forest,mutual_info,RandomOverSampler,0.6805 ± 0.0195,0.6872 ± 0.0169,0.8674 ± 0.0103,0.7898 ± 0.0474,0.6864 ± 0.0120,0.8868 ± 0.0114,0.8472 ± 0.0187,0.8674 ± 0.0103,0.8392 ± 0.0104,0.9381 ± 0.0076,0.8596 ± 0.0071,0.7497 ± 0.0358,0.6800 ± 0.0137,0.8909 ± 0.0076,0.8319 ± 0.0142,0.8596 ± 0.0071,0.8335 ± 0.0090,0.9381 ± 0.0042
7,random_forest,spearman_sulov,RandomOverSampler,0.6763 ± 0.0179,0.6800 ± 0.0226,0.8663 ± 0.0142,0.7965 ± 0.0714,0.6814 ± 0.0162,0.8921 ± 0.0153,0.8481 ± 0.0282,0.8663 ± 0.0142,0.8363 ± 0.0138,0.9404 ± 0.0100,0.8613 ± 0.0070,0.7611 ± 0.0254,0.6776 ± 0.0124,0.8949 ± 0.0094,0.8346 ± 0.0112,0.8613 ± 0.0070,0.8328 ± 0.0094,0.9401 ± 0.0049
8,random_forest,chi2,RandomOverSampler,0.6788 ± 0.0161,0.6817 ± 0.0298,0.8674 ± 0.0153,0.7841 ± 0.0833,0.6831 ± 0.0211,0.8860 ± 0.0124,0.8454 ± 0.0331,0.8674 ± 0.0153,0.8379 ± 0.0175,0.9371 ± 0.0084,0.8612 ± 0.0060,0.7501 ± 0.0239,0.6793 ± 0.0115,0.8921 ± 0.0074,0.8326 ± 0.0106,0.8612 ± 0.0060,0.8341 ± 0.0082,0.9389 ± 0.0042
9,random_forest,chi2_mi_union_topk,RandomOverSampler,0.6796 ± 0.0137,0.6855 ± 0.0216,0.8593 ± 0.0132,0.7486 ± 0.0404,0.6846 ± 0.0167,0.8863 ± 0.0130,0.8334 ± 0.0178,0.8593 ± 0.0132,0.8350 ± 0.0135,0.9375 ± 0.0083,0.8546 ± 0.0042,0.7240 ± 0.0159,0.6788 ± 0.0101,0.8870 ± 0.0087,0.8242 ± 0.0073,0.8546 ± 0.0042,0.8314 ± 0.0066,0.9363 ± 0.0048
10,extra_trees,spearman_corr,RandomOverSampler,0.6381 ± 0.0150,0.6409 ± 0.0298,0.8623 ± 0.0124,0.7948 ± 0.1332,0.6600 ± 0.0178,0.8935 ± 0.0156,0.8417 ± 0.0460,0.8623 ± 0.0124,0.8214 ± 0.0151,0.9402 ± 0.0105,0.8594 ± 0.0039,0.8023 ± 0.0752,0.6565 ± 0.0078,0.8920 ± 0.0098,0.8425 ± 0.0224,0.8594 ± 0.0039,0.8195 ± 0.0057,0.9391 ± 0.0049
11,extra_trees,mutual_info,RandomOverSampler,0.6623 ± 0.0163,0.6595 ± 0.0162,0.8659 ± 0.0098,0.7998 ± 0.0521,0.6703 ± 0.0106,0.8865 ± 0.0147,0.8468 ± 0.0195,0.8659 ± 0.0098,0.8297 ± 0.0099,0.9374 ± 0.0092,0.8631 ± 0.0054,0.8017 ± 0.0338,0.6698 ± 0.0104,0.8897 ± 0.0075,0.8455 ± 0.0120,0.8631 ± 0.0054,0.8288 ± 0.0079,0.9377 ± 0.0036
12,extra_trees,spearman_sulov,RandomOverSampler,0.6461 ± 0.0081,0.6421 ± 0.0151,0.8630 ± 0.0092,0.7776 ± 0.0990,0.6606 ± 0.0091,0.8866 ± 0.0114,0.8377 ± 0.0341,0.8630 ± 0.0092,0.8232 ± 0.0082,0.9372 ± 0.0078,0.8607 ± 0.0030,0.8049 ± 0.0520,0.6607 ± 0.0041,0.8910 ± 0.0076,0.8444 ± 0.0156,0.8607 ± 0.0030,0.8227 ± 0.0036,0.9384 ± 0.0040
13,extra_trees,chi2,RandomOverSampler,0.6513 ± 0.0171,0.6551 ± 0.0235,0.8645 ± 0.0117,0.7902 ± 0.0779,0.6675 ± 0.0156,0.8890 ± 0.0147,0.8428 ± 0.0309,0.8645 ± 0.0117,0.8276 ± 0.0132,0.9383 ± 0.0095,0.8610 ± 0.0061,0.7829 ± 0.0412,0.6635 ± 0.0103,0.8884 ± 0.0075,0.8382 ± 0.0147,0.8610 ± 0.0061,0.8246 ± 0.0081,0.9373 ± 0.0042
14,extra_trees,chi2_mi_union_topk,RandomOverSampler,0.6598 ± 0.0141,0.6686 ± 0.0182,0.8630 ± 0.0125,0.7794 ± 0.0582,0.6740 ± 0.0140,0.8836 ± 0.0156,0.8403 ± 0.0241,0.8630 ± 0.0125,0.8309 ± 0.0128,0.9361 ± 0.0099,0.8569 ± 0.0057,0.7441 ± 0.0271,0.6667 ± 0.0082,0.8871 ± 0.0086,0.8259 ± 0.0089,0.8569 ± 0.0057,0.8252 ± 0.0061,0.9360 ± 0.0048
