,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
25,svm,spearman_corr,SMOTE,0.6508 ± 0.0199,0.6518 ± 0.0168,0.8440 ± 0.0155,0.6837 ± 0.0417,0.6596 ± 0.0119,0.8796 ± 0.0151,0.8074 ± 0.0151,0.8440 ± 0.0155,0.8178 ± 0.0100,0.9336 ± 0.0082,0.8321 ± 0.0073,0.6693 ± 0.0269,0.6549 ± 0.0144,0.8734 ± 0.0112,0.7975 ± 0.0110,0.8321 ± 0.0073,0.8104 ± 0.0081,0.9285 ± 0.0053
26,svm,mutual_info,SMOTE,0.6621 ± 0.0154,0.6681 ± 0.0183,0.8473 ± 0.0138,0.7028 ± 0.0373,0.6705 ± 0.0139,0.8743 ± 0.0109,0.8150 ± 0.0158,0.8473 ± 0.0138,0.8238 ± 0.0112,0.9318 ± 0.0060,0.8398 ± 0.0056,0.6854 ± 0.0238,0.6640 ± 0.0114,0.8708 ± 0.0114,0.8069 ± 0.0088,0.8398 ± 0.0056,0.8186 ± 0.0062,0.9279 ± 0.0054
27,svm,spearman_sulov,SMOTE,0.6618 ± 0.0126,0.6574 ± 0.0177,0.8462 ± 0.0129,0.6915 ± 0.0392,0.6629 ± 0.0136,0.8797 ± 0.0143,0.8103 ± 0.0148,0.8462 ± 0.0129,0.8205 ± 0.0107,0.9339 ± 0.0082,0.8379 ± 0.0056,0.6868 ± 0.0195,0.6633 ± 0.0097,0.8760 ± 0.0075,0.8056 ± 0.0080,0.8379 ± 0.0056,0.8167 ± 0.0061,0.9300 ± 0.0037
28,svm,chi2,SMOTE,0.6659 ± 0.0166,0.6735 ± 0.0266,0.8516 ± 0.0159,0.7203 ± 0.0668,0.6746 ± 0.0201,0.8755 ± 0.0102,0.8220 ± 0.0270,0.8516 ± 0.0159,0.8278 ± 0.0149,0.9325 ± 0.0060,0.8432 ± 0.0072,0.6978 ± 0.0308,0.6670 ± 0.0125,0.8679 ± 0.0126,0.8110 ± 0.0113,0.8432 ± 0.0072,0.8210 ± 0.0077,0.9268 ± 0.0057
29,svm,chi2_mi_union_topk,SMOTE,0.6748 ± 0.0168,0.6675 ± 0.0189,0.8436 ± 0.0136,0.6895 ± 0.0316,0.6694 ± 0.0155,0.8641 ± 0.0220,0.8137 ± 0.0130,0.8436 ± 0.0136,0.8236 ± 0.0121,0.9278 ± 0.0106,0.8425 ± 0.0067,0.6950 ± 0.0229,0.6740 ± 0.0132,0.8596 ± 0.0097,0.8144 ± 0.0087,0.8425 ± 0.0067,0.8247 ± 0.0069,0.9234 ± 0.0040
30,logistic_regression,spearman_corr,SMOTE,0.6533 ± 0.0188,0.6524 ± 0.0195,0.7799 ± 0.0187,0.6562 ± 0.0167,0.6558 ± 0.0229,0.8660 ± 0.0143,0.8042 ± 0.0099,0.7799 ± 0.0187,0.7893 ± 0.0143,0.9249 ± 0.0069,0.7758 ± 0.0166,0.6559 ± 0.0167,0.6572 ± 0.0199,0.8537 ± 0.0158,0.8022 ± 0.0113,0.7758 ± 0.0166,0.7871 ± 0.0142,0.9155 ± 0.0083
31,logistic_regression,mutual_info,SMOTE,0.6444 ± 0.0122,0.6454 ± 0.0203,0.7689 ± 0.0157,0.6502 ± 0.0192,0.6493 ± 0.0246,0.8538 ± 0.0122,0.8002 ± 0.0128,0.7689 ± 0.0157,0.7818 ± 0.0125,0.9184 ± 0.0050,0.7717 ± 0.0111,0.6470 ± 0.0115,0.6469 ± 0.0137,0.8467 ± 0.0154,0.7963 ± 0.0100,0.7717 ± 0.0111,0.7825 ± 0.0102,0.9110 ± 0.0082
32,logistic_regression,spearman_sulov,SMOTE,0.6533 ± 0.0128,0.6582 ± 0.0190,0.7810 ± 0.0088,0.6608 ± 0.0178,0.6634 ± 0.0252,0.8626 ± 0.0092,0.8063 ± 0.0109,0.7810 ± 0.0088,0.7912 ± 0.0071,0.9228 ± 0.0044,0.7756 ± 0.0115,0.6554 ± 0.0116,0.6571 ± 0.0139,0.8518 ± 0.0142,0.8012 ± 0.0087,0.7756 ± 0.0115,0.7867 ± 0.0100,0.9139 ± 0.0074
33,logistic_regression,chi2,SMOTE,0.6501 ± 0.0171,0.6474 ± 0.0212,0.7714 ± 0.0171,0.6524 ± 0.0194,0.6512 ± 0.0242,0.8541 ± 0.0123,0.8027 ± 0.0108,0.7714 ± 0.0171,0.7842 ± 0.0127,0.9188 ± 0.0059,0.7731 ± 0.0136,0.6529 ± 0.0153,0.6534 ± 0.0187,0.8463 ± 0.0168,0.8007 ± 0.0108,0.7731 ± 0.0136,0.7852 ± 0.0124,0.9116 ± 0.0086
34,logistic_regression,chi2_mi_union_topk,SMOTE,0.6583 ± 0.0209,0.6619 ± 0.0182,0.7813 ± 0.0099,0.6676 ± 0.0160,0.6678 ± 0.0242,0.8632 ± 0.0169,0.8175 ± 0.0094,0.7813 ± 0.0099,0.7956 ± 0.0083,0.9259 ± 0.0076,0.7753 ± 0.0149,0.6634 ± 0.0184,0.6645 ± 0.0244,0.8567 ± 0.0084,0.8128 ± 0.0116,0.7753 ± 0.0149,0.7907 ± 0.0130,0.9192 ± 0.0044
35,knn,spearman_corr,SMOTE,0.5798 ± 0.0114,0.5977 ± 0.0331,0.6853 ± 0.0349,0.6439 ± 0.0215,0.6216 ± 0.0395,0.8211 ± 0.0183,0.7957 ± 0.0177,0.6853 ± 0.0349,0.7100 ± 0.0294,0.8784 ± 0.0117,0.6626 ± 0.0144,0.6359 ± 0.0073,0.6069 ± 0.0138,0.8145 ± 0.0104,0.7913 ± 0.0060,0.6626 ± 0.0144,0.6918 ± 0.0115,0.8710 ± 0.0070
36,knn,mutual_info,SMOTE,0.6021 ± 0.0169,0.6178 ± 0.0168,0.6945 ± 0.0180,0.6664 ± 0.0166,0.6544 ± 0.0245,0.8369 ± 0.0121,0.8194 ± 0.0148,0.6945 ± 0.0180,0.7244 ± 0.0129,0.8876 ± 0.0090,0.6777 ± 0.0158,0.6565 ± 0.0147,0.6387 ± 0.0231,0.8340 ± 0.0086,0.8122 ± 0.0135,0.6777 ± 0.0158,0.7104 ± 0.0152,0.8850 ± 0.0053
37,knn,spearman_sulov,SMOTE,0.5918 ± 0.0183,0.6088 ± 0.0115,0.6864 ± 0.0127,0.6616 ± 0.0090,0.6466 ± 0.0149,0.8321 ± 0.0153,0.8129 ± 0.0104,0.6864 ± 0.0127,0.7127 ± 0.0111,0.8849 ± 0.0115,0.6657 ± 0.0189,0.6517 ± 0.0118,0.6297 ± 0.0222,0.8225 ± 0.0132,0.8062 ± 0.0099,0.6657 ± 0.0189,0.6972 ± 0.0175,0.8755 ± 0.0091
38,knn,chi2,SMOTE,0.6059 ± 0.0207,0.6224 ± 0.0211,0.7088 ± 0.0235,0.6622 ± 0.0149,0.6509 ± 0.0260,0.8358 ± 0.0116,0.8141 ± 0.0108,0.7088 ± 0.0235,0.7341 ± 0.0187,0.8892 ± 0.0097,0.6873 ± 0.0224,0.6546 ± 0.0130,0.6393 ± 0.0225,0.8324 ± 0.0110,0.8082 ± 0.0110,0.6873 ± 0.0224,0.7154 ± 0.0195,0.8840 ± 0.0075
39,knn,chi2_mi_union_topk,SMOTE,0.6400 ± 0.0125,0.6387 ± 0.0208,0.7458 ± 0.0183,0.6569 ± 0.0185,0.6511 ± 0.0251,0.8390 ± 0.0128,0.8075 ± 0.0160,0.7458 ± 0.0183,0.7641 ± 0.0178,0.8976 ± 0.0114,0.7327 ± 0.0126,0.6650 ± 0.0103,0.6633 ± 0.0165,0.8416 ± 0.0067,0.8146 ± 0.0085,0.7327 ± 0.0126,0.7559 ± 0.0098,0.8939 ± 0.0047
40,gaussian_nb,spearman_corr,SMOTE,0.6323 ± 0.0178,0.6536 ± 0.0371,0.7549 ± 0.0318,0.6693 ± 0.0317,0.6721 ± 0.0430,0.8555 ± 0.0147,0.8156 ± 0.0257,0.7549 ± 0.0318,0.7723 ± 0.0296,0.9118 ± 0.0125,0.7360 ± 0.0153,0.6481 ± 0.0139,0.6474 ± 0.0212,0.8361 ± 0.0082,0.7977 ± 0.0104,0.7360 ± 0.0153,0.7559 ± 0.0132,0.8982 ± 0.0044
41,gaussian_nb,mutual_info,SMOTE,0.6442 ± 0.0183,0.6608 ± 0.0370,0.7670 ± 0.0326,0.6733 ± 0.0356,0.6754 ± 0.0407,0.8556 ± 0.0168,0.8180 ± 0.0255,0.7670 ± 0.0326,0.7827 ± 0.0278,0.9111 ± 0.0131,0.7500 ± 0.0232,0.6553 ± 0.0147,0.6573 ± 0.0188,0.8391 ± 0.0104,0.8029 ± 0.0124,0.7500 ± 0.0232,0.7685 ± 0.0183,0.8991 ± 0.0054
42,gaussian_nb,spearman_sulov,SMOTE,0.6302 ± 0.0129,0.6493 ± 0.0335,0.7513 ± 0.0268,0.6656 ± 0.0300,0.6677 ± 0.0405,0.8556 ± 0.0137,0.8134 ± 0.0254,0.7513 ± 0.0268,0.7692 ± 0.0261,0.9114 ± 0.0112,0.7333 ± 0.0120,0.6470 ± 0.0113,0.6461 ± 0.0162,0.8379 ± 0.0076,0.7970 ± 0.0096,0.7333 ± 0.0120,0.7535 ± 0.0099,0.8996 ± 0.0043
43,gaussian_nb,chi2,SMOTE,0.6426 ± 0.0214,0.6585 ± 0.0421,0.7652 ± 0.0354,0.6709 ± 0.0384,0.6723 ± 0.0469,0.8547 ± 0.0210,0.8170 ± 0.0283,0.7652 ± 0.0354,0.7816 ± 0.0303,0.9106 ± 0.0151,0.7506 ± 0.0262,0.6544 ± 0.0150,0.6538 ± 0.0214,0.8398 ± 0.0096,0.8036 ± 0.0103,0.7506 ± 0.0262,0.7695 ± 0.0204,0.9000 ± 0.0050
44,gaussian_nb,chi2_mi_union_topk,SMOTE,0.6710 ± 0.0114,0.6726 ± 0.0286,0.7795 ± 0.0248,0.6829 ± 0.0259,0.6864 ± 0.0344,0.8758 ± 0.0184,0.8316 ± 0.0195,0.7795 ± 0.0248,0.7974 ± 0.0214,0.9259 ± 0.0129,0.7774 ± 0.0087,0.6784 ± 0.0100,0.6835 ± 0.0138,0.8700 ± 0.0086,0.8264 ± 0.0080,0.7774 ± 0.0087,0.7959 ± 0.0080,0.9206 ± 0.0049
