,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,SMOTE,0.6116 ± 0.0173,0.6245 ± 0.0252,0.7571 ± 0.0258,0.6274 ± 0.0230,0.6263 ± 0.0269,0.7522 ± 0.0176,0.7713 ± 0.0160,0.7571 ± 0.0258,0.7626 ± 0.0187,0.8171 ± 0.0155,0.7376 ± 0.0173,0.6144 ± 0.0150,0.6120 ± 0.0187,0.7403 ± 0.0130,0.7592 ± 0.0111,0.7376 ± 0.0173,0.7475 ± 0.0140,0.8029 ± 0.0115
1,decision_tree,mutual_info,SMOTE,0.6216 ± 0.0100,0.6150 ± 0.0157,0.7505 ± 0.0196,0.6173 ± 0.0165,0.6164 ± 0.0161,0.7449 ± 0.0114,0.7615 ± 0.0170,0.7505 ± 0.0196,0.7545 ± 0.0162,0.8100 ± 0.0144,0.7450 ± 0.0113,0.6235 ± 0.0089,0.6231 ± 0.0108,0.7477 ± 0.0074,0.7656 ± 0.0090,0.7450 ± 0.0113,0.7544 ± 0.0097,0.8085 ± 0.0084
2,decision_tree,spearman_sulov,SMOTE,0.6188 ± 0.0153,0.6290 ± 0.0240,0.7604 ± 0.0300,0.6314 ± 0.0216,0.6305 ± 0.0250,0.7551 ± 0.0186,0.7746 ± 0.0188,0.7604 ± 0.0300,0.7661 ± 0.0241,0.8196 ± 0.0207,0.7451 ± 0.0126,0.6213 ± 0.0138,0.6195 ± 0.0168,0.7463 ± 0.0109,0.7672 ± 0.0094,0.7451 ± 0.0126,0.7554 ± 0.0109,0.8097 ± 0.0091
3,decision_tree,chi2,SMOTE,0.6149 ± 0.0181,0.6260 ± 0.0267,0.7527 ± 0.0250,0.6276 ± 0.0236,0.6272 ± 0.0287,0.7511 ± 0.0194,0.7660 ± 0.0165,0.7527 ± 0.0250,0.7584 ± 0.0204,0.8123 ± 0.0166,0.7387 ± 0.0159,0.6181 ± 0.0167,0.6161 ± 0.0200,0.7432 ± 0.0136,0.7639 ± 0.0136,0.7387 ± 0.0159,0.7502 ± 0.0144,0.8054 ± 0.0122
4,decision_tree,chi2_mi_union_topk,SMOTE,0.6252 ± 0.0204,0.6304 ± 0.0239,0.7645 ± 0.0224,0.6335 ± 0.0222,0.6302 ± 0.0259,0.7547 ± 0.0162,0.7769 ± 0.0159,0.7645 ± 0.0224,0.7695 ± 0.0176,0.8204 ± 0.0143,0.7530 ± 0.0178,0.6271 ± 0.0185,0.6261 ± 0.0217,0.7487 ± 0.0156,0.7713 ± 0.0136,0.7530 ± 0.0178,0.7614 ± 0.0156,0.8116 ± 0.0144
5,random_forest,spearman_corr,SMOTE,0.6689 ± 0.0211,0.6737 ± 0.0191,0.8667 ± 0.0087,0.7741 ± 0.0704,0.6783 ± 0.0124,0.8912 ± 0.0122,0.8419 ± 0.0238,0.8667 ± 0.0087,0.8355 ± 0.0089,0.9396 ± 0.0081,0.8605 ± 0.0061,0.7423 ± 0.0314,0.6734 ± 0.0138,0.8929 ± 0.0075,0.8288 ± 0.0128,0.8605 ± 0.0061,0.8308 ± 0.0090,0.9393 ± 0.0041
6,random_forest,mutual_info,SMOTE,0.6806 ± 0.0192,0.6726 ± 0.0177,0.8656 ± 0.0126,0.7698 ± 0.0755,0.6775 ± 0.0125,0.8866 ± 0.0126,0.8407 ± 0.0272,0.8656 ± 0.0126,0.8349 ± 0.0110,0.9379 ± 0.0083,0.8631 ± 0.0074,0.7789 ± 0.0344,0.6804 ± 0.0136,0.8893 ± 0.0071,0.8406 ± 0.0134,0.8631 ± 0.0074,0.8346 ± 0.0097,0.9375 ± 0.0040
7,random_forest,spearman_sulov,SMOTE,0.6748 ± 0.0188,0.6677 ± 0.0201,0.8663 ± 0.0139,0.7718 ± 0.0657,0.6747 ± 0.0149,0.8898 ± 0.0122,0.8401 ± 0.0270,0.8663 ± 0.0139,0.8334 ± 0.0136,0.9390 ± 0.0085,0.8632 ± 0.0047,0.7779 ± 0.0409,0.6772 ± 0.0122,0.8942 ± 0.0077,0.8403 ± 0.0126,0.8632 ± 0.0047,0.8333 ± 0.0084,0.9397 ± 0.0044
8,random_forest,chi2,SMOTE,0.6773 ± 0.0190,0.6832 ± 0.0191,0.8667 ± 0.0144,0.7798 ± 0.0645,0.6842 ± 0.0138,0.8860 ± 0.0115,0.8448 ± 0.0255,0.8667 ± 0.0144,0.8383 ± 0.0124,0.9372 ± 0.0080,0.8626 ± 0.0061,0.7691 ± 0.0368,0.6786 ± 0.0130,0.8907 ± 0.0075,0.8377 ± 0.0134,0.8626 ± 0.0061,0.8338 ± 0.0088,0.9383 ± 0.0044
9,random_forest,chi2_mi_union_topk,SMOTE,0.6746 ± 0.0191,0.6702 ± 0.0237,0.8582 ± 0.0118,0.7266 ± 0.0560,0.6745 ± 0.0167,0.8856 ± 0.0112,0.8258 ± 0.0210,0.8582 ± 0.0118,0.8308 ± 0.0116,0.9374 ± 0.0077,0.8566 ± 0.0086,0.7385 ± 0.0405,0.6755 ± 0.0136,0.8871 ± 0.0094,0.8269 ± 0.0154,0.8566 ± 0.0086,0.8302 ± 0.0095,0.9365 ± 0.0049
