,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,0.7176 ± 0.0286,0.5224 ± 0.0472,0.5179 ± 0.0493,0.5151 ± 0.0410,0.7066 ± 0.0284,0.7264 ± 0.0256,0.7176 ± 0.0286,0.7206 ± 0.0268,0.7908 ± 0.0209,0.6984 ± 0.0196,0.4923 ± 0.0249,0.4931 ± 0.0278,0.4918 ± 0.0262,0.6913 ± 0.0161,0.7137 ± 0.0138,0.6984 ± 0.0196,0.7055 ± 0.0165,0.7790 ± 0.0133
random_forest,0.8355 ± 0.0097,0.4805 ± 0.1060,0.4849 ± 0.0060,0.4524 ± 0.0084,0.8860 ± 0.0089,0.7518 ± 0.0465,0.8355 ± 0.0097,0.7771 ± 0.0089,0.9259 ± 0.0060,0.8288 ± 0.0064,0.4153 ± 0.0033,0.4800 ± 0.0037,0.4448 ± 0.0034,0.8854 ± 0.0060,0.7190 ± 0.0058,0.8288 ± 0.0064,0.7691 ± 0.0060,0.9233 ± 0.0054
extra_trees,0.8370 ± 0.0117,0.4815 ± 0.1374,0.4884 ± 0.0170,0.4574 ± 0.0257,0.8864 ± 0.0098,0.7493 ± 0.0532,0.8370 ± 0.0117,0.7787 ± 0.0122,0.9264 ± 0.0053,0.8275 ± 0.0062,0.5777 ± 0.1189,0.4840 ± 0.0058,0.4548 ± 0.0096,0.8826 ± 0.0084,0.7774 ± 0.0546,0.8275 ± 0.0062,0.7709 ± 0.0057,0.9214 ± 0.0046
xgboost,0.8315 ± 0.0115,0.6345 ± 0.0952,0.5357 ± 0.0295,0.5347 ± 0.0382,0.8748 ± 0.0189,0.7812 ± 0.0269,0.8315 ± 0.0115,0.7898 ± 0.0115,0.9217 ± 0.0105,0.8171 ± 0.0064,0.6194 ± 0.0439,0.5117 ± 0.0173,0.5106 ± 0.0248,0.8609 ± 0.0153,0.7614 ± 0.0115,0.8171 ± 0.0064,0.7743 ± 0.0071,0.9129 ± 0.0069
adaboost,0.7883 ± 0.0206,0.5808 ± 0.0761,0.5504 ± 0.0618,0.5507 ± 0.0613,0.8493 ± 0.0128,0.7652 ± 0.0169,0.7883 ± 0.0206,0.7730 ± 0.0154,0.9015 ± 0.0091,0.7770 ± 0.0157,0.5912 ± 0.0428,0.5434 ± 0.0275,0.5575 ± 0.0316,0.8488 ± 0.0086,0.7602 ± 0.0129,0.7770 ± 0.0157,0.7668 ± 0.0137,0.8956 ± 0.0081
svm,0.8253 ± 0.0104,0.4128 ± 0.0054,0.4771 ± 0.0061,0.4424 ± 0.0056,0.8827 ± 0.0111,0.7152 ± 0.0093,0.8253 ± 0.0104,0.7658 ± 0.0096,0.9211 ± 0.0051,0.8181 ± 0.0064,0.4098 ± 0.0032,0.4738 ± 0.0037,0.4390 ± 0.0034,0.8754 ± 0.0077,0.7093 ± 0.0056,0.8181 ± 0.0064,0.7590 ± 0.0059,0.9151 ± 0.0046
logistic_regression,0.7491 ± 0.0226,0.5743 ± 0.0596,0.5467 ± 0.0428,0.5487 ± 0.0350,0.8157 ± 0.0197,0.7504 ± 0.0141,0.7491 ± 0.0226,0.7481 ± 0.0168,0.8815 ± 0.0067,0.7467 ± 0.0184,0.5423 ± 0.0295,0.5297 ± 0.0269,0.5345 ± 0.0271,0.8084 ± 0.0123,0.7432 ± 0.0156,0.7467 ± 0.0184,0.7446 ± 0.0168,0.8764 ± 0.0087
knn,0.6645 ± 0.0260,0.4497 ± 0.1006,0.3934 ± 0.0221,0.3781 ± 0.0318,0.7253 ± 0.0188,0.6465 ± 0.0252,0.6645 ± 0.0260,0.6164 ± 0.0283,0.8268 ± 0.0117,0.6604 ± 0.0114,0.4054 ± 0.0218,0.3870 ± 0.0052,0.3675 ± 0.0058,0.7149 ± 0.0097,0.6377 ± 0.0106,0.6604 ± 0.0114,0.6123 ± 0.0113,0.8157 ± 0.0040
gaussian_nb,0.4484 ± 0.0878,0.4513 ± 0.0444,0.4623 ± 0.0894,0.3514 ± 0.0670,0.7281 ± 0.0520,0.6981 ± 0.0481,0.4484 ± 0.0878,0.4800 ± 0.0808,0.8345 ± 0.0191,0.4442 ± 0.0608,0.4447 ± 0.0161,0.4449 ± 0.0366,0.3543 ± 0.0377,0.7122 ± 0.0202,0.6879 ± 0.0199,0.4442 ± 0.0608,0.4867 ± 0.0594,0.8181 ± 0.0109
