,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,0.7158 ± 0.0283,0.5227 ± 0.0436,0.5189 ± 0.0475,0.5159 ± 0.0384,0.7068 ± 0.0276,0.7251 ± 0.0244,0.7158 ± 0.0283,0.7191 ± 0.0261,0.7895 ± 0.0205,0.6987 ± 0.0197,0.4925 ± 0.0247,0.4930 ± 0.0271,0.4919 ± 0.0258,0.6913 ± 0.0157,0.7139 ± 0.0138,0.6987 ± 0.0197,0.7057 ± 0.0165,0.7792 ± 0.0134
random_forest,0.8359 ± 0.0093,0.4807 ± 0.1056,0.4851 ± 0.0055,0.4526 ± 0.0077,0.8867 ± 0.0087,0.7522 ± 0.0458,0.8359 ± 0.0093,0.7775 ± 0.0082,0.9261 ± 0.0063,0.8285 ± 0.0059,0.4402 ± 0.0803,0.4801 ± 0.0039,0.4453 ± 0.0045,0.8853 ± 0.0052,0.7297 ± 0.0366,0.8285 ± 0.0059,0.7691 ± 0.0059,0.9231 ± 0.0053
extra_trees,0.8370 ± 0.0117,0.4815 ± 0.1374,0.4884 ± 0.0170,0.4574 ± 0.0257,0.8864 ± 0.0098,0.7493 ± 0.0532,0.8370 ± 0.0117,0.7787 ± 0.0122,0.9264 ± 0.0053,0.8275 ± 0.0062,0.5777 ± 0.1189,0.4840 ± 0.0058,0.4548 ± 0.0096,0.8826 ± 0.0084,0.7774 ± 0.0546,0.8275 ± 0.0062,0.7709 ± 0.0057,0.9214 ± 0.0046
xgboost,0.8322 ± 0.0117,0.6517 ± 0.1227,0.5361 ± 0.0286,0.5350 ± 0.0360,0.8740 ± 0.0187,0.7889 ± 0.0365,0.8322 ± 0.0117,0.7903 ± 0.0116,0.9214 ± 0.0103,0.8175 ± 0.0062,0.6234 ± 0.0539,0.5116 ± 0.0176,0.5102 ± 0.0254,0.8609 ± 0.0151,0.7618 ± 0.0120,0.8175 ± 0.0062,0.7742 ± 0.0068,0.9130 ± 0.0068
adaboost,0.7883 ± 0.0206,0.5808 ± 0.0761,0.5504 ± 0.0618,0.5507 ± 0.0613,0.8493 ± 0.0128,0.7652 ± 0.0169,0.7883 ± 0.0206,0.7730 ± 0.0154,0.9015 ± 0.0091,0.7770 ± 0.0157,0.5912 ± 0.0428,0.5434 ± 0.0275,0.5575 ± 0.0316,0.8488 ± 0.0087,0.7602 ± 0.0129,0.7770 ± 0.0157,0.7668 ± 0.0137,0.8956 ± 0.0081
svm,0.8344 ± 0.0086,0.4169 ± 0.0045,0.4822 ± 0.0052,0.4471 ± 0.0048,0.8844 ± 0.0137,0.7220 ± 0.0079,0.8344 ± 0.0086,0.7740 ± 0.0082,0.9216 ± 0.0062,0.8272 ± 0.0032,0.4134 ± 0.0016,0.4788 ± 0.0019,0.4436 ± 0.0018,0.8758 ± 0.0067,0.7150 ± 0.0028,0.8272 ± 0.0032,0.7669 ± 0.0029,0.9145 ± 0.0037
logistic_regression,0.7564 ± 0.0135,0.5670 ± 0.0676,0.5407 ± 0.0274,0.5421 ± 0.0258,0.8355 ± 0.0157,0.7638 ± 0.0131,0.7564 ± 0.0135,0.7580 ± 0.0110,0.8917 ± 0.0051,0.7425 ± 0.0122,0.5287 ± 0.0178,0.5194 ± 0.0198,0.5228 ± 0.0184,0.8252 ± 0.0087,0.7479 ± 0.0114,0.7425 ± 0.0122,0.7448 ± 0.0112,0.8830 ± 0.0046
knn,0.6560 ± 0.0106,0.3991 ± 0.0302,0.3828 ± 0.0089,0.3628 ± 0.0141,0.7484 ± 0.0226,0.6395 ± 0.0148,0.6560 ± 0.0106,0.6073 ± 0.0116,0.8369 ± 0.0126,0.6596 ± 0.0069,0.4052 ± 0.0202,0.3875 ± 0.0070,0.3683 ± 0.0106,0.7297 ± 0.0104,0.6394 ± 0.0115,0.6596 ± 0.0069,0.6118 ± 0.0086,0.8213 ± 0.0084
gaussian_nb,0.4747 ± 0.0614,0.4533 ± 0.0397,0.4745 ± 0.0708,0.3676 ± 0.0497,0.7342 ± 0.0515,0.6984 ± 0.0438,0.4747 ± 0.0614,0.5042 ± 0.0539,0.8412 ± 0.0182,0.4772 ± 0.0479,0.4496 ± 0.0145,0.4622 ± 0.0297,0.3745 ± 0.0289,0.7194 ± 0.0193,0.6917 ± 0.0179,0.4772 ± 0.0479,0.5161 ± 0.0421,0.8268 ± 0.0099
