,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,0.4498 ± 0.0259,0.3268 ± 0.0694,0.3066 ± 0.0315,0.3063 ± 0.0255,0.5430 ± 0.0169,0.4573 ± 0.0249,0.4498 ± 0.0259,0.4511 ± 0.0255,0.5591 ± 0.0219,0.4494 ± 0.0185,0.2934 ± 0.0256,0.2890 ± 0.0198,0.2900 ± 0.0213,0.5337 ± 0.0124,0.4507 ± 0.0182,0.4494 ± 0.0185,0.4496 ± 0.0181,0.5569 ± 0.0157
random_forest,0.5527 ± 0.0327,0.2755 ± 0.0170,0.3179 ± 0.0188,0.2941 ± 0.0174,0.6579 ± 0.0305,0.4770 ± 0.0290,0.5527 ± 0.0327,0.5102 ± 0.0300,0.6614 ± 0.0208,0.5502 ± 0.0227,0.2740 ± 0.0115,0.3173 ± 0.0131,0.2935 ± 0.0122,0.6408 ± 0.0182,0.4737 ± 0.0197,0.5502 ± 0.0227,0.5081 ± 0.0210,0.6478 ± 0.0167
extra_trees,0.5810 ± 0.0199,0.2902 ± 0.0102,0.3352 ± 0.0117,0.3107 ± 0.0110,0.6815 ± 0.0227,0.5028 ± 0.0176,0.5810 ± 0.0199,0.5384 ± 0.0188,0.6909 ± 0.0246,0.5763 ± 0.0161,0.2877 ± 0.0079,0.3332 ± 0.0092,0.3087 ± 0.0085,0.6623 ± 0.0152,0.4975 ± 0.0137,0.5763 ± 0.0161,0.5339 ± 0.0148,0.6724 ± 0.0148
xgboost,0.5802 ± 0.0307,0.3682 ± 0.1561,0.3426 ± 0.0233,0.3274 ± 0.0305,0.6726 ± 0.0282,0.5322 ± 0.0512,0.5802 ± 0.0307,0.5442 ± 0.0274,0.6898 ± 0.0210,0.5662 ± 0.0133,0.3524 ± 0.0780,0.3324 ± 0.0084,0.3159 ± 0.0103,0.6447 ± 0.0240,0.5158 ± 0.0145,0.5662 ± 0.0133,0.5311 ± 0.0119,0.6722 ± 0.0150
adaboost,0.5535 ± 0.0285,0.3215 ± 0.1128,0.3232 ± 0.0251,0.3041 ± 0.0346,0.6197 ± 0.0252,0.4942 ± 0.0398,0.5535 ± 0.0285,0.5131 ± 0.0291,0.6050 ± 0.0281,0.5425 ± 0.0138,0.3489 ± 0.0836,0.3211 ± 0.0101,0.3067 ± 0.0140,0.6100 ± 0.0272,0.4854 ± 0.0178,0.5425 ± 0.0138,0.5068 ± 0.0133,0.6004 ± 0.0107
svm,0.5590 ± 0.0246,0.2790 ± 0.0127,0.3221 ± 0.0142,0.2983 ± 0.0131,0.6579 ± 0.0225,0.4832 ± 0.0216,0.5590 ± 0.0246,0.5171 ± 0.0225,0.6592 ± 0.0178,0.5431 ± 0.0147,0.2705 ± 0.0076,0.3135 ± 0.0087,0.2903 ± 0.0082,0.6425 ± 0.0248,0.4679 ± 0.0131,0.5431 ± 0.0147,0.5023 ± 0.0140,0.6463 ± 0.0179
logistic_regression,0.4626 ± 0.0295,0.3041 ± 0.0169,0.3037 ± 0.0171,0.3019 ± 0.0162,0.5859 ± 0.0260,0.4751 ± 0.0211,0.4626 ± 0.0295,0.4668 ± 0.0238,0.6062 ± 0.0205,0.4533 ± 0.0279,0.3211 ± 0.0386,0.3008 ± 0.0308,0.3049 ± 0.0317,0.5610 ± 0.0291,0.4632 ± 0.0273,0.4533 ± 0.0279,0.4572 ± 0.0273,0.5891 ± 0.0246
knn,0.4242 ± 0.0271,0.2427 ± 0.0263,0.2512 ± 0.0130,0.1948 ± 0.0138,0.5138 ± 0.0156,0.4052 ± 0.0367,0.4242 ± 0.0271,0.3275 ± 0.0130,0.5368 ± 0.0249,0.4310 ± 0.0350,0.2847 ± 0.0274,0.2600 ± 0.0125,0.2101 ± 0.0130,0.5165 ± 0.0172,0.4596 ± 0.0261,0.4310 ± 0.0350,0.3443 ± 0.0189,0.5372 ± 0.0229
gaussian_nb,0.0967 ± 0.0293,0.2299 ± 0.0465,0.2032 ± 0.0740,0.0942 ± 0.0210,0.4940 ± 0.0437,0.3522 ± 0.0767,0.0967 ± 0.0293,0.0918 ± 0.0199,0.5350 ± 0.0201,0.1002 ± 0.0186,0.2272 ± 0.0302,0.2072 ± 0.0450,0.0973 ± 0.0148,0.4922 ± 0.0268,0.3493 ± 0.0509,0.1002 ± 0.0186,0.0993 ± 0.0197,0.5271 ± 0.0157
