,Model,Feature_Selection,Optimal_n_features_mean_CV,Best_selector_score_mean_CV,Optimal_n_features_last_training_split,F1_macro_Testing,F1_macro_CV,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,SULOV + RecursiveXGBoostSelector,88.0400 ± 28.2738,0.7635 ± 0.0300,133,0.6409 ± 0.0788,0.6536 ± 0.0430,0.8432 ± 0.0340,0.6425 ± 0.0759,0.6498 ± 0.0978,0.7767 ± 0.0532,0.8434 ± 0.0331,0.8432 ± 0.0340,0.8428 ± 0.0332,0.8553 ± 0.0316,0.8377 ± 0.0154,0.6526 ± 0.0424,0.6551 ± 0.0438,0.7776 ± 0.0239,0.8392 ± 0.0134,0.8377 ± 0.0154,0.8384 ± 0.0143,0.8502 ± 0.0132
1,random_forest,SULOV + RecursiveXGBoostSelector,88.0400 ± 28.2738,0.7635 ± 0.0300,133,0.6211 ± 0.0333,0.6263 ± 0.0183,0.8974 ± 0.0069,0.6321 ± 0.0755,0.6240 ± 0.0216,0.9448 ± 0.0106,0.8780 ± 0.0103,0.8974 ± 0.0069,0.8867 ± 0.0071,0.9559 ± 0.0068,0.8950 ± 0.0042,0.7966 ± 0.1817,0.6252 ± 0.0093,0.9459 ± 0.0075,0.8865 ± 0.0149,0.8950 ± 0.0042,0.8833 ± 0.0040,0.9596 ± 0.0036
2,extra_trees,SULOV + RecursiveXGBoostSelector,88.0400 ± 28.2738,0.7635 ± 0.0300,133,0.6418 ± 0.0437,0.6253 ± 0.0175,0.9011 ± 0.0069,0.7344 ± 0.1808,0.6358 ± 0.0243,0.9506 ± 0.0077,0.8893 ± 0.0133,0.9011 ± 0.0069,0.8914 ± 0.0060,0.9569 ± 0.0113,0.8947 ± 0.0040,0.6864 ± 0.0843,0.6252 ± 0.0094,0.9541 ± 0.0058,0.8785 ± 0.0080,0.8947 ± 0.0040,0.8837 ± 0.0038,0.9597 ± 0.0037
3,xgboost,SULOV + RecursiveXGBoostSelector,88.0400 ± 28.2738,0.7635 ± 0.0300,133,0.7219 ± 0.0560,0.6837 ± 0.0371,0.8996 ± 0.0092,0.8348 ± 0.1004,0.6975 ± 0.0549,0.9344 ± 0.0265,0.8973 ± 0.0114,0.8996 ± 0.0092,0.8948 ± 0.0080,0.9548 ± 0.0108,0.8868 ± 0.0053,0.7458 ± 0.0341,0.6653 ± 0.0320,0.9347 ± 0.0095,0.8791 ± 0.0077,0.8868 ± 0.0053,0.8809 ± 0.0067,0.9542 ± 0.0045
4,adaboost,SULOV + RecursiveXGBoostSelector,88.0400 ± 28.2738,0.7635 ± 0.0300,133,0.6723 ± 0.0463,0.7157 ± 0.0342,0.8740 ± 0.0218,0.6964 ± 0.0744,0.6610 ± 0.0382,0.9179 ± 0.0105,0.8719 ± 0.0209,0.8740 ± 0.0218,0.8717 ± 0.0219,0.9241 ± 0.0086,0.8755 ± 0.0073,0.7445 ± 0.0643,0.7016 ± 0.0258,0.9235 ± 0.0067,0.8744 ± 0.0076,0.8755 ± 0.0073,0.8740 ± 0.0066,0.9285 ± 0.0069
5,svm,SULOV + RecursiveXGBoostSelector,88.0400 ± 28.2738,0.7635 ± 0.0300,133,0.6277 ± 0.0343,0.6124 ± 0.0154,0.9048 ± 0.0093,0.6698 ± 0.1466,0.6301 ± 0.0187,0.9456 ± 0.0091,0.8882 ± 0.0117,0.9048 ± 0.0093,0.8936 ± 0.0085,0.9557 ± 0.0077,0.8950 ± 0.0030,0.6631 ± 0.1489,0.6195 ± 0.0078,0.9503 ± 0.0051,0.8764 ± 0.0125,0.8950 ± 0.0030,0.8822 ± 0.0031,0.9584 ± 0.0049
6,logistic_regression,SULOV + RecursiveXGBoostSelector,88.0400 ± 28.2738,0.7635 ± 0.0300,133,0.7170 ± 0.0374,0.7223 ± 0.0299,0.8828 ± 0.0176,0.7090 ± 0.0401,0.7514 ± 0.0676,0.9381 ± 0.0142,0.8971 ± 0.0014,0.8828 ± 0.0176,0.8865 ± 0.0128,0.9458 ± 0.0060,0.8792 ± 0.0072,0.7124 ± 0.0266,0.7423 ± 0.0405,0.9352 ± 0.0058,0.8872 ± 0.0100,0.8792 ± 0.0072,0.8808 ± 0.0076,0.9479 ± 0.0055
7,knn,SULOV + RecursiveXGBoostSelector,88.0400 ± 28.2738,0.7635 ± 0.0300,133,0.5746 ± 0.0459,0.5952 ± 0.0129,0.8264 ± 0.0261,0.6289 ± 0.1541,0.5808 ± 0.0306,0.8327 ± 0.0388,0.8329 ± 0.0254,0.8264 ± 0.0261,0.8151 ± 0.0282,0.9004 ± 0.0074,0.8409 ± 0.0121,0.7338 ± 0.1161,0.5965 ± 0.0076,0.8402 ± 0.0106,0.8459 ± 0.0122,0.8409 ± 0.0121,0.8291 ± 0.0118,0.9053 ± 0.0082
8,gaussian_nb,SULOV + RecursiveXGBoostSelector,88.0400 ± 28.2738,0.7635 ± 0.0300,133,0.6584 ± 0.0259,0.6316 ± 0.0246,0.8066 ± 0.0262,0.6615 ± 0.0151,0.8200 ± 0.0415,0.9161 ± 0.0316,0.8940 ± 0.0115,0.8066 ± 0.0262,0.8341 ± 0.0176,0.9338 ± 0.0116,0.7827 ± 0.0348,0.6407 ± 0.0083,0.7523 ± 0.0195,0.8893 ± 0.0164,0.8716 ± 0.0070,0.7827 ± 0.0348,0.8135 ± 0.0250,0.9189 ± 0.0075
