,Model,Feature_Selection,Optimal_n_features_mean_CV,Best_selector_score_mean_CV,Optimal_n_features_last_training_split,F1_macro_Testing,F1_macro_CV,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,SULOV + RecursiveExtraTreesSelector,114.3200 ± 45.7678,0.6740 ± 0.0254,60,0.6479 ± 0.0529,0.6599 ± 0.0463,0.8278 ± 0.0078,0.6453 ± 0.0515,0.6574 ± 0.0657,0.7759 ± 0.0339,0.8318 ± 0.0074,0.8278 ± 0.0078,0.8291 ± 0.0069,0.8416 ± 0.0066,0.8381 ± 0.0232,0.6556 ± 0.0449,0.6660 ± 0.0471,0.7836 ± 0.0272,0.8418 ± 0.0199,0.8381 ± 0.0232,0.8398 ± 0.0216,0.8520 ± 0.0204
1,random_forest,SULOV + RecursiveExtraTreesSelector,114.3200 ± 45.7678,0.6740 ± 0.0254,60,0.6222 ± 0.0412,0.6120 ± 0.0164,0.8967 ± 0.0084,0.6643 ± 0.1533,0.6238 ± 0.0253,0.9319 ± 0.0120,0.8793 ± 0.0188,0.8967 ± 0.0084,0.8858 ± 0.0098,0.9530 ± 0.0060,0.8943 ± 0.0041,0.6631 ± 0.1498,0.6177 ± 0.0089,0.9450 ± 0.0088,0.8746 ± 0.0141,0.8943 ± 0.0041,0.8819 ± 0.0044,0.9599 ± 0.0022
2,extra_trees,SULOV + RecursiveExtraTreesSelector,114.3200 ± 45.7678,0.6740 ± 0.0254,60,0.6536 ± 0.0464,0.6443 ± 0.0308,0.8967 ± 0.0114,0.7654 ± 0.1671,0.6419 ± 0.0295,0.9387 ± 0.0130,0.8886 ± 0.0179,0.8967 ± 0.0114,0.8881 ± 0.0119,0.9557 ± 0.0057,0.8969 ± 0.0038,0.7720 ± 0.1192,0.6369 ± 0.0194,0.9536 ± 0.0074,0.8871 ± 0.0112,0.8969 ± 0.0038,0.8867 ± 0.0040,0.9598 ± 0.0021
3,xgboost,SULOV + RecursiveExtraTreesSelector,114.3200 ± 45.7678,0.6740 ± 0.0254,60,0.6592 ± 0.0346,0.7057 ± 0.0562,0.8872 ± 0.0066,0.7275 ± 0.0754,0.6444 ± 0.0236,0.9375 ± 0.0182,0.8793 ± 0.0088,0.8872 ± 0.0066,0.8808 ± 0.0066,0.9544 ± 0.0037,0.8890 ± 0.0073,0.7714 ± 0.0590,0.6840 ± 0.0492,0.9318 ± 0.0079,0.8828 ± 0.0113,0.8890 ± 0.0073,0.8837 ± 0.0090,0.9531 ± 0.0027
4,adaboost,SULOV + RecursiveExtraTreesSelector,114.3200 ± 45.7678,0.6740 ± 0.0254,60,0.6321 ± 0.0483,0.7384 ± 0.0250,0.8527 ± 0.0216,0.6407 ± 0.0573,0.6283 ± 0.0429,0.9122 ± 0.0050,0.8530 ± 0.0191,0.8527 ± 0.0216,0.8518 ± 0.0203,0.9184 ± 0.0062,0.8796 ± 0.0042,0.7595 ± 0.0274,0.7255 ± 0.0281,0.9231 ± 0.0083,0.8779 ± 0.0042,0.8796 ± 0.0042,0.8781 ± 0.0041,0.9277 ± 0.0084
5,svm,SULOV + RecursiveExtraTreesSelector,114.3200 ± 45.7678,0.6740 ± 0.0254,60,0.6113 ± 0.0035,0.6079 ± 0.0040,0.9048 ± 0.0052,0.6031 ± 0.0033,0.6209 ± 0.0036,0.9416 ± 0.0103,0.8828 ± 0.0050,0.9048 ± 0.0052,0.8927 ± 0.0051,0.9545 ± 0.0088,0.8984 ± 0.0059,0.5987 ± 0.0040,0.6179 ± 0.0042,0.9445 ± 0.0089,0.8734 ± 0.0059,0.8984 ± 0.0059,0.8853 ± 0.0058,0.9566 ± 0.0045
6,logistic_regression,SULOV + RecursiveExtraTreesSelector,114.3200 ± 45.7678,0.6740 ± 0.0254,60,0.7091 ± 0.0493,0.7166 ± 0.0468,0.8813 ± 0.0182,0.6924 ± 0.0383,0.7598 ± 0.0987,0.9452 ± 0.0093,0.9003 ± 0.0172,0.8813 ± 0.0182,0.8869 ± 0.0154,0.9519 ± 0.0088,0.8805 ± 0.0091,0.7033 ± 0.0384,0.7393 ± 0.0637,0.9350 ± 0.0126,0.8876 ± 0.0117,0.8805 ± 0.0091,0.8823 ± 0.0096,0.9492 ± 0.0080
7,knn,SULOV + RecursiveExtraTreesSelector,114.3200 ± 45.7678,0.6740 ± 0.0254,60,0.6089 ± 0.0405,0.6008 ± 0.0120,0.8791 ± 0.0166,0.6226 ± 0.0821,0.6143 ± 0.0286,0.8133 ± 0.0147,0.8673 ± 0.0195,0.8791 ± 0.0166,0.8686 ± 0.0171,0.9209 ± 0.0067,0.8588 ± 0.0162,0.6994 ± 0.1306,0.6045 ± 0.0071,0.8402 ± 0.0239,0.8559 ± 0.0056,0.8588 ± 0.0162,0.8470 ± 0.0159,0.9132 ± 0.0073
8,gaussian_nb,SULOV + RecursiveExtraTreesSelector,114.3200 ± 45.7678,0.6740 ± 0.0254,60,0.6772 ± 0.0156,0.7090 ± 0.0197,0.8418 ± 0.0102,0.6642 ± 0.0133,0.7692 ± 0.0494,0.9315 ± 0.0073,0.8844 ± 0.0144,0.8418 ± 0.0102,0.8572 ± 0.0070,0.9358 ± 0.0099,0.8544 ± 0.0117,0.6866 ± 0.0148,0.8020 ± 0.0234,0.9178 ± 0.0168,0.8884 ± 0.0054,0.8544 ± 0.0117,0.8668 ± 0.0094,0.9278 ± 0.0042
