Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,spearman_corr,0.6454 ± 0.0244,0.6546 ± 0.0263,0.8385 ± 0.0190,0.6540 ± 0.0246,0.6698 ± 0.0513,0.7860 ± 0.0269,0.8439 ± 0.0177,0.8385 ± 0.0190,0.8400 ± 0.0172,0.8533 ± 0.0172,0.8318 ± 0.0138,0.6465 ± 0.0265,0.6456 ± 0.0230,0.7708 ± 0.0137,0.8330 ± 0.0113,0.8318 ± 0.0138,0.8322 ± 0.0125,0.8439 ± 0.0116
decision_tree,spearman_sulov,0.6317 ± 0.0276,0.6278 ± 0.0424,0.8344 ± 0.0170,0.6257 ± 0.0396,0.6356 ± 0.0495,0.7678 ± 0.0261,0.8397 ± 0.0141,0.8344 ± 0.0170,0.8360 ± 0.0149,0.8500 ± 0.0146,0.8261 ± 0.0130,0.6329 ± 0.0285,0.6315 ± 0.0283,0.7618 ± 0.0145,0.8251 ± 0.0122,0.8261 ± 0.0130,0.8255 ± 0.0126,0.8380 ± 0.0130
decision_tree,mutual_info,0.6429 ± 0.0255,0.6305 ± 0.0260,0.8377 ± 0.0171,0.6383 ± 0.0326,0.6282 ± 0.0242,0.7639 ± 0.0157,0.8372 ± 0.0145,0.8377 ± 0.0171,0.8369 ± 0.0154,0.8496 ± 0.0150,0.8311 ± 0.0141,0.6418 ± 0.0228,0.6472 ± 0.0332,0.7716 ± 0.0142,0.8320 ± 0.0109,0.8311 ± 0.0141,0.8313 ± 0.0124,0.8440 ± 0.0122
decision_tree,chi2,0.6375 ± 0.0263,0.6015 ± 0.0456,0.8245 ± 0.0163,0.5994 ± 0.0462,0.6099 ± 0.0531,0.7507 ± 0.0293,0.8246 ± 0.0171,0.8245 ± 0.0163,0.8237 ± 0.0158,0.8372 ± 0.0152,0.8352 ± 0.0106,0.6425 ± 0.0307,0.6359 ± 0.0243,0.7670 ± 0.0139,0.8350 ± 0.0101,0.8352 ± 0.0106,0.8349 ± 0.0100,0.8471 ± 0.0093
decision_tree,chi2_mi_union_topk,0.6518 ± 0.0253,0.6581 ± 0.0433,0.8443 ± 0.0187,0.6605 ± 0.0430,0.6644 ± 0.0520,0.7811 ± 0.0288,0.8446 ± 0.0189,0.8443 ± 0.0187,0.8437 ± 0.0181,0.8513 ± 0.0178,0.8340 ± 0.0100,0.6562 ± 0.0189,0.6502 ± 0.0302,0.7709 ± 0.0172,0.8334 ± 0.0118,0.8340 ± 0.0100,0.8333 ± 0.0110,0.8408 ± 0.0112
random_forest,spearman_corr,0.6110 ± 0.0115,0.6261 ± 0.0362,0.9022 ± 0.0112,0.6683 ± 0.1414,0.6278 ± 0.0211,0.9378 ± 0.0206,0.8852 ± 0.0158,0.9022 ± 0.0112,0.8913 ± 0.0113,0.9596 ± 0.0072,0.8978 ± 0.0053,0.6319 ± 0.1054,0.6185 ± 0.0066,0.9493 ± 0.0080,0.8752 ± 0.0103,0.8978 ± 0.0053,0.8851 ± 0.0053,0.9607 ± 0.0022
random_forest,spearman_sulov,0.6076 ± 0.0032,0.6173 ± 0.0255,0.9015 ± 0.0078,0.6342 ± 0.1045,0.6228 ± 0.0140,0.9389 ± 0.0159,0.8817 ± 0.0096,0.9015 ± 0.0078,0.8900 ± 0.0076,0.9581 ± 0.0049,0.8980 ± 0.0047,0.5987 ± 0.0031,0.6169 ± 0.0033,0.9500 ± 0.0058,0.8726 ± 0.0045,0.8980 ± 0.0047,0.8850 ± 0.0046,0.9609 ± 0.0027
random_forest,mutual_info,0.6231 ± 0.0246,0.6422 ± 0.0459,0.9018 ± 0.0102,0.7346 ± 0.1752,0.6366 ± 0.0275,0.9354 ± 0.0241,0.8900 ± 0.0198,0.9018 ± 0.0102,0.8919 ± 0.0112,0.9584 ± 0.0079,0.8965 ± 0.0061,0.7035 ± 0.1462,0.6246 ± 0.0143,0.9534 ± 0.0088,0.8803 ± 0.0157,0.8965 ± 0.0061,0.8848 ± 0.0067,0.9607 ± 0.0043
random_forest,chi2,0.6321 ± 0.0459,0.6343 ± 0.0398,0.9022 ± 0.0067,0.7017 ± 0.1608,0.6323 ± 0.0223,0.9416 ± 0.0152,0.8880 ± 0.0137,0.9022 ± 0.0067,0.8918 ± 0.0070,0.9593 ± 0.0076,0.8970 ± 0.0070,0.6983 ± 0.1636,0.6301 ± 0.0278,0.9484 ± 0.0077,0.8804 ± 0.0183,0.8970 ± 0.0070,0.8858 ± 0.0086,0.9594 ± 0.0038
random_forest,chi2_mi_union_topk,0.6412 ± 0.0438,0.6653 ± 0.0546,0.9026 ± 0.0109,0.8017 ± 0.1750,0.6508 ± 0.0343,0.9286 ± 0.0228,0.8960 ± 0.0204,0.9026 ± 0.0109,0.8936 ± 0.0120,0.9541 ± 0.0074,0.8981 ± 0.0062,0.7074 ± 0.1421,0.6363 ± 0.0254,0.9474 ± 0.0142,0.8825 ± 0.0137,0.8981 ± 0.0062,0.8874 ± 0.0067,0.9582 ± 0.0044
extra_trees,spearman_corr,0.6319 ± 0.0231,0.6317 ± 0.0373,0.8993 ± 0.0117,0.6837 ± 0.1393,0.6305 ± 0.0219,0.9469 ± 0.0125,0.8850 ± 0.0135,0.8993 ± 0.0117,0.8893 ± 0.0112,0.9614 ± 0.0054,0.8992 ± 0.0054,0.7445 ± 0.1469,0.6301 ± 0.0130,0.9546 ± 0.0070,0.8870 ± 0.0142,0.8992 ± 0.0054,0.8881 ± 0.0054,0.9626 ± 0.0032
extra_trees,spearman_sulov,0.6332 ± 0.0307,0.6336 ± 0.0430,0.9007 ± 0.0130,0.7012 ± 0.1635,0.6314 ± 0.0264,0.9518 ± 0.0100,0.8874 ± 0.0198,0.9007 ± 0.0130,0.8908 ± 0.0133,0.9614 ± 0.0074,0.8973 ± 0.0061,0.7102 ± 0.1391,0.6305 ± 0.0176,0.9558 ± 0.0064,0.8827 ± 0.0138,0.8973 ± 0.0061,0.8866 ± 0.0065,0.9621 ± 0.0029
extra_trees,mutual_info,0.6569 ± 0.0245,0.6705 ± 0.0493,0.9011 ± 0.0108,0.7960 ± 0.1580,0.6540 ± 0.0311,0.9534 ± 0.0068,0.8950 ± 0.0183,0.9011 ± 0.0108,0.8933 ± 0.0108,0.9615 ± 0.0068,0.8969 ± 0.0059,0.7853 ± 0.0889,0.6439 ± 0.0146,0.9581 ± 0.0057,0.8889 ± 0.0094,0.8969 ± 0.0059,0.8878 ± 0.0057,0.9619 ± 0.0027
extra_trees,chi2,0.6577 ± 0.0315,0.6531 ± 0.0486,0.9011 ± 0.0106,0.7351 ± 0.1525,0.6450 ± 0.0331,0.9501 ± 0.0137,0.8905 ± 0.0154,0.9011 ± 0.0106,0.8923 ± 0.0110,0.9601 ± 0.0077,0.8945 ± 0.0066,0.7715 ± 0.0805,0.6440 ± 0.0202,0.9595 ± 0.0052,0.8856 ± 0.0105,0.8945 ± 0.0066,0.8856 ± 0.0070,0.9612 ± 0.0026
extra_trees,chi2_mi_union_topk,0.6597 ± 0.0385,0.6633 ± 0.0401,0.8949 ± 0.0108,0.7482 ± 0.1240,0.6497 ± 0.0249,0.9435 ± 0.0188,0.8865 ± 0.0127,0.8949 ± 0.0108,0.8873 ± 0.0096,0.9563 ± 0.0089,0.8918 ± 0.0056,0.7485 ± 0.0818,0.6458 ± 0.0253,0.9535 ± 0.0075,0.8820 ± 0.0089,0.8918 ± 0.0056,0.8835 ± 0.0062,0.9578 ± 0.0035
xgboost,spearman_corr,0.6910 ± 0.0274,0.6916 ± 0.0504,0.8938 ± 0.0137,0.7900 ± 0.0985,0.6719 ± 0.0422,0.9296 ± 0.0204,0.8905 ± 0.0136,0.8938 ± 0.0137,0.8883 ± 0.0143,0.9541 ± 0.0050,0.8890 ± 0.0056,0.7613 ± 0.0434,0.6702 ± 0.0216,0.9359 ± 0.0099,0.8824 ± 0.0056,0.8890 ± 0.0056,0.8834 ± 0.0052,0.9547 ± 0.0038
xgboost,spearman_sulov,0.7036 ± 0.0468,0.6993 ± 0.0480,0.8949 ± 0.0123,0.7859 ± 0.0925,0.6815 ± 0.0447,0.9320 ± 0.0211,0.8912 ± 0.0125,0.8949 ± 0.0123,0.8897 ± 0.0126,0.9553 ± 0.0054,0.8896 ± 0.0081,0.7855 ± 0.0862,0.6793 ± 0.0363,0.9399 ± 0.0090,0.8844 ± 0.0108,0.8896 ± 0.0081,0.8844 ± 0.0087,0.9543 ± 0.0033
xgboost,mutual_info,0.7075 ± 0.0322,0.7144 ± 0.0563,0.8963 ± 0.0129,0.7920 ± 0.0989,0.6916 ± 0.0472,0.9198 ± 0.0255,0.8925 ± 0.0155,0.8963 ± 0.0129,0.8916 ± 0.0142,0.9523 ± 0.0054,0.8899 ± 0.0064,0.7782 ± 0.0581,0.6830 ± 0.0235,0.9392 ± 0.0106,0.8844 ± 0.0072,0.8899 ± 0.0064,0.8850 ± 0.0060,0.9539 ± 0.0031
xgboost,chi2,0.7055 ± 0.0331,0.7243 ± 0.0563,0.8985 ± 0.0174,0.8134 ± 0.0822,0.6976 ± 0.0507,0.9212 ± 0.0211,0.8963 ± 0.0194,0.8985 ± 0.0174,0.8940 ± 0.0182,0.9514 ± 0.0055,0.8888 ± 0.0058,0.7689 ± 0.0495,0.6822 ± 0.0259,0.9377 ± 0.0099,0.8830 ± 0.0075,0.8888 ± 0.0058,0.8841 ± 0.0065,0.9529 ± 0.0028
xgboost,chi2_mi_union_topk,0.7308 ± 0.0312,0.7148 ± 0.0602,0.8905 ± 0.0142,0.7993 ± 0.1115,0.6965 ± 0.0578,0.9092 ± 0.0273,0.8884 ± 0.0174,0.8905 ± 0.0142,0.8862 ± 0.0152,0.9409 ± 0.0102,0.8835 ± 0.0094,0.7850 ± 0.0504,0.7061 ± 0.0272,0.9321 ± 0.0114,0.8801 ± 0.0100,0.8835 ± 0.0094,0.8804 ± 0.0092,0.9466 ± 0.0044
