Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
xgboost,chi2_mi_union_topk,0.7093 ± 0.0423,0.7068 ± 0.0623,0.8879 ± 0.0158,0.7560 ± 0.0932,0.6902 ± 0.0567,0.9166 ± 0.0263,0.8836 ± 0.0192,0.8879 ± 0.0158,0.8838 ± 0.0168,0.9438 ± 0.0095,0.8841 ± 0.0099,0.7617 ± 0.0626,0.6875 ± 0.0352,0.9325 ± 0.0108,0.8791 ± 0.0124,0.8841 ± 0.0099,0.8801 ± 0.0105,0.9477 ± 0.0036
adaboost,spearman_corr,0.7089 ± 0.0385,0.6959 ± 0.0514,0.8747 ± 0.0162,0.7172 ± 0.0894,0.6940 ± 0.0493,0.9110 ± 0.0095,0.8761 ± 0.0148,0.8747 ± 0.0162,0.8743 ± 0.0148,0.9217 ± 0.0152,0.8726 ± 0.0059,0.7299 ± 0.0484,0.6962 ± 0.0341,0.9165 ± 0.0098,0.8699 ± 0.0074,0.8726 ± 0.0059,0.8708 ± 0.0066,0.9228 ± 0.0070
adaboost,spearman_sulov,0.7158 ± 0.0276,0.6915 ± 0.0385,0.8766 ± 0.0177,0.7276 ± 0.0902,0.6955 ± 0.0547,0.9103 ± 0.0078,0.8806 ± 0.0152,0.8766 ± 0.0177,0.8764 ± 0.0153,0.9198 ± 0.0110,0.8708 ± 0.0059,0.7364 ± 0.0448,0.7053 ± 0.0267,0.9161 ± 0.0100,0.8698 ± 0.0048,0.8708 ± 0.0059,0.8696 ± 0.0053,0.9215 ± 0.0098
adaboost,mutual_info,0.7193 ± 0.0300,0.6934 ± 0.0298,0.8733 ± 0.0151,0.7133 ± 0.0446,0.6928 ± 0.0431,0.9132 ± 0.0119,0.8734 ± 0.0127,0.8733 ± 0.0151,0.8721 ± 0.0136,0.9224 ± 0.0139,0.8741 ± 0.0065,0.7435 ± 0.0405,0.7060 ± 0.0312,0.9169 ± 0.0128,0.8721 ± 0.0076,0.8741 ± 0.0065,0.8724 ± 0.0071,0.9213 ± 0.0079
adaboost,chi2,0.7218 ± 0.0240,0.7043 ± 0.0439,0.8791 ± 0.0234,0.7301 ± 0.0828,0.7059 ± 0.0460,0.9139 ± 0.0082,0.8828 ± 0.0196,0.8791 ± 0.0234,0.8792 ± 0.0216,0.9240 ± 0.0159,0.8725 ± 0.0077,0.7403 ± 0.0305,0.7119 ± 0.0304,0.9184 ± 0.0112,0.8709 ± 0.0083,0.8725 ± 0.0077,0.8712 ± 0.0080,0.9218 ± 0.0102
adaboost,chi2_mi_union_topk,0.7233 ± 0.0259,0.6845 ± 0.0329,0.8711 ± 0.0286,0.6993 ± 0.0627,0.6917 ± 0.0319,0.9153 ± 0.0135,0.8763 ± 0.0216,0.8711 ± 0.0286,0.8723 ± 0.0247,0.9251 ± 0.0146,0.8753 ± 0.0072,0.7340 ± 0.0334,0.7176 ± 0.0263,0.9190 ± 0.0148,0.8749 ± 0.0072,0.8753 ± 0.0072,0.8748 ± 0.0072,0.9241 ± 0.0110
svm,spearman_corr,0.6022 ± 0.0042,0.5983 ± 0.0085,0.8857 ± 0.0125,0.5914 ± 0.0079,0.6090 ± 0.0082,0.9393 ± 0.0160,0.8670 ± 0.0111,0.8857 ± 0.0125,0.8736 ± 0.0125,0.9538 ± 0.0067,0.8901 ± 0.0062,0.5936 ± 0.0040,0.6133 ± 0.0041,0.9456 ± 0.0095,0.8672 ± 0.0057,0.8901 ± 0.0062,0.8769 ± 0.0062,0.9558 ± 0.0043
svm,spearman_sulov,0.6064 ± 0.0044,0.6050 ± 0.0078,0.8956 ± 0.0115,0.5976 ± 0.0072,0.6154 ± 0.0074,0.9407 ± 0.0171,0.8756 ± 0.0100,0.8956 ± 0.0115,0.8835 ± 0.0115,0.9553 ± 0.0072,0.8962 ± 0.0065,0.5974 ± 0.0043,0.6171 ± 0.0043,0.9485 ± 0.0077,0.8722 ± 0.0060,0.8962 ± 0.0065,0.8830 ± 0.0064,0.9575 ± 0.0036
svm,mutual_info,0.6112 ± 0.0043,0.6063 ± 0.0097,0.8974 ± 0.0143,0.5984 ± 0.0094,0.6162 ± 0.0096,0.9463 ± 0.0110,0.8762 ± 0.0134,0.8974 ± 0.0143,0.8854 ± 0.0142,0.9557 ± 0.0099,0.9033 ± 0.0063,0.6020 ± 0.0042,0.6213 ± 0.0042,0.9533 ± 0.0064,0.8781 ± 0.0060,0.9033 ± 0.0063,0.8901 ± 0.0062,0.9605 ± 0.0033
svm,chi2,0.6079 ± 0.0039,0.6095 ± 0.0085,0.9022 ± 0.0126,0.6015 ± 0.0084,0.6192 ± 0.0085,0.9443 ± 0.0156,0.8805 ± 0.0121,0.9022 ± 0.0126,0.8902 ± 0.0124,0.9561 ± 0.0096,0.8984 ± 0.0058,0.5988 ± 0.0039,0.6177 ± 0.0039,0.9498 ± 0.0082,0.8732 ± 0.0056,0.8984 ± 0.0058,0.8854 ± 0.0057,0.9580 ± 0.0037
