Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,spearman_corr,0.5186 ± 0.0227,0.4988 ± 0.0426,0.7147 ± 0.0286,0.4993 ± 0.0411,0.5020 ± 0.0438,0.6989 ± 0.0252,0.7298 ± 0.0220,0.7147 ± 0.0286,0.7209 ± 0.0251,0.7918 ± 0.0191,0.7272 ± 0.0193,0.5195 ± 0.0225,0.5199 ± 0.0240,0.7098 ± 0.0153,0.7365 ± 0.0167,0.7272 ± 0.0193,0.7315 ± 0.0178,0.7994 ± 0.0142
decision_tree,mutual_info,0.5160 ± 0.0287,0.5184 ± 0.0419,0.7392 ± 0.0165,0.5302 ± 0.0589,0.5162 ± 0.0380,0.7096 ± 0.0206,0.7431 ± 0.0155,0.7392 ± 0.0165,0.7400 ± 0.0143,0.8061 ± 0.0112,0.7179 ± 0.0096,0.5156 ± 0.0272,0.5194 ± 0.0312,0.7084 ± 0.0164,0.7343 ± 0.0092,0.7179 ± 0.0096,0.7254 ± 0.0087,0.7949 ± 0.0063
decision_tree,spearman_sulov,0.5084 ± 0.0285,0.5322 ± 0.0355,0.7385 ± 0.0234,0.5331 ± 0.0316,0.5362 ± 0.0439,0.7199 ± 0.0250,0.7457 ± 0.0166,0.7385 ± 0.0234,0.7411 ± 0.0190,0.8073 ± 0.0157,0.7192 ± 0.0218,0.5083 ± 0.0278,0.5107 ± 0.0301,0.7036 ± 0.0174,0.7284 ± 0.0151,0.7192 ± 0.0218,0.7234 ± 0.0184,0.7929 ± 0.0140
decision_tree,chi2,0.5152 ± 0.0221,0.5069 ± 0.0360,0.7311 ± 0.0205,0.5117 ± 0.0422,0.5054 ± 0.0313,0.7030 ± 0.0165,0.7363 ± 0.0098,0.7311 ± 0.0205,0.7329 ± 0.0140,0.8013 ± 0.0113,0.7182 ± 0.0168,0.5145 ± 0.0198,0.5197 ± 0.0255,0.7088 ± 0.0141,0.7360 ± 0.0161,0.7182 ± 0.0168,0.7264 ± 0.0162,0.7957 ± 0.0130
decision_tree,chi2_mi_union_topk,0.5277 ± 0.0281,0.5386 ± 0.0350,0.7333 ± 0.0340,0.5407 ± 0.0365,0.5472 ± 0.0391,0.7239 ± 0.0226,0.7493 ± 0.0197,0.7333 ± 0.0340,0.7393 ± 0.0268,0.8038 ± 0.0199,0.7230 ± 0.0180,0.5272 ± 0.0286,0.5309 ± 0.0274,0.7133 ± 0.0163,0.7392 ± 0.0153,0.7230 ± 0.0180,0.7305 ± 0.0165,0.7958 ± 0.0128
random_forest,spearman_corr,0.4711 ± 0.0173,0.4809 ± 0.0269,0.8399 ± 0.0113,0.6368 ± 0.1094,0.4993 ± 0.0159,0.8930 ± 0.0122,0.8145 ± 0.0408,0.8399 ± 0.0113,0.7888 ± 0.0125,0.9304 ± 0.0082,0.8327 ± 0.0062,0.6483 ± 0.1461,0.4930 ± 0.0098,0.8948 ± 0.0070,0.8034 ± 0.0408,0.8327 ± 0.0062,0.7793 ± 0.0085,0.9289 ± 0.0038
random_forest,mutual_info,0.4912 ± 0.0239,0.5060 ± 0.0284,0.8480 ± 0.0095,0.6992 ± 0.1236,0.5142 ± 0.0171,0.8896 ± 0.0158,0.8382 ± 0.0251,0.8480 ± 0.0095,0.8016 ± 0.0106,0.9294 ± 0.0075,0.8366 ± 0.0056,0.6543 ± 0.1157,0.5046 ± 0.0142,0.8963 ± 0.0082,0.8079 ± 0.0333,0.8366 ± 0.0056,0.7875 ± 0.0098,0.9296 ± 0.0041
random_forest,spearman_sulov,0.4681 ± 0.0147,0.4795 ± 0.0115,0.8414 ± 0.0091,0.6233 ± 0.0555,0.4987 ± 0.0071,0.8905 ± 0.0083,0.8185 ± 0.0275,0.8414 ± 0.0091,0.7914 ± 0.0087,0.9293 ± 0.0051,0.8329 ± 0.0057,0.6320 ± 0.1140,0.4916 ± 0.0082,0.8900 ± 0.0114,0.8029 ± 0.0380,0.8329 ± 0.0057,0.7789 ± 0.0074,0.9279 ± 0.0047
random_forest,chi2,0.4979 ± 0.0210,0.5002 ± 0.0271,0.8451 ± 0.0096,0.6835 ± 0.1130,0.5107 ± 0.0152,0.8903 ± 0.0127,0.8300 ± 0.0254,0.8451 ± 0.0096,0.7977 ± 0.0102,0.9271 ± 0.0079,0.8357 ± 0.0076,0.7160 ± 0.1134,0.5075 ± 0.0134,0.8917 ± 0.0087,0.8243 ± 0.0220,0.8357 ± 0.0076,0.7878 ± 0.0089,0.9278 ± 0.0043
random_forest,chi2_mi_union_topk,0.5243 ± 0.0353,0.5468 ± 0.0553,0.8458 ± 0.0085,0.6982 ± 0.1154,0.5401 ± 0.0369,0.8859 ± 0.0101,0.8193 ± 0.0208,0.8458 ± 0.0085,0.8058 ± 0.0109,0.9255 ± 0.0070,0.8365 ± 0.0068,0.7350 ± 0.1166,0.5231 ± 0.0236,0.8894 ± 0.0062,0.8183 ± 0.0223,0.8365 ± 0.0068,0.7939 ± 0.0079,0.9256 ± 0.0044
