,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,F1_macro_CV,Best_Params_Outer_Folds
decision_tree,0.7963 ± 0.0488,0.6572 ± 0.0360,0.6482 ± 0.0288,0.6457 ± 0.0334,0.8197 ± 0.0267,0.7891 ± 0.0211,0.7963 ± 0.0488,0.7891 ± 0.0338,0.8904 ± 0.0229,0.6674 ± 0.0224,"[OrderedDict({'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 11, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 20}), OrderedDict({'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 21, 'model__max_features': None, 'model__min_samples_leaf': 10, 'model__min_samples_split': 2}), OrderedDict({'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 28, 'model__max_features': None, 'model__min_samples_leaf': 10, 'model__min_samples_split': 4}), OrderedDict({'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 26, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 2}), OrderedDict({'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 7, 'model__min_samples_split': 16}), OrderedDict({'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 19, 'model__max_features': None, 'model__min_samples_leaf': 6, 'model__min_samples_split': 2}), OrderedDict({'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 17, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5}), OrderedDict({'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 19, 'model__max_features': None, 'model__min_samples_leaf': 8, 'model__min_samples_split': 18}), OrderedDict({'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 30, 'model__max_features': None, 'model__min_samples_leaf': 8, 'model__min_samples_split': 20}), OrderedDict({'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 3, 'model__min_samples_split': 4})]"
random_forest,0.8487 ± 0.0185,0.7147 ± 0.0286,0.6916 ± 0.0159,0.6938 ± 0.0182,0.8962 ± 0.0117,0.8303 ± 0.0130,0.8487 ± 0.0185,0.8358 ± 0.0132,0.9431 ± 0.0074,0.7113 ± 0.0088,"[OrderedDict({'model__bootstrap': True, 'model__class_weight': 'balanced_subsample', 'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 20, 'model__n_estimators': 431}), OrderedDict({'model__bootstrap': True, 'model__class_weight': 'balanced', 'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_leaf': 10, 'model__min_samples_split': 6, 'model__n_estimators': 728}), OrderedDict({'model__bootstrap': True, 'model__class_weight': 'balanced_subsample', 'model__max_depth': 7, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 10, 'model__n_estimators': 293}), OrderedDict({'model__bootstrap': True, 'model__class_weight': 'balanced', 'model__max_depth': 22, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 20, 'model__n_estimators': 518}), OrderedDict({'model__bootstrap': True, 'model__class_weight': 'balanced', 'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_leaf': 10, 'model__min_samples_split': 19, 'model__n_estimators': 255}), OrderedDict({'model__bootstrap': True, 'model__class_weight': 'balanced_subsample', 'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 6, 'model__min_samples_split': 20, 'model__n_estimators': 200}), OrderedDict({'model__bootstrap': True, 'model__class_weight': 'balanced_subsample', 'model__max_depth': 23, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 6, 'model__min_samples_split': 7, 'model__n_estimators': 388}), OrderedDict({'model__bootstrap': True, 'model__class_weight': 'balanced', 'model__max_depth': 27, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 16, 'model__n_estimators': 207}), OrderedDict({'model__bootstrap': True, 'model__class_weight': 'balanced_subsample', 'model__max_depth': 28, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 7, 'model__min_samples_split': 9, 'model__n_estimators': 411}), OrderedDict({'model__bootstrap': True, 'model__class_weight': 'balanced_subsample', 'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 9, 'model__min_samples_split': 20, 'model__n_estimators': 200})]"
extra_trees,0.8469 ± 0.0210,0.7226 ± 0.0312,0.6978 ± 0.0164,0.7010 ± 0.0186,0.8967 ± 0.0100,0.8343 ± 0.0102,0.8469 ± 0.0210,0.8368 ± 0.0134,0.9435 ± 0.0066,0.7120 ± 0.0063,"[OrderedDict({'model__class_weight': 'balanced_subsample', 'model__max_depth': 28, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 16, 'model__n_estimators': 424}), OrderedDict({'model__class_weight': 'balanced', 'model__max_depth': 23, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__min_samples_split': 14, 'model__n_estimators': 448}), OrderedDict({'model__class_weight': 'balanced_subsample', 'model__max_depth': 28, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 16, 'model__n_estimators': 424}), OrderedDict({'model__class_weight': 'balanced_subsample', 'model__max_depth': 27, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10, 'model__min_samples_split': 18, 'model__n_estimators': 237}), OrderedDict({'model__class_weight': 'balanced_subsample', 'model__max_depth': 4, 'model__max_features': 'log2', 'model__min_samples_leaf': 8, 'model__min_samples_split': 8, 'model__n_estimators': 800}), OrderedDict({'model__class_weight': 'balanced_subsample', 'model__max_depth': 22, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 20, 'model__n_estimators': 616}), OrderedDict({'model__class_weight': 'balanced', 'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_leaf': 6, 'model__min_samples_split': 20, 'model__n_estimators': 200}), OrderedDict({'model__class_weight': 'balanced_subsample', 'model__max_depth': 8, 'model__max_features': 'log2', 'model__min_samples_leaf': 8, 'model__min_samples_split': 11, 'model__n_estimators': 257}), OrderedDict({'model__class_weight': 'balanced_subsample', 'model__max_depth': 4, 'model__max_features': 'log2', 'model__min_samples_leaf': 10, 'model__min_samples_split': 3, 'model__n_estimators': 721}), OrderedDict({'model__class_weight': 'balanced', 'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 800})]"
xgboost,0.8473 ± 0.0188,0.7020 ± 0.0513,0.6655 ± 0.0180,0.6609 ± 0.0228,0.8890 ± 0.0165,0.8133 ± 0.0218,0.8473 ± 0.0188,0.8216 ± 0.0156,0.9369 ± 0.0091,0.6719 ± 0.0125,"[OrderedDict({'model__colsample_bytree': 0.7370215582430774, 'model__gamma': 0.2632624469308386, 'model__learning_rate': 0.01359915288431396, 'model__max_depth': 6, 'model__min_child_weight': 7, 'model__n_estimators': 600, 'model__reg_alpha': 7.93561309089342e-08, 'model__reg_lambda': 2.2760989831718875e-06, 'model__subsample': 1.0}), OrderedDict({'model__colsample_bytree': 0.6, 'model__gamma': 0.0002756035460589167, 'model__learning_rate': 0.17707556729927418, 'model__max_depth': 6, 'model__min_child_weight': 1, 'model__n_estimators': 369, 'model__reg_alpha': 0.2948871770808287, 'model__reg_lambda': 2.8188842833601568e-05, 'model__subsample': 0.9672208505752262}), OrderedDict({'model__colsample_bytree': 0.7259038739920758, 'model__gamma': 1.837271719373111e-07, 'model__learning_rate': 0.29999999999999993, 'model__max_depth': 10, 'model__min_child_weight': 1, 'model__n_estimators': 207, 'model__reg_alpha': 4.999999999999999, 'model__reg_lambda': 4.999999999999999, 'model__subsample': 0.8363032607785716}), OrderedDict({'model__colsample_bytree': 0.9821911945239713, 'model__gamma': 0.012436120776632302, 'model__learning_rate': 0.1938811514231446, 'model__max_depth': 6, 'model__min_child_weight': 4, 'model__n_estimators': 285, 'model__reg_alpha': 1.0012236018107084e-08, 'model__reg_lambda': 1.6771887406383625e-05, 'model__subsample': 0.8377515654365543}), OrderedDict({'model__colsample_bytree': 0.7640415835413256, 'model__gamma': 0.021402495345900878, 'model__learning_rate': 0.2387586688716479, 'model__max_depth': 5, 'model__min_child_weight': 7, 'model__n_estimators': 366, 'model__reg_alpha': 1.1291227449182555e-05, 'model__reg_lambda': 0.027097245828168533, 'model__subsample': 0.7217853244146024}), OrderedDict({'model__colsample_bytree': 0.817361227076125, 'model__gamma': 1.007239304540517, 'model__learning_rate': 0.05411797281355388, 'model__max_depth': 9, 'model__min_child_weight': 4, 'model__n_estimators': 220, 'model__reg_alpha': 0.0009229517224544347, 'model__reg_lambda': 1.6766517437995118e-08, 'model__subsample': 0.7542918363938659}), OrderedDict({'model__colsample_bytree': 0.7640415835413256, 'model__gamma': 0.021402495345900878, 'model__learning_rate': 0.2387586688716479, 'model__max_depth': 5, 'model__min_child_weight': 7, 'model__n_estimators': 366, 'model__reg_alpha': 1.1291227449182555e-05, 'model__reg_lambda': 0.027097245828168533, 'model__subsample': 0.7217853244146024}), OrderedDict({'model__colsample_bytree': 0.9821911945239713, 'model__gamma': 0.012436120776632302, 'model__learning_rate': 0.1938811514231446, 'model__max_depth': 6, 'model__min_child_weight': 4, 'model__n_estimators': 285, 'model__reg_alpha': 1.0012236018107084e-08, 'model__reg_lambda': 1.6771887406383625e-05, 'model__subsample': 0.8377515654365543}), OrderedDict({'model__colsample_bytree': 0.8312317610652086, 'model__gamma': 1.5150864369606658e-06, 'model__learning_rate': 0.29999999999999993, 'model__max_depth': 4, 'model__min_child_weight': 2, 'model__n_estimators': 200, 'model__reg_alpha': 2.8987551683940533, 'model__reg_lambda': 0.00011749204718470943, 'model__subsample': 0.820911181481706}), OrderedDict({'model__colsample_bytree': 0.9360750453073845, 'model__gamma': 0.0002401163714541219, 'model__learning_rate': 0.07299575238412849, 'model__max_depth': 3, 'model__min_child_weight': 2, 'model__n_estimators': 210, 'model__reg_alpha': 0.15247459550913706, 'model__reg_lambda': 5.066083837943305e-08, 'model__subsample': 0.6423323346801413})]"
adaboost,0.8187 ± 0.0251,0.6818 ± 0.0273,0.6724 ± 0.0160,0.6711 ± 0.0175,0.8557 ± 0.0162,0.8099 ± 0.0117,0.8187 ± 0.0251,0.8115 ± 0.0150,0.9261 ± 0.0067,0.6789 ± 0.0138,"[OrderedDict({'model__learning_rate': 0.2498090668879928, 'model__n_estimators': 500}), OrderedDict({'model__learning_rate': 0.7273795254611592, 'model__n_estimators': 242}), OrderedDict({'model__learning_rate': 0.3448598986086256, 'model__n_estimators': 374}), OrderedDict({'model__learning_rate': 1.0, 'model__n_estimators': 500}), OrderedDict({'model__learning_rate': 0.9999652817597808, 'model__n_estimators': 90}), OrderedDict({'model__learning_rate': 0.995371281203987, 'model__n_estimators': 340}), OrderedDict({'model__learning_rate': 0.18001555035765757, 'model__n_estimators': 400}), OrderedDict({'model__learning_rate': 0.5497673427371746, 'model__n_estimators': 265}), OrderedDict({'model__learning_rate': 0.8146216961026963, 'model__n_estimators': 365}), OrderedDict({'model__learning_rate': 0.6067595312079147, 'model__n_estimators': 500})]"
svm,0.7974 ± 0.0197,0.6896 ± 0.0235,0.6948 ± 0.0290,0.6842 ± 0.0262,0.8915 ± 0.0167,0.8286 ± 0.0179,0.7974 ± 0.0197,0.8061 ± 0.0187,0.9403 ± 0.0093,0.6941 ± 0.0128,"[OrderedDict({'model__C': 0.49971427492951687, 'model__class_weight': 'balanced', 'model__gamma': 0.019998649438385432, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 0.3667099393848702, 'model__class_weight': 'balanced', 'model__gamma': 0.015161286989977896, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 0.9535757863927443, 'model__class_weight': 'balanced', 'model__gamma': 0.01397515259109357, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 17.5692048252818, 'model__class_weight': 'balanced', 'model__gamma': 0.0002963561887754251, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 4.992562359218579, 'model__class_weight': 'balanced', 'model__gamma': 0.008506501424743748, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 0.2461733726624536, 'model__class_weight': 'balanced', 'model__gamma': 0.014359773674137297, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 2.480140306890943, 'model__class_weight': 'balanced', 'model__gamma': 0.011386975314042138, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 0.8162287019337509, 'model__class_weight': 'balanced', 'model__gamma': 0.013337756477729227, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 0.5397889613856404, 'model__class_weight': 'balanced', 'model__gamma': 0.021748041205310698, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 4.584082806378691, 'model__class_weight': 'balanced', 'model__gamma': 0.003433471328234011, 'model__kernel': 'rbf'})]"
logistic_regression,0.8026 ± 0.0294,0.6831 ± 0.0333,0.6862 ± 0.0398,0.6789 ± 0.0366,0.8900 ± 0.0163,0.8224 ± 0.0236,0.8026 ± 0.0294,0.8076 ± 0.0248,0.9395 ± 0.0092,0.6895 ± 0.0127,"[OrderedDict({'model__C': 0.0025504550542791494, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'saga'}), OrderedDict({'model__C': 0.0022014685685074684, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 0.005984988746473199, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 0.010842052468692737, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'saga'}), OrderedDict({'model__C': 0.12823589104577895, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 0.015189069092843866, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'saga'}), OrderedDict({'model__C': 0.01946975417542145, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'saga'}), OrderedDict({'model__C': 0.004585595346961435, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'saga'}), OrderedDict({'model__C': 0.009696029499685744, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 0.00430561673867093, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'lbfgs'})]"
knn,0.8018 ± 0.0216,0.6544 ± 0.0312,0.6438 ± 0.0274,0.6410 ± 0.0304,0.8379 ± 0.0233,0.7852 ± 0.0191,0.8018 ± 0.0216,0.7864 ± 0.0218,0.9010 ± 0.0165,0.6545 ± 0.0217,"[OrderedDict({'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 3, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 8, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 3, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 3, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'distance'})]"
gaussian_nb,0.7348 ± 0.0331,0.6677 ± 0.0308,0.6670 ± 0.0462,0.6425 ± 0.0375,0.8514 ± 0.0166,0.8176 ± 0.0249,0.7348 ± 0.0331,0.7582 ± 0.0293,0.9097 ± 0.0127,0.6235 ± 0.0198,"[OrderedDict({'model__var_smoothing': 6.636085077612337e-07}), OrderedDict({'model__var_smoothing': 9.966916991770303e-07}), OrderedDict({'model__var_smoothing': 1.5783879853890547e-07}), OrderedDict({'model__var_smoothing': 5.484215007573245e-07}), OrderedDict({'model__var_smoothing': 9.966916991770303e-07}), OrderedDict({'model__var_smoothing': 3.500689741432206e-07}), OrderedDict({'model__var_smoothing': 8.632012725909886e-08}), OrderedDict({'model__var_smoothing': 1e-06}), OrderedDict({'model__var_smoothing': 1.1239340679625092e-08}), OrderedDict({'model__var_smoothing': 1.413156423755191e-09})]"
