Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,spearman_corr,0.6083 ± 0.0166,0.6392 ± 0.0317,0.7736 ± 0.0197,0.6395 ± 0.0319,0.6404 ± 0.0319,0.7624 ± 0.0212,0.7779 ± 0.0230,0.7736 ± 0.0197,0.7751 ± 0.0207,0.8265 ± 0.0165,0.7495 ± 0.0119,0.6096 ± 0.0156,0.6081 ± 0.0179,0.7405 ± 0.0110,0.7592 ± 0.0108,0.7495 ± 0.0119,0.7540 ± 0.0101,0.8093 ± 0.0084
decision_tree,mutual_info,0.6201 ± 0.0212,0.6357 ± 0.0355,0.7711 ± 0.0294,0.6367 ± 0.0355,0.6360 ± 0.0355,0.7594 ± 0.0240,0.7751 ± 0.0224,0.7711 ± 0.0294,0.7726 ± 0.0256,0.8242 ± 0.0211,0.7566 ± 0.0109,0.6207 ± 0.0210,0.6211 ± 0.0229,0.7487 ± 0.0141,0.7658 ± 0.0143,0.7566 ± 0.0109,0.7608 ± 0.0114,0.8145 ± 0.0092
decision_tree,spearman_sulov,0.6180 ± 0.0186,0.6299 ± 0.0333,0.7678 ± 0.0223,0.6305 ± 0.0337,0.6318 ± 0.0336,0.7568 ± 0.0213,0.7732 ± 0.0208,0.7678 ± 0.0223,0.7698 ± 0.0201,0.8228 ± 0.0158,0.7572 ± 0.0131,0.6185 ± 0.0180,0.6183 ± 0.0191,0.7473 ± 0.0121,0.7645 ± 0.0105,0.7572 ± 0.0131,0.7606 ± 0.0115,0.8146 ± 0.0092
decision_tree,chi2,0.6226 ± 0.0182,0.6353 ± 0.0306,0.7780 ± 0.0260,0.6361 ± 0.0306,0.6362 ± 0.0309,0.7606 ± 0.0210,0.7743 ± 0.0206,0.7780 ± 0.0260,0.7756 ± 0.0224,0.8275 ± 0.0186,0.7564 ± 0.0127,0.6238 ± 0.0174,0.6236 ± 0.0196,0.7504 ± 0.0116,0.7694 ± 0.0088,0.7564 ± 0.0127,0.7624 ± 0.0095,0.8159 ± 0.0074
decision_tree,chi2_mi_union_topk,0.6208 ± 0.0124,0.6461 ± 0.0384,0.7821 ± 0.0323,0.6481 ± 0.0382,0.6459 ± 0.0388,0.7577 ± 0.0289,0.7828 ± 0.0249,0.7821 ± 0.0323,0.7817 ± 0.0282,0.8239 ± 0.0239,0.7563 ± 0.0071,0.6225 ± 0.0120,0.6209 ± 0.0133,0.7418 ± 0.0062,0.7719 ± 0.0080,0.7563 ± 0.0071,0.7636 ± 0.0070,0.8109 ± 0.0065
random_forest,spearman_corr,0.6178 ± 0.0133,0.6363 ± 0.0131,0.8656 ± 0.0062,0.8440 ± 0.1144,0.6591 ± 0.0070,0.8949 ± 0.0082,0.8588 ± 0.0359,0.8656 ± 0.0062,0.8222 ± 0.0063,0.9427 ± 0.0060,0.8590 ± 0.0042,0.7453 ± 0.1122,0.6473 ± 0.0070,0.8969 ± 0.0080,0.8226 ± 0.0364,0.8590 ± 0.0042,0.8133 ± 0.0057,0.9417 ± 0.0042
random_forest,mutual_info,0.6207 ± 0.0106,0.6305 ± 0.0166,0.8626 ± 0.0092,0.7926 ± 0.1373,0.6552 ± 0.0102,0.8849 ± 0.0123,0.8405 ± 0.0458,0.8626 ± 0.0092,0.8187 ± 0.0099,0.9373 ± 0.0078,0.8563 ± 0.0044,0.7422 ± 0.1068,0.6472 ± 0.0064,0.8917 ± 0.0076,0.8207 ± 0.0361,0.8563 ± 0.0044,0.8126 ± 0.0055,0.9393 ± 0.0049
random_forest,spearman_sulov,0.6219 ± 0.0145,0.6332 ± 0.0234,0.8615 ± 0.0102,0.7809 ± 0.1551,0.6561 ± 0.0136,0.8930 ± 0.0159,0.8361 ± 0.0539,0.8615 ± 0.0102,0.8187 ± 0.0124,0.9413 ± 0.0093,0.8599 ± 0.0052,0.7810 ± 0.1237,0.6495 ± 0.0082,0.8968 ± 0.0073,0.8350 ± 0.0408,0.8599 ± 0.0052,0.8152 ± 0.0071,0.9415 ± 0.0042
random_forest,chi2,0.6273 ± 0.0083,0.6322 ± 0.0132,0.8626 ± 0.0110,0.8179 ± 0.1271,0.6561 ± 0.0090,0.8927 ± 0.0104,0.8496 ± 0.0436,0.8626 ± 0.0110,0.8196 ± 0.0102,0.9411 ± 0.0074,0.8577 ± 0.0024,0.7805 ± 0.0834,0.6508 ± 0.0037,0.8913 ± 0.0085,0.8340 ± 0.0256,0.8577 ± 0.0024,0.8153 ± 0.0029,0.9390 ± 0.0047
random_forest,chi2_mi_union_topk,0.6426 ± 0.0119,0.6508 ± 0.0190,0.8637 ± 0.0081,0.7737 ± 0.0847,0.6653 ± 0.0104,0.8920 ± 0.0098,0.8376 ± 0.0250,0.8637 ± 0.0081,0.8262 ± 0.0087,0.9407 ± 0.0071,0.8582 ± 0.0071,0.7717 ± 0.0563,0.6581 ± 0.0074,0.8892 ± 0.0114,0.8323 ± 0.0195,0.8582 ± 0.0071,0.8201 ± 0.0070,0.9381 ± 0.0065
