,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,0.7641 ± 0.0239,0.6307 ± 0.0192,0.6291 ± 0.0192,0.6280 ± 0.0189,0.7550 ± 0.0141,0.7744 ± 0.0179,0.7641 ± 0.0239,0.7681 ± 0.0188,0.8214 ± 0.0161,0.7495 ± 0.0195,0.6158 ± 0.0199,0.6137 ± 0.0244,0.6140 ± 0.0223,0.7435 ± 0.0161,0.7621 ± 0.0125,0.7495 ± 0.0195,0.7554 ± 0.0154,0.8099 ± 0.0125
random_forest,0.8692 ± 0.0098,0.8132 ± 0.0655,0.6895 ± 0.0137,0.6921 ± 0.0206,0.8869 ± 0.0095,0.8548 ± 0.0240,0.8692 ± 0.0098,0.8411 ± 0.0098,0.9383 ± 0.0071,0.8637 ± 0.0057,0.7676 ± 0.0317,0.6768 ± 0.0107,0.6740 ± 0.0160,0.8925 ± 0.0064,0.8375 ± 0.0123,0.8637 ± 0.0057,0.8336 ± 0.0078,0.9391 ± 0.0035
extra_trees,0.8678 ± 0.0101,0.8723 ± 0.0688,0.6666 ± 0.0165,0.6501 ± 0.0278,0.8831 ± 0.0158,0.8698 ± 0.0230,0.8678 ± 0.0101,0.8275 ± 0.0136,0.9366 ± 0.0096,0.8610 ± 0.0055,0.7867 ± 0.0842,0.6566 ± 0.0091,0.6368 ± 0.0169,0.8914 ± 0.0062,0.8381 ± 0.0288,0.8610 ± 0.0055,0.8201 ± 0.0075,0.9386 ± 0.0036
xgboost,0.8440 ± 0.0111,0.6928 ± 0.0392,0.6655 ± 0.0219,0.6614 ± 0.0292,0.8737 ± 0.0140,0.8091 ± 0.0182,0.8440 ± 0.0111,0.8196 ± 0.0137,0.9293 ± 0.0078,0.8368 ± 0.0091,0.6815 ± 0.0268,0.6600 ± 0.0145,0.6574 ± 0.0187,0.8728 ± 0.0095,0.8030 ± 0.0131,0.8368 ± 0.0091,0.8148 ± 0.0105,0.9269 ± 0.0052
adaboost,0.7956 ± 0.0186,0.6564 ± 0.0234,0.6576 ± 0.0233,0.6547 ± 0.0233,0.8490 ± 0.0142,0.7991 ± 0.0147,0.7956 ± 0.0186,0.7956 ± 0.0135,0.9204 ± 0.0068,0.7802 ± 0.0137,0.6499 ± 0.0183,0.6510 ± 0.0215,0.6487 ± 0.0196,0.8395 ± 0.0103,0.7960 ± 0.0120,0.7802 ± 0.0137,0.7869 ± 0.0123,0.9146 ± 0.0044
svm,0.8491 ± 0.0138,0.6968 ± 0.0419,0.6651 ± 0.0146,0.6595 ± 0.0196,0.8726 ± 0.0125,0.8127 ± 0.0178,0.8491 ± 0.0138,0.8225 ± 0.0122,0.9297 ± 0.0068,0.8403 ± 0.0065,0.6876 ± 0.0209,0.6636 ± 0.0113,0.6615 ± 0.0149,0.8658 ± 0.0107,0.8068 ± 0.0099,0.8403 ± 0.0065,0.8182 ± 0.0078,0.9252 ± 0.0052
logistic_regression,0.7780 ± 0.0213,0.6482 ± 0.0203,0.6478 ± 0.0236,0.6458 ± 0.0224,0.8485 ± 0.0104,0.7961 ± 0.0134,0.7780 ± 0.0213,0.7854 ± 0.0171,0.9135 ± 0.0049,0.7670 ± 0.0132,0.6427 ± 0.0174,0.6423 ± 0.0207,0.6400 ± 0.0186,0.8368 ± 0.0154,0.7921 ± 0.0128,0.7670 ± 0.0132,0.7781 ± 0.0129,0.9039 ± 0.0084
knn,0.7564 ± 0.0268,0.6477 ± 0.0239,0.6431 ± 0.0322,0.6359 ± 0.0308,0.8355 ± 0.0177,0.7887 ± 0.0146,0.7564 ± 0.0268,0.7622 ± 0.0242,0.8955 ± 0.0128,0.7484 ± 0.0134,0.6493 ± 0.0182,0.6454 ± 0.0236,0.6349 ± 0.0200,0.8394 ± 0.0129,0.7933 ± 0.0131,0.7484 ± 0.0134,0.7588 ± 0.0124,0.8977 ± 0.0064
gaussian_nb,0.7264 ± 0.0401,0.6657 ± 0.0317,0.6624 ± 0.0482,0.6354 ± 0.0422,0.8480 ± 0.0188,0.8160 ± 0.0254,0.7264 ± 0.0401,0.7495 ± 0.0363,0.9070 ± 0.0143,0.7030 ± 0.0292,0.6430 ± 0.0162,0.6343 ± 0.0253,0.6112 ± 0.0251,0.8304 ± 0.0085,0.7963 ± 0.0141,0.7030 ± 0.0292,0.7296 ± 0.0262,0.8938 ± 0.0052
