,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,0.7322 ± 0.0254,0.5949 ± 0.0202,0.5927 ± 0.0233,0.5918 ± 0.0209,0.7278 ± 0.0147,0.7424 ± 0.0108,0.7322 ± 0.0254,0.7358 ± 0.0172,0.7945 ± 0.0149,0.7259 ± 0.0126,0.5889 ± 0.0145,0.5876 ± 0.0152,0.5878 ± 0.0145,0.7231 ± 0.0105,0.7348 ± 0.0134,0.7259 ± 0.0126,0.7301 ± 0.0125,0.7881 ± 0.0109
random_forest,0.8538 ± 0.0103,0.6042 ± 0.1023,0.6403 ± 0.0071,0.6049 ± 0.0071,0.8795 ± 0.0131,0.7733 ± 0.0312,0.8538 ± 0.0103,0.8056 ± 0.0087,0.9332 ± 0.0078,0.8495 ± 0.0031,0.6568 ± 0.1241,0.6371 ± 0.0044,0.6038 ± 0.0077,0.8742 ± 0.0096,0.7887 ± 0.0412,0.8495 ± 0.0031,0.8029 ± 0.0041,0.9291 ± 0.0051
extra_trees,0.8557 ± 0.0090,0.6714 ± 0.1652,0.6434 ± 0.0102,0.6099 ± 0.0150,0.8778 ± 0.0108,0.7960 ± 0.0588,0.8557 ± 0.0090,0.8079 ± 0.0104,0.9342 ± 0.0066,0.8481 ± 0.0035,0.6333 ± 0.1409,0.6349 ± 0.0032,0.6000 ± 0.0048,0.8747 ± 0.0079,0.7798 ± 0.0464,0.8481 ± 0.0035,0.8006 ± 0.0037,0.9301 ± 0.0034
xgboost,0.8476 ± 0.0104,0.6644 ± 0.0685,0.6499 ± 0.0220,0.6310 ± 0.0351,0.8813 ± 0.0149,0.7938 ± 0.0285,0.8476 ± 0.0104,0.8105 ± 0.0163,0.9336 ± 0.0086,0.8388 ± 0.0029,0.6617 ± 0.0185,0.6411 ± 0.0072,0.6240 ± 0.0128,0.8709 ± 0.0123,0.7893 ± 0.0080,0.8388 ± 0.0029,0.8038 ± 0.0057,0.9254 ± 0.0057
adaboost,0.8092 ± 0.0150,0.6430 ± 0.0300,0.6427 ± 0.0200,0.6401 ± 0.0230,0.8348 ± 0.0232,0.7885 ± 0.0144,0.8092 ± 0.0150,0.7974 ± 0.0132,0.9132 ± 0.0110,0.7961 ± 0.0100,0.6351 ± 0.0178,0.6352 ± 0.0156,0.6340 ± 0.0165,0.8276 ± 0.0126,0.7811 ± 0.0087,0.7961 ± 0.0100,0.7880 ± 0.0088,0.9055 ± 0.0055
svm,0.8352 ± 0.0128,0.6381 ± 0.1022,0.6304 ± 0.0117,0.6028 ± 0.0157,0.8690 ± 0.0130,0.7765 ± 0.0322,0.8352 ± 0.0128,0.7931 ± 0.0122,0.9279 ± 0.0064,0.8258 ± 0.0062,0.5933 ± 0.0283,0.6220 ± 0.0076,0.5968 ± 0.0113,0.8586 ± 0.0050,0.7600 ± 0.0121,0.8258 ± 0.0062,0.7876 ± 0.0072,0.9190 ± 0.0029
logistic_regression,0.7853 ± 0.0152,0.6258 ± 0.0268,0.6274 ± 0.0258,0.6257 ± 0.0264,0.8353 ± 0.0132,0.7802 ± 0.0163,0.7853 ± 0.0152,0.7818 ± 0.0152,0.9082 ± 0.0067,0.7741 ± 0.0111,0.6087 ± 0.0179,0.6103 ± 0.0166,0.6089 ± 0.0171,0.8235 ± 0.0092,0.7683 ± 0.0102,0.7741 ± 0.0111,0.7706 ± 0.0100,0.8991 ± 0.0055
knn,0.2802 ± 0.0492,0.5854 ± 0.1098,0.4245 ± 0.0274,0.2612 ± 0.0395,0.6521 ± 0.0225,0.7392 ± 0.1443,0.2802 ± 0.0492,0.2761 ± 0.0520,0.6770 ± 0.0206,0.2583 ± 0.0352,0.6167 ± 0.0152,0.4098 ± 0.0179,0.2415 ± 0.0290,0.6335 ± 0.0151,0.7833 ± 0.0204,0.2583 ± 0.0352,0.2535 ± 0.0380,0.6573 ± 0.0138
gaussian_nb,0.4725 ± 0.0758,0.6126 ± 0.0178,0.5137 ± 0.0519,0.4617 ± 0.0582,0.7863 ± 0.0245,0.7731 ± 0.0180,0.4725 ± 0.0758,0.5422 ± 0.0722,0.8532 ± 0.0173,0.4610 ± 0.0481,0.5959 ± 0.0122,0.4976 ± 0.0288,0.4520 ± 0.0352,0.7607 ± 0.0138,0.7546 ± 0.0139,0.4610 ± 0.0481,0.5340 ± 0.0449,0.8321 ± 0.0107
