epoch,train_loss,val_loss,val_acc,val_f1,val_balanced_acc
1,0.4586441206770974,0.2488764899002539,0.9054054054054054,0.9113924050632911,0.9071310116086235
2,0.23064630599440755,0.1848445438049935,0.9324324324324325,0.9358974358974359,0.9356919108162889
3,0.186527020625166,0.16911922526117917,0.9391891891891891,0.9426751592356688,0.9418647503224618
4,0.15565646334073027,0.16144342327842842,0.9391891891891891,0.9426751592356688,0.9418647503224618
5,0.1348033467861446,0.15736646331041246,0.9391891891891891,0.9433962264150944,0.9405749032614704
6,0.11673585300308627,0.16057361883891597,0.9594594594594594,0.9625,0.9603832688409804
7,0.1021283766808542,0.1590977139720643,0.9527027027027027,0.9559748427672956,0.9542104293348075
8,0.07955493571589121,0.16519321065169532,0.9594594594594594,0.9625,0.9603832688409804
9,0.07242120461337068,0.17149473549294714,0.9527027027027027,0.9565217391304348,0.952920582273816
10,0.051768045885035315,0.1790970636726785,0.9527027027027027,0.9565217391304348,0.952920582273816
11,0.052613876860689475,0.18340764422523412,0.9527027027027027,0.9565217391304348,0.952920582273816
12,0.042367983747877785,0.1904084699926898,0.9594594594594594,0.9625,0.9603832688409804
13,0.03254663422263253,0.20104716727793268,0.9594594594594594,0.9625,0.9603832688409804
14,0.027367195561276498,0.21224612415440985,0.9594594594594594,0.9625,0.9603832688409804
15,0.017384177423082292,0.21151250941093658,0.9527027027027027,0.9565217391304348,0.952920582273816
