,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0,decision_tree,spearman_corr,0.6262 ± 0.0298,0.6014 ± 0.0403,0.8147 ± 0.0129,0.5977 ± 0.0358,0.6124 ± 0.0561,0.7502 ± 0.0294,0.8217 ± 0.0113,0.8147 ± 0.0129,0.8174 ± 0.0109,0.8318 ± 0.0105,0.8228 ± 0.0156,0.6262 ± 0.0282,0.6275 ± 0.0326,0.7591 ± 0.0170,0.8238 ± 0.0151,0.8228 ± 0.0156,0.8231 ± 0.0153,0.8360 ± 0.0150
1,decision_tree,mutual_info,0.6557 ± 0.0236,0.6229 ± 0.0304,0.8330 ± 0.0175,0.6247 ± 0.0340,0.6255 ± 0.0310,0.7618 ± 0.0181,0.8357 ± 0.0144,0.8330 ± 0.0175,0.8334 ± 0.0154,0.8472 ± 0.0151,0.8291 ± 0.0105,0.6587 ± 0.0280,0.6545 ± 0.0214,0.7742 ± 0.0113,0.8295 ± 0.0114,0.8291 ± 0.0105,0.8290 ± 0.0108,0.8409 ± 0.0117
2,decision_tree,spearman_sulov,0.6382 ± 0.0209,0.6061 ± 0.0519,0.8264 ± 0.0143,0.6085 ± 0.0573,0.6075 ± 0.0519,0.7508 ± 0.0295,0.8289 ± 0.0158,0.8264 ± 0.0143,0.8268 ± 0.0143,0.8411 ± 0.0143,0.8198 ± 0.0132,0.6355 ± 0.0166,0.6447 ± 0.0303,0.7669 ± 0.0171,0.8227 ± 0.0135,0.8198 ± 0.0132,0.8209 ± 0.0131,0.8337 ± 0.0128
3,decision_tree,chi2,0.6469 ± 0.0272,0.6010 ± 0.0411,0.8242 ± 0.0197,0.6077 ± 0.0555,0.6011 ± 0.0368,0.7463 ± 0.0207,0.8243 ± 0.0157,0.8242 ± 0.0197,0.8231 ± 0.0170,0.8373 ± 0.0167,0.8300 ± 0.0113,0.6471 ± 0.0276,0.6499 ± 0.0324,0.7724 ± 0.0152,0.8304 ± 0.0087,0.8300 ± 0.0113,0.8300 ± 0.0097,0.8423 ± 0.0103
4,decision_tree,chi2_mi_union_topk,0.6432 ± 0.0399,0.6393 ± 0.0424,0.8374 ± 0.0167,0.6441 ± 0.0500,0.6463 ± 0.0557,0.7713 ± 0.0285,0.8401 ± 0.0164,0.8374 ± 0.0167,0.8376 ± 0.0154,0.8475 ± 0.0143,0.8329 ± 0.0132,0.6483 ± 0.0366,0.6410 ± 0.0432,0.7666 ± 0.0219,0.8314 ± 0.0131,0.8329 ± 0.0132,0.8319 ± 0.0131,0.8409 ± 0.0126
5,random_forest,spearman_corr,0.6060 ± 0.0035,0.6063 ± 0.0061,0.8974 ± 0.0090,0.5984 ± 0.0059,0.6152 ± 0.0064,0.9433 ± 0.0108,0.8751 ± 0.0087,0.8974 ± 0.0090,0.8856 ± 0.0088,0.9576 ± 0.0076,0.8956 ± 0.0051,0.5973 ± 0.0035,0.6150 ± 0.0035,0.9503 ± 0.0087,0.8703 ± 0.0050,0.8956 ± 0.0051,0.8827 ± 0.0050,0.9596 ± 0.0033
6,random_forest,mutual_info,0.6111 ± 0.0129,0.6054 ± 0.0086,0.8960 ± 0.0127,0.5973 ± 0.0084,0.6141 ± 0.0088,0.9363 ± 0.0191,0.8735 ± 0.0122,0.8960 ± 0.0127,0.8842 ± 0.0125,0.9564 ± 0.0083,0.8980 ± 0.0070,0.6322 ± 0.1065,0.6184 ± 0.0081,0.9519 ± 0.0074,0.8754 ± 0.0124,0.8980 ± 0.0070,0.8853 ± 0.0071,0.9600 ± 0.0040
7,random_forest,spearman_sulov,0.6073 ± 0.0044,0.6076 ± 0.0069,0.8993 ± 0.0103,0.5996 ± 0.0067,0.6166 ± 0.0074,0.9397 ± 0.0141,0.8770 ± 0.0101,0.8993 ± 0.0103,0.8874 ± 0.0101,0.9579 ± 0.0051,0.8975 ± 0.0065,0.5987 ± 0.0044,0.6161 ± 0.0044,0.9468 ± 0.0101,0.8721 ± 0.0063,0.8975 ± 0.0065,0.8846 ± 0.0064,0.9580 ± 0.0042
8,random_forest,chi2,0.6146 ± 0.0171,0.6150 ± 0.0310,0.8982 ± 0.0127,0.6322 ± 0.1097,0.6202 ± 0.0199,0.9427 ± 0.0186,0.8783 ± 0.0175,0.8982 ± 0.0127,0.8868 ± 0.0132,0.9578 ± 0.0061,0.8981 ± 0.0065,0.6656 ± 0.1426,0.6203 ± 0.0103,0.9493 ± 0.0092,0.8783 ± 0.0159,0.8981 ± 0.0065,0.8856 ± 0.0068,0.9590 ± 0.0036
9,random_forest,chi2_mi_union_topk,0.6363 ± 0.0423,0.6650 ± 0.0552,0.9022 ± 0.0111,0.8014 ± 0.1753,0.6505 ± 0.0348,0.9373 ± 0.0175,0.8956 ± 0.0207,0.9022 ± 0.0111,0.8932 ± 0.0123,0.9558 ± 0.0063,0.8951 ± 0.0065,0.7017 ± 0.1383,0.6323 ± 0.0253,0.9489 ± 0.0101,0.8793 ± 0.0135,0.8951 ± 0.0065,0.8843 ± 0.0070,0.9575 ± 0.0033
