model,target_type,classes,n_classes,accuracy_cv_mean,accuracy_cv_std,accuracy_test_mean,accuracy_test_std,f1_macro_cv_mean,f1_macro_cv_std,f1_macro_test_mean,f1_macro_test_std,f1_weighted_cv_mean,f1_weighted_cv_std,f1_weighted_test_mean,f1_weighted_test_std,recall_macro_cv_mean,recall_macro_cv_std,recall_macro_test_mean,recall_macro_test_std,recall_weighted_cv_mean,recall_weighted_cv_std,recall_weighted_test_mean,recall_weighted_test_std,precision_macro_cv_mean,precision_macro_cv_std,precision_macro_test_mean,precision_macro_test_std,precision_weighted_cv_mean,precision_weighted_cv_std,precision_weighted_test_mean,precision_weighted_test_std,mae_cv_mean,mae_cv_std,mae_test_mean,mae_test_std,misclassification_disease_cost_mean_cv_mean,misclassification_disease_cost_mean_cv_std,misclassification_disease_cost_mean_test_mean,misclassification_disease_cost_mean_test_std,misclassification_disease_cost_total_cv_mean,misclassification_disease_cost_total_cv_std,misclassification_disease_cost_total_test_mean,misclassification_disease_cost_total_test_std,misclassification_disease_score_cv_mean,misclassification_disease_score_cv_std,misclassification_disease_score_test_mean,misclassification_disease_score_test_std,misclassification_disease_cost_mean_true_class_0_cv_mean,misclassification_disease_cost_mean_true_class_0_cv_std,misclassification_disease_cost_mean_true_class_0_test_mean,misclassification_disease_cost_mean_true_class_0_test_std,misclassification_disease_cost_mean_true_class_1_cv_mean,misclassification_disease_cost_mean_true_class_1_cv_std,misclassification_disease_cost_mean_true_class_1_test_mean,misclassification_disease_cost_mean_true_class_1_test_std,misclassification_disease_cost_mean_true_class_2_cv_mean,misclassification_disease_cost_mean_true_class_2_cv_std,misclassification_disease_cost_mean_true_class_2_test_mean,misclassification_disease_cost_mean_true_class_2_test_std,auc_ovr_macro_cv_mean,auc_ovr_macro_cv_std,auc_ovr_macro_test_mean,auc_ovr_macro_test_std,auc_ovr_weighted_cv_mean,auc_ovr_weighted_cv_std,auc_ovr_weighted_test_mean,auc_ovr_weighted_test_std,precision_class_0_cv_mean,precision_class_0_cv_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_cv_mean,recall_class_0_cv_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_cv_mean,f1_class_0_cv_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_cv_mean,support_class_0_cv_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_cv_mean,precision_class_1_cv_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_cv_mean,recall_class_1_cv_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_cv_mean,f1_class_1_cv_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_cv_mean,support_class_1_cv_std,support_class_1_test_mean,support_class_1_test_std,precision_class_2_cv_mean,precision_class_2_cv_std,precision_class_2_test_mean,precision_class_2_test_std,recall_class_2_cv_mean,recall_class_2_cv_std,recall_class_2_test_mean,recall_class_2_test_std,f1_class_2_cv_mean,f1_class_2_cv_std,f1_class_2_test_mean,f1_class_2_test_std,support_class_2_cv_mean,support_class_2_cv_std,support_class_2_test_mean,support_class_2_test_std,conf_0_to_1_cv_mean,conf_0_to_1_cv_std,conf_0_to_1_test_mean,conf_0_to_1_test_std,conf_0_to_2_cv_mean,conf_0_to_2_cv_std,conf_0_to_2_test_mean,conf_0_to_2_test_std,conf_0_to_1_given_error_cv_mean,conf_0_to_1_given_error_cv_std,conf_0_to_1_given_error_test_mean,conf_0_to_1_given_error_test_std,conf_0_to_2_given_error_cv_mean,conf_0_to_2_given_error_cv_std,conf_0_to_2_given_error_test_mean,conf_0_to_2_given_error_test_std,conf_1_to_0_cv_mean,conf_1_to_0_cv_std,conf_1_to_0_test_mean,conf_1_to_0_test_std,conf_1_to_2_cv_mean,conf_1_to_2_cv_std,conf_1_to_2_test_mean,conf_1_to_2_test_std,conf_1_to_0_given_error_cv_mean,conf_1_to_0_given_error_cv_std,conf_1_to_0_given_error_test_mean,conf_1_to_0_given_error_test_std,conf_1_to_2_given_error_cv_mean,conf_1_to_2_given_error_cv_std,conf_1_to_2_given_error_test_mean,conf_1_to_2_given_error_test_std,conf_2_to_0_cv_mean,conf_2_to_0_cv_std,conf_2_to_0_test_mean,conf_2_to_0_test_std,conf_2_to_1_cv_mean,conf_2_to_1_cv_std,conf_2_to_1_test_mean,conf_2_to_1_test_std,conf_2_to_0_given_error_cv_mean,conf_2_to_0_given_error_cv_std,conf_2_to_0_given_error_test_mean,conf_2_to_0_given_error_test_std,conf_2_to_1_given_error_cv_mean,conf_2_to_1_given_error_cv_std,conf_2_to_1_given_error_test_mean,conf_2_to_1_given_error_test_std,X_transfromation,Target,X_Processing,Model_Type
LDA_decision_tree,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.6970680628272252,0.0206232220676479,0.7043956043956044,0.0490243774348717,0.6085951181576009,0.0119555105265322,0.6077309746334352,0.0300125129989599,0.7313914829861932,0.0152846631598313,0.7362506252682732,0.0353025935219594,0.6294832041343669,0.0135412072331906,0.6235597404747927,0.0367100637634945,0.6970680628272252,0.0206232220676479,0.7043956043956044,0.0490243774348717,0.6498917536925954,0.0130822293519642,0.6455223877588346,0.0335395029863582,0.8085508540611326,0.0135132585341683,0.8067473016794542,0.0312289500463334,0.326282722513089,0.0201202795071314,0.3172161172161172,0.0467246393970212,0.8952879581151831,0.0813417058513812,0.8783882783882783,0.1762290143219893,171.0,15.53626581761382,239.8,48.11052090990309,-0.8952879581151831,0.0813417058513812,-0.8783882783882783,0.1762290143219893,0.341860465116279,0.0835323025792073,0.2942622950819672,0.2046975134040201,1.4704761904761905,0.1598815384089454,1.6566666666666667,0.5282278782476599,1.3180952380952382,0.2089908746550682,1.274380165289256,0.4983988052378597,0.8406612222082197,0.0101036606329821,0.8529174256009939,0.0192359653302865,0.9006671707093561,0.0070355876465363,0.9119629798273956,0.0124592222524123,0.9036726619008,0.0166040710463662,0.8967349482979726,0.0368314238914451,0.8151162790697674,0.0333107910075432,0.8311475409836067,0.0671708961546196,0.8536512187047874,0.0160982898437561,0.8605289609493143,0.0316830126958133,86.0,0.0,122.0,0.0,0.1769341925184022,0.0160418087979381,0.164608223585318,0.0441882066015299,0.4304761904761904,0.0792761406425834,0.3833333333333333,0.1867526257107956,0.2440872851232077,0.0276350312364842,0.2249500225785459,0.0695114015014116,21.0,0.0,30.0,0.0,0.8690684066585839,0.0231431662865125,0.8752239913932132,0.046721027164102,0.6428571428571429,0.0508803823010304,0.656198347107438,0.1500404061872425,0.7280468506448073,0.0283368676922495,0.7377139403724452,0.0827209695526315,84.0,0.0,121.0,0.0,0.1674418604651162,0.0360402595228165,0.1549180327868852,0.06630399425536,0.0174418604651162,0.0091722167179839,0.0139344262295081,0.0200963667195992,0.8759817307660557,0.0711896068701946,0.92148056923919,0.1261354064643578,0.1240182692339443,0.0711896068701946,0.07851943076081,0.1261354064643578,0.2252380952380952,0.0300373497238497,0.26,0.106342098791159,0.3442857142857143,0.0773082686725025,0.3566666666666666,0.1743063855668595,0.4138705392474742,0.067193284744334,0.4392392631523066,0.1624743893116556,0.5861294607525258,0.067193284744334,0.5607607368476933,0.1624743893116556,0.0352380952380952,0.0145716533509653,0.0347107438016529,0.0194014510872275,0.3219047619047619,0.0482308580833242,0.309090909090909,0.1469226354408789,0.1164420740869421,0.0466949553775307,0.1130856877130847,0.055182212494784,0.8835579259130579,0.0466949553775308,0.8869143122869152,0.055182212494784,LDA,HY43,X_V06_DELTA,decision_tree
LDA_random_forest,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.7498429319371728,0.0138384621640352,0.7589743589743589,0.0301466165802411,0.6335514059489729,0.0135937928780256,0.6342998096288728,0.0255430265599536,0.7683480145529948,0.0107492710083804,0.774899518205418,0.0233723222738279,0.6399926172019196,0.0156582192280541,0.636856945008957,0.0272576244218889,0.7498429319371728,0.0138384621640352,0.7589743589743589,0.0301466165802411,0.6458346555070247,0.0136529268983215,0.6438708754616913,0.0213918531442254,0.7990514223914922,0.0125700699335776,0.7992780775020548,0.015862500013989,0.2774869109947643,0.0157223115246844,0.2648351648351648,0.0360991235959011,0.8193717277486909,0.0684105317389298,0.7783882783882784,0.1551608650345311,156.5,13.06641156213561,212.5,42.35891615442701,-0.8193717277486909,0.0684105317389298,-0.7783882783882784,0.1551608650345311,0.2532558139534884,0.0493385123889982,0.2163934426229508,0.1448963545671279,1.75,0.1527319040590756,1.926666666666667,0.4342724865710383,1.1663095238095238,0.1170319435562241,1.0603305785123964,0.2662944491489064,0.8524529398370955,0.0086939585095068,0.8553990169934925,0.0159771743261838,0.912843402605452,0.0064919922595356,0.9172039956833986,0.0106285530133454,0.8906602976212771,0.015358665333979,0.8874006738419424,0.0315828666914314,0.8859302325581396,0.0269732355376672,0.8942622950819672,0.0317340052639008,0.8873393733639166,0.0133839861351208,0.8902633210086565,0.0211118059266692,86.0,0.0,122.0,0.0,0.1890925731148853,0.0194617911553401,0.1803254209711529,0.0434389294752064,0.3147619047619047,0.0530477045395566,0.2733333333333333,0.0766586147140459,0.2329390835912221,0.0282261272450466,0.2153134697385752,0.0510600117302158,21.0,0.0,30.0,0.0,0.8577510957849119,0.013846662157791,0.8638865315719787,0.0224333819796595,0.7192857142857141,0.0152641146903091,0.7429752066115702,0.0596531650665077,0.7803757608917798,0.011974279679192,0.7973226381393866,0.0323569684869159,84.0,0.0,121.0,0.0,0.0986046511627906,0.0284866581776269,0.0934426229508196,0.030228014614075,0.0154651162790697,0.0052304043801764,0.0122950819672131,0.0145861724754526,0.8426163573268836,0.0677858270873295,0.891722656428539,0.1219194286537725,0.1573836426731163,0.0677858270873295,0.1082773435714612,0.1219194286537726,0.2661904761904761,0.0298184647747296,0.3,0.0981306762925316,0.419047619047619,0.0461683795944412,0.4266666666666666,0.0913546879604198,0.391617415694041,0.0389958355173953,0.4109259594968977,0.1179774488145768,0.6083825843059589,0.0389958355173953,0.5890740405031023,0.1179774488145768,0.0463095238095238,0.0140573681532253,0.0413223140495867,0.0165289256198347,0.2344047619047619,0.0184209922480952,0.2157024793388429,0.0511611116154331,0.168708379691405,0.0464642511528535,0.1601750723496468,0.0511408194484174,0.8312916203085949,0.0464642511528535,0.8398249276503531,0.0511408194484174,LDA,HY43,X_V06_DELTA,random_forest
LDA_extra_trees,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.7665968586387434,0.007634330535144,0.7776556776556776,0.0156412115066177,0.6463593756048212,0.0120042923539062,0.6456721237951628,0.0214883656506763,0.7789588074846423,0.008899823889491,0.7858779037836086,0.013406264692149,0.65281100036914,0.0138903500419158,0.6490975327040901,0.0246193787130344,0.7665968586387434,0.007634330535144,0.7776556776556776,0.0156412115066177,0.6541968136099269,0.0122917645329417,0.6516014659825844,0.0207656688915962,0.8021221037874431,0.0111337653015995,0.8028305545264282,0.0145881020268303,0.2638219895287958,0.0145751948963288,0.2472527472527472,0.0182946569765222,0.8275916230366492,0.0840473327569484,0.7813186813186812,0.0867349284659191,158.07,16.05304055657716,213.3,23.678635471195925,-0.8275916230366492,0.0840473327569484,-0.7813186813186812,0.0867349284659191,0.1773255813953488,0.0605154084227407,0.1147540983606557,0.0956674393443256,1.8780952380952385,0.132065018306199,2.0533333333333337,0.3293090409394257,1.2307142857142856,0.1289820505440963,1.1380165289256197,0.1974670559024767,0.8566232759857547,0.0072432169192397,0.8596482540200163,0.0136254048002099,0.9175590459797954,0.0045322836034804,0.922233151101046,0.0075908021414777,0.8767525615429236,0.0149616535504363,0.8792189097411992,0.0206883390343786,0.915813953488372,0.0110066600615807,0.9442622950819672,0.0210931793066871,0.8952397410690912,0.0088447996087731,0.9103268678111638,0.0132648089454721,86.0,0.0,122.0,0.0,0.2127901639585044,0.0194608478887095,0.2004154909418067,0.0451568097318415,0.3161904761904762,0.0424258130089856,0.2666666666666667,0.0702728368926306,0.252252538174388,0.0270240640522282,0.2279630777201109,0.0529377323436523,21.0,0.0,30.0,0.0,0.8730477153283527,0.0149297588603587,0.8751699972647472,0.0276973472800107,0.7264285714285714,0.0157014537956698,0.7363636363636363,0.0396253964459709,0.7915858475709844,0.0133903512259639,0.7987264258542137,0.0168224849037872,84.0,0.0,121.0,0.0,0.0738372093023256,0.0123575957883177,0.0491803278688524,0.0185309562380471,0.0103488372093023,0.0065192369717681,0.0065573770491803,0.0093056756097958,0.8787253857253858,0.0761324405621186,0.8932539682539684,0.1525293451837556,0.1212746142746142,0.0761324405621187,0.1067460317460317,0.1525293451837556,0.2985714285714286,0.0273135817137142,0.33,0.0792713732521643,0.3852380952380952,0.0402467821936901,0.4033333333333333,0.102379106664795,0.4387108742220971,0.0418845022631626,0.4536470920383964,0.1168545888003169,0.5612891257779029,0.0418845022631626,0.5463529079616036,0.1168545888003169,0.0585714285714285,0.0132898004374187,0.0495867768595041,0.0190859593120537,0.215,0.0121948776776228,0.2140495867768595,0.0400066019185852,0.214923120976973,0.0432419947506005,0.1889775345622119,0.0695810941588519,0.7850768790230269,0.0432419947506005,0.8110224654377879,0.0695810941588519,LDA,HY43,X_V06_STATS,extra_trees
xgboost,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.8415706806282722,0.0050773044456455,0.8512820512820513,0.0127124933673459,0.650230021375164,0.0129627674457955,0.6601220824088407,0.0251939924769514,0.8133963940235276,0.0062189658346586,0.8234650869733897,0.0129911774766847,0.6579263565891473,0.0087415935920594,0.6659853377290039,0.01807365190526,0.8415706806282722,0.0050773044456455,0.8512820512820513,0.0127124933673459,0.6910825466780175,0.0248898179759833,0.7060761253685572,0.0550901997688777,0.8037799228453624,0.0101089326288532,0.8152080094681713,0.0207789132404878,0.1976439790575916,0.0090523612360191,0.1787545787545787,0.0178450069904225,0.679109947643979,0.0448285297659504,0.5882783882783883,0.0893953023342511,129.70999999999998,8.562249185296535,160.6,24.40491753725056,-0.679109947643979,0.0448285297659504,-0.5882783882783883,0.0893953023342511,0.3584883720930232,0.0600413744732655,0.2385245901639344,0.1451665853900632,2.1428571428571432,0.1421321994001498,2.18,0.352836827953792,0.6414285714285713,0.0892439055552836,0.5462809917355371,0.1791036191235124,0.8731819160106264,0.0077213507863344,0.8868361597450212,0.0118914944551272,0.9263727803789716,0.0039321129104967,0.9364292433525486,0.0068797011963636,0.8812723097424534,0.0120282418895534,0.8859005507719641,0.0248035092235637,0.9512790697674418,0.0067234377447303,0.9606557377049182,0.0258626438605447,0.9145538103111304,0.0070190712064945,0.9214124927123036,0.0169734192575435,86.0,0.0,122.0,0.0,0.355450493950494,0.0711107076603249,0.3806565656565656,0.1605167519514452,0.1104761904761904,0.0267308373778043,0.1133333333333333,0.0449965705140368,0.1639422499788856,0.0363656093123903,0.1729643919053418,0.0676514896275848,21.0,0.0,30.0,0.0,0.8365248363411055,0.0147072580239372,0.851671259677142,0.0265678395092214,0.9120238095238096,0.0102324027486993,0.9239669421487602,0.0223123490152248,0.8721940038354756,0.0104164712278809,0.885989362608877,0.0160453733369222,84.0,0.0,121.0,0.0,0.0143023255813953,0.0074767029949717,0.0172131147540983,0.0187113592002884,0.0344186046511627,0.0063735828809595,0.0221311475409836,0.0139585134146937,0.2694307359307359,0.1401160817554854,0.4476190476190476,0.2945182383034599,0.7205692640692641,0.1495130809934531,0.5523809523809524,0.2945182383034599,0.3133333333333333,0.0385423497416538,0.3233333333333333,0.093028603061931,0.5761904761904761,0.0571869318560375,0.5633333333333334,0.1211569739869687,0.3535217823971693,0.0495508609549795,0.3678457398284984,0.1164983069093853,0.6464782176028306,0.0495508609549794,0.6321542601715014,0.1164983069093853,0.0539285714285714,0.009290291911965,0.0454545454545454,0.0191851078198128,0.034047619047619,0.0076165670565143,0.0305785123966942,0.0202624523949678,0.6181600066600066,0.0883030245606172,0.612925407925408,0.2054689779530412,0.3818399933399933,0.0883030245606173,0.387074592074592,0.2054689779530412,None,HY43,X_STATS,xgboost
adaboost,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.8104712041884815,0.0068219268012886,0.8208791208791208,0.016781550230553,0.6514734515217612,0.0129428105036682,0.6495050295787139,0.0278908982884922,0.799992368698954,0.0080462650193506,0.804938579661238,0.0165138966624166,0.653639719453673,0.0112995031724951,0.6523461138960392,0.0223495466092619,0.8104712041884815,0.0068219268012886,0.8208791208791208,0.016781550230553,0.6579494147168231,0.0150369539738884,0.6582092754216704,0.0366942610497541,0.7937562041558275,0.0096559071816722,0.794454597375086,0.0188465922764088,0.2285863874345549,0.0118061247117842,0.2157509157509157,0.0248706889329933,0.7697382198952879,0.0596081467425065,0.7329670329670329,0.1173108337305197,147.02,11.38515602781876,200.1,32.025857608431906,-0.7697382198952879,0.0596081467425065,-0.7329670329670329,0.1173108337305197,0.4173255813953488,0.0799943097850146,0.3836065573770492,0.2227337419577546,1.9804761904761905,0.1127866857512058,2.1166666666666663,0.3960452649027026,0.8278571428571428,0.0967980705649888,0.7421487603305785,0.1917244542568045,0.8399585716051254,0.0069519872605692,0.8580454289398283,0.0134104585495302,0.9146141231459556,0.00433894470894,0.9241757902867076,0.0060710022979828,0.8884404798205962,0.012775430247522,0.8859501968353449,0.0238264147080606,0.9363953488372092,0.0071269363376701,0.9483606557377048,0.0270615967528183,0.9112959310719532,0.0076519922761542,0.915705817056294,0.0160737441178253,86.0,0.0,122.0,0.0,0.2535348964209141,0.0349382875824765,0.2519759570494865,0.097439826040308,0.1871428571428571,0.0276801003730865,0.15,0.0571979452277055,0.2094501464147222,0.0294309120106977,0.1861296627100161,0.0701163885223396,21.0,0.0,30.0,0.0,0.8318728679089593,0.016955810793196,0.8367016723801797,0.0299558251396275,0.8373809523809523,0.0136798325315114,0.8586776859504133,0.0380624149156782,0.833674277078608,0.0126788536571383,0.8466796089698315,0.0189380690683246,84.0,0.0,121.0,0.0,0.0243023255813953,0.0073428900149742,0.0147540983606557,0.0107914850590882,0.0393023255813953,0.0084171911957459,0.0368852459016393,0.0219431398964603,0.3619300144300144,0.1202644800949799,0.2907692307692308,0.1771817754376214,0.6180699855699856,0.1168229772914787,0.7092307692307693,0.1771817754376214,0.2919047619047619,0.0317499997520151,0.3166666666666666,0.0959037583424003,0.5209523809523808,0.0530833141995643,0.5333333333333334,0.1042314613294095,0.3594600207154387,0.045850087320067,0.3727977848682496,0.1092450205753935,0.6405399792845613,0.045850087320067,0.6272022151317503,0.1092450205753935,0.0485714285714285,0.0107480362014159,0.0454545454545454,0.0170932143884171,0.114047619047619,0.0143604745754711,0.0958677685950413,0.0359607027483872,0.3103342037219746,0.063919722532419,0.3301206879673025,0.1062740514161147,0.6896657962780254,0.063919722532419,0.6698793120326975,0.1062740514161146,None,HY43,X_STATS,adaboost
svm,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.7637696335078534,0.0109261272086693,0.784981684981685,0.0303560647166329,0.6567462103492749,0.0153298052956784,0.6822429226236905,0.0354723340120424,0.7741342737287249,0.0113111334981794,0.7957957221994099,0.0280444159149173,0.6740042451088962,0.0192276354447841,0.701284980957112,0.0358511447801161,0.7637696335078534,0.0109261272086693,0.784981684981685,0.0303560647166329,0.6748336979960772,0.0145284301019663,0.6952546665604926,0.0284912100513799,0.8168438816532559,0.0118412143844297,0.8345937869424948,0.0193522986613179,0.2705759162303665,0.0161255033499263,0.2388278388278388,0.0365811639776781,0.962303664921466,0.0754144820106004,0.8256410256410257,0.1560991683971326,183.8,14.40416606402467,225.4,42.61507297241722,-0.962303664921466,0.0754144820106004,-0.8256410256410257,0.1560991683971326,0.0569767441860465,0.0269205509367214,0.0204918032786885,0.0245141508810469,2.057142857142857,0.2174776959803675,1.8666666666666665,0.3810317377662721,1.61547619047619,0.1542370015855478,1.3793388429752067,0.2858237908156284,0.8780103507316135,0.0092229055750983,0.8961198759162976,0.0199608176580521,0.930628925485152,0.0059405400354246,0.9424148058875284,0.0111202337993377,0.8584296441117722,0.0151272285258482,0.8815541790950924,0.0283177659544475,0.9754651162790696,0.0085526397899689,0.9868852459016392,0.0117200057866269,0.9128365126264796,0.0091877167644905,0.9310134656192404,0.016724466952766,86.0,0.0,122.0,0.0,0.2501233299597321,0.0248534643871851,0.2792845528049764,0.0597612393987157,0.4114285714285713,0.0647961316339883,0.4533333333333333,0.0688530372659096,0.3089852658902184,0.0369419568637044,0.3443182661272529,0.060927205646605,21.0,0.0,30.0,0.0,0.9159481199167272,0.0138088299392652,0.9249252677814092,0.0241252944575829,0.6351190476190476,0.0271194668548128,0.6636363636363637,0.055923543536982,0.7484168525311266,0.0212766966637973,0.7713970361245784,0.0359695910963196,84.0,0.0,121.0,0.0,0.0209302325581395,0.0082586340126598,0.0122950819672131,0.0123707447242314,0.0036046511627906,0.0025971884601164,0.0008196721311475,0.0025920308689904,0.7298095238095238,0.1311309893075047,0.7,0.4830458915396479,0.1301904761904762,0.1049595178053374,0.1,0.3162277660168379,0.3671428571428571,0.0396158169215949,0.3299999999999999,0.0867093911783407,0.2214285714285714,0.0356525038812955,0.2166666666666667,0.0849836585598797,0.6252934402199108,0.0404051894275349,0.6041083099906629,0.1476694056517589,0.3747065597800892,0.0404051894275349,0.3958916900093371,0.147669405651759,0.0744047619047619,0.0151860262842479,0.052892561983471,0.0217613417720457,0.2904761904761904,0.026202498443205,0.2834710743801653,0.0464332403288392,0.2066809603122979,0.0390800299826512,0.1541387569866766,0.0565528160331421,0.793319039687702,0.0390800299826512,0.8458612430133234,0.0565528160331421,None,HY43,X_STATS,svm
LDA_logistic_regression,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.7461780104712042,0.0123374704221553,0.7487179487179487,0.0275308023909475,0.6472193096924528,0.011873697459012,0.6514215121105231,0.0262036384197549,0.7705282994462539,0.0098862043998716,0.7743605766601465,0.0231608677837214,0.6620717977113326,0.0148949860046999,0.6659178973038883,0.0292377530790187,0.7461780104712042,0.0123374704221553,0.7487179487179487,0.0275308023909475,0.664972893910436,0.0109154199051028,0.6691898052967884,0.0199332255154911,0.8158805405782606,0.0098049171379381,0.8208551071628838,0.0161542282541622,0.2764921465968586,0.0142390624428171,0.2703296703296703,0.0325254191272721,0.8113612565445025,0.0526183364708127,0.7875457875457876,0.1185817879577922,154.96999999999997,10.050102265925233,215.0,32.37282811247729,-0.8113612565445025,0.0526183364708127,-0.7875457875457876,0.1185817879577922,0.1780232558139534,0.0278501251232889,0.1377049180327869,0.0507932242125562,1.6161904761904762,0.1131157040797087,1.6866666666666668,0.3356217741873163,1.2585714285714285,0.1084253054558285,1.2198347107438017,0.2165015859761468,0.8724231383345193,0.0082217708051296,0.8826615109656999,0.012937577737233,0.9247649505366564,0.0058472889603405,0.9320586290278272,0.008982452943812,0.8945967786162378,0.0123773255722105,0.8932134578722994,0.0246225113417245,0.8889534883720931,0.013662447079081,0.8918032786885245,0.0264336319616346,0.8911395896116471,0.0093312090095629,0.8921456384591041,0.0169306405284574,86.0,0.0,122.0,0.0,0.2147488820986438,0.0171021473930574,0.2166556980784524,0.0331189249345062,0.4142857142857142,0.0468724541594711,0.42,0.0548848401565709,0.2811212702775703,0.0241487651477605,0.2852496385314175,0.0393165836376157,21.0,0.0,30.0,0.0,0.8855730210164264,0.0114861499409618,0.8977002599396131,0.0234128449053332,0.6829761904761905,0.0244751533554179,0.6859504132231405,0.0452663270665426,0.769397069188141,0.0165917588705921,0.7768692593410474,0.0309482102484698,84.0,0.0,121.0,0.0,0.1036046511627906,0.0135985211128174,0.1049180327868852,0.0258626438605447,0.0074418604651162,0.002523848154434,0.0032786885245901,0.0042327686843796,0.9224927017427016,0.0255878200029726,0.970849567099567,0.0383256813925973,0.0775072982572982,0.0255878200029726,0.0291504329004329,0.0383256813925973,0.2576190476190476,0.0213490588299618,0.2766666666666666,0.0770601817084431,0.3280952380952381,0.0427364555845292,0.3033333333333333,0.0727756573058347,0.4450184807023042,0.0408386521962693,0.4761781905744754,0.119015265369108,0.5549815192976958,0.0408386521962693,0.5238218094255246,0.119015265369108,0.0439285714285714,0.0120291124562563,0.0396694214876033,0.0144726452193539,0.2730952380952381,0.0278977003181908,0.2743801652892562,0.0373275695558221,0.1388232805086582,0.0414541160827287,0.1244011851906588,0.0384552997232654,0.8611767194913418,0.0414541160827287,0.8755988148093412,0.0384552997232654,LDA,HY43,X_V06_DELTA,logistic_regression
minmax_knn,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.8017801047120419,0.010837682283534,0.8043956043956044,0.0226593615817573,0.6199045864708447,0.0156925379741496,0.6344680610881204,0.0352640613798184,0.776206325373033,0.0100268588518491,0.7840220907744972,0.022313451347791,0.6279198966408269,0.0122629693811626,0.638144936699333,0.0286645231211628,0.8017801047120419,0.010837682283534,0.8043956043956044,0.0226593615817573,0.6495344833117398,0.0237084166143193,0.6593814624814263,0.0487165906340746,0.7738846150121831,0.0107678963237463,0.7831661650722124,0.0221739414943856,0.2665968586387434,0.0182618388116748,0.2556776556776557,0.0295976337506729,1.0916230366492148,0.0926085122463494,1.0190476190476192,0.1443861693595025,208.5,17.688225839052745,278.2,39.4174242351442,-1.0916230366492148,0.0926085122463494,-1.0190476190476192,0.1443861693595025,0.0508139534883721,0.0257455970426266,0.0254098360655737,0.0549784894102151,2.855238095238096,0.182962932361426,2.683333333333333,0.4554877998393252,1.7163095238095238,0.1924501306418796,1.6082644628099174,0.2706799073829649,0.8373258233960831,0.0072629947292025,0.8457746395705781,0.0172728361666811,0.901761088493723,0.006261887582733,0.9091524213897154,0.0116352413617701,0.7887520802410353,0.014742236238992,0.8038956613197431,0.0250887643085541,0.992093023255814,0.0036277082036581,0.9967213114754097,0.0057311958916401,0.8785384650695001,0.0101168337489678,0.889771097451999,0.0150503458698744,86.0,0.0,122.0,0.0,0.276956071233548,0.0679129832425642,0.2896154228281701,0.1321344734816343,0.1123809523809523,0.0423068730132258,0.1433333333333333,0.0609594076637564,0.1542480091197232,0.0457135612818406,0.1886114999011207,0.0805084172685134,21.0,0.0,30.0,0.0,0.8828952984606362,0.0086273838982361,0.8846333032963655,0.0203750842528985,0.7792857142857144,0.0267273025658023,0.7743801652892562,0.0439132628672407,0.8269272852233108,0.016114558722674,0.8250215859112415,0.0245708852002397,84.0,0.0,121.0,0.0,0.0031395348837209,0.0023288091295813,0.0008196721311475,0.0025920308689904,0.0047674418604651,0.0025386857199709,0.0024590163934426,0.0055323652271356,0.1816666666666666,0.1195283942711397,0.1,0.3162277660168379,0.3183333333333333,0.1716747570909078,0.2,0.4216370213557839,0.4919047619047619,0.0394628841316228,0.4566666666666666,0.1042906669356205,0.3957142857142857,0.0406826356760846,0.3999999999999999,0.0846197011762656,0.5550242924430231,0.0386643940112062,0.530702429615473,0.1040685007367695,0.4449757075569769,0.0386643940112062,0.4692975703845269,0.1040685007367695,0.1505952380952381,0.0195474273202385,0.1330578512396694,0.0259743241131089,0.0701190476190476,0.0230326293683778,0.0925619834710743,0.0389200727547093,0.6867116786382131,0.0708645998713841,0.5997460128745776,0.1162925478660092,0.3132883213617868,0.0708645998713841,0.4002539871254223,0.1162925478660093,MINMAX,HY43,X_STATS,knn
