model,task_name,task_type,target_type,original_classes,n_original_classes,lda_mode,classes_used,positive_group,negative_group,accuracy_cv_mean,accuracy_cv_std,accuracy_train_mean,accuracy_train_std,accuracy_test_mean,accuracy_test_std,f1_cv_mean,f1_cv_std,f1_train_mean,f1_train_std,f1_test_mean,f1_test_std,recall_cv_mean,recall_cv_std,recall_train_mean,recall_train_std,recall_test_mean,recall_test_std,precision_cv_mean,precision_cv_std,precision_train_mean,precision_train_std,precision_test_mean,precision_test_std,misclassification_cost_mean_cv_mean,misclassification_cost_mean_cv_std,misclassification_cost_mean_train_mean,misclassification_cost_mean_train_std,misclassification_cost_mean_test_mean,misclassification_cost_mean_test_std,misclassification_cost_total_cv_mean,misclassification_cost_total_cv_std,misclassification_cost_total_train_mean,misclassification_cost_total_train_std,misclassification_cost_total_test_mean,misclassification_cost_total_test_std,misclassification_score_cv_mean,misclassification_score_cv_std,misclassification_score_train_mean,misclassification_score_train_std,misclassification_score_test_mean,misclassification_score_test_std,misclassification_cost_mean_true_class_0_cv_mean,misclassification_cost_mean_true_class_0_cv_std,misclassification_cost_mean_true_class_0_train_mean,misclassification_cost_mean_true_class_0_train_std,misclassification_cost_mean_true_class_0_test_mean,misclassification_cost_mean_true_class_0_test_std,misclassification_cost_mean_true_class_1_cv_mean,misclassification_cost_mean_true_class_1_cv_std,misclassification_cost_mean_true_class_1_train_mean,misclassification_cost_mean_true_class_1_train_std,misclassification_cost_mean_true_class_1_test_mean,misclassification_cost_mean_true_class_1_test_std,roc_auc_cv_mean,roc_auc_cv_std,roc_auc_train_mean,roc_auc_train_std,roc_auc_test_mean,roc_auc_test_std,aucpr_cv_mean,aucpr_cv_std,aucpr_train_mean,aucpr_train_std,aucpr_test_mean,aucpr_test_std,aucpr_baseline_cv_mean,aucpr_baseline_cv_std,aucpr_baseline_train_mean,aucpr_baseline_train_std,aucpr_baseline_test_mean,aucpr_baseline_test_std,precision_class_0_cv_mean,precision_class_0_cv_std,precision_class_0_train_mean,precision_class_0_train_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_cv_mean,recall_class_0_cv_std,recall_class_0_train_mean,recall_class_0_train_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_cv_mean,f1_class_0_cv_std,f1_class_0_train_mean,f1_class_0_train_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_cv_mean,support_class_0_cv_std,support_class_0_train_mean,support_class_0_train_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_cv_mean,precision_class_1_cv_std,precision_class_1_train_mean,precision_class_1_train_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_cv_mean,recall_class_1_cv_std,recall_class_1_train_mean,recall_class_1_train_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_cv_mean,f1_class_1_cv_std,f1_class_1_train_mean,f1_class_1_train_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_cv_mean,support_class_1_cv_std,support_class_1_train_mean,support_class_1_train_std,support_class_1_test_mean,support_class_1_test_std,tn_cv_mean,tn_cv_std,tn_train_mean,tn_train_std,tn_test_mean,tn_test_std,fp_cv_mean,fp_cv_std,fp_train_mean,fp_train_std,fp_test_mean,fp_test_std,fn_cv_mean,fn_cv_std,fn_train_mean,fn_train_std,fn_test_mean,fn_test_std,tp_cv_mean,tp_cv_std,tp_train_mean,tp_train_std,tp_test_mean,tp_test_std,specificity_cv_mean,specificity_cv_std,specificity_train_mean,specificity_train_std,specificity_test_mean,specificity_test_std,npv_cv_mean,npv_cv_std,npv_train_mean,npv_train_std,npv_test_mean,npv_test_std,fpr_cv_mean,fpr_cv_std,fpr_train_mean,fpr_train_std,fpr_test_mean,fpr_test_std,fnr_cv_mean,fnr_cv_std,fnr_train_mean,fnr_train_std,fnr_test_mean,fnr_test_std,Target,X_Processing,Scaler
decision_tree,0 vs 1-2,grouped_multiclass_lda,binary_derived_from_multiclass,"[0, 1, 2]",3,multiclass_lda_2d_then_recode,"[0, 1, 2]",[0],"[1, 2]",0.7679057591623036,0.021745858990144997,1.0,0.0,0.8164835164835165,0.0424883863829182,0.7567954514032226,0.019633060117249752,1.0,0.0,0.8088692645405509,0.03908789113449342,0.7993023255813954,0.03018879758767602,1.0,0.0,0.8577235772357724,0.04202726942891823,0.7248551218035375,0.032665183915929985,1.0,0.0,0.7675992669567387,0.05626643636687545,0.5935602094240837,0.06062408744314783,0.0,0.0,0.43992673992674,0.09972598015277809,113.36999999999998,11.579200701641236,0.0,0.0,120.1,27.22519258170842,-0.5935602094240837,0.06062408744314783,0.0,0.0,-0.43992673992674,0.09972598015277809,0.2578095238095238,0.04441280052633575,0.0,0.0,0.21733333333333332,0.07195334565270252,1.0034883720930232,0.15094398793838032,0.0,0.0,0.7113821138211381,0.2101363471445911,0.7707464008859358,0.02024576228435796,1.0,0.0,0.8201951219512195,0.040230079839451385,0.6685895369171537,0.025120111682606434,1.0,0.0,0.7227286619418846,0.05272423942143609,0.450261780104712,0.0,0.44811320754716977,5.851389114294502e-17,0.45054945054945056,0.0,0.8208794243045808,0.018113591350769304,1.0,0.0,0.8708619203174871,0.03340916812866189,0.7421904761904762,0.04441280052633577,1.0,0.0,0.7826666666666666,0.0719533456527025,0.7757778840700821,0.0263804912495647,1.0,0.0,0.8227734284487036,0.04745591803393029,105.0,0.0,351.0,0.0,150.0,0.0,0.7248551218035375,0.032665183915929985,1.0,0.0,0.7675992669567387,0.05626643636687545,0.7993023255813954,0.03018879758767602,1.0,0.0,0.8577235772357724,0.04202726942891823,0.7567954514032226,0.019633060117249752,1.0,0.0,0.8088692645405509,0.03908789113449342,86.0,0.0,285.0,0.0,123.0,0.0,77.93,4.663344055265254,351.0,0.0,117.4,10.793001847905378,27.070000000000004,4.663344055265253,0.0,0.0,32.6,10.793001847905378,17.259999999999998,2.596236592540141,0.0,0.0,17.5,5.1693541397569405,68.74,2.59623659254014,285.0,0.0,105.5,5.1693541397569405,0.7421904761904762,0.04441280052633577,1.0,0.0,0.7826666666666666,0.0719533456527025,0.8208794243045808,0.018113591350769304,1.0,0.0,0.8708619203174871,0.03340916812866189,0.2578095238095238,0.04441280052633575,0.0,0.0,0.21733333333333332,0.07195334565270252,0.2006976744186047,0.03018879758767606,0.0,0.0,0.14227642276422764,0.04202726942891822,HY3,X_STATS,No_scaler
decision_tree, 2 vs 1-0,grouped_multiclass_lda,binary_derived_from_multiclass,"[0, 1, 2]",3,multiclass_lda_2d_then_recode,"[0, 1, 2]",[2],"[0, 1]",0.9412041884816753,0.007909630017543632,1.0,0.0,0.9512820512820512,0.009926972710221174,0.21657540726947783,0.05880815056570715,1.0,0.0,0.33318809695711027,0.06955635849646788,0.32199999999999995,0.08715248450592533,1.0,0.0,0.48571428571428565,0.18070158058105024,0.17233470695970693,0.050804089863259974,1.0,0.0,0.2634083850931678,0.05688883872570156,0.12979057591623036,0.013280621846256476,0.0,0.0,0.10146520146520147,0.015924589830977408,24.79,2.536598772634989,0.0,0.0,27.7,4.347413023856832,-0.12979057591623036,0.013280621846256476,0.0,0.0,-0.10146520146520147,0.015924589830977408,0.0421505376344086,0.007963122051325485,0.0,0.0,0.036466165413533834,0.013267830508838521,3.3899999999999997,0.43576242252962655,0.0,0.0,2.5714285714285716,0.9035079029052513,0.6399247311827958,0.04344538610394423,1.0,0.0,0.724624060150376,0.08547638246011353,0.08895538718117253,0.028225259548465394,1.0,0.0,0.14383787796054875,0.05604018462774205,0.02617801047120419,0.0,0.02830188679245283,0.0,0.02564102564102564,0.0,0.9813831806357746,0.002363298649308038,1.0,0.0,0.9862118668343269,0.004735285546608406,0.9578494623655915,0.007963122051325516,1.0,0.0,0.9635338345864662,0.01326783050883852,0.9693804936209599,0.004257383643344305,1.0,0.0,0.9746727740305362,0.005365595118357488,186.0,0.0,618.0,0.0,266.0,0.0,0.17233470695970693,0.050804089863259974,1.0,0.0,0.2634083850931678,0.05688883872570156,0.32199999999999995,0.08715248450592533,1.0,0.0,0.48571428571428565,0.18070158058105024,0.21657540726947783,0.05880815056570715,1.0,0.0,0.33318809695711027,0.06955635849646788,5.0,0.0,18.0,0.0,7.0,0.0,178.16000000000003,1.4811407015465448,618.0,0.0,256.3,3.5292429153510465,7.839999999999999,1.4811407015465405,0.0,0.0,9.7,3.529242915351047,3.3899999999999997,0.43576242252962655,0.0,0.0,3.6,1.2649110640673518,1.61,0.43576242252962666,18.0,0.0,3.4,1.2649110640673518,0.9578494623655915,0.007963122051325516,1.0,0.0,0.9635338345864662,0.01326783050883852,0.9813831806357746,0.002363298649308038,1.0,0.0,0.9862118668343269,0.004735285546608406,0.0421505376344086,0.007963122051325485,0.0,0.0,0.036466165413533834,0.013267830508838521,0.6779999999999999,0.08715248450592536,0.0,0.0,0.5142857142857142,0.18070158058105026,HY3,X_STATS,No_scaler
decision_tree,1 vs 2-0,grouped_multiclass_lda,binary_derived_from_multiclass,"[0, 1, 2]",3,multiclass_lda_2d_then_recode,"[0, 1, 2]",[1],"[0, 2]",0.7346596858638743,0.019223843175241975,1.0,0.0,0.787912087912088,0.02797398802436346,0.7209526939117296,0.022865862865859714,1.0,0.0,0.7824710785891592,0.035933950874707375,0.6671,0.028234927149031402,1.0,0.0,0.7328671328671329,0.05995707754134369,0.7952602450844173,0.0189208103700207,1.0,0.0,0.842595935096931,0.02474427901623538,0.9625130890052356,0.0761584469180672,0.0,0.0,0.7717948717948718,0.15077313460014521,183.83999999999997,14.546263361350837,0.0,0.0,210.7,41.16106574583964,-0.9625130890052356,0.0761584469180672,0.0,0.0,-0.7717948717948718,0.15077313460014521,0.1910989010989011,0.02146188825396858,0.0,0.0,0.15153846153846157,0.03162277660168379,1.6644999999999999,0.14117463574515707,0.0,0.0,1.3356643356643356,0.2997853877067184,0.7380005494505495,0.019000816593223807,1.0,0.0,0.7906643356643356,0.0267801887434826,0.7048176205080939,0.01872157210755691,1.0,0.0,0.7573085821719501,0.025138016745632298,0.5235602094240839,0.0,0.5235849056603774,0.0,0.5238095238095238,0.0,0.6941969619488402,0.019808565377855525,1.0,0.0,0.7450368938299948,0.03895804156772522,0.8089010989010988,0.021461888253968574,1.0,0.0,0.8484615384615385,0.03162277660168379,0.7445234111829684,0.017794886021024484,1.0,0.0,0.7924496700615296,0.022724668425920965,91.0,0.0,303.0,0.0,130.0,0.0,0.7952602450844173,0.0189208103700207,1.0,0.0,0.842595935096931,0.02474427901623538,0.6671,0.028234927149031402,1.0,0.0,0.7328671328671329,0.05995707754134369,0.7209526939117296,0.022865862865859714,1.0,0.0,0.7824710785891592,0.035933950874707375,100.0,0.0,333.0,0.0,143.0,0.0,73.60999999999999,1.9530318311111419,303.0,0.0,110.3,4.110960958218893,17.389999999999997,1.9530318311111396,0.0,0.0,19.7,4.110960958218893,33.290000000000006,2.8234927149031406,0.0,0.0,38.2,8.573862088412149,66.71000000000001,2.823492714903141,333.0,0.0,104.8,8.573862088412149,0.8089010989010988,0.021461888253968574,1.0,0.0,0.8484615384615385,0.03162277660168379,0.6941969619488402,0.019808565377855525,1.0,0.0,0.7450368938299948,0.03895804156772522,0.1910989010989011,0.02146188825396858,0.0,0.0,0.15153846153846157,0.03162277660168379,0.3329,0.0282349271490314,0.0,0.0,0.2671328671328671,0.05995707754134368,HY3,X_STATS,No_scaler
random_forest,0 vs 1-2,grouped_multiclass_lda,binary_derived_from_multiclass,"[0, 1, 2]",3,multiclass_lda_2d_then_recode,"[0, 1, 2]",[0],"[1, 2]",0.7842931937172775,0.015712622541497197,1.0,0.0,0.8446886446886447,0.028436486696966315,0.7700675810735319,0.015062022345193108,1.0,0.0,0.837166974192678,0.02779157293898851,0.8024418604651163,0.022147016845320836,1.0,0.0,0.8845528455284553,0.035706599657453875,0.7441249996093566,0.02374852813159069,1.0,0.0,0.7960239697916209,0.0407207250151006,0.5715183246073299,0.046447394463769186,0.0,0.0,0.3633699633699633,0.08063786400025562,109.16,8.871452342579914,0.0,0.0,99.2,22.01413687206978,-0.5715183246073299,0.046447394463769186,0.0,0.0,-0.3633699633699633,0.08063786400025562,0.2305714285714286,0.02969382690070566,0.0,0.0,0.188,0.0474328635358427,0.9877906976744185,0.1107350842266043,0.0,0.0,0.5772357723577236,0.1785329982872694,0.844861018826135,0.019641013927915688,1.0,0.0,0.9140243902439023,0.015564729224721947,0.7870743173848564,0.02649685880247983,1.0,0.0,0.8709287997993137,0.02103862776604771,0.450261780104712,0.0,0.44811320754716977,5.851389114294502e-17,0.45054945054945056,0.0,0.8284659504970282,0.014510014928061412,1.0,0.0,0.8963775755148802,0.028967472039165533,0.7694285714285715,0.029693826900705607,1.0,0.0,0.8119999999999999,0.0474328635358427,0.7958452957700971,0.017280738842106746,1.0,0.0,0.8512706306300968,0.029615805488918925,105.0,0.0,351.0,0.0,150.0,0.0,0.7441249996093566,0.02374852813159069,1.0,0.0,0.7960239697916209,0.0407207250151006,0.8024418604651163,0.022147016845320836,1.0,0.0,0.8845528455284553,0.035706599657453875,0.7700675810735319,0.015062022345193108,1.0,0.0,0.837166974192678,0.02779157293898851,86.0,0.0,285.0,0.0,123.0,0.0,80.79,3.117851824574094,351.0,0.0,121.8,7.114929530376406,24.21,3.1178518245740925,0.0,0.0,28.2,7.114929530376406,16.99,1.9046434486975945,0.0,0.0,14.2,4.391911757866828,69.00999999999999,1.904643448697593,285.0,0.0,108.8,4.391911757866827,0.7694285714285715,0.029693826900705607,1.0,0.0,0.8119999999999999,0.0474328635358427,0.8284659504970282,0.014510014928061412,1.0,0.0,0.8963775755148802,0.028967472039165533,0.2305714285714286,0.02969382690070566,0.0,0.0,0.188,0.0474328635358427,0.19755813953488371,0.022147016845320867,0.0,0.0,0.11544715447154472,0.03570659965745389,HY3,X_STATS,No_scaler
random_forest, 2 vs 1-0,grouped_multiclass_lda,binary_derived_from_multiclass,"[0, 1, 2]",3,multiclass_lda_2d_then_recode,"[0, 1, 2]",[2],"[0, 1]",0.9482722513089005,0.011244836098658352,1.0,0.0,0.9630036630036629,0.006787273313644591,0.19451482542798332,0.05612071966592978,1.0,0.0,0.28536741036741037,0.12419690909113451,0.24800000000000005,0.07315128919650776,1.0,0.0,0.29999999999999993,0.1710312856768378,0.18575093370681606,0.06097299899866731,1.0,0.0,0.2842640692640693,0.10330357672975078,0.13047120418848168,0.015460153702343438,0.0,0.0,0.10879120879120881,0.021776994066548,24.919999999999998,2.9528893571475976,0.0,0.0,29.7,5.945119380167604,-0.13047120418848168,0.015460153702343438,0.0,0.0,-0.10879120879120881,0.021776994066548,0.032903225806451615,0.011090279929368601,0.0,0.0,0.019548872180451128,0.006087698146110836,3.7599999999999993,0.36575644598253876,0.0,0.0,3.5,0.8551564283841889,0.6570107526881721,0.05153511910508671,1.0,0.0,0.7410042964554243,0.08934735136341797,0.14122534220796928,0.04142454296980891,1.0,0.0,0.2284752112966399,0.09453366821139006,0.02617801047120419,0.0,0.02830188679245283,0.0,0.02564102564102564,0.0,0.9795695696033,0.0020337157797627324,1.0,0.0,0.9815794194428829,0.0044446750574227605,0.9670967741935483,0.011090279929368613,1.0,0.0,0.9804511278195489,0.006087698146110846,0.9731542007375786,0.006012054353630231,1.0,0.0,0.9810002816111811,0.0035150547499785273,186.0,0.0,618.0,0.0,266.0,0.0,0.18575093370681606,0.06097299899866731,1.0,0.0,0.2842640692640693,0.10330357672975078,0.24800000000000005,0.07315128919650776,1.0,0.0,0.29999999999999993,0.1710312856768378,0.19451482542798332,0.05612071966592978,1.0,0.0,0.28536741036741037,0.12419690909113451,5.0,0.0,18.0,0.0,7.0,0.0,179.88000000000002,2.06279206686256,618.0,0.0,260.8,1.6193277068654826,6.12,2.0627920668625594,0.0,0.0,5.2,1.6193277068654823,3.7599999999999993,0.36575644598253876,0.0,0.0,4.9,1.1972189997378646,1.2399999999999998,0.36575644598253876,18.0,0.0,2.1,1.1972189997378648,0.9670967741935483,0.011090279929368613,1.0,0.0,0.9804511278195489,0.006087698146110846,0.9795695696033,0.0020337157797627324,1.0,0.0,0.9815794194428829,0.0044446750574227605,0.032903225806451615,0.011090279929368601,0.0,0.0,0.019548872180451128,0.006087698146110836,0.752,0.07315128919650779,0.0,0.0,0.7,0.17103128567683779,HY3,X_STATS,No_scaler
random_forest,1 vs 2-0,grouped_multiclass_lda,binary_derived_from_multiclass,"[0, 1, 2]",3,multiclass_lda_2d_then_recode,"[0, 1, 2]",[1],"[0, 2]",0.7468062827225131,0.01733679246374051,1.0,0.0,0.7967032967032968,0.03322604352671007,0.7383037613452406,0.020006994830382062,1.0,0.0,0.7848579831798908,0.043600777858112394,0.6881,0.02540975315809962,1.0,0.0,0.7139860139860141,0.06547171027234133,0.802473508954467,0.016019153410851708,1.0,0.0,0.8751004061886573,0.021468771851119513,0.9063874345549738,0.0691697697968406,0.0,0.0,0.8025641025641026,0.1690762675967267,173.11999999999998,13.211426031196547,0.0,0.0,219.1,46.157821053906396,-0.9063874345549738,0.0691697697968406,0.0,0.0,-0.8025641025641026,0.1690762675967267,0.18868131868131868,0.016858175980363675,0.0,0.0,0.1123076923076923,0.022412075265038113,1.5595,0.1270487657904983,0.0,0.0,1.4300699300699302,0.32735855136170666,0.8026516483516485,0.020304000095139087,1.0,0.0,0.8771490048413124,0.019845866998791088,0.789285942656837,0.02254629338486004,1.0,0.0,0.8728260318901722,0.019492476363542836,0.5235602094240839,0.0,0.5235849056603774,0.0,0.5238095238095238,0.0,0.7058518922261043,0.018860219065245085,1.0,0.0,0.7406105209271387,0.041793327088244805,0.8113186813186812,0.01685817598036365,1.0,0.0,0.8876923076923076,0.022412075265038134,0.7534107326539079,0.0158522654481121,1.0,0.0,0.8067661034943416,0.026027193047786324,91.0,0.0,303.0,0.0,130.0,0.0,0.802473508954467,0.016019153410851708,1.0,0.0,0.8751004061886573,0.021468771851119513,0.6881,0.02540975315809962,1.0,0.0,0.7139860139860141,0.06547171027234133,0.7383037613452406,0.020006994830382062,1.0,0.0,0.7848579831798908,0.043600777858112394,100.0,0.0,333.0,0.0,143.0,0.0,73.83,1.5340940142130939,303.0,0.0,115.4,2.913569784454954,17.169999999999998,1.5340940142130939,0.0,0.0,14.6,2.913569784454954,31.189999999999998,2.5409753158099657,0.0,0.0,40.9,9.36245456894481,68.81,2.5409753158099666,333.0,0.0,102.1,9.36245456894481,0.8113186813186812,0.01685817598036365,1.0,0.0,0.8876923076923076,0.022412075265038134,0.7058518922261043,0.018860219065245085,1.0,0.0,0.7406105209271387,0.041793327088244805,0.18868131868131868,0.016858175980363675,0.0,0.0,0.1123076923076923,0.022412075265038113,0.31189999999999996,0.02540975315809965,0.0,0.0,0.286013986013986,0.06547171027234133,HY3,X_STATS,No_scaler
extra_trees,0 vs 1-2,grouped_multiclass_lda,binary_derived_from_multiclass,"[0, 1, 2]",3,multiclass_lda_2d_then_recode,"[0, 1, 2]",[0],"[1, 2]",0.7946596858638744,0.018598960098027997,1.0,0.0,0.8644688644688644,0.021704992472077116,0.7822756235338729,0.018985429501257624,1.0,0.0,0.856115720323699,0.022250666368763983,0.8200000000000001,0.02536199075557027,1.0,0.0,0.8943089430894309,0.025709574472913648,0.7503031353850081,0.02289884975319132,1.0,0.0,0.8215247949397548,0.02798453702923943,0.5295287958115182,0.05903691789695106,0.0,0.0,0.326007326007326,0.06297336731735105,101.14,11.276051318317656,0.0,0.0,89.0,17.191729277636835,-0.5295287958115182,0.05903691789695106,0.0,0.0,-0.326007326007326,0.06297336731735105,0.22609523809523807,0.026553805006865876,0.0,0.0,0.16,0.029814239699997195,0.9000000000000001,0.1268099537778514,0.0,0.0,0.5284552845528454,0.12854787236456827,0.8523028792912515,0.019158580518895553,1.0,0.0,0.9203604336043363,0.01593014514925508,0.7958756604641876,0.025839459197509147,1.0,0.0,0.8770272322438493,0.021674620967143874,0.450261780104712,0.0,0.44811320754716977,5.851389114294502e-17,0.45054945054945056,0.0,0.8417729331417508,0.01986620211728284,1.0,0.0,0.906714108665739,0.0212806380353157,0.773904761904762,0.026553805006865862,1.0,0.0,0.8399999999999999,0.02981423969999721,0.8050964123615225,0.018905890032307856,1.0,0.0,0.8718271036810753,0.021453844043545712,105.0,0.0,351.0,0.0,150.0,0.0,0.7503031353850081,0.02289884975319132,1.0,0.0,0.8215247949397548,0.02798453702923943,0.8200000000000001,0.02536199075557027,1.0,0.0,0.8943089430894309,0.025709574472913648,0.7822756235338729,0.018985429501257624,1.0,0.0,0.856115720323699,0.022250666368763983,86.0,0.0,285.0,0.0,123.0,0.0,81.26,2.788149525720916,351.0,0.0,126.0,4.47213595499958,23.740000000000002,2.7881495257209177,0.0,0.0,24.0,4.47213595499958,15.479999999999999,2.1811312049790432,0.0,0.0,13.0,3.1622776601683795,70.52,2.181131204979043,285.0,0.0,110.0,3.1622776601683795,0.773904761904762,0.026553805006865862,1.0,0.0,0.8399999999999999,0.02981423969999721,0.8417729331417508,0.01986620211728284,1.0,0.0,0.906714108665739,0.0212806380353157,0.22609523809523807,0.026553805006865876,0.0,0.0,0.16,0.029814239699997195,0.18,0.025361990755570274,0.0,0.0,0.1056910569105691,0.02570957447291365,HY3,X_STATS,No_scaler
extra_trees, 2 vs 1-0,grouped_multiclass_lda,binary_derived_from_multiclass,"[0, 1, 2]",3,multiclass_lda_2d_then_recode,"[0, 1, 2]",[2],"[0, 1]",0.956806282722513,0.0045592846344199665,1.0,0.0,0.9630036630036629,0.006332748463926709,0.20695617737955202,0.06780915803913175,1.0,0.0,0.3143344074226427,0.11762923447026438,0.22800000000000004,0.08230026326405848,1.0,0.0,0.3428571428571428,0.1535668142533057,0.2110137085137085,0.07121669552435629,1.0,0.0,0.3013636363636364,0.10023299557887118,0.12403141361256545,0.010894442440843028,0.0,0.0,0.1043956043956044,0.018777236262795722,23.689999999999998,2.080838506201019,0.0,0.0,28.5,5.126185499743233,-0.12403141361256545,0.010894442440843028,0.0,0.0,-0.1043956043956044,0.018777236262795722,0.02360215053763441,0.004536918072410579,0.0,0.0,0.020676691729323307,0.006450896078312656,3.8599999999999994,0.4115013163202925,0.0,0.0,3.2857142857142856,0.7678340712665285,0.7255537634408602,0.07021866740249692,1.0,0.0,0.7574919441460795,0.10671036080303221,0.19857466962075146,0.05743410695999874,1.0,0.0,0.260770953315226,0.0940144282163258,0.02617801047120419,0.0,0.02830188679245283,0.0,0.02564102564102564,0.0,0.97921852665501,0.0021718242734139765,1.0,0.0,0.9826687507832096,0.003950116160298718,0.9763978494623657,0.004536918072410598,1.0,0.0,0.9793233082706765,0.006450896078312664,0.9777551000458053,0.0023913148852288705,1.0,0.0,0.9809768523523168,0.003293321529404316,186.0,0.0,618.0,0.0,266.0,0.0,0.2110137085137085,0.07121669552435629,1.0,0.0,0.3013636363636364,0.10023299557887118,0.22800000000000004,0.08230026326405848,1.0,0.0,0.3428571428571428,0.1535668142533057,0.20695617737955202,0.06780915803913175,1.0,0.0,0.3143344074226427,0.11762923447026438,5.0,0.0,18.0,0.0,7.0,0.0,181.61,0.8438667614683714,618.0,0.0,260.5,1.7159383568311668,4.390000000000001,0.8438667614683678,0.0,0.0,5.5,1.7159383568311668,3.8599999999999994,0.4115013163202925,0.0,0.0,4.6,1.0749676997731399,1.14,0.4115013163202924,18.0,0.0,2.4,1.07496769977314,0.9763978494623657,0.004536918072410598,1.0,0.0,0.9793233082706765,0.006450896078312664,0.97921852665501,0.0021718242734139765,1.0,0.0,0.9826687507832096,0.003950116160298718,0.02360215053763441,0.004536918072410579,0.0,0.0,0.020676691729323307,0.006450896078312656,0.772,0.0823002632640585,0.0,0.0,0.6571428571428571,0.1535668142533057,HY3,X_STATS,No_scaler
extra_trees,1 vs 2-0,grouped_multiclass_lda,binary_derived_from_multiclass,"[0, 1, 2]",3,multiclass_lda_2d_then_recode,"[0, 1, 2]",[1],"[0, 2]",0.7501047120418848,0.019060356255115655,1.0,0.0,0.8219780219780219,0.021162455719944604,0.7407949875573712,0.020045113980061247,1.0,0.0,0.8185314783801015,0.02451348801252385,0.6845000000000001,0.021433359253483556,1.0,0.0,0.7685314685314686,0.039344944083677426,0.810819175543014,0.023583281225785502,1.0,0.0,0.8767633587972246,0.020099668082495824,0.9106282722513088,0.061825468205531954,0.0,0.0,0.663003663003663,0.1013210326531123,173.93,11.808664427256604,0.0,0.0,181.0,27.66064191429966,-0.9106282722513088,0.061825468205531954,0.0,0.0,-0.663003663003663,0.1013210326531123,0.1778021978021978,0.02376044533170539,0.0,0.0,0.11923076923076922,0.02271800659829404,1.5775000000000001,0.10716679626741783,0.0,0.0,1.157342657342657,0.19672472041838704,0.8132076923076923,0.02079911714216223,1.0,0.0,0.8892442173211403,0.01627035640329532,0.798528083778942,0.022932519571281448,1.0,0.0,0.8832272954613307,0.02228131748726709,0.5235602094240839,0.0,0.5235849056603774,0.0,0.5238095238095238,0.0,0.7048600016140475,0.017778950968521837,1.0,0.0,0.7767579700571172,0.02908385150393979,0.8221978021978021,0.023760445331705342,1.0,0.0,0.8807692307692306,0.022718006598294045,0.7580300305678713,0.01859221087642349,1.0,0.0,0.8250987452719046,0.01872616689209623,91.0,0.0,303.0,0.0,130.0,0.0,0.810819175543014,0.023583281225785502,1.0,0.0,0.8767633587972246,0.020099668082495824,0.6845000000000001,0.021433359253483556,1.0,0.0,0.7685314685314686,0.039344944083677426,0.7407949875573712,0.020045113980061247,1.0,0.0,0.8185314783801015,0.02451348801252385,100.0,0.0,333.0,0.0,143.0,0.0,74.82000000000001,2.162200525185189,303.0,0.0,114.5,2.9533408577782247,16.18,2.16220052518519,0.0,0.0,15.5,2.9533408577782247,31.549999999999994,2.143335925348355,0.0,0.0,33.1,5.626327003965869,68.44999999999999,2.1433359253483553,333.0,0.0,109.9,5.626327003965869,0.8221978021978021,0.023760445331705342,1.0,0.0,0.8807692307692306,0.022718006598294045,0.7048600016140475,0.017778950968521837,1.0,0.0,0.7767579700571172,0.02908385150393979,0.1778021978021978,0.02376044533170539,0.0,0.0,0.11923076923076922,0.02271800659829404,0.3155,0.02143335925348354,0.0,0.0,0.2314685314685315,0.0393449440836774,HY3,X_STATS,No_scaler
