model,target_type,classes,n_classes,accuracy_cv_mean,accuracy_cv_std,accuracy_train_mean,accuracy_train_std,accuracy_test_mean,accuracy_test_std,f1_cv_mean,f1_cv_std,f1_train_mean,f1_train_std,f1_test_mean,f1_test_std,recall_cv_mean,recall_cv_std,recall_train_mean,recall_train_std,recall_test_mean,recall_test_std,precision_cv_mean,precision_cv_std,precision_train_mean,precision_train_std,precision_test_mean,precision_test_std,misclassification_cost_mean_cv_mean,misclassification_cost_mean_cv_std,misclassification_cost_mean_train_mean,misclassification_cost_mean_train_std,misclassification_cost_mean_test_mean,misclassification_cost_mean_test_std,misclassification_cost_total_cv_mean,misclassification_cost_total_cv_std,misclassification_cost_total_train_mean,misclassification_cost_total_train_std,misclassification_cost_total_test_mean,misclassification_cost_total_test_std,misclassification_score_cv_mean,misclassification_score_cv_std,misclassification_score_train_mean,misclassification_score_train_std,misclassification_score_test_mean,misclassification_score_test_std,misclassification_cost_mean_true_class_0_cv_mean,misclassification_cost_mean_true_class_0_cv_std,misclassification_cost_mean_true_class_0_train_mean,misclassification_cost_mean_true_class_0_train_std,misclassification_cost_mean_true_class_0_test_mean,misclassification_cost_mean_true_class_0_test_std,misclassification_cost_mean_true_class_1_cv_mean,misclassification_cost_mean_true_class_1_cv_std,misclassification_cost_mean_true_class_1_train_mean,misclassification_cost_mean_true_class_1_train_std,misclassification_cost_mean_true_class_1_test_mean,misclassification_cost_mean_true_class_1_test_std,roc_auc_cv_mean,roc_auc_cv_std,roc_auc_train_mean,roc_auc_train_std,roc_auc_test_mean,roc_auc_test_std,aucpr_cv_mean,aucpr_cv_std,aucpr_train_mean,aucpr_train_std,aucpr_test_mean,aucpr_test_std,aucpr_baseline_cv_mean,aucpr_baseline_cv_std,aucpr_baseline_train_mean,aucpr_baseline_train_std,aucpr_baseline_test_mean,aucpr_baseline_test_std,precision_class_0_cv_mean,precision_class_0_cv_std,precision_class_0_train_mean,precision_class_0_train_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_cv_mean,recall_class_0_cv_std,recall_class_0_train_mean,recall_class_0_train_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_cv_mean,f1_class_0_cv_std,f1_class_0_train_mean,f1_class_0_train_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_cv_mean,support_class_0_cv_std,support_class_0_train_mean,support_class_0_train_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_cv_mean,precision_class_1_cv_std,precision_class_1_train_mean,precision_class_1_train_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_cv_mean,recall_class_1_cv_std,recall_class_1_train_mean,recall_class_1_train_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_cv_mean,f1_class_1_cv_std,f1_class_1_train_mean,f1_class_1_train_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_cv_mean,support_class_1_cv_std,support_class_1_train_mean,support_class_1_train_std,support_class_1_test_mean,support_class_1_test_std,tn_cv_mean,tn_cv_std,tn_train_mean,tn_train_std,tn_test_mean,tn_test_std,fp_cv_mean,fp_cv_std,fp_train_mean,fp_train_std,fp_test_mean,fp_test_std,fn_cv_mean,fn_cv_std,fn_train_mean,fn_train_std,fn_test_mean,fn_test_std,tp_cv_mean,tp_cv_std,tp_train_mean,tp_train_std,tp_test_mean,tp_test_std,specificity_cv_mean,specificity_cv_std,specificity_train_mean,specificity_train_std,specificity_test_mean,specificity_test_std,npv_cv_mean,npv_cv_std,npv_train_mean,npv_train_std,npv_test_mean,npv_test_std,fpr_cv_mean,fpr_cv_std,fpr_train_mean,fpr_train_std,fpr_test_mean,fpr_test_std,fnr_cv_mean,fnr_cv_std,fnr_train_mean,fnr_train_std,fnr_test_mean,fnr_test_std,OVR_Label,Fold
decision_tree_gini,binary,"[0, 1]",2,0.9208900523560212,0.0128137431969329,0.9449685534591196,0.0078090484411694,0.9197802197802198,0.0278136466882196,0.2484946312704097,0.0553797070100342,0.4948952306346045,0.0330996129465247,0.3149482892586341,0.1498316809093794,0.486,0.0805812219647563,1.0,0.0,0.5875,0.2433133553442738,0.1721252383483052,0.0440000171599461,0.3293774362606516,0.0286153098706177,0.2181390561978423,0.111888708754398,0.1329319371727748,0.0197530971009402,0.0550314465408805,0.0078090484411694,0.1285714285714285,0.0520739485567354,25.39,3.7728415462795857,35.0,4.96655480858378,35.1,14.216187955988763,-0.1329319371727748,0.0197530971009402,-0.0550314465408805,0.0078090484411694,-0.1285714285714285,0.0520739485567354,0.0674193548387096,0.0117056783514104,0.0565428109854604,0.0080235134225909,0.070188679245283,0.0240116528281559,2.57,0.4029061098237818,0.0,0.0,2.0625,1.2165667767213697,0.7136881720430107,0.045893515007561,0.9885156324242136,0.0014788362998978,0.7669103773584905,0.1306343608917633,0.1787481414606261,0.0631732472560794,0.6188235930354172,0.0390853548561378,0.3036493171046143,0.1825789908742979,0.0261780104712041,0.0,0.0267295597484276,0.0,0.0293040293040293,0.0,0.9854474032973324,0.0024038660580886,1.0,0.0,0.9867368657379932,0.0079249821598847,0.9325806451612904,0.0117056783514104,0.9434571890145392,0.0080235134225909,0.929811320754717,0.0240116528281559,0.9580748924108712,0.007041119324203,0.9708902089457784,0.0042682640191761,0.9573215406742964,0.0151751054666969,186.0,0.0,619.0,0.0,265.0,0.0,0.1721252383483052,0.0440000171599461,0.3293774362606516,0.0286153098706177,0.2181390561978423,0.111888708754398,0.486,0.0805812219647563,1.0,0.0,0.5875,0.2433133553442738,0.2484946312704097,0.0553797070100342,0.4948952306346045,0.0330996129465247,0.3149482892586341,0.1498316809093794,5.0,0.0,17.0,0.0,8.0,0.0,173.46,2.1772561733623466,584.0,4.96655480858378,246.4,6.363087999461338,12.54,2.177256173362346,35.0,4.96655480858378,18.6,6.363087999461338,2.57,0.4029061098237818,0.0,0.0,3.3,1.946506842754191,2.43,0.4029061098237818,17.0,0.0,4.7,1.946506842754191,0.9325806451612904,0.0117056783514104,0.9434571890145392,0.0080235134225909,0.929811320754717,0.0240116528281559,0.9854474032973324,0.0024038660580886,1.0,0.0,0.9867368657379932,0.0079249821598847,0.0674193548387096,0.0117056783514104,0.0565428109854604,0.0080235134225909,0.070188679245283,0.0240116528281559,0.514,0.0805812219647563,0.0,0.0,0.4125,0.2433133553442738,2 vs 1-0,Fold 2
decision_tree_entropy,binary,"[0, 1]",2,0.919633507853403,0.0109829849084821,0.9358490566037736,0.008669213051629,0.9186813186813187,0.0180113200630874,0.2558675478307023,0.0336629309107297,0.4567073136540626,0.0326491712840479,0.3327291822495558,0.1291308759088169,0.516,0.0579655069847577,1.0,0.0,0.6875,0.2651650429449553,0.1765248041663844,0.0287631346224029,0.2964490497732802,0.0272411508310954,0.2201066343661014,0.0866040783477988,0.1310471204188482,0.0137883004744454,0.0641509433962264,0.008669213051629,0.1179487179487179,0.0467437796884215,25.03,2.6335653906190872,40.8,5.513619500836089,32.2,12.761051854939092,-0.1310471204188482,0.0137883004744454,-0.0641509433962264,0.008669213051629,-0.1179487179487179,0.0467437796884215,0.069516129032258,0.0110008694536742,0.0659127625201938,0.0089073012937578,0.0743396226415094,0.0130781320559195,2.4199999999999995,0.2898275349237887,0.0,0.0,1.5625,1.3258252147247769,0.7284999999999999,0.0298156125962004,0.984657417086382,0.0025608613175416,0.8185377358490566,0.1366357267434572,0.1750396575898261,0.0378308689116525,0.5285668815030762,0.0537615753620507,0.3344531039257702,0.1289310557913488,0.0261780104712041,0.0,0.0267295597484276,0.0,0.0293040293040293,0.0,0.9862882733529932,0.0017031926648908,1.0,0.0,0.9899200275852774,0.008555908309045,0.930483870967742,0.0110008694536742,0.934087237479806,0.0089073012937578,0.9256603773584906,0.0130781320559195,0.957301244269758,0.0061244989577546,0.9659006952319372,0.0047736045075452,0.9566811375195196,0.0097269919087522,186.0,0.0,619.0,0.0,265.0,0.0,0.1765248041663844,0.0287631346224029,0.2964490497732802,0.0272411508310954,0.2201066343661014,0.0866040783477988,0.516,0.0579655069847577,1.0,0.0,0.6875,0.2651650429449553,0.2558675478307023,0.0336629309107297,0.4567073136540626,0.0326491712840479,0.3327291822495558,0.1291308759088169,5.0,0.0,17.0,0.0,8.0,0.0,173.07,2.046161718383418,578.2,5.513619500836089,245.3,3.4657049948186747,12.93,2.0461617183834173,40.8,5.513619500836089,19.7,3.4657049948186747,2.4199999999999995,0.2898275349237887,0.0,0.0,2.5,2.1213203435596424,2.5800000000000005,0.2898275349237887,17.0,0.0,5.5,2.1213203435596424,0.930483870967742,0.0110008694536742,0.934087237479806,0.0089073012937578,0.9256603773584906,0.0130781320559195,0.9862882733529932,0.0017031926648908,1.0,0.0,0.9899200275852774,0.008555908309045,0.069516129032258,0.0110008694536742,0.0659127625201938,0.0089073012937578,0.0743396226415094,0.0130781320559195,0.484,0.0579655069847577,0.0,0.0,0.3125,0.2651650429449553,2 vs 1-0,Fold 5
random_forest_gini,binary,"[0, 1]",2,0.974607329842932,0.0034042598958343,0.9919811320754718,0.0021545916971797,0.9758241758241756,0.0046333738610525,0.4305255855255854,0.0936221390541514,0.8705255774190306,0.0304605746561235,0.546025641025641,0.0848916322862875,0.392,0.1033655863643429,1.0,0.0,0.5,0.1020620726159657,0.549047619047619,0.0864569712985448,0.7718953510257858,0.0478153423829035,0.6185714285714285,0.1127350152945809,0.0890575916230366,0.0134492598431513,0.0080188679245283,0.0021545916971797,0.0827838827838828,0.0149740754254025,17.009999999999998,2.568808630041907,5.1,1.3703203194062978,22.6,4.087922591134904,-0.0890575916230366,0.0134492598431513,-0.0080188679245283,0.0021545916971797,-0.0827838827838828,0.0149740754254025,0.0097311827956989,0.0024890402230059,0.0082390953150242,0.0022137646517064,0.0098113207547169,0.0040564818859363,3.04,0.5168279318217148,0.0,0.0,2.5,0.5103103630798288,0.9382795698924732,0.0171507529864421,0.9992302575311224,0.0003085832019501,0.9442924528301888,0.0205818150587141,0.4994324731503276,0.0822295729538977,0.9718140552713036,0.0125729863289303,0.5611659143535971,0.1127566957096168,0.0261780104712041,0.0,0.0267295597484276,0.0,0.0293040293040293,0.0,0.983798847050352,0.0027139502735769,1.0,0.0,0.9849944324856512,0.0030110977917355,0.990268817204301,0.0024890402230059,0.9917609046849756,0.0022137646517064,0.990188679245283,0.0040564818859363,0.9870020646836336,0.0017418720656888,0.995862294953604,0.0011161642549028,0.9875783427794164,0.0023901448863404,186.0,0.0,619.0,0.0,265.0,0.0,0.549047619047619,0.0864569712985448,0.7718953510257858,0.0478153423829035,0.6185714285714285,0.1127350152945809,0.392,0.1033655863643429,1.0,0.0,0.5,0.1020620726159657,0.4305255855255854,0.0936221390541514,0.8705255774190306,0.0304605746561235,0.546025641025641,0.0848916322862875,5.0,0.0,17.0,0.0,8.0,0.0,184.19,0.4629614814791111,613.9,1.3703203194062976,262.4,1.07496769977314,1.81,0.4629614814791111,5.1,1.3703203194062978,2.6,1.07496769977314,3.04,0.5168279318217148,0.0,0.0,4.0,0.816496580927726,1.96,0.5168279318217148,17.0,0.0,4.0,0.816496580927726,0.990268817204301,0.0024890402230059,0.9917609046849756,0.0022137646517064,0.990188679245283,0.0040564818859363,0.983798847050352,0.0027139502735769,1.0,0.0,0.9849944324856512,0.0030110977917355,0.0097311827956989,0.0024890402230059,0.0082390953150242,0.0022137646517064,0.0098113207547169,0.0040564818859363,0.608,0.1033655863643429,0.0,0.0,0.5,0.1020620726159657,2 vs 1-0,Fold 3
random_forest_entropy,binary,"[0, 1]",2,0.9750261780104712,0.0036277513399214,0.9933962264150944,0.0020700647440389,0.9761904761904764,0.006285488486561,0.4087096237096237,0.0958181990893876,0.8909905610162351,0.0302839732389964,0.5245787545787546,0.1488047818661519,0.356,0.102761860629321,1.0,0.0,0.4625,0.1564581946293215,0.5706547619047618,0.1015967451277812,0.804614376851219,0.0489966442588093,0.6197619047619047,0.1426102363655952,0.0924083769633507,0.0134623881419266,0.0066037735849056,0.0020700647440389,0.0868131868131868,0.0241776741068959,17.65,2.571316135107985,4.2,1.3165611772087666,23.7,6.600505031182589,-0.0924083769633507,0.0134623881419266,-0.0066037735849056,0.0020700647440389,-0.0868131868131868,0.0241776741068959,0.0083333333333333,0.0027792226557833,0.0067851373182552,0.0021269162798203,0.0083018867924528,0.0029766439160249,3.22,0.5138093031466052,0.0,0.0,2.6875,0.7822909731466078,0.9376344086021504,0.0175008786004847,0.99944882638031,0.0003633851030998,0.9440566037735848,0.016153240495749,0.4990746159757392,0.0821875873744365,0.979013253132266,0.0154240046278746,0.5653137800289558,0.1041763504725368,0.0261780104712041,0.0,0.0267295597484276,0.0,0.0293040293040293,0.0,0.982875962361792,0.0026963525627556,1.0,0.0,0.9839158427962053,0.0046255222064784,0.9916666666666666,0.0027792226557832,0.9932148626817444,0.0021269162798202,0.9916981132075472,0.0029766439160249,0.987231914696772,0.0018580294679012,0.9965948537920818,0.0010713034131987,0.9877871971332012,0.0032119485703819,186.0,0.0,619.0,0.0,265.0,0.0,0.5706547619047618,0.1015967451277812,0.804614376851219,0.0489966442588093,0.6197619047619047,0.1426102363655952,0.356,0.102761860629321,1.0,0.0,0.4625,0.1564581946293215,0.4087096237096237,0.0958181990893876,0.8909905610162351,0.0302839732389964,0.5245787545787546,0.1488047818661519,5.0,0.0,17.0,0.0,8.0,0.0,184.45,0.5169354139756919,614.8,1.3165611772087666,262.8,0.7888106377466155,1.55,0.5169354139756941,4.2,1.3165611772087666,2.2,0.7888106377466155,3.22,0.5138093031466052,0.0,0.0,4.3,1.2516655570345725,1.78,0.5138093031466052,17.0,0.0,3.7,1.2516655570345725,0.9916666666666666,0.0027792226557832,0.9932148626817444,0.0021269162798202,0.9916981132075472,0.0029766439160249,0.982875962361792,0.0026963525627556,1.0,0.0,0.9839158427962053,0.0046255222064784,0.0083333333333333,0.0027792226557833,0.0067851373182552,0.0021269162798203,0.0083018867924528,0.0029766439160249,0.6439999999999999,0.102761860629321,0.0,0.0,0.5375,0.1564581946293215,2 vs 1-0,Fold 3
extra_trees_gini,binary,"[0, 1]",2,0.9492146596858636,0.0073090372046673,0.9619496855345911,0.0065796037008281,0.9556776556776556,0.0156792912014573,0.4102593281747541,0.0434693016953065,0.5868526681493831,0.0411661972145373,0.526078559926386,0.1111585606689034,0.66,0.0498887651569858,1.0,0.0,0.8,0.0874007373475126,0.3071068183734424,0.049233331639828,0.4163538127081828,0.0409445483108974,0.3966441414622529,0.1085605927973803,0.0863874345549738,0.0086945331288524,0.0380503144654088,0.0065796037008281,0.0677655677655677,0.0238798622901195,16.5,1.66065582761082,24.2,4.184627953726724,18.5,6.519202405202649,-0.0863874345549738,0.0086945331288524,-0.0380503144654088,0.0065796037008281,-0.0677655677655677,0.0238798622901195,0.043010752688172,0.0077123422191218,0.0390953150242326,0.0067603036409155,0.0396226415094339,0.0144790747587689,1.7,0.2494438257849294,0.0,0.0,1.0,0.4370036867375631,0.9423978494623656,0.0167287201843777,1.0,0.0,0.9565094339622644,0.0172265631989885,0.5206166441581102,0.0887301038806243,1.0,0.0,0.589116004189707,0.1531649086926242,0.0261780104712041,0.0,0.0267295597484276,0.0,0.0293040293040293,0.0,0.9905844198589856,0.0013764763804787,1.0,0.0,0.9937367783058112,0.0027646237200292,0.956989247311828,0.0077123422191218,0.9609046849757672,0.0067603036409155,0.960377358490566,0.0144790747587689,0.9734046580492476,0.0039298084551149,0.9800516875560336,0.0035212704524506,0.9767316307103848,0.0083821230024735,186.0,0.0,619.0,0.0,265.0,0.0,0.3071068183734424,0.049233331639828,0.4163538127081828,0.0409445483108974,0.3966441414622529,0.1085605927973803,0.66,0.0498887651569858,1.0,0.0,0.8,0.0874007373475126,0.4102593281747541,0.0434693016953065,0.5868526681493831,0.0411661972145373,0.526078559926386,0.1111585606689034,5.0,0.0,17.0,0.0,8.0,0.0,178.0,1.4344956527566626,594.8,4.184627953726724,254.5,3.8369548110737792,8.0,1.4344956527566677,24.2,4.184627953726724,10.5,3.8369548110737792,1.7,0.2494438257849294,0.0,0.0,1.6,0.6992058987801011,3.3,0.2494438257849293,17.0,0.0,6.4,0.6992058987801011,0.956989247311828,0.0077123422191218,0.9609046849757672,0.0067603036409155,0.960377358490566,0.0144790747587689,0.9905844198589856,0.0013764763804787,1.0,0.0,0.9937367783058112,0.0027646237200292,0.043010752688172,0.0077123422191218,0.0390953150242326,0.0067603036409155,0.0396226415094339,0.0144790747587689,0.3399999999999999,0.0498887651569859,0.0,0.0,0.2,0.0874007373475126,2 vs 1-0,Fold 3
extra_trees_entropy,binary,"[0, 1]",2,0.9773821989528796,0.0028226969101788,1.0,0.0,0.978021978021978,0.0042296723017555,0.2183333333333333,0.1562345482407651,1.0,0.0,0.4002020202020201,0.1551467510024255,0.142,0.1097269337947616,1.0,0.0,0.2625,0.1243036157514691,0.5299999999999999,0.3164033993355809,1.0,0.0,0.95,0.1581138830084189,0.1124607329842932,0.0142953137977662,0.0,0.0,0.1084249084249084,0.0186936842090399,21.48,2.730404935373344,0.0,0.0,29.6,5.103375789067903,-0.1124607329842932,0.0142953137977662,0.0,0.0,-0.1084249084249084,0.0186936842090399,0.0001612903225806,0.0003628755686615,0.0,0.0,0.000377358490566,0.0011933123245918,4.290000000000001,0.5486346689738082,0.0,0.0,3.6875,0.6215180787573458,0.9419247311827956,0.016220960644793,1.0,0.0,0.9571698113207548,0.0167403733907525,0.5261862176834834,0.0902784019360646,1.0,0.0,0.6318892817803918,0.1237040551893586,0.0261780104712041,0.0,0.0267295597484276,0.0,0.0293040293040293,0.0,0.9774677252647914,0.0028266325793824,1.0,0.0,0.9782231342340394,0.0036091919566038,0.9998387096774192,0.0003628755686616,1.0,0.0,0.999622641509434,0.0011933123245918,0.9885224670195514,0.0014187247565231,1.0,0.0,0.9888045518472588,0.002140901306508,186.0,0.0,619.0,0.0,265.0,0.0,0.5299999999999999,0.3164033993355809,1.0,0.0,0.95,0.1581138830084189,0.142,0.1097269337947616,1.0,0.0,0.2625,0.1243036157514691,0.2183333333333333,0.1562345482407651,1.0,0.0,0.4002020202020201,0.1551467510024255,5.0,0.0,17.0,0.0,8.0,0.0,185.97,0.0674948557710514,619.0,0.0,264.9,0.3162277660168379,0.03,0.0674948557710553,0.0,0.0,0.1,0.3162277660168379,4.290000000000001,0.5486346689738082,0.0,0.0,5.9,0.9944289260117531,0.71,0.5486346689738081,17.0,0.0,2.1,0.9944289260117531,0.9998387096774192,0.0003628755686616,1.0,0.0,0.999622641509434,0.0011933123245918,0.9774677252647914,0.0028266325793824,1.0,0.0,0.9782231342340394,0.0036091919566038,0.0001612903225806,0.0003628755686615,0.0,0.0,0.000377358490566,0.0011933123245918,0.858,0.1097269337947616,0.0,0.0,0.7375,0.1243036157514691,2 vs 1-0,Fold 3
xgboost_conservative,binary,"[0, 1]",2,0.9738219895287958,0.0,0.9861635220125786,0.0017850509817532,0.9710622710622708,0.0043854175814573,0.0,0.0,0.65797150997151,0.0503810562204302,0.1633333333333333,0.1287323442686621,0.0,0.0,0.5,0.0499903873881645,0.1,0.0790569415042094,0.0,0.0,0.966388888888889,0.0544401925777383,0.525,0.4479893351905203,0.1308900523560209,0.0,0.0672955974842767,0.0070238430053463,0.1344322344322344,0.0124578031166639,25.0,0.0,42.8,4.467164151400255,36.7,3.400980250849256,-0.1308900523560209,0.0,-0.0672955974842767,0.0070238430053463,-0.1344322344322344,0.0124578031166639,0.0,0.0,0.0004846526655896,0.0007803649297894,0.0026415094339622,0.0035799369737755,5.0,0.0,2.5,0.2499519369408228,4.5,0.3952847075210474,0.9178494623655912,0.0196233040344222,0.9934904494915898,0.0033184214831577,0.94,0.0192528862360062,0.3324843631370858,0.0565171384109037,0.8914120878099944,0.0209162757255441,0.4356841100643627,0.0933640654331188,0.0261780104712041,0.0,0.0267295597484276,0.0,0.0293040293040293,0.0,0.9738219895287958,0.0,0.9864489562258548,0.0013411409893451,0.9734843516091172,0.0022780150779405,1.0,0.0,0.9995153473344102,0.0007803649297893,0.9973584905660378,0.0035799369737755,0.986737400530504,0.0,0.99293881394301,0.0009086114991747,0.9852733045320438,0.0022466471342917,186.0,0.0,619.0,0.0,265.0,0.0,0.0,0.0,0.966388888888889,0.0544401925777383,0.525,0.4479893351905203,0.0,0.0,0.5,0.0499903873881645,0.1,0.0790569415042094,0.0,0.0,0.65797150997151,0.0503810562204302,0.1633333333333333,0.1287323442686621,5.0,0.0,17.0,0.0,8.0,0.0,186.0,0.0,618.7,0.4830458915396479,264.3,0.9486832980505138,0.0,0.0,0.3,0.4830458915396479,0.7,0.9486832980505138,5.0,0.0,8.5,0.8498365855987975,7.2,0.6324555320336759,0.0,0.0,8.5,0.8498365855987975,0.8,0.6324555320336759,1.0,0.0,0.9995153473344102,0.0007803649297893,0.9973584905660378,0.0035799369737755,0.9738219895287958,0.0,0.9864489562258548,0.0013411409893451,0.9734843516091172,0.0022780150779405,0.0,0.0,0.0004846526655896,0.0007803649297894,0.0026415094339622,0.0035799369737755,1.0,0.0,0.5,0.0499903873881645,0.9,0.0790569415042094,2 vs 1-0,Fold 7
xgboost_strong_reg,binary,"[0, 1]",2,0.9738219895287958,0.0,0.9732704402515722,1.1702778228589004e-16,0.9706959706959706,1.1702778228589004e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1308900523560209,0.0,0.1336477987421383,2.925694557147251e-17,0.1465201465201465,2.925694557147251e-17,25.0,0.0,85.0,0.0,40.0,0.0,-0.1308900523560209,0.0,-0.1336477987421383,2.925694557147251e-17,-0.1465201465201465,2.925694557147251e-17,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0261780104712041,0.0,0.0267295597484276,0.0,0.0293040293040293,0.0,0.0261780104712041,0.0,0.0267295597484276,0.0,0.0293040293040293,0.0,0.9738219895287958,0.0,0.9732704402515722,1.1702778228589004e-16,0.9706959706959706,1.1702778228589004e-16,1.0,0.0,1.0,0.0,1.0,0.0,0.986737400530504,0.0,0.9864541832669322,0.0,0.9851301115241636,1.1702778228589004e-16,186.0,0.0,619.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,17.0,0.0,8.0,0.0,186.0,0.0,619.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,17.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9738219895287958,0.0,0.9732704402515722,1.1702778228589004e-16,0.9706959706959706,1.1702778228589004e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2 vs 1-0,Fold 1
adaboost_shallow,binary,"[0, 1]",2,0.9755497382198952,0.0024314097042747,0.9784591194968554,0.0035585419699723,0.9728937728937728,0.0025611937684252,0.1439285714285714,0.1297132936469999,0.319173705013522,0.1817582311169299,0.1888888888888888,0.1158258946008288,0.096,0.0932380465975844,0.2058823529411764,0.1365528262469031,0.1125,0.0709557765246933,0.3299999999999999,0.2464313191575461,0.8633333333333333,0.3128720008068617,0.65,0.4116363011742823,0.119109947643979,0.0119600375002578,0.1064465408805031,0.0181109811602444,0.1311355311355311,0.0103317195610775,22.75,2.2843671625492554,67.7,11.518584017915474,35.8,2.820559440174157,-0.119109947643979,0.0119600375002578,-0.1064465408805031,0.0181109811602444,-0.1311355311355311,0.0103317195610775,0.0008064516129032,0.0012220592918446,0.0003231017770597,0.0006811583543712,0.0011320754716981,0.0018228146850552,4.5200000000000005,0.4661902329879224,3.970588235294117,0.6827641312345157,4.4375,0.3547788826234667,0.928532258064516,0.0216823371858496,0.9861873990306946,0.0044914449724121,0.9683254716981132,0.0098769487559659,0.4770334452819833,0.0883305098754808,0.6624298517427111,0.1080602171681063,0.5522888576592729,0.07166679369103,0.0261780104712041,0.0,0.0267295597484276,0.0,0.0293040293040293,0.0,0.9762711614541904,0.0023977558568482,0.9786617349604024,0.0035957757073889,0.9738819768611388,0.0020264508942912,0.9991935483870968,0.0012220592918445,0.99967689822294,0.0006811583543711,0.998867924528302,0.0018228146850552,0.987594065061433,0.0012266669442971,0.9890543465281398,0.0017905879514852,0.9862148546792732,0.0013002630011647,186.0,0.0,619.0,0.0,265.0,0.0,0.3299999999999999,0.2464313191575461,0.8633333333333333,0.3128720008068617,0.65,0.4116363011742823,0.096,0.0932380465975844,0.2058823529411764,0.1365528262469031,0.1125,0.0709557765246933,0.1439285714285714,0.1297132936469999,0.319173705013522,0.1817582311169299,0.1888888888888888,0.1158258946008288,5.0,0.0,17.0,0.0,8.0,0.0,185.85,0.2273030282830958,618.8,0.4216370213557839,264.7,0.4830458915396479,0.15,0.2273030282830976,0.2,0.4216370213557839,0.3,0.4830458915396479,4.5200000000000005,0.4661902329879224,13.5,2.3213980461973533,7.1,0.5676462121975466,0.48,0.4661902329879223,3.5,2.3213980461973533,0.9,0.5676462121975466,0.9991935483870968,0.0012220592918445,0.99967689822294,0.0006811583543711,0.998867924528302,0.0018228146850552,0.9762711614541904,0.0023977558568482,0.9786617349604024,0.0035957757073889,0.9738819768611388,0.0020264508942912,0.0008064516129032,0.0012220592918446,0.0003231017770597,0.0006811583543712,0.0011320754716981,0.0018228146850552,0.904,0.0932380465975845,0.7941176470588236,0.1365528262469031,0.8875,0.0709557765246933,2 vs 1-0,Fold 4
