model,target_type,classes,n_classes,accuracy_cv_mean,accuracy_cv_std,accuracy_train_mean,accuracy_train_std,accuracy_test_mean,accuracy_test_std,f1_cv_mean,f1_cv_std,f1_train_mean,f1_train_std,f1_test_mean,f1_test_std,recall_cv_mean,recall_cv_std,recall_train_mean,recall_train_std,recall_test_mean,recall_test_std,precision_cv_mean,precision_cv_std,precision_train_mean,precision_train_std,precision_test_mean,precision_test_std,misclassification_cost_mean_cv_mean,misclassification_cost_mean_cv_std,misclassification_cost_mean_train_mean,misclassification_cost_mean_train_std,misclassification_cost_mean_test_mean,misclassification_cost_mean_test_std,misclassification_cost_total_cv_mean,misclassification_cost_total_cv_std,misclassification_cost_total_train_mean,misclassification_cost_total_train_std,misclassification_cost_total_test_mean,misclassification_cost_total_test_std,misclassification_score_cv_mean,misclassification_score_cv_std,misclassification_score_train_mean,misclassification_score_train_std,misclassification_score_test_mean,misclassification_score_test_std,misclassification_cost_mean_true_class_0_cv_mean,misclassification_cost_mean_true_class_0_cv_std,misclassification_cost_mean_true_class_0_train_mean,misclassification_cost_mean_true_class_0_train_std,misclassification_cost_mean_true_class_0_test_mean,misclassification_cost_mean_true_class_0_test_std,misclassification_cost_mean_true_class_1_cv_mean,misclassification_cost_mean_true_class_1_cv_std,misclassification_cost_mean_true_class_1_train_mean,misclassification_cost_mean_true_class_1_train_std,misclassification_cost_mean_true_class_1_test_mean,misclassification_cost_mean_true_class_1_test_std,auc_cv_mean,auc_cv_std,auc_train_mean,auc_train_std,auc_test_mean,auc_test_std,precision_class_0_cv_mean,precision_class_0_cv_std,precision_class_0_train_mean,precision_class_0_train_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_cv_mean,recall_class_0_cv_std,recall_class_0_train_mean,recall_class_0_train_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_cv_mean,f1_class_0_cv_std,f1_class_0_train_mean,f1_class_0_train_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_cv_mean,support_class_0_cv_std,support_class_0_train_mean,support_class_0_train_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_cv_mean,precision_class_1_cv_std,precision_class_1_train_mean,precision_class_1_train_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_cv_mean,recall_class_1_cv_std,recall_class_1_train_mean,recall_class_1_train_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_cv_mean,f1_class_1_cv_std,f1_class_1_train_mean,f1_class_1_train_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_cv_mean,support_class_1_cv_std,support_class_1_train_mean,support_class_1_train_std,support_class_1_test_mean,support_class_1_test_std,tn_cv_mean,tn_cv_std,tn_train_mean,tn_train_std,tn_test_mean,tn_test_std,fp_cv_mean,fp_cv_std,fp_train_mean,fp_train_std,fp_test_mean,fp_test_std,fn_cv_mean,fn_cv_std,fn_train_mean,fn_train_std,fn_test_mean,fn_test_std,tp_cv_mean,tp_cv_std,tp_train_mean,tp_train_std,tp_test_mean,tp_test_std,specificity_cv_mean,specificity_cv_std,specificity_train_mean,specificity_train_std,specificity_test_mean,specificity_test_std,npv_cv_mean,npv_cv_std,npv_train_mean,npv_train_std,npv_test_mean,npv_test_std,fpr_cv_mean,fpr_cv_std,fpr_train_mean,fpr_train_std,fpr_test_mean,fpr_test_std,fnr_cv_mean,fnr_cv_std,fnr_train_mean,fnr_train_std,fnr_test_mean,fnr_test_std,X_transfromation,Pair,Target,X_Processing
decision_tree,binary,"[0, 1]",2,0.8732460732984293,0.007572843917480591,1.0,0.0,0.8882783882783883,0.02817577718977859,0.884697749302644,0.006794293124440618,1.0,0.0,0.8993471247930375,0.02489542893419931,0.8846666666666666,0.008837151016885342,1.0,0.0,0.9073333333333334,0.02483525968168625,0.8861060336078902,0.009927740717507712,1.0,0.0,0.8918806645099281,0.03187476885043844,0.38036649214659685,0.02451277117437081,0.0,0.0,0.3153846153846154,0.07911956012708443,72.65,4.681939294304824,0.0,0.0,86.1,21.599639914694052,-0.38036649214659685,0.02451277117437081,0.0,0.0,-0.3153846153846154,0.07911956012708443,0.14069767441860465,0.013953488372093018,0.0,0.0,0.13495934959349595,0.04201853104241584,0.5766666666666665,0.04418575508442685,0.0,0.0,0.46333333333333326,0.12417629840843118,0.8719844961240311,0.00790035297512965,1.0,0.0,0.8861869918699188,0.02910873021634173,0.8606270462934713,0.008972973099023842,1.0,0.0,0.8846055359313253,0.03073398977706116,0.8593023255813954,0.013953488372093023,1.0,0.0,0.865040650406504,0.042018531042415846,0.858972627593238,0.00882056324696572,1.0,0.0,0.8744080689684941,0.03251355486302472,86.0,0.0,285.0,0.0,123.0,0.0,0.8861060336078902,0.009927740717507712,1.0,0.0,0.8918806645099281,0.03187476885043844,0.8846666666666666,0.008837151016885342,1.0,0.0,0.9073333333333334,0.02483525968168625,0.884697749302644,0.006794293124440618,1.0,0.0,0.8993471247930375,0.02489542893419931,105.0,0.0,351.0,0.0,150.0,0.0,73.9,1.2000000000000006,285.0,0.0,106.4,5.168279318217149,12.1,1.1999999999999997,0.0,0.0,16.6,5.168279318217148,12.11,0.927900856772964,0.0,0.0,13.9,3.725288952252936,92.89000000000001,0.9279008567729619,351.0,0.0,136.1,3.725288952252936,0.8593023255813954,0.013953488372093023,1.0,0.0,0.865040650406504,0.042018531042415846,0.8606270462934713,0.008972973099023842,1.0,0.0,0.8846055359313253,0.03073398977706116,0.14069767441860465,0.013953488372093018,0.0,0.0,0.13495934959349595,0.04201853104241584,0.11533333333333333,0.008837151016885368,0.0,0.0,0.09266666666666669,0.024835259681686244,None_sacler,0 vs 1-2,HY3,X_STATS
random_forest,binary,"[0, 1]",2,0.9209424083769633,0.006604149364197026,1.0,0.0,0.9340659340659341,0.012087295404898245,0.9263269352331678,0.0064229339293300864,1.0,0.0,0.9387635729104933,0.011549069751124224,0.9050476190476189,0.013196959421369087,1.0,0.0,0.9206666666666667,0.02254214160518356,0.9494509774621873,0.008525985124334898,1.0,0.0,0.9582231274356221,0.018845870966161,0.2878534031413613,0.03427069411869028,0.0,0.0,0.24029304029304027,0.05779348455120502,54.980000000000004,6.545702576669843,0.0,0.0,65.6,15.77762128247897,-0.2878534031413613,0.03427069411869028,0.0,0.0,-0.24029304029304027,0.05779348455120502,0.059651162790697675,0.010894851747669158,0.0,0.0,0.049593495934959354,0.023764944464383472,0.4747619047619048,0.06598479710684532,0.0,0.0,0.3966666666666666,0.11271070802591784,0.9672702104097454,0.004387546493915596,1.0,3.700743415417188e-17,0.9778617886178861,0.006101119106390567,0.8911523035149307,0.01328717716184289,1.0,0.0,0.9082740969648176,0.021345121100054026,0.9403488372093024,0.010894851747669125,1.0,0.0,0.9504065040650407,0.023764944464383472,0.9146182939521148,0.006881346334070387,1.0,0.0,0.9285201649365916,0.013000947502649924,86.0,0.0,285.0,0.0,123.0,0.0,0.9494509774621873,0.008525985124334898,1.0,0.0,0.9582231274356221,0.018845870966161,0.9050476190476189,0.013196959421369087,1.0,0.0,0.9206666666666667,0.02254214160518356,0.9263269352331678,0.0064229339293300864,1.0,0.0,0.9387635729104933,0.011549069751124224,105.0,0.0,351.0,0.0,150.0,0.0,80.87,0.936957250299547,285.0,0.0,116.9,2.923088169119167,5.13,0.9369572502995475,0.0,0.0,6.1,2.923088169119167,9.969999999999999,1.3856807392437522,0.0,0.0,11.9,3.3813212407775355,95.03000000000002,1.38568073924375,351.0,0.0,138.1,3.381321240777536,0.9403488372093024,0.010894851747669125,1.0,0.0,0.9504065040650407,0.023764944464383472,0.8911523035149307,0.01328717716184289,1.0,0.0,0.9082740969648176,0.021345121100054026,0.059651162790697675,0.010894851747669158,0.0,0.0,0.049593495934959354,0.023764944464383472,0.09495238095238094,0.013196959421369064,0.0,0.0,0.07933333333333334,0.02254214160518358,None_sacler,0 vs 1-2,HY3,X_STATS
extra_trees,binary,"[0, 1]",2,0.9196335078534033,0.007867933039336706,1.0,0.0,0.9333333333333333,0.010331719561077497,0.9255556150200951,0.007718894102660809,1.0,0.0,0.9382694950963864,0.009797019206521158,0.9099047619047619,0.014837322282914954,1.0,0.0,0.9226666666666666,0.019676394329936592,0.9426634967103802,0.007228611555948958,1.0,0.0,0.9549091329127919,0.016984252827180284,0.27848167539267016,0.039602945451561296,0.0,0.0,0.23663003663003662,0.04999250794768355,53.19,7.564162581248207,0.0,0.0,64.6,13.64795466971761,-0.27848167539267016,0.039602945451561296,0.0,0.0,-0.23663003663003662,0.04999250794768355,0.06848837209302325,0.009405915464132471,0.0,0.0,0.05365853658536586,0.02140749881640271,0.4504761904761905,0.0741866114145748,0.0,0.0,0.38666666666666666,0.0983819716496829,0.9681777408637874,0.004568502244289679,1.0,0.0,0.9779810298102982,0.004924239304220491,0.8954748234410019,0.015330754443268218,1.0,0.0,0.90991675159572,0.019139109259320386,0.9315116279069766,0.009405915464132457,1.0,0.0,0.9463414634146343,0.021407498816402706,0.9125814453222155,0.008047297290215994,1.0,0.0,0.9274886870765352,0.011168364896187383,86.0,0.0,285.0,0.0,123.0,0.0,0.9426634967103802,0.007228611555948958,1.0,0.0,0.9549091329127919,0.016984252827180284,0.9099047619047619,0.014837322282914954,1.0,0.0,0.9226666666666666,0.019676394329936592,0.9255556150200951,0.007718894102660809,1.0,0.0,0.9382694950963864,0.009797019206521158,105.0,0.0,351.0,0.0,150.0,0.0,80.11,0.8089087299153913,285.0,0.0,116.4,2.6331223544175333,5.89,0.8089087299153924,0.0,0.0,6.6,2.6331223544175333,9.459999999999999,1.5579188397060713,0.0,0.0,11.6,2.9514591494904874,95.53999999999999,1.5579188397060717,351.0,0.0,138.4,2.9514591494904874,0.9315116279069766,0.009405915464132457,1.0,0.0,0.9463414634146343,0.021407498816402706,0.8954748234410019,0.015330754443268218,1.0,0.0,0.90991675159572,0.019139109259320386,0.06848837209302325,0.009405915464132471,0.0,0.0,0.05365853658536586,0.02140749881640271,0.09009523809523809,0.014837322282914966,0.0,0.0,0.07733333333333334,0.019676394329936585,None_sacler,0 vs 1-2,HY3,X_STATS
xgboost,binary,"[0, 1]",2,0.9116753926701572,0.007474065223554847,1.0,0.0,0.9274725274725275,0.012185567716605276,0.918068231666782,0.007315644710080605,1.0,0.0,0.9332493620786234,0.011159461196119458,0.9011428571428572,0.013974024781955348,1.0,0.0,0.9226666666666666,0.020172099054062604,0.9364244927226532,0.008779584821825077,1.0,0.0,0.9447212074703513,0.022093312232476753,0.3057068062827225,0.03681624862906153,0.0,0.0,0.24249084249084246,0.050573628849246245,58.39,7.031903488150748,0.0,0.0,66.2,13.806600675844226,-0.3057068062827225,0.03681624862906153,0.0,0.0,-0.24249084249084246,0.050573628849246245,0.07546511627906977,0.011332819000195688,0.0,0.0,0.06666666666666667,0.028111224888650276,0.49428571428571433,0.06987012390977669,0.0,0.0,0.3866666666666666,0.10086049527031303,0.9638759689922483,0.0050376927220686825,1.0,0.0,0.9756314363143632,0.00657043324162524,0.885459969951189,0.014074400433711312,1.0,0.0,0.9088339949921732,0.019809052773165713,0.9245348837209303,0.01133281900019564,1.0,0.0,0.9333333333333333,0.02811122488865028,0.9041049110862776,0.007709447041863059,1.0,0.0,0.9205322542094632,0.013690626632029038,86.0,0.0,285.0,0.0,123.0,0.0,0.9364244927226532,0.008779584821825077,1.0,0.0,0.9447212074703513,0.022093312232476753,0.9011428571428572,0.013974024781955348,1.0,0.0,0.9226666666666666,0.020172099054062604,0.918068231666782,0.007315644710080605,1.0,0.0,0.9332493620786234,0.011159461196119458,105.0,0.0,351.0,0.0,150.0,0.0,79.50999999999999,0.9746224340168291,285.0,0.0,114.8,3.4576806613039843,6.49,0.9746224340168292,0.0,0.0,8.2,3.457680661303984,10.379999999999999,1.4672726021053106,0.0,0.0,11.6,3.025814858109391,94.61999999999999,1.4672726021053086,351.0,0.0,138.4,3.025814858109391,0.9245348837209303,0.01133281900019564,1.0,0.0,0.9333333333333333,0.02811122488865028,0.885459969951189,0.014074400433711312,1.0,0.0,0.9088339949921732,0.019809052773165713,0.07546511627906977,0.011332819000195688,0.0,0.0,0.06666666666666667,0.028111224888650276,0.09885714285714285,0.01397402478195534,0.0,0.0,0.07733333333333334,0.02017209905406261,None_sacler,0 vs 1-2,HY3,X_STATS
adaboost,binary,"[0, 1]",2,0.910261780104712,0.006379896180112485,0.9408805031446541,0.007851146042379051,0.9282051282051282,0.011083570908825613,0.9169171673674962,0.006174813446662985,0.9450256806552849,0.007322059593146516,0.9336207753070873,0.010776063060643068,0.9015238095238096,0.012272212752609087,0.9207977207977208,0.008989295017055445,0.9200000000000002,0.023726840560069577,0.9336596827159334,0.007823917331656586,0.9706140769605852,0.00871539979746814,0.9483119093782817,0.017654573210248558,0.30628272251308897,0.031994817278404676,0.23396226415094343,0.026701798384092798,0.24761904761904763,0.0599460618677914,58.5,6.111010100175293,148.8,16.982343772283023,67.6,16.36527488990705,-0.30628272251308897,0.031994817278404676,-0.23396226415094343,0.026701798384092798,-0.24761904761904763,0.0599460618677914,0.07906976744186045,0.010543775588167008,0.0343859649122807,0.01043495112196279,0.061788617886178863,0.022738403212361008,0.4923809523809524,0.061361063763045426,0.39601139601139607,0.04494647508527723,0.4,0.1186342028003479,0.963299003322259,0.0063362398394757775,0.990588294097066,0.0020231207871837607,0.9757777777777777,0.006814780328698713,0.8854346512818644,0.012338407314276953,0.9083065408915658,0.00975568074434468,0.9066368602811294,0.02356883657643801,0.9209302325581395,0.010543775588167036,0.9656140350877193,0.010434951121962821,0.938211382113821,0.022738403212360987,0.9023391533935033,0.006735472819202037,0.936055075244403,0.008483377256150856,0.9217571943067021,0.011630824160194604,86.0,0.0,285.0,0.0,123.0,0.0,0.9336596827159334,0.007823917331656586,0.9706140769605852,0.00871539979746814,0.9483119093782817,0.017654573210248558,0.9015238095238096,0.012272212752609087,0.9207977207977208,0.008989295017055445,0.9200000000000002,0.023726840560069577,0.9169171673674962,0.006174813446662985,0.9450256806552849,0.007322059593146516,0.9336207753070873,0.010776063060643068,105.0,0.0,351.0,0.0,150.0,0.0,79.2,0.9067647005823621,275.2,2.973961069759395,115.4,2.7968235951204043,6.8,0.9067647005823629,9.8,2.973961069759395,7.6,2.7968235951204043,10.34,1.2885823390239541,27.8,3.155242550986462,12.0,3.559026084010437,94.66000000000001,1.2885823390239544,323.2,3.155242550986462,138.0,3.559026084010437,0.9209302325581395,0.010543775588167036,0.9656140350877193,0.010434951121962821,0.938211382113821,0.022738403212360987,0.8854346512818644,0.012338407314276953,0.9083065408915658,0.00975568074434468,0.9066368602811294,0.02356883657643801,0.07906976744186045,0.010543775588167008,0.0343859649122807,0.01043495112196279,0.061788617886178863,0.022738403212361008,0.09847619047619048,0.012272212752609082,0.07920227920227921,0.008989295017055445,0.07999999999999999,0.02372684056006958,None_sacler,0 vs 1-2,HY3,X_STATS
svm,binary,"[0, 1]",2,0.9110994764397908,0.007582289502249478,0.9257861635220126,0.007802010090536017,0.9340659340659341,0.016741525275704605,0.9123404502260261,0.008038814408285506,0.9282415740186684,0.008000189536882567,0.9361204443255895,0.017463674396169825,0.8446666666666667,0.013419599990133396,0.8703703703703705,0.013312294177470275,0.8826666666666668,0.02917804011052418,0.9925285133475293,0.003081139175905396,0.9944551882208955,0.0016040993413090029,0.9969591604388388,0.003931076967712281,0.4304712041884816,0.03698162226162515,0.36037735849056607,0.037169639869017786,0.3238095238095238,0.0807930151028915,82.22,7.063489851970406,229.2,23.639890956695304,88.4,22.056493123089375,-0.4304712041884816,0.03698162226162515,-0.36037735849056607,0.037169639869017786,-0.3238095238095238,0.0807930151028915,0.007790697674418605,0.0031985551993453883,0.0059649122807017545,0.0016948978650513963,0.0032520325203252037,0.004198355930848149,0.7766666666666666,0.06709799995066691,0.6481481481481481,0.0665614708873513,0.5866666666666667,0.14589020055262092,0.9688405315614617,0.005518667614763844,0.9722492127755287,0.003512959520297672,0.9778699186991868,0.007677413187845516,0.8403807757579355,0.011754588471929846,0.8617672101253945,0.012408023460396612,0.8751768799981552,0.02640166834797913,0.9922093023255816,0.003198555199345384,0.994035087719298,0.0016948978650514015,0.9967479674796748,0.004198355930848172,0.9097697700968894,0.007106481998795688,0.9231500955235129,0.007554328917069492,0.9318354200442377,0.01594841031579844,86.0,0.0,285.0,0.0,123.0,0.0,0.9925285133475293,0.003081139175905396,0.9944551882208955,0.0016040993413090029,0.9969591604388388,0.003931076967712281,0.8446666666666667,0.013419599990133396,0.8703703703703705,0.013312294177470275,0.8826666666666668,0.02917804011052418,0.9123404502260261,0.008038814408285506,0.9282415740186684,0.008000189536882567,0.9361204443255895,0.017463674396169825,105.0,0.0,351.0,0.0,150.0,0.0,85.33000000000001,0.2750757471437051,283.3,0.48304589153964794,122.6,0.5163977794943222,0.67,0.2750757471437034,1.7,0.4830458915396479,0.4,0.5163977794943222,16.309999999999995,1.4090579989640046,45.5,4.672615256292062,17.6,4.376706016578627,88.68999999999998,1.4090579989640049,305.5,4.672615256292062,132.4,4.376706016578627,0.9922093023255816,0.003198555199345384,0.994035087719298,0.0016948978650514015,0.9967479674796748,0.004198355930848172,0.8403807757579355,0.011754588471929846,0.8617672101253945,0.012408023460396612,0.8751768799981552,0.02640166834797913,0.007790697674418605,0.0031985551993453883,0.0059649122807017545,0.0016948978650513963,0.0032520325203252037,0.004198355930848149,0.15533333333333332,0.013419599990133375,0.12962962962962962,0.013312294177470266,0.11733333333333333,0.029178040110524186,None_sacler,0 vs 1-2,HY3,X_STATS
logistic_regression,binary,"[0, 1]",2,0.9009424083769634,0.010085387846575955,0.9724842767295596,0.005509380514053632,0.926007326007326,0.013792450545976,0.9083641312822728,0.009266614842218905,0.9744376959440382,0.005205232370507994,0.9316674319998519,0.013105725051175163,0.8937142857142858,0.01538422000771095,0.9509971509971511,0.008989295017055435,0.9186666666666665,0.023264448583648716,0.9247331180139154,0.0160448097617379,0.9990981891638409,0.0020309061232443326,0.9456800491101308,0.020405344447717775,0.33277486910994764,0.039870254873006314,0.13569182389937107,0.025288463626557338,0.25274725274725274,0.06048579280342289,63.56,7.615218680744207,86.3,16.083462866490468,69.0,16.51262143533445,-0.33277486910994764,0.039870254873006314,-0.13569182389937107,0.025288463626557338,-0.25274725274725274,0.06048579280342289,0.09023255813953487,0.020758699920237367,0.0010526315789473684,0.0023682405533703614,0.06504065040650406,0.026274687574072246,0.5314285714285715,0.07692110003855476,0.24501424501424496,0.04494647508527723,0.4066666666666666,0.11632224291824357,0.9539700996677741,0.0076051389705187565,0.996466236817114,0.0012948309907562868,0.9655121951219513,0.011031849843281745,0.8764902701693256,0.015601880031808,0.9431122653834343,0.009967800132913675,0.9048028475329153,0.022849026197906644,0.9097674418604651,0.02075869992023735,0.9989473684210527,0.0023682405533703684,0.9349593495934959,0.026274687574072232,0.8920381803259646,0.011276738952993512,0.9702065443013552,0.005846985836776568,0.919248836448672,0.014855822267890891,86.0,0.0,285.0,0.0,123.0,0.0,0.9247331180139154,0.0160448097617379,0.9990981891638409,0.0020309061232443326,0.9456800491101308,0.020405344447717775,0.8937142857142858,0.01538422000771095,0.9509971509971511,0.008989295017055435,0.9186666666666665,0.023264448583648716,0.9083641312822728,0.009266614842218905,0.9744376959440382,0.005205232370507994,0.9316674319998519,0.013105725051175163,105.0,0.0,351.0,0.0,150.0,0.0,78.24,1.785248193140413,284.7,0.674948557710553,115.0,3.2317865716108862,7.76,1.7852481931404132,0.3,0.6749485577105528,8.0,3.2317865716108862,11.16,1.6153431008096497,17.2,3.155242550986462,12.2,3.489667287547307,93.84,1.6153431008096484,333.8,3.155242550986462,137.8,3.4896672875473063,0.9097674418604651,0.02075869992023735,0.9989473684210527,0.0023682405533703684,0.9349593495934959,0.026274687574072232,0.8764902701693256,0.015601880031808,0.9431122653834343,0.009967800132913675,0.9048028475329153,0.022849026197906644,0.09023255813953487,0.020758699920237367,0.0010526315789473684,0.0023682405533703614,0.06504065040650406,0.026274687574072246,0.10628571428571428,0.015384220007710949,0.049002849002849,0.008989295017055447,0.08133333333333334,0.023264448583648716,None_sacler,0 vs 1-2,HY3,X_STATS
knn,binary,"[0, 1]",2,0.8767539267015707,0.005919292684314127,0.9077044025157232,0.005449221689966457,0.8890109890109891,0.01505846504842085,0.8742932159416522,0.006841317955507975,0.9089836492648574,0.005772529392420525,0.8878560079661476,0.01682318885324284,0.7825714285714286,0.011621389303452665,0.8353276353276353,0.009089068272748628,0.8013333333333333,0.026443510721144033,0.9915435008865379,0.0032540528721424805,0.9969384449126212,0.0025137566831595027,0.9958451671334071,0.004381686632849435,0.6013612565445026,0.03135072238711958,0.45581761006289306,0.025422799039866793,0.5476190476190477,0.0730817936588299,114.85999999999999,5.987987975939832,289.9,16.168900189355284,149.5,19.95132966886056,-0.6013612565445026,0.03135072238711958,-0.45581761006289306,0.025422799039866793,-0.5476190476190477,0.0730817936588299,0.008255813953488372,0.003263648749615641,0.003157894736842105,0.002588999253939024,0.0040650406504065045,0.0042849290788189425,1.0871428571428572,0.05810694651726329,0.8233618233618234,0.045445341363743195,0.9933333333333334,0.13221755360572016,0.9346135105204872,0.005534596949355344,0.9858444544409457,0.0017658543459577161,0.9421436314363143,0.0114063381255569,0.789754496476401,0.008761615038785676,0.8310057774901166,0.007851067566771905,0.8048071300742465,0.02094303115989822,0.9917441860465116,0.0032636487496156986,0.9968421052631579,0.002588999253939032,0.9959349593495934,0.004284929078818965,0.8790272220671795,0.005096574079753993,0.9063846749143529,0.005112217124847669,0.8901011933765247,0.013398825356807078,86.0,0.0,285.0,0.0,123.0,0.0,0.9915435008865379,0.0032540528721424805,0.9969384449126212,0.0025137566831595027,0.9958451671334071,0.004381686632849435,0.7825714285714286,0.011621389303452665,0.8353276353276353,0.009089068272748628,0.8013333333333333,0.026443510721144033,0.8742932159416522,0.006841317955507975,0.9089836492648574,0.005772529392420525,0.8878560079661476,0.01682318885324284,105.0,0.0,351.0,0.0,150.0,0.0,85.28999999999999,0.28067379246694724,284.1,0.7378647873726217,122.5,0.5270462766947299,0.71,0.28067379246694507,0.9,0.7378647873726218,0.5,0.5270462766947299,22.83,1.2202458768625282,57.8,3.1902629637347735,29.8,3.966526608171604,82.16999999999999,1.2202458768625275,293.2,3.190262963734773,120.2,3.966526608171604,0.9917441860465116,0.0032636487496156986,0.9968421052631579,0.002588999253939032,0.9959349593495934,0.004284929078818965,0.789754496476401,0.008761615038785676,0.8310057774901166,0.007851067566771905,0.8048071300742465,0.02094303115989822,0.008255813953488372,0.003263648749615641,0.003157894736842105,0.002588999253939024,0.0040650406504065045,0.0042849290788189425,0.21742857142857144,0.011621389303452651,0.16467236467236468,0.00908906827274864,0.19866666666666666,0.02644351072114403,None_sacler,0 vs 1-2,HY3,X_STATS
gaussian_nb,binary,"[0, 1]",2,0.9126178010471204,0.006592378692499236,0.9265723270440251,0.0048063968629393624,0.9223443223443224,0.010331719561077507,0.9190935624089956,0.006361913992539436,0.931441226296885,0.00467649350452114,0.9281530852080231,0.00979774722150579,0.9033333333333333,0.012256188630156165,0.903988603988604,0.008392612002007879,0.9133333333333333,0.017213259316477426,0.9361397445592938,0.008272192225605783,0.9606679017890627,0.004708453562426903,0.9437727316971154,0.013895782428386474,0.2999476439790576,0.03210358232805793,0.285377358490566,0.02276407639463731,0.2681318681318681,0.045417306536841257,57.29,6.131784224659065,181.5,14.477952586989332,73.2,12.398924684557663,-0.2999476439790576,0.03210358232805793,-0.285377358490566,0.02276407639463731,-0.2681318681318681,0.045417306536841257,0.07604651162790697,0.01079998263991821,0.0456140350877193,0.005729800567913866,0.06666666666666667,0.017894389180725397,0.4833333333333333,0.06128094315078084,0.48005698005698,0.04196306001003932,0.4333333333333333,0.08606629658238704,0.9380431893687706,0.006361066874978945,0.9556705153196381,0.003232284506930865,0.9506693766937669,0.010528888732703476,0.8875250219245195,0.012561441167405624,0.8898409343745293,0.008556224728071089,0.8986481815411373,0.017223538541419767,0.9239534883720932,0.01079998263991814,0.9543859649122808,0.0057298005679138845,0.9333333333333333,0.017894389180725383,0.9049254236445974,0.006930127668218884,0.920954158167947,0.004948798149764874,0.9154767696762593,0.011108021909084748,86.0,0.0,285.0,0.0,123.0,0.0,0.9361397445592938,0.008272192225605783,0.9606679017890627,0.004708453562426903,0.9437727316971154,0.013895782428386474,0.9033333333333333,0.012256188630156165,0.903988603988604,0.008392612002007879,0.9133333333333333,0.017213259316477426,0.9190935624089956,0.006361913992539436,0.931441226296885,0.00467649350452114,0.9281530852080231,0.00979774722150579,105.0,0.0,351.0,0.0,150.0,0.0,79.46000000000001,0.9287985070329673,272.0,1.632993161855452,114.8,2.2010098692292237,6.540000000000001,0.9287985070329662,13.0,1.632993161855452,8.2,2.2010098692292237,10.15,1.2868998061663974,33.7,2.94580681270476,13.0,2.581988897471611,94.85000000000001,1.2868998061663992,317.3,2.94580681270476,137.0,2.581988897471611,0.9239534883720932,0.01079998263991814,0.9543859649122808,0.0057298005679138845,0.9333333333333333,0.017894389180725383,0.8875250219245195,0.012561441167405624,0.8898409343745293,0.008556224728071089,0.8986481815411373,0.017223538541419767,0.07604651162790697,0.01079998263991821,0.0456140350877193,0.005729800567913866,0.06666666666666667,0.017894389180725397,0.09666666666666666,0.012256188630156163,0.09601139601139601,0.008392612002007863,0.08666666666666667,0.017213259316477412,None_sacler,0 vs 1-2,HY3,X_STATS
decision_tree,binary,"[0, 1]",2,0.956544502617801,0.003767370531400145,1.0,0.0,0.9564102564102563,0.007417017117698397,0.14474281884266404,0.06837799468411133,1.0,0.0,0.15510835913312696,0.19085585488433734,0.14200000000000004,0.0649444206824403,1.0,0.0,0.1625,0.19587765455905268,0.17632575757575758,0.09099814804975714,1.0,0.0,0.15092352092352093,0.19233147462109335,0.13329842931937175,0.009798645310638844,0.0,0.0,0.14175824175824175,0.02708586944124027,25.46,1.8715412543320191,0.0,0.0,38.7,7.394442357458592,-0.13329842931937175,0.009798645310638844,0.0,0.0,-0.14175824175824175,0.02708586944124027,0.021559139784946238,0.0029387402562145084,0.0,0.0,0.019622641509433963,0.0072912587402211015,4.29,0.3247221034122015,0.0,0.0,4.1875,0.9793882727952632,0.5602204301075269,0.03297164205791272,1.0,0.0,0.571438679245283,0.09674178655315308,0.9769819235936588,0.001727027968849083,1.0,0.0,0.9749010825312892,0.005680684558820823,0.9784408602150538,0.0029387402562145414,1.0,0.0,0.9803773584905662,0.0072912587402211,0.9776655621603656,0.0019560947781957594,1.0,0.0,0.9776058772950528,0.003838268244861353,186.0,0.0,619.0,0.0,265.0,0.0,0.17632575757575758,0.09099814804975714,1.0,0.0,0.15092352092352093,0.19233147462109335,0.14200000000000004,0.0649444206824403,1.0,0.0,0.1625,0.19587765455905268,0.14474281884266404,0.06837799468411133,1.0,0.0,0.15510835913312696,0.19085585488433734,5.0,0.0,17.0,0.0,8.0,0.0,181.98999999999998,0.5466056876559034,619.0,0.0,259.8,1.9321835661585918,4.01,0.5466056876558987,0.0,0.0,5.2,1.9321835661585918,4.29,0.3247221034122015,0.0,0.0,6.7,1.5670212364724212,0.7099999999999999,0.3247221034122014,17.0,0.0,1.3,1.5670212364724214,0.9784408602150538,0.0029387402562145414,1.0,0.0,0.9803773584905662,0.0072912587402211,0.9769819235936588,0.001727027968849083,1.0,0.0,0.9749010825312892,0.005680684558820823,0.021559139784946238,0.0029387402562145084,0.0,0.0,0.019622641509433963,0.0072912587402211015,0.858,0.06494442068244032,0.0,0.0,0.8375,0.19587765455905265,None_sacler,0-1 vs 2,HY3,X_STATS
