model,target_type,classes,n_classes,accuracy_cv_mean,accuracy_cv_std,accuracy_test_mean,accuracy_test_std,f1_macro_cv_mean,f1_macro_cv_std,f1_macro_test_mean,f1_macro_test_std,f1_weighted_cv_mean,f1_weighted_cv_std,f1_weighted_test_mean,f1_weighted_test_std,recall_macro_cv_mean,recall_macro_cv_std,recall_macro_test_mean,recall_macro_test_std,recall_weighted_cv_mean,recall_weighted_cv_std,recall_weighted_test_mean,recall_weighted_test_std,precision_macro_cv_mean,precision_macro_cv_std,precision_macro_test_mean,precision_macro_test_std,precision_weighted_cv_mean,precision_weighted_cv_std,precision_weighted_test_mean,precision_weighted_test_std,mae_cv_mean,mae_cv_std,mae_test_mean,mae_test_std,misclassification_disease_cost_mean_cv_mean,misclassification_disease_cost_mean_cv_std,misclassification_disease_cost_mean_test_mean,misclassification_disease_cost_mean_test_std,misclassification_disease_cost_total_cv_mean,misclassification_disease_cost_total_cv_std,misclassification_disease_cost_total_test_mean,misclassification_disease_cost_total_test_std,misclassification_disease_score_cv_mean,misclassification_disease_score_cv_std,misclassification_disease_score_test_mean,misclassification_disease_score_test_std,misclassification_disease_cost_mean_true_class_0_cv_mean,misclassification_disease_cost_mean_true_class_0_cv_std,misclassification_disease_cost_mean_true_class_0_test_mean,misclassification_disease_cost_mean_true_class_0_test_std,misclassification_disease_cost_mean_true_class_1_cv_mean,misclassification_disease_cost_mean_true_class_1_cv_std,misclassification_disease_cost_mean_true_class_1_test_mean,misclassification_disease_cost_mean_true_class_1_test_std,misclassification_disease_cost_mean_true_class_2_cv_mean,misclassification_disease_cost_mean_true_class_2_cv_std,misclassification_disease_cost_mean_true_class_2_test_mean,misclassification_disease_cost_mean_true_class_2_test_std,auc_ovr_macro_cv_mean,auc_ovr_macro_cv_std,auc_ovr_macro_test_mean,auc_ovr_macro_test_std,auc_ovr_weighted_cv_mean,auc_ovr_weighted_cv_std,auc_ovr_weighted_test_mean,auc_ovr_weighted_test_std,precision_class_0_cv_mean,precision_class_0_cv_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_cv_mean,recall_class_0_cv_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_cv_mean,f1_class_0_cv_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_cv_mean,support_class_0_cv_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_cv_mean,precision_class_1_cv_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_cv_mean,recall_class_1_cv_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_cv_mean,f1_class_1_cv_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_cv_mean,support_class_1_cv_std,support_class_1_test_mean,support_class_1_test_std,precision_class_2_cv_mean,precision_class_2_cv_std,precision_class_2_test_mean,precision_class_2_test_std,recall_class_2_cv_mean,recall_class_2_cv_std,recall_class_2_test_mean,recall_class_2_test_std,f1_class_2_cv_mean,f1_class_2_cv_std,f1_class_2_test_mean,f1_class_2_test_std,support_class_2_cv_mean,support_class_2_cv_std,support_class_2_test_mean,support_class_2_test_std,conf_0_to_1_cv_mean,conf_0_to_1_cv_std,conf_0_to_1_test_mean,conf_0_to_1_test_std,conf_0_to_2_cv_mean,conf_0_to_2_cv_std,conf_0_to_2_test_mean,conf_0_to_2_test_std,conf_0_to_1_given_error_cv_mean,conf_0_to_1_given_error_cv_std,conf_0_to_1_given_error_test_mean,conf_0_to_1_given_error_test_std,conf_0_to_2_given_error_cv_mean,conf_0_to_2_given_error_cv_std,conf_0_to_2_given_error_test_mean,conf_0_to_2_given_error_test_std,conf_1_to_0_cv_mean,conf_1_to_0_cv_std,conf_1_to_0_test_mean,conf_1_to_0_test_std,conf_1_to_2_cv_mean,conf_1_to_2_cv_std,conf_1_to_2_test_mean,conf_1_to_2_test_std,conf_1_to_0_given_error_cv_mean,conf_1_to_0_given_error_cv_std,conf_1_to_0_given_error_test_mean,conf_1_to_0_given_error_test_std,conf_1_to_2_given_error_cv_mean,conf_1_to_2_given_error_cv_std,conf_1_to_2_given_error_test_mean,conf_1_to_2_given_error_test_std,conf_2_to_0_cv_mean,conf_2_to_0_cv_std,conf_2_to_0_test_mean,conf_2_to_0_test_std,conf_2_to_1_cv_mean,conf_2_to_1_cv_std,conf_2_to_1_test_mean,conf_2_to_1_test_std,conf_2_to_0_given_error_cv_mean,conf_2_to_0_given_error_cv_std,conf_2_to_0_given_error_test_mean,conf_2_to_0_given_error_test_std,conf_2_to_1_given_error_cv_mean,conf_2_to_1_given_error_cv_std,conf_2_to_1_given_error_test_mean,conf_2_to_1_given_error_test_std,Target,X_Processing,Model_Type,X_transfromation
decision_tree_MI,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.8307329842931936,0.0101223144960835,0.8216117216117216,0.0150584650484208,0.6352225774175622,0.017978285787684,0.6084851052979479,0.0424169096720438,0.8306615731521714,0.0096975413512765,0.8223479879678252,0.0143413725735009,0.6433232558139534,0.0193927168450412,0.6132921279262743,0.045358393201359,0.8307329842931936,0.0101223144960835,0.8216117216117216,0.0150584650484208,0.6355121026952377,0.0169887706910766,0.6087285107574623,0.0455970304361682,0.8329147714139843,0.0092366929378271,0.8256652574939748,0.015397086324127,0.1705759162303665,0.0105805805897961,0.1787545787545787,0.0154252617312368,0.484607329842932,0.0351363991834507,0.5186813186813186,0.0792842642923729,92.56,6.7110522440391,141.6,21.644604151817813,-0.484607329842932,0.0351363991834507,-0.5186813186813186,0.0792842642923729,0.1432558139534883,0.0208280595452194,0.1284552845528455,0.0415969297655282,0.6748999999999999,0.065226869037571,0.751048951048951,0.1583092128714835,2.55,0.2966853926674217,2.628571428571429,0.5878590233147034,0.7695253681094266,0.010023741863775,0.7521860035557083,0.0261740864277929,0.8435912206073496,0.0091438917439505,0.8366198187777135,0.0138275659412699,0.8541216513781421,0.0133470729482055,0.8429664980255176,0.0265824366520177,0.8640697674418604,0.0130804622119091,0.8715447154471544,0.0415969297655282,0.8582002028743613,0.0109715368422768,0.8559964085526837,0.0144281471365636,86.0,0.0,123.0,0.0,0.8460019582948728,0.0092655135346209,0.8444059029337382,0.0280675947911581,0.8319000000000001,0.0139479190004976,0.8111888111888111,0.0334561773762408,0.8380400566102955,0.0098299440401816,0.8266708096459418,0.0146311709987723,100.0,0.0,143.0,0.0,0.2064126984126984,0.0493595647577344,0.1388131313131313,0.1194384856015115,0.2339999999999999,0.0660302960768767,0.1571428571428571,0.1250850051101304,0.20942747276803,0.055467551439452,0.1427880976952184,0.1105248887930263,5.0,0.0,7.0,0.0,0.1351162790697674,0.0124127869155026,0.1284552845528455,0.0415969297655282,0.000813953488372,0.0011031201140122,0.0,0.0,0.9951429455047875,0.0065977294029039,1.0,0.0,0.0048570544952123,0.0065977294029039,0.0,0.0,0.1267,0.0129533350488933,0.1405594405594405,0.0320375049856012,0.0414,0.0042998707990925,0.0482517482517482,0.0163003577967805,0.7565876615047482,0.0250934229413366,0.7431109016256076,0.0855113276311157,0.2434123384952518,0.0250934229413366,0.2568890983743925,0.0855113276311157,0.036,0.027968235951204,0.0142857142857142,0.0451753951452625,0.73,0.0681501610008696,0.8285714285714285,0.1126872339638021,0.0448333333333333,0.0390666571861952,0.0142857142857142,0.0451753951452625,0.9551666666666668,0.0390666571861952,0.9857142857142858,0.0451753951452625,HY3,X_V06_DELTA,decision_tree,Feature_selection
xgboost_MI,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.8923560209424082,0.0052888507992672,0.8992673992673993,0.0118694884586224,0.6983391554611657,0.0203530190957118,0.7008011905812495,0.0486134056452907,0.8868613054930006,0.0060437208413334,0.8936550948054371,0.0116874526039617,0.6823418604651164,0.018386789460581,0.680048136145697,0.039239101445734,0.8923560209424082,0.0052888507992672,0.8992673992673993,0.0118694884586224,0.7593161664247285,0.0322852873773401,0.7932004923182714,0.1010309299838155,0.8860611069110652,0.0067703466698,0.8950468121572175,0.0138366674584945,0.107696335078534,0.0053167074536914,0.1010989010989011,0.0123556636294735,0.3482198952879581,0.0278078441365632,0.3626373626373625,0.0474465426806482,66.51,5.311298230083572,99.0,12.952906151816965,-0.3482198952879581,0.0278078441365632,-0.3626373626373625,0.0474465426806482,0.0726744186046511,0.0066062250190152,0.0479674796747967,0.0140556124443251,0.4854999999999999,0.0512754002097172,0.5286713286713287,0.0923147556808753,2.342,0.1706067603193576,2.5,0.4164965639175215,0.9383191609257626,0.0080410756472256,0.9253362886299308,0.0229659932116362,0.9561861203031612,0.0040650537159234,0.9554088652174252,0.0049230313707353,0.8941692131139736,0.010025547096977,0.8867615742809007,0.0180539783312316,0.9273255813953488,0.0066062250190151,0.9520325203252032,0.0140556124443251,0.909926297815533,0.0056229171312434,0.9181167261968156,0.0120723595103677,86.0,0.0,123.0,0.0,0.8991602385411648,0.0057121374522141,0.9178399026739136,0.0134462143188568,0.8957,0.0101767709351575,0.8881118881118881,0.0200520402495166,0.8969620199388153,0.005399384621973,0.9025696738297608,0.0116640643373451,100.0,0.0,143.0,0.0,0.4846190476190475,0.092857088590406,0.575,0.3003341760172335,0.224,0.050596442562694,0.1999999999999999,0.1204677203873668,0.2881291486291486,0.0550350434155273,0.2817171717171717,0.146098617671581,5.0,0.0,7.0,0.0,0.0726744186046511,0.0066062250190152,0.0479674796747967,0.0140556124443251,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0953,0.0104141997078774,0.1041958041958042,0.0181907813660854,0.009,0.0038005847503304,0.0076923076923076,0.0051598936179903,0.9163199788687406,0.0343596372027706,0.9325408496732026,0.0413907171119477,0.0836800211312595,0.0343596372027706,0.0674591503267973,0.0413907171119477,0.002,0.0063245553203367,0.0142857142857142,0.0451753951452625,0.7739999999999999,0.0490351347958221,0.7857142857142856,0.1388321879725071,0.002,0.0063245553203367,0.02,0.0632455532033675,0.998,0.0063245553203367,0.98,0.0632455532033675,HY3,X_STATS,xgboost,Feature_selection
adaboost_MI,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.8675916230366493,0.0090227044872091,0.8699633699633701,0.014472856643626,0.7249791008199786,0.0303074315163678,0.7265786928262518,0.0382690079325715,0.8651802830751528,0.0092768783560021,0.8694793545187958,0.0143462623887935,0.7121906976744186,0.0218278484965219,0.7273612566295492,0.0505931096421281,0.8675916230366493,0.0090227044872091,0.8699633699633701,0.014472856643626,0.7639637093712387,0.0535133992144025,0.739905551951322,0.0495433269670997,0.8668452619765296,0.0099187785502719,0.871690432153612,0.0162344556712001,0.1325130890052356,0.0089787141417684,0.13003663003663,0.014472856643626,0.3680104712041884,0.0317506162108344,0.4003663003663004,0.056669454037875,70.29,6.064367696269378,109.3,15.470760952339882,-0.3680104712041884,0.0317506162108344,-0.4003663003663004,0.056669454037875,0.1276744186046511,0.0121188355013102,0.0902439024390243,0.0335102275222756,0.4988,0.0607888878734336,0.6006993006993007,0.1175920790048388,1.886,0.1691941685362314,1.7571428571428571,0.4261838254336084,0.9176796510024944,0.0058592208604934,0.9063859984095564,0.0172184802973629,0.90692231475106,0.0082350765387452,0.8950571935615314,0.0186877939098645,0.8876049543682901,0.0120414040148145,0.8730028650622284,0.0217478753403476,0.8733720930232558,0.013274274284909,0.9097560975609754,0.0335102275222756,0.8791835487794977,0.0072894157599825,0.8904340576558214,0.0141353520562954,86.0,0.0,123.0,0.0,0.8653893483486005,0.0102864243167856,0.8909201399980871,0.0293643002259722,0.8872,0.0135384226883669,0.858041958041958,0.0223703368093428,0.8753776853043707,0.008709237384577,0.8736717687220933,0.0131601346405529,100.0,0.0,143.0,0.0,0.5388968253968253,0.1518174262269968,0.4557936507936507,0.141738738898088,0.376,0.0548128127762519,0.4142857142857142,0.1420612751445361,0.4203760683760683,0.0786159321362828,0.4156302521008402,0.0988979156612461,5.0,0.0,7.0,0.0,0.1265116279069767,0.0134468754894607,0.0902439024390243,0.0335102275222756,0.0001162790697674,0.0003677067046707,0.0,0.0,0.9988888888888888,0.0035136418446315,1.0,0.0,0.0011111111111111,0.0035136418446315,0.0,0.0,0.0965,0.0121951720866178,0.1146853146853146,0.0244921688327528,0.0163,0.0069928534948188,0.0272727272727272,0.0129575217805942,0.8575483224206135,0.0521564858567422,0.8044571697129242,0.0968426456074431,0.1424516775793865,0.0521564858567421,0.1955428302870758,0.0968426456074431,0.002,0.0063245553203367,0.0,0.0,0.622,0.055337349251859,0.5857142857142857,0.1420612751445361,0.0033333333333333,0.0105409255338945,0.0,0.0,0.9966666666666668,0.0105409255338946,1.0,0.0,HY3,X_V06_DELTA,adaboost,Feature_selection
svm_MI,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.8215183246073299,0.0299772956775527,0.8256410256410256,0.0610060891705254,0.6547985488853224,0.0257845083189983,0.6330986403155806,0.0285057717790692,0.8174790874786749,0.0274552938132463,0.8234789114251981,0.0547643627114198,0.7148170542635659,0.0335108822725083,0.6932823274286688,0.0592688111313804,0.8215183246073299,0.0299772956775527,0.8256410256410256,0.0610060891705254,0.6656788241187825,0.0239107976543726,0.6349203694734773,0.0332057537728294,0.8584353392321568,0.007408746279074,0.8599691179042572,0.0192940439709977,0.1794240837696335,0.0301369935932833,0.1761904761904761,0.0620540161496255,0.6989005235602094,0.1071787554462078,0.6780219780219781,0.2465421888702641,133.49,20.47114229022569,185.1,67.30601756158212,-0.6989005235602094,0.1071787554462078,-0.6780219780219781,0.2465421888702641,0.0441860465116279,0.0162143415994975,0.0585365853658536,0.0529392539710559,1.2162,0.2296314922266156,1.1538461538461535,0.5086287680992777,1.614,0.4529459128858544,1.8428571428571427,0.8817885349720551,0.938356423629717,0.0098730697547992,0.934842647959944,0.0071141290643756,0.9501262415454276,0.003579209366255,0.950050779244533,0.0102027729167055,0.7927951862607723,0.0297193684831795,0.8007794831289928,0.0692191620019913,0.9746511627906976,0.0108360891503916,0.978048780487805,0.0179967021310395,0.8713465524757613,0.0142240148839344,0.8785179440806206,0.0347822857788523,86.0,0.0,123.0,0.0,0.9448374457309228,0.0142538141142443,0.9452045690143828,0.0258595109076948,0.7078,0.0707543481192341,0.7160839160839161,0.1434352694344472,0.7972363865748464,0.042933512752175,0.8059308077874997,0.0808686218385375,100.0,0.0,143.0,0.0,0.2594038403646527,0.0718903986189165,0.1587770562770562,0.117326027933287,0.462,0.1509819709619514,0.3857142857142857,0.2939295116573517,0.2958127076053597,0.0812053474902062,0.2148471690786219,0.1495560223373247,5.0,0.0,7.0,0.0,0.0232558139534883,0.0111665583650294,0.0178861788617886,0.0194669756054937,0.0020930232558139,0.0015308850897776,0.0040650406504065,0.0057488356194028,0.6016666666666667,0.209563037453332,0.575,0.4417452760232856,0.1483333333333333,0.1098399509050091,0.225,0.3425800798515744,0.231,0.0406338665537887,0.2174825174825174,0.0916798359579479,0.0612,0.0364776948589438,0.0664335664335664,0.0553827709581199,0.8467321358181756,0.0709448820775539,0.8237130442715153,0.1350592696434187,0.1532678641818242,0.070944882077554,0.1762869557284849,0.1350592696434188,0.0,0.0,0.0,0.0,0.538,0.1509819709619514,0.6142857142857143,0.2939295116573517,0.0,0.0,0.0,0.0,0.91,0.1100504934614611,1.0,0.0,HY3,X_V06_DELTA,svm,Feature_selection
logistic_regression_MI,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.8864921465968585,0.0042947541822749,0.8824175824175823,0.0145959448129607,0.7436788289298597,0.0182181441259192,0.7293978222419961,0.0394973922856769,0.8864232185801539,0.0043236233807199,0.8848228044066502,0.0133040946748228,0.757139534883721,0.0190225169682436,0.7651884700665188,0.0580495648345994,0.8864921465968585,0.0042947541822749,0.8824175824175823,0.0145959448129607,0.746224429428322,0.0217143429219124,0.7151064150132296,0.0360364890726666,0.8917719584623175,0.0045211033404445,0.8953967554700197,0.0111920385255652,0.1141361256544502,0.0047346108084644,0.1197802197802198,0.015255187496103,0.3966492146596859,0.026457150487713,0.4267399267399267,0.0439305990659487,75.76,5.0533157431532025,116.5,11.993053545004011,-0.3966492146596859,0.026457150487713,-0.4267399267399267,0.0439305990659487,0.0581395348837209,0.0182376594666954,0.0756097560975609,0.0515689033892519,0.6278,0.0440297878966299,0.6762237762237763,0.0887037508835053,1.596,0.1770875489694292,1.5,0.5439837932759934,0.9466698181871476,0.0080964630870252,0.9453504786845924,0.0090549844024545,0.9540731097422532,0.003626015639898,0.9558467216223144,0.0070401246165101,0.8740531220573537,0.0089447053880453,0.868967899969016,0.015500680453963,0.9544186046511628,0.0064111854660884,0.9682926829268294,0.0150644358912599,0.9121086191325162,0.0063523705157418,0.9158261082772996,0.0107692117373319,86.0,0.0,123.0,0.0,0.929860786718233,0.0059864856742729,0.945777964203174,0.0137580216408204,0.849,0.0079302515022468,0.8272727272727274,0.0237830786772675,0.8870616227908178,0.0041913380362187,0.882378255704168,0.0157041434160257,100.0,0.0,143.0,0.0,0.4347593795093795,0.0703281725305546,0.3305733808674985,0.1006046063554891,0.4679999999999999,0.0590291829898097,0.5,0.1813279310919978,0.4318662448662448,0.0579857327871002,0.3899891027445207,0.1116281969703484,5.0,0.0,7.0,0.0,0.0441860465116279,0.005929092457666,0.0268292682926829,0.0115295649789607,0.0013953488372093,0.0016260602297211,0.0048780487804878,0.0041983559308481,0.973376984126984,0.0347520604975696,0.8800000000000001,0.1076689026255612,0.0266230158730158,0.0347520604975696,0.12,0.1076689026255612,0.1192,0.0094492798079477,0.1258741258741259,0.0174436241807642,0.0318,0.0063560994328282,0.0468531468531468,0.0161664716870859,0.794646701191825,0.0423686609028475,0.7312729910990781,0.0700725316753304,0.205353298808175,0.0423686609028475,0.268727008900922,0.0700725316753304,0.0,0.0,0.0,0.0,0.532,0.0590291829898097,0.4999999999999999,0.1813279310919978,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,HY3,X_V06_DELTA,logistic_regression,Feature_selection
decision_tree_SP,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.8305759162303665,0.0144761215693501,0.8194139194139194,0.0216396417402812,0.6411489775462587,0.0310514549750568,0.6134966446593899,0.0457407763238103,0.8304569764083845,0.014214504477908,0.8216758394547352,0.020154434115625,0.6495728682170542,0.0342096579307379,0.6254799401140865,0.059560578608958,0.8305759162303665,0.0144761215693501,0.8194139194139194,0.0216396417402812,0.6462000560629937,0.0336682817455472,0.6095260791271865,0.0435506479832053,0.8329664265695463,0.0143690818885299,0.8256462864859346,0.0190632388181904,0.1702094240837696,0.0148546209999695,0.1805860805860805,0.0216396417402812,0.4859162303664921,0.0417700944879625,0.5131868131868131,0.065056567536335,92.81,7.978088047200838,140.1,17.760442937419477,-0.4859162303664921,0.0417700944879625,-0.5131868131868131,0.065056567536335,0.142906976744186,0.0243998328239442,0.1284552845528455,0.0298841165356969,0.6876999999999999,0.0683293494773658,0.7517482517482518,0.1121427754538454,2.35,0.3040833219146795,2.4,0.5421047417431507,0.7725269319619283,0.0206584710687718,0.7581804301817138,0.0328227129237578,0.8432214935602032,0.0136914311593842,0.8363213803740119,0.0189775513088268,0.8521808248190672,0.0141301948056186,0.8438888493714046,0.0208831030068461,0.8644186046511628,0.0189582039440725,0.8715447154471546,0.0298841165356969,0.8574881125591721,0.0138904243242104,0.8571559345464728,0.0184006140965452,86.0,0.0,123.0,0.0,0.8460730507736212,0.0175479544582128,0.8434579560434285,0.0229178691744932,0.8302999999999999,0.0154348091447006,0.8048951048951049,0.0260509716940764,0.8373001127738379,0.0133916021470664,0.8235587222492988,0.0212931699302117,100.0,0.0,143.0,0.0,0.2403462925962926,0.0881474691953523,0.141231431966726,0.1072505782200109,0.254,0.0884684501201794,0.1999999999999999,0.1807015805810502,0.2286587073057661,0.0775287097012209,0.1597752771823979,0.121785418448444,5.0,0.0,7.0,0.0,0.1347674418604651,0.018503033206647,0.1284552845528455,0.0298841165356969,0.000813953488372,0.0009572937236611,0.0,0.0,0.9946430246739844,0.0058448428639769,1.0,0.0,0.0053569753260155,0.0058448428639769,0.0,0.0,0.1295,0.0134267560407485,0.1391608391608391,0.0229458735707686,0.0402,0.00565292451352,0.0559440559440559,0.0183543307086522,0.7682779838755541,0.0306432820828428,0.7154613661030147,0.0783634236561481,0.2317220161244458,0.0306432820828427,0.2845386338969853,0.0783634236561481,0.016,0.0126491106406735,0.0,0.0,0.73,0.0855050355892044,0.7999999999999999,0.1807015805810502,0.0201666666666666,0.0150195346050763,0.0,0.0,0.9798333333333332,0.0150195346050763,1.0,0.0,HY3,X_V06_DELTA,decision_tree,Feature_selection
xgboost_SP,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.8890052356020943,0.0044970676184031,0.8908424908424909,0.0095831095825878,0.6867322815160801,0.0243267510164574,0.7087615303970233,0.0666961214632381,0.8835689510013077,0.0048723654287323,0.8866726244874015,0.0106028556973777,0.6729813953488373,0.0191752118634539,0.6923851216534143,0.0543824099785422,0.8890052356020943,0.0044970676184031,0.8908424908424909,0.0095831095825878,0.7395304780925,0.0463585303776231,0.7502404462544926,0.1036586986071477,0.882171858068698,0.0050227099333133,0.8861689431556586,0.0133514230248804,0.1110471204188481,0.0045806116194411,0.1095238095238095,0.0099868644916622,0.3495811518324607,0.0247203844093587,0.3813186813186813,0.033989042372636,66.77,4.721593422187518,104.1,9.279008567729637,-0.3495811518324607,0.0247203844093587,-0.3813186813186813,0.033989042372636,0.0782558139534883,0.0116156265901959,0.056910569105691,0.021680216802168,0.48,0.0503631258406826,0.565034965034965,0.083187722231032,2.4079999999999995,0.1619876538505328,2.3285714285714287,0.5636373611019163,0.9369429178723252,0.0119546673636657,0.9282910361315896,0.0167645970932024,0.9536694573793036,0.003542322502869,0.9517512836755172,0.0071951278475389,0.8950108478544273,0.0096907311057425,0.879784831417461,0.0147235338262826,0.9217441860465116,0.0116156265901959,0.943089430894309,0.021680216802168,0.9077034906005949,0.005821291559686,0.9101161290257462,0.0105106808895542,86.0,0.0,123.0,0.0,0.8937472530897393,0.0077285837787172,0.9126031740126836,0.0202691750819285,0.8952,0.0088292443366097,0.876923076923077,0.0158782157258055,0.8940705545248464,0.0043644449245218,0.8941482601451215,0.0084667888564629,100.0,0.0,143.0,0.0,0.4298333333333333,0.1426846864701549,0.4583333333333333,0.3096443599189716,0.202,0.0592171146432065,0.2571428571428571,0.1621846320564419,0.2584227994227994,0.0735384866890008,0.322020202020202,0.1979155396302333,5.0,0.0,7.0,0.0,0.0782558139534883,0.0116156265901959,0.056910569105691,0.021680216802168,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0938,0.0105071404292509,0.1104895104895105,0.0170657391307441,0.011,0.0039157800414902,0.0125874125874125,0.0064261299543544,0.8946757358568502,0.0398852468105819,0.8964239028944911,0.0508653074451371,0.1053242641431495,0.0398852468105819,0.1035760971055088,0.0508653074451371,0.002,0.0063245553203367,0.0142857142857142,0.0451753951452625,0.796,0.0623965811029205,0.7285714285714285,0.1710312856768378,0.0025,0.0079056941504209,0.02,0.0632455532033675,0.9975,0.0079056941504209,0.98,0.0632455532033675,HY3,X_STATS,xgboost,Feature_selection
adaboost_SP,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.8664397905759162,0.0074716197882542,0.8717948717948717,0.0180278669844119,0.7192252808955278,0.025878439152873,0.733201466711777,0.0363125759312627,0.8640664814156654,0.0073806750208924,0.8705868560270306,0.0179845462283354,0.7074077519379844,0.0201736871920309,0.7230124888661473,0.0377192485377838,0.8664397905759162,0.0074716197882542,0.8717948717948717,0.0180278669844119,0.7595777813901088,0.0460886427611574,0.7537242605126866,0.0440157016509122,0.8663909787252451,0.0079566235251548,0.8718410508087505,0.0166619751042413,0.1336125654450261,0.0074444624232947,0.1282051282051282,0.0180278669844119,0.3601047120418848,0.0299491898045819,0.3655677655677656,0.059561836261327,68.78,5.720295252675144,99.8,16.260381299342274,-0.3601047120418848,0.0299491898045819,-0.3655677655677656,0.059561836261327,0.1319767441860465,0.0188313864736359,0.1113821138211382,0.0519943966026649,0.4782,0.0643580263491318,0.513986013986014,0.1271732151930474,1.922,0.1706067603193573,1.8,0.3380617018914066,0.9175889532364776,0.0067960030877954,0.910126808080736,0.0161484608122368,0.907667377181733,0.0116834796158171,0.901480234822051,0.0177952582223762,0.8917218495149468,0.012546511063773,0.8869931396957783,0.0232791118623716,0.8680232558139537,0.018831386473636,0.8886178861788618,0.0519943966026649,0.8782594738601455,0.0084476191328949,0.8866006031383783,0.0228137366645837,86.0,0.0,123.0,0.0,0.8616583200522051,0.0124101659059135,0.877155832318472,0.0335229479708954,0.8901999999999999,0.0139427400463467,0.8804195804195803,0.0231814636651782,0.8748347510977617,0.0070636587538235,0.8781419921351479,0.0150346070899187,100.0,0.0,143.0,0.0,0.5253531746031747,0.1374441492730634,0.4970238095238094,0.1221000858516429,0.364,0.0564111888034831,0.3999999999999999,0.1126872339638022,0.4045816177286765,0.0745859674842165,0.4348618048618048,0.0997468767980126,5.0,0.0,7.0,0.0,0.1319767441860465,0.0188313864736359,0.1113821138211382,0.0519943966026649,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0921,0.0129910225412269,0.0986013986013986,0.0262587179797462,0.0177,0.0071655037816223,0.0209790209790209,0.0087218120903821,0.8377665004843797,0.0541566810690047,0.8158917797888385,0.0873619611448336,0.1622334995156202,0.0541566810690048,0.1841082202111614,0.0873619611448336,0.002,0.0063245553203367,0.0,0.0,0.634,0.0573875712444195,0.6,0.1126872339638022,0.01,0.0316227766016837,0.0,0.0,0.99,0.0316227766016837,1.0,0.0,HY3,X_V06_DELTA,adaboost,Feature_selection
