model,target_type,classes,n_classes,accuracy_cv_mean,accuracy_cv_std,accuracy_test_mean,accuracy_test_std,f1_macro_cv_mean,f1_macro_cv_std,f1_macro_test_mean,f1_macro_test_std,f1_weighted_cv_mean,f1_weighted_cv_std,f1_weighted_test_mean,f1_weighted_test_std,recall_macro_cv_mean,recall_macro_cv_std,recall_macro_test_mean,recall_macro_test_std,recall_weighted_cv_mean,recall_weighted_cv_std,recall_weighted_test_mean,recall_weighted_test_std,precision_macro_cv_mean,precision_macro_cv_std,precision_macro_test_mean,precision_macro_test_std,precision_weighted_cv_mean,precision_weighted_cv_std,precision_weighted_test_mean,precision_weighted_test_std,mae_cv_mean,mae_cv_std,mae_test_mean,mae_test_std,misclassification_disease_cost_mean_cv_mean,misclassification_disease_cost_mean_cv_std,misclassification_disease_cost_mean_test_mean,misclassification_disease_cost_mean_test_std,misclassification_disease_cost_total_cv_mean,misclassification_disease_cost_total_cv_std,misclassification_disease_cost_total_test_mean,misclassification_disease_cost_total_test_std,misclassification_disease_score_cv_mean,misclassification_disease_score_cv_std,misclassification_disease_score_test_mean,misclassification_disease_score_test_std,misclassification_disease_cost_mean_true_class_0_cv_mean,misclassification_disease_cost_mean_true_class_0_cv_std,misclassification_disease_cost_mean_true_class_0_test_mean,misclassification_disease_cost_mean_true_class_0_test_std,misclassification_disease_cost_mean_true_class_1_cv_mean,misclassification_disease_cost_mean_true_class_1_cv_std,misclassification_disease_cost_mean_true_class_1_test_mean,misclassification_disease_cost_mean_true_class_1_test_std,misclassification_disease_cost_mean_true_class_2_cv_mean,misclassification_disease_cost_mean_true_class_2_cv_std,misclassification_disease_cost_mean_true_class_2_test_mean,misclassification_disease_cost_mean_true_class_2_test_std,auc_ovr_macro_cv_mean,auc_ovr_macro_cv_std,auc_ovr_macro_test_mean,auc_ovr_macro_test_std,auc_ovr_weighted_cv_mean,auc_ovr_weighted_cv_std,auc_ovr_weighted_test_mean,auc_ovr_weighted_test_std,precision_class_0_cv_mean,precision_class_0_cv_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_cv_mean,recall_class_0_cv_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_cv_mean,f1_class_0_cv_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_cv_mean,support_class_0_cv_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_cv_mean,precision_class_1_cv_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_cv_mean,recall_class_1_cv_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_cv_mean,f1_class_1_cv_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_cv_mean,support_class_1_cv_std,support_class_1_test_mean,support_class_1_test_std,precision_class_2_cv_mean,precision_class_2_cv_std,precision_class_2_test_mean,precision_class_2_test_std,recall_class_2_cv_mean,recall_class_2_cv_std,recall_class_2_test_mean,recall_class_2_test_std,f1_class_2_cv_mean,f1_class_2_cv_std,f1_class_2_test_mean,f1_class_2_test_std,support_class_2_cv_mean,support_class_2_cv_std,support_class_2_test_mean,support_class_2_test_std,conf_0_to_1_cv_mean,conf_0_to_1_cv_std,conf_0_to_1_test_mean,conf_0_to_1_test_std,conf_0_to_2_cv_mean,conf_0_to_2_cv_std,conf_0_to_2_test_mean,conf_0_to_2_test_std,conf_0_to_1_given_error_cv_mean,conf_0_to_1_given_error_cv_std,conf_0_to_1_given_error_test_mean,conf_0_to_1_given_error_test_std,conf_0_to_2_given_error_cv_mean,conf_0_to_2_given_error_cv_std,conf_0_to_2_given_error_test_mean,conf_0_to_2_given_error_test_std,conf_1_to_0_cv_mean,conf_1_to_0_cv_std,conf_1_to_0_test_mean,conf_1_to_0_test_std,conf_1_to_2_cv_mean,conf_1_to_2_cv_std,conf_1_to_2_test_mean,conf_1_to_2_test_std,conf_1_to_0_given_error_cv_mean,conf_1_to_0_given_error_cv_std,conf_1_to_0_given_error_test_mean,conf_1_to_0_given_error_test_std,conf_1_to_2_given_error_cv_mean,conf_1_to_2_given_error_cv_std,conf_1_to_2_given_error_test_mean,conf_1_to_2_given_error_test_std,conf_2_to_0_cv_mean,conf_2_to_0_cv_std,conf_2_to_0_test_mean,conf_2_to_0_test_std,conf_2_to_1_cv_mean,conf_2_to_1_cv_std,conf_2_to_1_test_mean,conf_2_to_1_test_std,conf_2_to_0_given_error_cv_mean,conf_2_to_0_given_error_cv_std,conf_2_to_0_given_error_test_mean,conf_2_to_0_given_error_test_std,conf_2_to_1_given_error_cv_mean,conf_2_to_1_given_error_cv_std,conf_2_to_1_given_error_test_mean,conf_2_to_1_given_error_test_std,X_transfromation,Target,X_Processing
decision_tree,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.7502617801047121,0.01374837165181929,0.7593406593406593,0.022049132010760843,0.6154589164039652,0.014820729343640851,0.6182109401840512,0.029110563388737996,0.751638437648797,0.012452933135131095,0.7594068063640848,0.016960216206136382,0.6167857142857142,0.015412271571982081,0.619663249484412,0.030259990885016373,0.7502617801047121,0.01374837165181929,0.7593406593406593,0.022049132010760843,0.6178267354865989,0.014719731431450389,0.61954326428381,0.028672284805645584,0.7558509534420178,0.01185961080696559,0.7619860513478781,0.015703134050195446,0.32078534031413614,0.0208886016166787,0.30329670329670333,0.026346479041291684,1.1295811518324608,0.09714867820724593,1.043956043956044,0.07952458846365708,215.75,18.555397537583985,285.0,21.710212650578374,-1.1295811518324608,0.09714867820724593,-1.043956043956044,0.07952458846365708,0.7862790697674419,0.10531343701933726,0.6508196721311477,0.26552541780247485,1.9271428571428573,0.1562835250000618,1.9566666666666666,0.30552525102247385,1.2816666666666667,0.15915043567046647,1.2140495867768597,0.2928790570382605,0.743933202876166,0.010875519396346107,0.7477979525135051,0.01892756239995403,0.8066210371999267,0.010454495097555867,0.8138989833138975,0.014213935358805045,0.8457335895329091,0.015898732881310322,0.8502276329681117,0.02629148864508103,0.85,0.010935454247803,0.8655737704918032,0.05143583224371626,0.8467888578336336,0.010058277294212414,0.8566234579949092,0.023611373838323832,86.0,0.0,122.0,0.0,0.20660749863910072,0.02946458384621682,0.19474989615407073,0.0717346024003987,0.2195238095238095,0.03248737569024471,0.2033333333333333,0.09222891541976504,0.20994100092930507,0.0289983933905116,0.19724325942209184,0.08094339616933224,21.0,0.0,30.0,0.0,0.8011391182877869,0.017550363311374242,0.8136522637292476,0.03803861436100952,0.7808333333333334,0.024516295658897336,0.7900826446280991,0.03022780545310239,0.7896468904489565,0.01776342474824728,0.8007661031351523,0.018052617829783298,84.0,0.0,121.0,0.0,0.07930232558139536,0.006686467799332659,0.07704918032786884,0.03283239100721268,0.07069767441860465,0.010696550890331996,0.05737704918032786,0.024437901393440327,0.5320780477673565,0.05276581842807473,0.5659581646423752,0.11716419902938861,0.46792195223264355,0.052765818428074734,0.4340418353576248,0.11716419902938861,0.2866666666666666,0.0386728694167392,0.29,0.07544108976341314,0.49380952380952375,0.05187587177155152,0.5066666666666666,0.12551129996838167,0.3697466628658579,0.05361585747004148,0.3701538754914041,0.114036828050942,0.6302533371341421,0.053615857470041446,0.6298461245085958,0.114036828050942,0.08916666666666666,0.015577102828417263,0.0834710743801653,0.030038919170322823,0.12999999999999998,0.02147848390480763,0.12644628099173555,0.015113902726551188,0.40603760787529125,0.06127122148844166,0.38862643437393163,0.10276962543591524,0.5939623921247086,0.06127122148844166,0.6113735656260684,0.10276962543591525,None,HY43,X_STATS
random_forest,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.8598952879581152,0.005699089092324148,0.8692307692307694,0.008813227073317982,0.6372940935948579,0.013889658763490438,0.6513712565227963,0.023081016804355783,0.8187226732926028,0.007176290249553168,0.8289278533297099,0.012040825240470336,0.6574769287559986,0.0080296848332126,0.667726444775625,0.014070598463451696,0.8598952879581152,0.005699089092324148,0.8692307692307694,0.008813227073317982,0.7701246239681381,0.05019402346616746,0.8842647507052647,0.046873790744684965,0.8319162746283102,0.019102202566987806,0.8745764358835728,0.01590219322061261,0.17350785340314137,0.010907713785075086,0.15787545787545784,0.0156792912014574,0.5926701570680628,0.06066825701656295,0.5285714285714286,0.08125026913989807,113.2,11.587637090163525,144.3,22.18132347519217,-0.5926701570680628,0.06066825701656295,-0.5285714285714286,0.08125026913989807,0.26465116279069767,0.08397749948317078,0.17295081967213113,0.11937420809672739,2.2852380952380953,0.1861607711185463,2.3199999999999994,0.37456147198596956,0.5053571428571428,0.09479103072639751,0.4429752066115702,0.12887145385662932,0.8907858461938714,0.006736966905612191,0.8928914417471547,0.01166814817166754,0.9377478170599846,0.0037652275317921024,0.940944640619082,0.00794566996892542,0.8833016070182383,0.01360469412634034,0.8845958235376082,0.020791672732520645,0.972906976744186,0.009383528010337988,0.9819672131147541,0.012698306053139085,0.9256410054273306,0.00834204756146296,0.9305764531614287,0.012075709838014705,86.0,0.0,122.0,0.0,0.5863809523809524,0.14412304204104745,0.9133333333333333,0.1441878062000741,0.05380952380952381,0.022565377707918666,0.06666666666666667,0.03513641844631533,0.09640258726780467,0.03819208624364866,0.12176965507610668,0.05938685951145008,21.0,0.0,30.0,0.0,0.8406913125052233,0.009458343218895602,0.8548650952448528,0.023149929273710897,0.9457142857142857,0.009460770203292416,0.9545454545454547,0.01306726305854701,0.8898386880894382,0.00634588599008614,0.9017676613308536,0.013901008738934953,84.0,0.0,121.0,0.0,0.0006976744186046512,0.0015696478086291929,0.000819672131147541,0.002592030868990475,0.026395348837209297,0.008295841386854404,0.01721311475409836,0.011878177660811017,0.011583333333333333,0.024515206920814887,0.025,0.07905694150420949,0.8684166666666666,0.11235309338239244,0.875,0.31732387941099616,0.3347619047619047,0.04364646443178198,0.3466666666666667,0.09454243282747843,0.6114285714285714,0.03869892052741787,0.5866666666666667,0.10564323843559745,0.35354108309990656,0.04319699427213558,0.372398004294556,0.10347059091378913,0.6464589169000934,0.04319699427213557,0.627601995705444,0.10347059091378914,0.04892857142857143,0.009597105520225309,0.04380165289256199,0.012950588731177035,0.005357142857142857,0.0026471555682790345,0.001652892561983471,0.0034846034822792055,0.8974083694083694,0.04629898785926669,0.9666666666666668,0.07027283689263064,0.09259163059163059,0.04489992074082608,0.03333333333333333,0.07027283689263066,None,HY43,X_STATS
extra_trees,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.8603141361256543,0.005170037406292643,0.8681318681318683,0.008459344603510997,0.639535457807191,0.013555514188689024,0.6573105825072723,0.024352574719761554,0.8197660352189453,0.006826828849762334,0.8298968620492548,0.010643713445413155,0.6586461794019934,0.007914070823624964,0.6702515467642145,0.01332184889548993,0.8603141361256543,0.005170037406292643,0.8681318681318683,0.008459344603510997,0.7755319175102364,0.04220326228868494,0.8246258143330074,0.10048921974885876,0.8342547347506919,0.015148891190919217,0.8547218419056071,0.03630171347303504,0.17267015706806282,0.01020547051326523,0.16043956043956042,0.01599464995732632,0.5881675392670156,0.05797124868208515,0.5413919413919415,0.08359713062392458,112.33999999999999,11.072508498278268,147.8,22.82201666033141,-0.5881675392670156,0.05797124868208515,-0.5413919413919415,0.08359713062392458,0.28581395348837213,0.06385780956592184,0.19836065573770492,0.11864343154102815,2.2742857142857145,0.15500713172094283,2.2800000000000002,0.3425395354310701,0.4761904761904761,0.09211991976240534,0.456198347107438,0.1334198203210165,0.8889502109617302,0.006606339661262107,0.8879257495292643,0.012412363689018149,0.9367797377305866,0.00310114877701339,0.9385451723348528,0.007581791001547009,0.8858055624013049,0.01226543138732492,0.8848922373490467,0.020303946666154933,0.9705813953488371,0.00641704096595372,0.978688524590164,0.013496272169648582,0.9259771260394499,0.007601255729353125,0.9292628346232543,0.012001241575055966,86.0,0.0,122.0,0.0,0.601,0.12491033821342648,0.735,0.29317862081622476,0.05714285714285714,0.022559794291352214,0.08,0.04216370213557839,0.10221550623289752,0.0375349053035647,0.14254023016831366,0.07211846784361242,21.0,0.0,30.0,0.0,0.8397901901294041,0.008291116036239998,0.8539852056499754,0.023638682933396958,0.9482142857142856,0.009610223046279596,0.9520661157024793,0.014472645219353916,0.8904137411492263,0.006139381840218084,0.9001286827302488,0.013550840200144458,84.0,0.0,121.0,0.0,0.0009302325581395348,0.0014293867375647885,0.001639344262295082,0.003456041158653967,0.02848837209302325,0.006398284503573325,0.019672131147540982,0.011720005786626894,0.0365,0.07361247378193654,0.06428571428571428,0.15954157683572337,0.8835000000000001,0.13486721865103715,0.9357142857142857,0.15954157683572337,0.33285714285714285,0.037188277750060166,0.34,0.08861067572167505,0.6100000000000001,0.03929653530624338,0.58,0.11021863793455329,0.35350083542188815,0.0390419663662353,0.37158505606781467,0.10284511684184111,0.646499164578112,0.03904196636623531,0.6284149439321853,0.10284511684184111,0.04583333333333333,0.009242710078454059,0.044628099173553724,0.01303819235944819,0.005952380952380953,0.003549314249999666,0.003305785123966942,0.00426775024375473,0.8842813852813853,0.06039427888775158,0.9366666666666668,0.08527370601933285,0.10571861471861473,0.053718342868734864,0.06333333333333332,0.08527370601933286,None,HY43,X_STATS
xgboost,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.8415706806282722,0.005077304445645542,0.8512820512820513,0.012712493367345916,0.650230021375164,0.01296276744579553,0.6601220824088407,0.02519399247695148,0.8133963940235276,0.006218965834658612,0.8234650869733897,0.012991177476684764,0.6579263565891473,0.008741593592059421,0.6659853377290039,0.01807365190526003,0.8415706806282722,0.005077304445645542,0.8512820512820513,0.012712493367345916,0.6910825466780175,0.024889817975983372,0.7060761253685572,0.05509019976887772,0.8037799228453624,0.010108932628853217,0.8152080094681713,0.020778913240487883,0.19764397905759162,0.009052361236019144,0.17875457875457876,0.01784500699042257,0.679109947643979,0.04482852976595043,0.5882783882783883,0.08939530233425115,129.70999999999998,8.562249185296535,160.6,24.404917537250558,-0.679109947643979,0.04482852976595043,-0.5882783882783883,0.08939530233425115,0.35848837209302326,0.06004137447326555,0.23852459016393443,0.1451665853900632,2.1428571428571432,0.14213219940014984,2.1799999999999997,0.352836827953792,0.6414285714285713,0.08924390555528365,0.5462809917355371,0.1791036191235124,0.8731819160106264,0.007721350786334436,0.8868361597450212,0.011891494455127204,0.9263727803789716,0.003932112910496778,0.9364292433525486,0.006879701196363645,0.8812723097424534,0.01202824188955345,0.8859005507719641,0.02480350922356373,0.9512790697674418,0.006723437744730382,0.9606557377049182,0.025862643860544765,0.9145538103111305,0.007019071206494551,0.9214124927123037,0.016973419257543594,86.0,0.0,122.0,0.0,0.355450493950494,0.07111070766032491,0.38065656565656564,0.16051675195144524,0.11047619047619048,0.026730837377804302,0.11333333333333333,0.04499657051403686,0.16394224997888562,0.036365609312390364,0.17296439190534185,0.06765148962758483,21.0,0.0,30.0,0.0,0.8365248363411055,0.014707258023937278,0.851671259677142,0.026567839509221435,0.9120238095238096,0.01023240274869932,0.9239669421487602,0.02231234901522488,0.8721940038354756,0.010416471227880916,0.885989362608877,0.016045373336922242,84.0,0.0,121.0,0.0,0.014302325581395348,0.00747670299497175,0.01721311475409836,0.01871135920028845,0.03441860465116279,0.006373582880959525,0.022131147540983605,0.013958513414693771,0.2694307359307359,0.14011608175548543,0.44761904761904764,0.29451823830345997,0.7205692640692641,0.14951308099345317,0.5523809523809524,0.29451823830345997,0.3133333333333333,0.038542349741653804,0.32333333333333336,0.093028603061931,0.5761904761904761,0.057186931856037536,0.5633333333333334,0.12115697398696872,0.35352178239716936,0.04955086095497951,0.3678457398284984,0.11649830690938533,0.6464782176028306,0.049550860954979487,0.6321542601715014,0.11649830690938534,0.05392857142857142,0.009290291911965082,0.045454545454545456,0.019185107819812836,0.03404761904761904,0.0076165670565143334,0.030578512396694214,0.020262452394967816,0.6181600066600066,0.08830302456061728,0.612925407925408,0.20546897795304123,0.3818399933399933,0.0883030245606173,0.38707459207459205,0.20546897795304123,None,HY43,X_STATS
adaboost,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.8104712041884815,0.006821926801288672,0.8208791208791208,0.01678155023055304,0.6514734515217612,0.012942810503668226,0.6495050295787139,0.027890898288492224,0.799992368698954,0.008046265019350626,0.804938579661238,0.016513896662416688,0.653639719453673,0.01129950317249515,0.6523461138960392,0.022349546609261996,0.8104712041884815,0.006821926801288672,0.8208791208791208,0.01678155023055304,0.6579494147168231,0.01503695397388841,0.6582092754216704,0.03669426104975413,0.7937562041558275,0.009655907181672205,0.794454597375086,0.018846592276408863,0.22858638743455498,0.01180612471178423,0.21575091575091573,0.024870688932993344,0.7697382198952879,0.059608146742506564,0.7329670329670329,0.11731083373051977,147.02,11.385156027818761,200.1,32.025857608431906,-0.7697382198952879,0.059608146742506564,-0.7329670329670329,0.11731083373051977,0.41732558139534887,0.07999430978501468,0.3836065573770492,0.22273374195775464,1.9804761904761903,0.11278668575120587,2.1166666666666663,0.3960452649027026,0.8278571428571428,0.09679807056498886,0.7421487603305785,0.1917244542568045,0.8399585716051254,0.0069519872605692135,0.8580454289398283,0.013410458549530251,0.9146141231459556,0.004338944708940049,0.9241757902867077,0.006071002297982809,0.8884404798205962,0.012775430247522025,0.8859501968353449,0.023826414708060656,0.9363953488372093,0.007126936337670163,0.9483606557377049,0.027061596752818304,0.9112959310719532,0.007651992276154267,0.9157058170562941,0.01607374411782533,86.0,0.0,122.0,0.0,0.2535348964209141,0.03493828758247656,0.2519759570494865,0.09743982604030803,0.18714285714285717,0.027680100373086578,0.15000000000000002,0.05719794522770556,0.2094501464147222,0.02943091201069775,0.18612966271001616,0.07011638852233962,21.0,0.0,30.0,0.0,0.8318728679089593,0.016955810793196063,0.8367016723801797,0.029955825139627593,0.8373809523809523,0.013679832531511442,0.8586776859504133,0.03806241491567824,0.833674277078608,0.012678853657138391,0.8466796089698315,0.018938069068324667,84.0,0.0,121.0,0.0,0.02430232558139535,0.007342890014974276,0.014754098360655738,0.01079148505908825,0.03930232558139535,0.008417191195745981,0.03688524590163935,0.021943139896460396,0.36193001443001444,0.12026448009497993,0.2907692307692308,0.1771817754376214,0.6180699855699856,0.11682297729147874,0.7092307692307693,0.1771817754376214,0.2919047619047619,0.03174999975201513,0.31666666666666665,0.09590375834240039,0.5209523809523808,0.05308331419956439,0.5333333333333334,0.10423146132940954,0.3594600207154387,0.04585008732006706,0.37279778486824966,0.10924502057539356,0.6405399792845613,0.045850087320067054,0.6272022151317503,0.10924502057539358,0.04857142857142857,0.010748036201415997,0.045454545454545456,0.01709321438841716,0.11404761904761904,0.01436047457547117,0.09586776859504133,0.03596070274838726,0.3103342037219746,0.063919722532419,0.33012068796730254,0.1062740514161147,0.6896657962780254,0.06391972253241901,0.6698793120326975,0.10627405141611469,None,HY43,X_STATS
svm,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.7637696335078534,0.010926127208669383,0.784981684981685,0.03035606471663297,0.6567462103492749,0.015329805295678468,0.6822429226236905,0.0354723340120424,0.7741342737287249,0.011311133498179415,0.7957957221994099,0.0280444159149173,0.6740042451088962,0.01922763544478414,0.701284980957112,0.035851144780116175,0.7637696335078534,0.010926127208669383,0.784981684981685,0.03035606471663297,0.6748336979960772,0.014528430101966326,0.6952546665604926,0.028491210051379938,0.8168438816532559,0.011841214384429791,0.8345937869424948,0.019352298661317983,0.27057591623036653,0.01612550334992633,0.2388278388278388,0.03658116397767815,0.962303664921466,0.0754144820106004,0.8256410256410257,0.15609916839713267,183.79999999999998,14.40416606402467,225.4,42.615072972417224,-0.962303664921466,0.0754144820106004,-0.8256410256410257,0.15609916839713267,0.056976744186046514,0.026920550936721452,0.020491803278688527,0.02451415088104694,2.057142857142857,0.21747769598036754,1.8666666666666665,0.38103173776627214,1.61547619047619,0.15423700158554782,1.3793388429752067,0.2858237908156284,0.8780103507316135,0.009222905575098379,0.8961198759162976,0.01996081765805215,0.9306289254851521,0.005940540035424659,0.9424148058875284,0.01112023379933775,0.8584296441117722,0.015127228525848224,0.8815541790950924,0.028317765954447502,0.9754651162790697,0.00855263978996893,0.9868852459016393,0.011720005786626908,0.9128365126264797,0.009187716764490551,0.9310134656192404,0.01672446695276602,86.0,0.0,122.0,0.0,0.2501233299597321,0.024853464387185165,0.2792845528049764,0.05976123939871573,0.41142857142857137,0.06479613163398838,0.4533333333333333,0.06885303726590963,0.30898526589021846,0.036941956863704425,0.3443182661272529,0.060927205646605066,21.0,0.0,30.0,0.0,0.9159481199167272,0.013808829939265205,0.9249252677814092,0.02412529445758299,0.6351190476190476,0.027119466854812837,0.6636363636363637,0.055923543536982076,0.7484168525311266,0.02127669666379736,0.7713970361245784,0.035969591096319614,84.0,0.0,121.0,0.0,0.020930232558139538,0.008258634012659891,0.012295081967213115,0.012370744724231445,0.003604651162790698,0.002597188460116427,0.000819672131147541,0.002592030868990475,0.7298095238095238,0.13113098930750475,0.7,0.4830458915396479,0.1301904761904762,0.10495951780533747,0.1,0.31622776601683794,0.3671428571428571,0.039615816921594986,0.32999999999999996,0.08670939117834076,0.22142857142857145,0.03565250388129555,0.2166666666666667,0.08498365855987974,0.6252934402199108,0.040405189427534974,0.6041083099906629,0.14766940565175898,0.3747065597800892,0.04040518942753495,0.3958916900093371,0.147669405651759,0.0744047619047619,0.015186026284247981,0.05289256198347107,0.02176134177204573,0.29047619047619044,0.026202498443205047,0.2834710743801653,0.046433240328839206,0.20668096031229793,0.03908002998265125,0.15413875698667662,0.05655281603314216,0.793319039687702,0.03908002998265122,0.8458612430133234,0.05655281603314217,None,HY43,X_STATS
logistic_regression,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.7605235602094241,0.011158917527452773,0.7545787545787546,0.018192508456350825,0.6250903855877856,0.009810118275042268,0.6262380527128018,0.012641922019980061,0.7677659039924322,0.008414548462007048,0.7668843102162533,0.01217575258083736,0.6266620524178664,0.010964617238174318,0.6277356275120807,0.014958133447451737,0.7605235602094241,0.011158917527452773,0.7545787545787546,0.018192508456350825,0.6284319305228853,0.008580792048322954,0.6315558572415324,0.011548618977835773,0.7783830975584799,0.006073661692771322,0.783496863754653,0.008650843915277984,0.28308900523560204,0.013891731782667668,0.2827838827838828,0.02302485873762768,0.9035078534031413,0.058076152063390465,0.8747252747252746,0.07942704446789191,172.57,11.09254504410758,238.8,21.683583139734488,-0.9035078534031413,0.058076152063390465,-0.8747252747252746,0.07942704446789191,0.5511627906976744,0.05165664865629219,0.4352459016393443,0.21924250459687708,1.8971428571428572,0.14866839868969942,1.8033333333333332,0.42988657705934763,1.0158333333333336,0.11344355995399888,1.0876033057851238,0.11727903982968964,0.8229902146470411,0.011630795236845229,0.8322247438879046,0.0159455454890683,0.89140287971136,0.006118141875370967,0.9007298018593733,0.00796077466574153,0.8811854505345821,0.013861511677895918,0.886928550312734,0.019645169833651204,0.8705813953488372,0.015792373937278892,0.8819672131147541,0.035665942889793946,0.8750338401186953,0.011688470809949105,0.8839154005970119,0.017800067292047153,86.0,0.0,122.0,0.0,0.18184199617724756,0.018872801927395932,0.17853913103262326,0.025846307509800437,0.2285714285714285,0.029354352395090367,0.25,0.061363116762151435,0.2004691616794419,0.022338810513464244,0.20713089940996587,0.0366369312264382,21.0,0.0,30.0,0.0,0.822268344856826,0.013598092970306825,0.82919989037924,0.0324947561517467,0.7808333333333334,0.02222541076897876,0.7512396694214877,0.02874797872880344,0.7997681549652198,0.014480034001212465,0.7876678581314275,0.019247354970720852,84.0,0.0,121.0,0.0,0.08255813953488372,0.015943382791630333,0.08278688524590164,0.026616565853459135,0.04686046511627907,0.005230404380176496,0.03524590163934426,0.021531025469776553,0.6432104733501791,0.057238859447720634,0.7125328919446567,0.13005283424127587,0.3567895266498207,0.05723885944772062,0.28746710805534337,0.13005283424127587,0.2814285714285715,0.03759258328399664,0.2633333333333333,0.10357796610152371,0.49000000000000005,0.05116185984940531,0.4866666666666667,0.11021863793455328,0.36624987808888737,0.0536411072571176,0.3510104361694751,0.1320582900316956,0.6337501219111126,0.05364110725711762,0.648989563830525,0.13205829003169559,0.05119047619047619,0.009101067413634693,0.0487603305785124,0.016274441308806536,0.16797619047619047,0.01920774296399041,0.2,0.03753032807917664,0.23470545955891225,0.031862431321755744,0.20093015126242406,0.07624628466155087,0.7652945404410877,0.03186243132175573,0.7990698487375759,0.07624628466155085,None,HY43,X_STATS
knn,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.7846596858638744,0.014013972472334458,0.7802197802197801,0.024480998358685484,0.5950299337694699,0.018973425938223317,0.5947085864967543,0.02497403684565421,0.7554700351286568,0.015016060000636058,0.7561624731417315,0.02532509649871421,0.6073015873015872,0.015269885836974265,0.6049285703533095,0.02218966849708826,0.7846596858638744,0.014013972472334458,0.7802197802197801,0.024480998358685484,0.6272106953983936,0.023275707224683,0.6115053119946051,0.029844030775431855,0.7564193234467038,0.013833330245889217,0.7558406159812259,0.018153821487254876,0.3010994764397906,0.026293462689486017,0.29523809523809524,0.04672463939702125,1.2787958115183247,0.13335257712247564,1.2058608058608058,0.2664178778357419,244.25,25.47034223039285,329.2,72.73208064915754,-1.2787958115183247,0.13335257712247564,-1.2058608058608058,0.2664178778357419,0.037441860465116286,0.024278545045662906,0.013114754098360654,0.025100948804056503,3.060952380952381,0.16239887253908264,2.956666666666667,0.4317778349631117,2.104166666666667,0.2801886590875511,1.9743801652892565,0.5401198625854897,0.8281098025821935,0.014211198871406198,0.8357577778044198,0.021752762655437404,0.8926331132541094,0.0099718750299777,0.8980924488896036,0.015598659191613403,0.7591979437878018,0.019414930428556843,0.7743589284408426,0.04230384059600874,0.9950000000000001,0.003381213719002217,0.9942622950819672,0.006748136084824308,0.8609075151816354,0.012940974641737246,0.869959382639878,0.024944222144584898,86.0,0.0,122.0,0.0,0.23967302142302144,0.05836147755169729,0.18028900021547078,0.08157973437018656,0.0819047619047619,0.03632112313641544,0.08333333333333333,0.032394177193585005,0.11705685128089291,0.041411883047885345,0.11337166058537314,0.04531976276676798,21.0,0.0,30.0,0.0,0.8827611209843574,0.007552670672880874,0.8798680073275017,0.02701618921277664,0.7449999999999999,0.03046936927631995,0.737190082644628,0.058412598482417956,0.8071254348458817,0.020149215760501972,0.8007947162650113,0.034752281157098774,84.0,0.0,121.0,0.0,0.0013953488372093023,0.001626060229721165,0.0049180327868852455,0.006912082317307933,0.003604651162790698,0.002354471712943789,0.000819672131147541,0.002592030868990475,0.095,0.09846036991827953,0.4,0.5163977794943222,0.265,0.1650757401921918,0.1,0.31622776601683794,0.5357142857142858,0.033389974552321636,0.51,0.1077835050024691,0.3823809523809524,0.025102460733869094,0.4066666666666666,0.1130934279999953,0.5837096417514374,0.02447947671624757,0.557067421722594,0.11571339349699528,0.4162903582485626,0.024479476716247547,0.44293257827740584,0.11571339349699529,0.19130952380952385,0.02937070945598859,0.16942148760330583,0.05331130159879788,0.06369047619047619,0.02152572040494527,0.09338842975206611,0.021356526108335324,0.7494611956394154,0.07731978423453198,0.6335754540064612,0.09561853092165687,0.2505388043605846,0.07731978423453197,0.36642454599353874,0.09561853092165687,None,HY43,X_STATS
