,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
23,adaboost,chi2,0.6359 ± 0.0207,0.6433 ± 0.0209,0.8216 ± 0.0137,0.6585 ± 0.0297,0.6479 ± 0.0159,0.8469 ± 0.0157,0.7906 ± 0.0135,0.8216 ± 0.0137,0.8019 ± 0.0114,0.9182 ± 0.0070,0.8101 ± 0.0102,0.6393 ± 0.0252,0.6392 ± 0.0173,0.8392 ± 0.0049,0.7841 ± 0.0119,0.8101 ± 0.0102,0.7957 ± 0.0103,0.9145 ± 0.0032
24,adaboost,chi2_mi_union_topk,0.6277 ± 0.0186,0.6298 ± 0.0250,0.8194 ± 0.0233,0.6431 ± 0.0391,0.6379 ± 0.0211,0.8389 ± 0.0088,0.7835 ± 0.0175,0.8194 ± 0.0233,0.7970 ± 0.0165,0.9144 ± 0.0065,0.8127 ± 0.0113,0.6309 ± 0.0229,0.6339 ± 0.0154,0.8365 ± 0.0135,0.7804 ± 0.0114,0.8127 ± 0.0113,0.7946 ± 0.0104,0.9133 ± 0.0055
25,svm,spearman_corr,0.6061 ± 0.0105,0.6152 ± 0.0107,0.8604 ± 0.0111,0.6910 ± 0.1549,0.6478 ± 0.0080,0.8741 ± 0.0135,0.8054 ± 0.0486,0.8604 ± 0.0111,0.8129 ± 0.0101,0.9325 ± 0.0081,0.8527 ± 0.0049,0.6364 ± 0.1178,0.6394 ± 0.0064,0.8721 ± 0.0094,0.7838 ± 0.0398,0.8527 ± 0.0049,0.8059 ± 0.0059,0.9281 ± 0.0047
26,svm,mutual_info,0.6058 ± 0.0078,0.6088 ± 0.0100,0.8601 ± 0.0106,0.6072 ± 0.1060,0.6450 ± 0.0084,0.8708 ± 0.0110,0.7773 ± 0.0365,0.8601 ± 0.0106,0.8108 ± 0.0104,0.9309 ± 0.0071,0.8539 ± 0.0047,0.6423 ± 0.1238,0.6400 ± 0.0050,0.8715 ± 0.0083,0.7861 ± 0.0412,0.8539 ± 0.0047,0.8065 ± 0.0051,0.9283 ± 0.0045
27,svm,spearman_sulov,0.6085 ± 0.0100,0.6185 ± 0.0149,0.8623 ± 0.0131,0.7256 ± 0.1669,0.6500 ± 0.0112,0.8716 ± 0.0144,0.8180 ± 0.0572,0.8623 ± 0.0131,0.8151 ± 0.0131,0.9314 ± 0.0085,0.8538 ± 0.0061,0.6759 ± 0.1234,0.6409 ± 0.0067,0.8731 ± 0.0096,0.7972 ± 0.0425,0.8538 ± 0.0061,0.8073 ± 0.0067,0.9288 ± 0.0049
28,svm,chi2,0.6046 ± 0.0059,0.6122 ± 0.0122,0.8619 ± 0.0108,0.6252 ± 0.1133,0.6472 ± 0.0092,0.8713 ± 0.0122,0.7846 ± 0.0391,0.8619 ± 0.0108,0.8132 ± 0.0109,0.9312 ± 0.0077,0.8533 ± 0.0045,0.6365 ± 0.1171,0.6391 ± 0.0043,0.8724 ± 0.0079,0.7839 ± 0.0389,0.8533 ± 0.0045,0.8058 ± 0.0045,0.9288 ± 0.0042
29,svm,chi2_mi_union_topk,0.6086 ± 0.0065,0.6085 ± 0.0093,0.8593 ± 0.0099,0.5851 ± 0.0367,0.6444 ± 0.0077,0.8653 ± 0.0114,0.7700 ± 0.0158,0.8593 ± 0.0099,0.8104 ± 0.0097,0.9281 ± 0.0065,0.8536 ± 0.0057,0.6950 ± 0.1305,0.6408 ± 0.0047,0.8626 ± 0.0092,0.8036 ± 0.0428,0.8536 ± 0.0057,0.8074 ± 0.0052,0.9240 ± 0.0049
30,logistic_regression,spearman_corr,0.6617 ± 0.0159,0.6632 ± 0.0201,0.7894 ± 0.0174,0.6665 ± 0.0181,0.6680 ± 0.0230,0.8559 ± 0.0202,0.8124 ± 0.0119,0.7894 ± 0.0174,0.7978 ± 0.0129,0.9204 ± 0.0098,0.7822 ± 0.0120,0.6642 ± 0.0134,0.6667 ± 0.0176,0.8558 ± 0.0159,0.8102 ± 0.0072,0.7822 ± 0.0120,0.7939 ± 0.0096,0.9178 ± 0.0079
31,logistic_regression,mutual_info,0.6539 ± 0.0185,0.6555 ± 0.0230,0.7810 ± 0.0200,0.6602 ± 0.0215,0.6600 ± 0.0257,0.8518 ± 0.0182,0.8093 ± 0.0133,0.7810 ± 0.0200,0.7919 ± 0.0149,0.9168 ± 0.0087,0.7763 ± 0.0143,0.6568 ± 0.0161,0.6579 ± 0.0204,0.8470 ± 0.0162,0.8043 ± 0.0097,0.7763 ± 0.0143,0.7883 ± 0.0120,0.9122 ± 0.0079
32,logistic_regression,spearman_sulov,0.6634 ± 0.0184,0.6625 ± 0.0294,0.7894 ± 0.0240,0.6664 ± 0.0263,0.6671 ± 0.0321,0.8559 ± 0.0191,0.8140 ± 0.0168,0.7894 ± 0.0240,0.7985 ± 0.0200,0.9201 ± 0.0097,0.7844 ± 0.0138,0.6652 ± 0.0159,0.6680 ± 0.0202,0.8552 ± 0.0160,0.8102 ± 0.0092,0.7844 ± 0.0138,0.7953 ± 0.0117,0.9173 ± 0.0078
