epoch,train_loss,val_loss,val_acc,val_balanced_acc,val_f1
1,0.3700285890215152,0.22521232561887922,0.9121621621621622,0.9133038511147964,0.9182389937106918
2,0.21010805384532824,0.20295144597420822,0.9256756756756757,0.9269393771881334,0.9308176100628931
3,0.17119851819164045,0.20391913986689336,0.918918918918919,0.9194766906209693,0.925
4,0.1354743333382381,0.21802650915609822,0.918918918918919,0.9194766906209693,0.925
5,0.11900669950488452,0.23719961417687907,0.918918918918919,0.9194766906209693,0.925
6,0.09689011960919644,0.25906858411995143,0.9121621621621622,0.912014004053805,0.9192546583850931
7,0.09573323226760368,0.2830031546386513,0.9121621621621622,0.912014004053805,0.9192546583850931
8,0.07065825471402826,0.3274829919273789,0.8986486486486487,0.8970886309194767,0.9079754601226994
9,0.0598248140886426,0.31985967223708694,0.8986486486486487,0.8970886309194767,0.9079754601226994
10,0.042881406434635456,0.3763422998222145,0.918918918918919,0.9194766906209693,0.925
11,0.03691871472747644,0.4039093078793706,0.8986486486486487,0.8970886309194767,0.9079754601226994
12,0.030462715825116313,0.4174647009050524,0.8986486486486487,0.8970886309194767,0.9079754601226994
