model,auc_cv_mean,auc_cv_std,f1_cv_mean,f1_cv_std,accuracy_cv_mean,accuracy_cv_std,recall_cv_mean,recall_cv_std,precision_cv_mean,precision_cv_std
decision_tree_MI_RFECV,0.9328543743078626,0.0061472247937857,0.8848181676716586,0.0061142425284667,0.8795287958115183,0.006638418631017,0.8441904761904763,0.0197500123584322,0.933806689307354,0.0208800738279539
random_forest_MI,0.9687104097452934,0.0046754614186048,0.9265806454461698,0.0071469029429101,0.9214659685863872,0.0072923498833424,0.9024761904761904,0.0126443292718991,0.9527892351010884,0.0059143804554362
extra_trees,0.9683394241417496,0.0041197265649894,0.9250342998808732,0.0079582954679112,0.9194764397905756,0.0083653205885907,0.9045714285714286,0.0127126903860116,0.9471913584614468,0.0083808889606953
xgboost_MI,0.966375415282392,0.0045256674175759,0.9224701057178366,0.0068436647065602,0.9161780104712042,0.0072355355860456,0.908,0.0121815443469101,0.9382914137268764,0.0085051995393787
adaboost_SP,0.9638410852713178,0.0051268144444705,0.918009301739416,0.0073500261069711,0.911151832460733,0.0074495747468403,0.9052380952380954,0.0145703564982386,0.931963475342837,0.0080667489205844
svm_SP,0.969780177187154,0.0047569388504882,0.927374666905601,0.0080632738746062,0.923350785340314,0.0081004388564717,0.8922857142857143,0.0143697703469343,0.9660733873022374,0.006204530722612
logistic_regression_MI,0.9688217054263568,0.0053446262358904,0.9203024418076532,0.0068240346307938,0.915916230366492,0.0067102910105119,0.885047619047619,0.0146310982165186,0.9593062731025006,0.007469782001905
knn_SP,0.9464019933554816,0.005740784698986,0.8993469722629485,0.0052084210268236,0.8981675392670159,0.0048756422494586,0.8308571428571426,0.0089024839346443,0.9811702341978752,0.0062040816272731
gaussian_nb_MI,0.9414102990033224,0.005661039382533,0.9210883041339932,0.0066092116733558,0.9152356020942408,0.0066977974397965,0.9007619047619048,0.0128937358936828,0.9430056238047684,0.0060806632545308
