,model,X_Processing,auc_cv_mean,auc_cv_std,f1_cv_mean,f1_cv_std,accuracy_cv_mean,accuracy_cv_std,recall_cv_mean,recall_cv_std,precision_cv_mean,precision_cv_std
0,minmax_decision_tree,X_STATS,0.8712768549280178,0.0097511441854188,0.8844758863692823,0.0082483983477404,0.8727225130890053,0.0092822695504369,0.8858095238095238,0.0107041103946046,0.8845655430728474,0.0124893453103686
1,minmax_random_forest,X_V06_STATS,0.9678870431893688,0.004053115130427,0.9258679718113878,0.0078584664331342,0.9205759162303664,0.0083260889721666,0.902952380952381,0.0114060624900459,0.9507601264868064,0.0087694111194731
2,extra_trees,X_V06_STATS,0.9683394241417496,0.0041197265649894,0.9250342998808732,0.0079582954679112,0.9194764397905756,0.0083653205885907,0.9045714285714286,0.0127126903860116,0.9471913584614468,0.0083808889606953
3,xgboost,X_V06_STATS,0.966282392026578,0.0047537912227426,0.9223378735263892,0.0063349205387675,0.9161780104712042,0.0065506660912867,0.9063809523809524,0.0123772888352645,0.9396938494250824,0.0084160119715508
4,adaboost,X_STATS,0.963299003322259,0.0063362398394757,0.9169171673674962,0.0061748134466629,0.910261780104712,0.0063798961801124,0.9015238095238096,0.012272212752609,0.9336596827159334,0.0078239173316565
5,svm,X_V06_STATS,0.9695642303433004,0.0051709070124227,0.907552935288556,0.0072036670700073,0.9071204188481676,0.0066004588641244,0.8326666666666667,0.0123446762001386,0.9981064948207824,0.0018982882738063
6,minmax_logistic_regression,X_V06_DELTA,0.9671029900332224,0.0055278135513978,0.9188721347355236,0.0061764416865275,0.9142408376963352,0.0058966093681569,0.8849523809523809,0.0143792353297096,0.9563336331803534,0.0072113711345222
7,minmax_knn,X_STATS,0.9445714285714286,0.0049060562518047,0.890121985403914,0.0051448219126773,0.8900523560209423,0.0046502312720677,0.8132380952380952,0.0093254474838205,0.9842259442214284,0.0047640446893009
8,standard_gaussian_nb,X_STATS,0.9405697674418604,0.0064279455401018,0.9187434288769176,0.0078307310804894,0.9129842931937174,0.0080650178721339,0.8959999999999999,0.0129483342573596,0.9433862053551954,0.0078800125383555
