,model,X_Processing,auc_cv_mean,auc_cv_std
0,decision_tree,X_V06_STATS,0.8599557032115172,0.0114254328314901
1,standard_random_forest,X_V06_STATS,0.9665736434108528,0.0041199724367155
2,extra_trees,X_STATS,0.9676622369878184,0.0038572857376759
3,xgboost,X_V06_STATS,0.9659446290143964,0.0046565058051172
4,adaboost,X_V06_STATS,0.9600033222591362,0.0052291193209469
5,minmax_svm,X_STATS,0.9637464008859358,0.004628537639788
6,minmax_logistic_regression,X_V06_DELTA,0.9584606866002215,0.0056608612276535
7,knn,X_STATS,0.8859911406423034,0.0145528331106513
8,minmax_gaussian_nb,X_STATS,0.9165415282392028,0.0129790829639166
