model,target_type,classes,n_classes,bayes_best_cv_score_cv_mean,bayes_best_cv_score_cv_std,accuracy_cv_mean,accuracy_cv_std,f1_cv_mean,f1_cv_std,recall_cv_mean,recall_cv_std,precision_cv_mean,precision_cv_std,misclassification_cost_mean_cv_mean,misclassification_cost_mean_cv_std,misclassification_cost_total_cv_mean,misclassification_cost_total_cv_std,misclassification_score_cv_mean,misclassification_score_cv_std,misclassification_cost_mean_true_class_0_cv_mean,misclassification_cost_mean_true_class_0_cv_std,misclassification_cost_mean_true_class_1_cv_mean,misclassification_cost_mean_true_class_1_cv_std,auc_cv_mean,auc_cv_std,precision_class_0_cv_mean,precision_class_0_cv_std,recall_class_0_cv_mean,recall_class_0_cv_std,f1_class_0_cv_mean,f1_class_0_cv_std,support_class_0_cv_mean,support_class_0_cv_std,precision_class_1_cv_mean,precision_class_1_cv_std,recall_class_1_cv_mean,recall_class_1_cv_std,f1_class_1_cv_mean,f1_class_1_cv_std,support_class_1_cv_mean,support_class_1_cv_std,tn_cv_mean,tn_cv_std,fp_cv_mean,fp_cv_std,fn_cv_mean,fn_cv_std,tp_cv_mean,tp_cv_std,specificity_cv_mean,specificity_cv_std,npv_cv_mean,npv_cv_std,fpr_cv_mean,fpr_cv_std,fnr_cv_mean,fnr_cv_std,accuracy_test_mean,accuracy_test_std,f1_test_mean,f1_test_std,recall_test_mean,recall_test_std,precision_test_mean,precision_test_std,misclassification_cost_mean_test_mean,misclassification_cost_mean_test_std,misclassification_cost_total_test_mean,misclassification_cost_total_test_std,misclassification_score_test_mean,misclassification_score_test_std,misclassification_cost_mean_true_class_0_test_mean,misclassification_cost_mean_true_class_0_test_std,misclassification_cost_mean_true_class_1_test_mean,misclassification_cost_mean_true_class_1_test_std,auc_test_mean,auc_test_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_test_mean,support_class_1_test_std,tn_test_mean,tn_test_std,fp_test_mean,fp_test_std,fn_test_mean,fn_test_std,tp_test_mean,tp_test_std,specificity_test_mean,specificity_test_std,npv_test_mean,npv_test_std,fpr_test_mean,fpr_test_std,fnr_test_mean,fnr_test_std
decision_tree,binary,"[0, 1]",2,0.9481926910299003,0.006040764015556166,0.9190251572327043,0.0073841733771516545,0.9235629595668566,0.007354142384208517,0.8868945868945868,0.020237058157388525,0.9640989788110488,0.018531692507355008,0.3306603773584905,0.048275248612708044,210.3,30.703058117682314,-0.3306603773584905,0.048275248612708044,0.04140350877192982,0.02332153184676401,0.5655270655270654,0.10118529078694256,0.977769780576798,0.005278576618355078,0.8737340974350628,0.01784190926324543,0.9585964912280701,0.02332153184676404,0.9138421716132752,0.007869843128862214,285.0,0.0,0.9640989788110488,0.018531692507355008,0.8868945868945868,0.020237058157388525,0.9235629595668566,0.007354142384208517,351.0,0.0,273.2,6.646636576327743,11.8,6.646636576327743,39.7,7.10320741324337,311.3,7.10320741324337,0.9585964912280701,0.02332153184676404,0.8737340974350628,0.01784190926324543,0.04140350877192982,0.02332153184676401,0.11310541310541311,0.02023705815738852,0.9117216117216118,0.018473066540453796,0.9163848824837068,0.018474146124314448,0.8826666666666666,0.03314018112410177,0.9538299668229759,0.021346733741817385,0.34615384615384615,0.08803495009822591,94.5,24.033541376815673,-0.34615384615384615,0.08803495009822591,0.05284552845528455,0.02689625100444337,0.5866666666666667,0.1657009056205089,0.9601734417344174,0.009814915208770548,0.8699292703090927,0.030738046977997046,0.9471544715447155,0.02689625100444336,0.906383293857831,0.018752766199581456,123.0,0.0,0.9538299668229759,0.021346733741817385,0.8826666666666666,0.03314018112410177,0.9163848824837068,0.018474146124314448,150.0,0.0,116.5,3.3082388735465345,6.5,3.3082388735465345,17.6,4.971027168615266,132.4,4.971027168615266,0.9471544715447155,0.02689625100444336,0.8699292703090927,0.030738046977997046,0.05284552845528455,0.02689625100444337,0.11733333333333333,0.03314018112410177
random_forest,binary,"[0, 1]",2,0.9710387596899226,0.004049506136360803,0.9459119496855346,0.0096413268658842,0.9489673622916441,0.009218467280080751,0.9116809116809117,0.011861344726302741,0.989468539833962,0.007201947966512297,0.2490566037735849,0.03561782550048867,158.4,22.65293701831079,-0.2490566037735849,0.03561782550048867,0.011929824561403509,0.008136854798094074,0.4415954415954416,0.05930672363151376,0.9868915879442197,0.005752582923165175,0.9009164076045073,0.012661437857114356,0.9880701754385963,0.008136854798094081,0.9424655667041518,0.010101781627948636,285.0,0.0,0.989468539833962,0.007201947966512297,0.9116809116809117,0.011861344726302741,0.9489673622916441,0.009218467280080751,351.0,0.0,281.6,2.3190036174568114,3.4,2.3190036174568114,31.0,4.163331998932265,320.0,4.163331998932265,0.9880701754385963,0.008136854798094081,0.9009164076045073,0.012661437857114356,0.011929824561403509,0.008136854798094074,0.08831908831908833,0.01186134472630275,0.9384615384615385,0.011685944922105373,0.9421741652784572,0.01155782387133039,0.9139999999999999,0.02187506613746616,0.9725610714385476,0.012362061220974503,0.25054945054945055,0.058307123199810094,68.4,15.917844633548155,-0.25054945054945055,0.058307123199810094,0.03170731707317073,0.0145687588679844,0.43,0.10937533068733078,0.9794254742547425,0.006093548815512205,0.9028067659212473,0.02113192695159734,0.9682926829268291,0.014568758867984397,0.9342032711160734,0.011882483403911032,123.0,0.0,0.9725610714385476,0.012362061220974503,0.9139999999999999,0.02187506613746616,0.9421741652784572,0.01155782387133039,150.0,0.0,119.1,1.7919573407620815,3.9,1.7919573407620817,12.9,3.2812599206199233,137.1,3.2812599206199238,0.9682926829268291,0.014568758867984397,0.9028067659212473,0.02113192695159734,0.03170731707317073,0.0145687588679844,0.086,0.021875066137466162
extra_trees,binary,"[0, 1]",2,0.9713732004429678,0.0037445454338896874,0.9432389937106919,0.009476088103921823,0.9467146146834224,0.008973780682172913,0.9139601139601139,0.011058633715486885,0.9819355775324234,0.007925060781518136,0.24669811320754714,0.03357121780235038,156.9,21.351294522294843,-0.24669811320754714,0.03357121780235038,0.020701754385964916,0.009127304334562185,0.4301994301994302,0.055293168577434514,0.9842345179187284,0.0060655353149366474,0.9024274254323984,0.012012203858358932,0.9792982456140349,0.009127304334562164,0.9392763575984414,0.01004111107901656,285.0,0.0,0.9819355775324234,0.007925060781518136,0.9139601139601139,0.011058633715486885,0.9467146146834224,0.008973780682172913,351.0,0.0,279.1,2.601281735350223,5.9,2.601281735350223,30.2,3.8815804341359033,320.8,3.8815804341359033,0.9792982456140349,0.009127304334562164,0.9024274254323984,0.012012203858358932,0.020701754385964916,0.009127304334562185,0.08603988603988602,0.0110586337154869,0.9366300366300366,0.010222923413399001,0.9405632673068786,0.010288338124264435,0.914,0.020475821332959016,0.9690803464061718,0.01016445007106122,0.2523809523809524,0.054151094426420625,68.9,14.783248778412831,-0.2523809523809524,0.054151094426420625,0.03577235772357724,0.012240205735107007,0.43,0.10237910666479504,0.9791219512195124,0.005876854128674943,0.9023843938499144,0.01955507432652265,0.9642276422764228,0.01224020573510701,0.9321053107629365,0.010179325775229684,123.0,0.0,0.9690803464061718,0.01016445007106122,0.914,0.020475821332959016,0.9405632673068786,0.010288338124264435,150.0,0.0,118.6,1.505545305418162,4.4,1.505545305418162,12.9,3.0713731999438516,137.1,3.0713731999438516,0.9642276422764228,0.01224020573510701,0.9023843938499144,0.01955507432652265,0.03577235772357724,0.012240205735107007,0.08600000000000001,0.020475821332959013
xgboost,binary,"[0, 1]",2,0.9698050941306755,0.003959163400946774,0.9643081761006289,0.01935729791736313,0.96699221602977,0.01798269131132548,0.9507122507122506,0.02462002992759322,0.9839480604863322,0.011506289582512236,0.14449685534591197,0.07360868083962417,91.9,46.81512101400097,-0.14449685534591197,0.07360868083962417,0.018947368421052633,0.01355918292041117,0.24643874643874644,0.12310014963796606,0.9934203028939871,0.004895174135856473,0.9421665467565964,0.02847475855528644,0.9810526315789474,0.013559182920411162,0.961146851372628,0.020958828443851323,285.0,0.0,0.9839480604863322,0.011506289582512236,0.9507122507122506,0.02462002992759322,0.96699221602977,0.01798269131132548,351.0,0.0,279.6,3.8643671323171835,5.4,3.8643671323171835,17.3,8.641630504585219,333.7,8.641630504585219,0.9810526315789474,0.013559182920411162,0.9421665467565964,0.02847475855528644,0.018947368421052633,0.01355918292041117,0.049287749287749295,0.024620029927593216,0.9340659340659341,0.011583434652631425,0.9390892692645189,0.010850863892329423,0.9253333333333333,0.017441259440309834,0.9535866864973681,0.015958947384117128,0.23003663003663002,0.04664799969633827,62.8,12.734903917100349,-0.23003663003663002,0.04664799969633827,0.055284552845528454,0.020207427514696206,0.3733333333333333,0.08720629720154927,0.9790948509485095,0.005718837858766268,0.9124723821873516,0.018184284363272588,0.9447154471544714,0.020207427514696227,0.9281068012722171,0.01254707003142385,123.0,0.0,0.9535866864973681,0.015958947384117128,0.9253333333333333,0.017441259440309834,0.9390892692645189,0.010850863892329423,150.0,0.0,116.2,2.485513584307633,6.8,2.485513584307633,11.2,2.6161889160464775,138.8,2.6161889160464775,0.9447154471544714,0.020207427514696227,0.9124723821873516,0.018184284363272588,0.055284552845528454,0.020207427514696206,0.07466666666666666,0.01744125944030985
adaboost,binary,"[0, 1]",2,0.9692303433001106,0.0035676039701691745,0.9369496855345913,0.005568889500687416,0.9410208084576478,0.0054237582100716145,0.9116809116809115,0.010050337363968083,0.9724053248530872,0.006461280747495252,0.25801886792452833,0.02685208486395732,164.1,17.07792597347686,-0.25801886792452833,0.02685208486395732,0.031929824561403516,0.007837130090175885,0.4415954415954416,0.05025168681984028,0.9819043334832808,0.0023779561558009425,0.8991089659316522,0.009992531706341158,0.9680701754385966,0.00783713009017591,0.9322670645850832,0.005749134470849693,285.0,0.0,0.9724053248530872,0.006461280747495252,0.9116809116809115,0.010050337363968083,0.9410208084576478,0.0054237582100716145,351.0,0.0,275.9,2.2335820757001272,9.1,2.2335820757001272,31.0,3.5276684147527875,320.0,3.5276684147527875,0.9680701754385966,0.00783713009017591,0.8991089659316522,0.009992531706341158,0.031929824561403516,0.007837130090175885,0.08831908831908833,0.010050337363968053,0.932967032967033,0.010367731240710021,0.9377119171157904,0.010054686050104763,0.9193333333333333,0.021648140227480083,0.957399720377347,0.01627303829776909,0.24432234432234434,0.05509543929502538,66.7,15.041054927541927,-0.24432234432234434,0.05509543929502538,0.050406504065040644,0.020207427514696202,0.4033333333333333,0.10824070113740047,0.9780379403794038,0.004930184107570702,0.906770784174444,0.020965640815847033,0.9495934959349593,0.02020742751469621,0.927385523932253,0.010905086459763569,123.0,0.0,0.957399720377347,0.01627303829776909,0.9193333333333333,0.021648140227480083,0.9377119171157904,0.010054686050104763,150.0,0.0,116.8,2.485513584307633,6.2,2.485513584307633,12.1,3.2472210341220142,137.9,3.2472210341220142,0.9495934959349593,0.02020742751469621,0.906770784174444,0.020965640815847033,0.050406504065040644,0.020207427514696202,0.08066666666666668,0.021648140227480097
svm,binary,"[0, 1]",2,0.9709501661129568,0.003262598723532002,0.9375786163522013,0.010995052664809473,0.9403998072036941,0.011272871909641631,0.8943019943019944,0.022045792763652563,0.9918765676455269,0.005703227963363485,0.2957547169811321,0.05942781498866401,188.1,37.79609033279031,-0.2957547169811321,0.05942781498866401,0.00912280701754386,0.006448677778755659,0.5284900284900285,0.11022896381826279,0.9780796721147598,0.004948641249928364,0.8843841717054003,0.02076695375880704,0.990877192982456,0.006448677778755679,0.9344513833603187,0.010638885611248578,285.0,0.0,0.9918765676455269,0.005703227963363485,0.8943019943019944,0.022045792763652563,0.9403998072036941,0.011272871909641631,351.0,0.0,282.4,1.837873166945363,2.6,1.837873166945363,37.1,7.738073260042048,313.9,7.738073260042047,0.990877192982456,0.006448677778755679,0.8843841717054003,0.02076695375880704,0.00912280701754386,0.006448677778755659,0.10569800569800569,0.022045792763652556,0.9358974358974359,0.014160456049747472,0.9390798280608703,0.013924390259619992,0.9006666666666666,0.022760155785012212,0.9813298086276181,0.014617382684311368,0.2824175824175824,0.062461104822724114,77.1,17.051881616603684,-0.2824175824175824,0.062461104822724114,0.021138211382113824,0.016793423723392598,0.4966666666666666,0.11380077892506102,0.9766341463414635,0.0063245037100198385,0.8903692388900927,0.02202482433732244,0.9788617886178862,0.0167934237233926,0.9323319413552973,0.014459054868650055,123.0,0.0,0.9813298086276181,0.014617382684311368,0.9006666666666666,0.022760155785012212,0.9390798280608703,0.013924390259619992,150.0,0.0,120.4,2.065591117977289,2.6,2.065591117977289,14.9,3.414023367751831,135.1,3.414023367751831,0.9788617886178862,0.0167934237233926,0.8903692388900927,0.02202482433732244,0.021138211382113824,0.016793423723392598,0.09933333333333336,0.022760155785012212
logistic_regression,binary,"[0, 1]",2,0.9702126245847177,0.003781411953213668,0.9385220125786162,0.011683047112295227,0.941967741947724,0.011262884411462431,0.9048433048433047,0.015383442910781833,0.9823412336359327,0.008082171791028752,0.2715408805031446,0.04536526084383538,172.7,28.852305896679308,-0.2715408805031446,0.04536526084383538,0.019999999999999997,0.009067156698626577,0.47578347578347585,0.07691721455390917,0.9836807117508872,0.003266228342675346,0.8933527259153557,0.016145482094938393,0.9799999999999999,0.00906715669862655,0.9346367350909407,0.012125807300638313,285.0,0.0,0.9823412336359327,0.008082171791028752,0.9048433048433047,0.015383442910781833,0.941967741947724,0.011262884411462431,351.0,0.0,279.3,2.584139659108574,5.7,2.5841396591085743,33.4,5.399588461684423,317.6,5.399588461684423,0.9799999999999999,0.00906715669862655,0.8933527259153557,0.016145482094938393,0.019999999999999997,0.009067156698626577,0.09515669515669516,0.015383442910781834,0.9293040293040293,0.0132690871666883,0.9327049708655194,0.013425030142886102,0.8933333333333333,0.0237268405600696,0.9761660825429409,0.01258272876300293,0.3051282051282051,0.06403100837903436,83.3,17.48046528747638,-0.3051282051282051,0.06403100837903436,0.02682926829268293,0.014868148210672304,0.5333333333333332,0.11863420280034791,0.9753387533875338,0.006001403131108457,0.8826611619116337,0.02222860916563265,0.9731707317073169,0.0148681482106723,0.9254997308592767,0.013132784154608302,123.0,0.0,0.9761660825429409,0.01258272876300293,0.8933333333333333,0.0237268405600696,0.9327049708655194,0.013425030142886102,150.0,0.0,119.7,1.8287822299126937,3.3,1.8287822299126937,16.0,3.559026084010437,134.0,3.559026084010437,0.9731707317073169,0.0148681482106723,0.8826611619116337,0.02222860916563265,0.02682926829268293,0.014868148210672304,0.10666666666666666,0.023726840560069584
knn,binary,"[0, 1]",2,0.9653045404208195,0.004061807245127214,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,285.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,351.0,0.0,285.0,0.0,0.0,0.0,0.0,0.0,351.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8897435897435898,0.017731863854024973,0.888320406112354,0.02006274168928568,0.8006666666666666,0.032271992214325446,0.9983516483516484,0.003478008398217672,0.5483516483516484,0.08860549357663516,149.7,24.189299746421398,-0.5483516483516484,0.08860549357663516,0.0016260162601626018,0.003427943263055154,0.9966666666666667,0.16135996107162717,0.972840108401084,0.009323428032373394,0.8049106808076057,0.025183782639090057,0.9983739837398374,0.0034279432630551724,0.8910662059053251,0.015551619797844925,123.0,0.0,0.9983516483516484,0.003478008398217672,0.8006666666666666,0.032271992214325446,0.888320406112354,0.02006274168928568,150.0,0.0,122.8,0.4216370213557839,0.2,0.42163702135578396,29.9,4.840798832148815,120.1,4.840798832148815,0.9983739837398374,0.0034279432630551724,0.8049106808076057,0.025183782639090057,0.0016260162601626018,0.003427943263055154,0.1993333333333333,0.03227199221432544
gaussian_nb,binary,"[0, 1]",2,0.9442547065337761,0.00535075084082955,0.9279874213836479,0.006367439223684465,0.932433131948103,0.006129151902442994,0.9005698005698006,0.009818846743067678,0.9667087749618684,0.00678748535766162,0.29150943396226414,0.027174938693664205,185.4,17.283261009170438,-0.29150943396226414,0.027174938693664205,0.03824561403508772,0.008009774815562075,0.4971509971509972,0.0490942337153384,0.9588593992102764,0.0029743973040005224,0.8871524955129686,0.01000871605199249,0.9617543859649123,0.0080097748155621,0.9229093510691847,0.006640790327621398,285.0,0.0,0.9667087749618684,0.00678748535766162,0.9005698005698006,0.009818846743067678,0.932433131948103,0.006129151902442994,351.0,0.0,274.1,2.282785822435191,10.9,2.282785822435191,34.9,3.4464152068167557,316.1,3.4464152068167553,0.9617543859649123,0.0080097748155621,0.8871524955129686,0.01000871605199249,0.03824561403508772,0.008009774815562075,0.09943019943019943,0.009818846743067678,0.9256410256410257,0.011197320164210371,0.9307432334233466,0.011229767779998408,0.9106666666666665,0.022043727586910637,0.9521651253655694,0.012592220114645822,0.27069597069597073,0.05790301400112699,73.9,15.807522822307668,-0.27069597069597073,0.05790301400112699,0.056097560975609764,0.016009816246874718,0.4466666666666666,0.11021863793455326,0.9553495934959348,0.007651679919892071,0.8971163457460672,0.02116936210691549,0.9439024390243903,0.01600981624687472,0.9196767768364834,0.011240290903101793,123.0,0.0,0.9521651253655694,0.012592220114645822,0.9106666666666665,0.022043727586910637,0.9307432334233466,0.011229767779998408,150.0,0.0,116.1,1.9692073983655907,6.9,1.9692073983655907,13.4,3.306559138036598,136.6,3.3065591380365986,0.9439024390243903,0.01600981624687472,0.8971163457460672,0.02116936210691549,0.056097560975609764,0.016009816246874718,0.08933333333333335,0.022043727586910655
