,model,target_type,classes,n_classes,accuracy_cv_mean,accuracy_cv_std,accuracy_test_mean,accuracy_test_std,f1_cv_mean,f1_cv_std,f1_test_mean,f1_test_std,recall_cv_mean,recall_cv_std,recall_test_mean,recall_test_std,precision_cv_mean,precision_cv_std,precision_test_mean,precision_test_std,misclassification_cost_mean_cv_mean,misclassification_cost_mean_cv_std,misclassification_cost_mean_test_mean,misclassification_cost_mean_test_std,misclassification_cost_total_cv_mean,misclassification_cost_total_cv_std,misclassification_cost_total_test_mean,misclassification_cost_total_test_std,misclassification_score_cv_mean,misclassification_score_cv_std,misclassification_score_test_mean,misclassification_score_test_std,misclassification_cost_mean_true_class_0_cv_mean,misclassification_cost_mean_true_class_0_cv_std,misclassification_cost_mean_true_class_0_test_mean,misclassification_cost_mean_true_class_0_test_std,misclassification_cost_mean_true_class_1_cv_mean,misclassification_cost_mean_true_class_1_cv_std,misclassification_cost_mean_true_class_1_test_mean,misclassification_cost_mean_true_class_1_test_std,auc_cv_mean,auc_cv_std,auc_test_mean,auc_test_std,precision_class_0_cv_mean,precision_class_0_cv_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_cv_mean,recall_class_0_cv_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_cv_mean,f1_class_0_cv_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_cv_mean,support_class_0_cv_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_cv_mean,precision_class_1_cv_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_cv_mean,recall_class_1_cv_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_cv_mean,f1_class_1_cv_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_cv_mean,support_class_1_cv_std,support_class_1_test_mean,support_class_1_test_std,tn_cv_mean,tn_cv_std,tn_test_mean,tn_test_std,fp_cv_mean,fp_cv_std,fp_test_mean,fp_test_std,fn_cv_mean,fn_cv_std,fn_test_mean,fn_test_std,tp_cv_mean,tp_cv_std,tp_test_mean,tp_test_std,specificity_cv_mean,specificity_cv_std,specificity_test_mean,specificity_test_std,npv_cv_mean,npv_cv_std,npv_test_mean,npv_test_std,fpr_cv_mean,fpr_cv_std,fpr_test_mean,fpr_test_std,fnr_cv_mean,fnr_cv_std,fnr_test_mean,fnr_test_std,X_Processing
0,decision_tree,binary,"[0, 1]",2,0.8720942408376964,0.009514305381341931,0.8871794871794872,0.02360040913963286,0.883956198789934,0.008430418299500897,0.8982667438682125,0.020962291052658472,0.8856190476190478,0.010807181062120128,0.906,0.02443434134649505,0.8837027930472783,0.012805742313423529,0.8911559978686784,0.028056697594252982,0.3794240837696335,0.02976889870974677,0.3194139194139194,0.07241679908681642,72.47,5.68585965356163,87.2,19.769786150700885,-0.3794240837696335,0.02976889870974677,-0.3194139194139194,0.07241679908681642,0.1444186046511628,0.018326407725437713,0.13577235772357726,0.0375610147154659,0.5719047619047618,0.054035905310600714,0.47000000000000003,0.12217170673247518,0.8706002214839424,0.010008464968988823,0.8851138211382112,0.024355785655888387,0.8609975327500672,0.011136402306493131,0.8833117988643607,0.02826895810308311,0.8555813953488371,0.01832640772543773,0.8642276422764226,0.037561014715465905,0.8572113622562669,0.011259546028220348,0.8732887331643442,0.027189413180838756,86.0,0.0,123.0,0.0,0.8837027930472783,0.012805742313423529,0.8911559978686784,0.028056697594252982,0.8856190476190478,0.010807181062120128,0.906,0.02443434134649505,0.883956198789934,0.008430418299500897,0.8982667438682125,0.020962291052658472,105.0,0.0,150.0,0.0,73.58000000000001,1.5760710643876445,106.3,4.620004810002307,12.42,1.5760710643876439,16.7,4.620004810002306,12.01,1.1347540115226151,14.1,3.665151201974256,92.99,1.1347540115226145,135.9,3.665151201974256,0.8555813953488371,0.01832640772543773,0.8642276422764226,0.037561014715465905,0.8609975327500672,0.011136402306493131,0.8833117988643607,0.02826895810308311,0.1444186046511628,0.018326407725437713,0.13577235772357726,0.0375610147154659,0.11438095238095236,0.010807181062120136,0.094,0.02443434134649504,X_STATS
1,random_forest,binary,"[0, 1]",2,0.9200000000000002,0.006722081758691908,0.9333333333333333,0.017422279835640507,0.9255064630683284,0.006551315320873737,0.9383659097207522,0.016070411430514474,0.905142857142857,0.013700169101471687,0.9239999999999998,0.025180827509716064,0.9475651188703804,0.009097746610768377,0.953926220216489,0.02457389945375647,0.288586387434555,0.03535985067479317,0.23369963369963367,0.06753803555307135,55.11999999999999,6.753731478885497,63.8,18.43788370598848,-0.288586387434555,0.03535985067479317,-0.23369963369963367,0.06753803555307135,0.06186046511627907,0.011651139581279396,0.055284552845528454,0.031088629592845498,0.4742857142857143,0.06850084550735837,0.38,0.1259041375485804,0.9678200442967885,0.004413977224287507,0.9777317073170732,0.005704548754083887,0.8910067453239041,0.013872417494310257,0.9114003731499803,0.025611941880949007,0.9381395348837209,0.01165113958127937,0.9447154471544715,0.031088629592845498,0.913531051693529,0.006974456151919384,0.927327329517663,0.019301286725483285,86.0,0.0,123.0,0.0,0.9475651188703804,0.009097746610768377,0.953926220216489,0.02457389945375647,0.905142857142857,0.013700169101471687,0.9239999999999998,0.025180827509716064,0.9255064630683284,0.006551315320873737,0.9383659097207522,0.016070411430514474,105.0,0.0,150.0,0.0,80.67999999999999,1.0019980039900274,116.2,3.823901439919996,5.32,1.001998003990028,6.8,3.8239014399199958,9.959999999999999,1.4385177556545257,11.4,3.7771241264574114,95.04,1.438517755654527,138.6,3.777124126457412,0.9381395348837209,0.01165113958127937,0.9447154471544715,0.031088629592845498,0.8910067453239041,0.013872417494310257,0.9114003731499803,0.025611941880949007,0.06186046511627907,0.011651139581279396,0.055284552845528454,0.031088629592845498,0.09485714285714286,0.013700169101471671,0.07600000000000001,0.025180827509716078,X_STATS
2,extra_trees,binary,"[0, 1]",2,0.9212041884816754,0.007450392393066831,0.9336996336996337,0.014075978302275546,0.9268183169032376,0.007173484165073974,0.9384831175736787,0.01354883028368441,0.9085714285714286,0.012698412698412717,0.9219999999999999,0.025541058690123745,0.9465959702642085,0.008358521771025536,0.9561988978705493,0.01745189440945067,0.2798429319371728,0.034091100832632816,0.23772893772893772,0.06733132602221936,53.45,6.511400259032871,64.9,18.381452004065885,-0.2798429319371728,0.034091100832632816,-0.23772893772893772,0.06733132602221936,0.0633720930232558,0.010533083908295498,0.052032520325203245,0.022082979715407437,0.45714285714285713,0.0634920634920635,0.39,0.1277052934506187,0.9680769656699889,0.004104336143516111,0.9792249322493225,0.005365856700092547,0.8944285126534531,0.013266675786396898,0.9096166930679772,0.025437484864973565,0.9366279069767443,0.010533083908295495,0.9479674796747968,0.02208297971540743,0.9145718243572623,0.0077978797168141035,0.9280436303543684,0.014866251105509447,86.0,0.0,123.0,0.0,0.9465959702642085,0.008358521771025536,0.9561988978705493,0.01745189440945067,0.9085714285714286,0.012698412698412717,0.9219999999999999,0.025541058690123745,0.9268183169032376,0.007173484165073974,0.9384831175736787,0.01354883028368441,105.0,0.0,150.0,0.0,80.55000000000001,0.9058452161134102,116.6,2.716206504995115,5.449999999999999,0.9058452161134127,6.4,2.716206504995115,9.6,1.3333333333333335,11.7,3.8311588035185618,95.4,1.333333333333335,138.3,3.8311588035185613,0.9366279069767443,0.010533083908295495,0.9479674796747968,0.02208297971540743,0.8944285126534531,0.013266675786396898,0.9096166930679772,0.025437484864973565,0.0633720930232558,0.010533083908295498,0.052032520325203245,0.022082979715407437,0.09142857142857144,0.012698412698412698,0.078,0.025541058690123745,X_STATS
3,xgboost,binary,"[0, 1]",2,0.9110994764397905,0.00669029009862939,0.9267399267399268,0.01268901690526649,0.9175980714336015,0.0066801836134526655,0.9323533412826894,0.011417870770661696,0.9013333333333333,0.014535384406641209,0.9186666666666667,0.02149935399546281,0.9352588945588589,0.00869495660918822,0.9472409063906323,0.024335567835241313,0.30586387434554974,0.037387070857713235,0.252014652014652,0.05324461395836199,58.42,7.14093053382323,68.8,14.535779610632822,-0.30586387434554974,0.037387070857713235,-0.252014652014652,0.05324461395836199,0.07697674418604651,0.011271008600729203,0.06341463414634146,0.030612512187410165,0.49333333333333335,0.07267692203320604,0.40666666666666673,0.107496769977314,0.964171650055371,0.0051254222936128,0.9758048780487805,0.005417958040915254,0.8854910421192553,0.014502472941359633,0.9049359368879598,0.021194564453306777,0.9230232558139535,0.011271008600729174,0.9365853658536587,0.03061251218741017,0.9033910869706048,0.006742897725916306,0.9200314503156075,0.01451593690679223,86.0,0.0,123.0,0.0,0.9352588945588589,0.00869495660918822,0.9472409063906323,0.024335567835241313,0.9013333333333333,0.014535384406641209,0.9186666666666667,0.02149935399546281,0.9175980714336015,0.0066801836134526655,0.9323533412826894,0.011417870770661696,105.0,0.0,150.0,0.0,79.38000000000001,0.9693067396627113,115.2,3.7653389990514503,6.619999999999999,0.9693067396627114,7.8,3.7653389990514508,10.36,1.5262153626973267,12.2,3.22490309931942,94.64000000000001,1.5262153626973267,137.8,3.2249030993194197,0.9230232558139535,0.011271008600729174,0.9365853658536587,0.03061251218741017,0.8854910421192553,0.014502472941359633,0.9049359368879598,0.021194564453306777,0.07697674418604651,0.011271008600729203,0.06341463414634146,0.030612512187410165,0.09866666666666667,0.014535384406641207,0.08133333333333333,0.0214993539954628,X_STATS
4,adaboost,binary,"[0, 1]",2,0.910261780104712,0.006379896180112485,0.9282051282051282,0.011083570908825613,0.9169171673674962,0.006174813446662985,0.9336207753070873,0.010776063060643068,0.9015238095238096,0.012272212752609087,0.9200000000000002,0.023726840560069577,0.9336596827159334,0.007823917331656586,0.9483119093782817,0.017654573210248558,0.30628272251308897,0.031994817278404676,0.24761904761904763,0.0599460618677914,58.5,6.111010100175293,67.6,16.36527488990705,-0.30628272251308897,0.031994817278404676,-0.24761904761904763,0.0599460618677914,0.07906976744186045,0.010543775588167008,0.061788617886178863,0.022738403212361008,0.4923809523809524,0.061361063763045426,0.4,0.1186342028003479,0.963299003322259,0.0063362398394757775,0.9757777777777777,0.006814780328698713,0.8854346512818644,0.012338407314276953,0.9066368602811294,0.02356883657643801,0.9209302325581395,0.010543775588167036,0.938211382113821,0.022738403212360987,0.9023391533935033,0.006735472819202037,0.9217571943067021,0.011630824160194604,86.0,0.0,123.0,0.0,0.9336596827159334,0.007823917331656586,0.9483119093782817,0.017654573210248558,0.9015238095238096,0.012272212752609087,0.9200000000000002,0.023726840560069577,0.9169171673674962,0.006174813446662985,0.9336207753070873,0.010776063060643068,105.0,0.0,150.0,0.0,79.2,0.9067647005823621,115.4,2.7968235951204043,6.8,0.9067647005823629,7.6,2.7968235951204043,10.34,1.2885823390239541,12.0,3.559026084010437,94.66000000000001,1.2885823390239544,138.0,3.559026084010437,0.9209302325581395,0.010543775588167036,0.938211382113821,0.022738403212360987,0.8854346512818644,0.012338407314276953,0.9066368602811294,0.02356883657643801,0.07906976744186045,0.010543775588167008,0.061788617886178863,0.022738403212361008,0.09847619047619048,0.012272212752609082,0.07999999999999999,0.02372684056006958,X_STATS
5,svm,binary,"[0, 1]",2,0.9110994764397908,0.007582289502249478,0.9340659340659341,0.016741525275704605,0.9123404502260261,0.008038814408285506,0.9361204443255895,0.017463674396169825,0.8446666666666667,0.013419599990133396,0.8826666666666668,0.02917804011052418,0.9925285133475293,0.003081139175905396,0.9969591604388388,0.003931076967712281,0.4304712041884816,0.03698162226162515,0.3238095238095238,0.0807930151028915,82.22,7.063489851970406,88.4,22.056493123089375,-0.4304712041884816,0.03698162226162515,-0.3238095238095238,0.0807930151028915,0.007790697674418605,0.0031985551993453883,0.0032520325203252037,0.004198355930848149,0.7766666666666666,0.06709799995066691,0.5866666666666667,0.14589020055262092,0.9688405315614617,0.005518667614763844,0.9778699186991868,0.007677413187845516,0.8403807757579355,0.011754588471929846,0.8751768799981552,0.02640166834797913,0.9922093023255816,0.003198555199345384,0.9967479674796748,0.004198355930848172,0.9097697700968894,0.007106481998795688,0.9318354200442377,0.01594841031579844,86.0,0.0,123.0,0.0,0.9925285133475293,0.003081139175905396,0.9969591604388388,0.003931076967712281,0.8446666666666667,0.013419599990133396,0.8826666666666668,0.02917804011052418,0.9123404502260261,0.008038814408285506,0.9361204443255895,0.017463674396169825,105.0,0.0,150.0,0.0,85.33000000000001,0.2750757471437051,122.6,0.5163977794943222,0.67,0.2750757471437034,0.4,0.5163977794943222,16.309999999999995,1.4090579989640046,17.6,4.376706016578627,88.68999999999998,1.4090579989640049,132.4,4.376706016578627,0.9922093023255816,0.003198555199345384,0.9967479674796748,0.004198355930848172,0.8403807757579355,0.011754588471929846,0.8751768799981552,0.02640166834797913,0.007790697674418605,0.0031985551993453883,0.0032520325203252037,0.004198355930848149,0.15533333333333332,0.013419599990133375,0.11733333333333333,0.029178040110524186,X_STATS
6,logistic_regression,binary,"[0, 1]",2,0.9012565445026178,0.009977298806617782,0.926007326007326,0.013792450545976,0.9086577216383249,0.00911130357241992,0.9316674319998519,0.013105725051175163,0.8940000000000001,0.01509890129637822,0.9186666666666665,0.023264448583648716,0.9250385216240312,0.016328656752702495,0.9456800491101308,0.020405344447717775,0.3318324607329842,0.03888924349673833,0.25274725274725274,0.06048579280342289,63.379999999999995,7.427845507877024,69.0,16.51262143533445,-0.3318324607329842,0.03888924349673833,-0.25274725274725274,0.06048579280342289,0.08988372093023256,0.021166126891533233,0.06504065040650406,0.026274687574072246,0.53,0.07549450648189124,0.4066666666666666,0.11632224291824357,0.9539922480620155,0.007591952879680549,0.9655230352303521,0.011038901381771027,0.8768224072491397,0.01524061844533513,0.9048028475329153,0.022849026197906644,0.9101162790697674,0.02116612689153322,0.9349593495934959,0.026274687574072232,0.8923757544177585,0.011243360092763421,0.919248836448672,0.014855822267890891,86.0,0.0,123.0,0.0,0.9250385216240312,0.016328656752702495,0.9456800491101308,0.020405344447717775,0.8940000000000001,0.01509890129637822,0.9186666666666665,0.023264448583648716,0.9086577216383249,0.00911130357241992,0.9316674319998519,0.013105725051175163,105.0,0.0,150.0,0.0,78.27,1.820286912671859,115.0,3.2317865716108862,7.7299999999999995,1.820286912671858,8.0,3.2317865716108862,11.13,1.585384636119716,12.2,3.489667287547307,93.86999999999999,1.5853846361197155,137.8,3.4896672875473063,0.9101162790697674,0.02116612689153322,0.9349593495934959,0.026274687574072232,0.8768224072491397,0.01524061844533513,0.9048028475329153,0.022849026197906644,0.08988372093023256,0.021166126891533233,0.06504065040650406,0.026274687574072246,0.10600000000000001,0.015098901296378251,0.08133333333333334,0.023264448583648716,X_STATS
7,knn,binary,"[0, 1]",2,0.8767539267015707,0.005919292684314127,0.8890109890109891,0.01505846504842085,0.8742932159416522,0.006841317955507975,0.8878560079661476,0.01682318885324284,0.7825714285714286,0.011621389303452665,0.8013333333333333,0.026443510721144033,0.9915435008865379,0.0032540528721424805,0.9958451671334071,0.004381686632849435,0.6013612565445026,0.03135072238711958,0.5476190476190477,0.0730817936588299,114.85999999999999,5.987987975939832,149.5,19.95132966886056,-0.6013612565445026,0.03135072238711958,-0.5476190476190477,0.0730817936588299,0.008255813953488372,0.003263648749615641,0.0040650406504065045,0.0042849290788189425,1.0871428571428572,0.05810694651726329,0.9933333333333334,0.13221755360572016,0.9346135105204872,0.005534596949355344,0.9421436314363143,0.0114063381255569,0.789754496476401,0.008761615038785676,0.8048071300742465,0.02094303115989822,0.9917441860465116,0.0032636487496156986,0.9959349593495934,0.004284929078818965,0.8790272220671795,0.005096574079753993,0.8901011933765247,0.013398825356807078,86.0,0.0,123.0,0.0,0.9915435008865379,0.0032540528721424805,0.9958451671334071,0.004381686632849435,0.7825714285714286,0.011621389303452665,0.8013333333333333,0.026443510721144033,0.8742932159416522,0.006841317955507975,0.8878560079661476,0.01682318885324284,105.0,0.0,150.0,0.0,85.28999999999999,0.28067379246694724,122.5,0.5270462766947299,0.71,0.28067379246694507,0.5,0.5270462766947299,22.83,1.2202458768625282,29.8,3.966526608171604,82.16999999999999,1.2202458768625275,120.2,3.966526608171604,0.9917441860465116,0.0032636487496156986,0.9959349593495934,0.004284929078818965,0.789754496476401,0.008761615038785676,0.8048071300742465,0.02094303115989822,0.008255813953488372,0.003263648749615641,0.0040650406504065045,0.0042849290788189425,0.21742857142857144,0.011621389303452651,0.19866666666666666,0.02644351072114403,X_STATS
8,gaussian_nb,binary,"[0, 1]",2,0.9126178010471204,0.006592378692499236,0.9223443223443224,0.010331719561077507,0.9190935624089956,0.006361913992539436,0.9281530852080231,0.00979774722150579,0.9033333333333333,0.012256188630156165,0.9133333333333333,0.017213259316477426,0.9361397445592938,0.008272192225605783,0.9437727316971154,0.013895782428386474,0.2999476439790576,0.03210358232805793,0.2681318681318681,0.045417306536841257,57.29,6.131784224659065,73.2,12.398924684557663,-0.2999476439790576,0.03210358232805793,-0.2681318681318681,0.045417306536841257,0.07604651162790697,0.01079998263991821,0.06666666666666667,0.017894389180725397,0.4833333333333333,0.06128094315078084,0.4333333333333333,0.08606629658238704,0.9380431893687706,0.006361066874978945,0.9506693766937669,0.010528888732703476,0.8875250219245195,0.012561441167405624,0.8986481815411373,0.017223538541419767,0.9239534883720932,0.01079998263991814,0.9333333333333333,0.017894389180725383,0.9049254236445974,0.006930127668218884,0.9154767696762593,0.011108021909084748,86.0,0.0,123.0,0.0,0.9361397445592938,0.008272192225605783,0.9437727316971154,0.013895782428386474,0.9033333333333333,0.012256188630156165,0.9133333333333333,0.017213259316477426,0.9190935624089956,0.006361913992539436,0.9281530852080231,0.00979774722150579,105.0,0.0,150.0,0.0,79.46000000000001,0.9287985070329673,114.8,2.2010098692292237,6.540000000000001,0.9287985070329662,8.2,2.2010098692292237,10.15,1.2868998061663974,13.0,2.581988897471611,94.85000000000001,1.2868998061663992,137.0,2.581988897471611,0.9239534883720932,0.01079998263991814,0.9333333333333333,0.017894389180725383,0.8875250219245195,0.012561441167405624,0.8986481815411373,0.017223538541419767,0.07604651162790697,0.01079998263991821,0.06666666666666667,0.017894389180725397,0.09666666666666666,0.012256188630156163,0.08666666666666667,0.017213259316477412,X_STATS
9,minmax_decision_tree,binary,"[0, 1]",2,0.8727225130890053,0.009282269550436978,0.8864468864468865,0.02348642742572814,0.8844758863692823,0.008248398347740497,0.8974527352197799,0.020977193000356793,0.8858095238095238,0.01070411039460468,0.9039999999999999,0.02458545188611438,0.8845655430728474,0.012489345310368688,0.8914382700135335,0.027020982200362267,0.37837696335078536,0.029416909561192115,0.32454212454212455,0.07326414315109388,72.27,5.618629726187695,88.6,20.001111080248627,-0.37837696335078536,0.029416909561192115,-0.32454212454212455,0.07326414315109388,0.14325581395348835,0.01783619690620504,0.13495934959349595,0.03578877836145079,0.5709523809523809,0.053520551973023446,0.48,0.12292725943057183,0.8712768549280178,0.009751144185418895,0.8845203252032521,0.02411489257713431,0.8613915312654286,0.011025336245780724,0.8812063339093861,0.02859707278191287,0.8567441860465117,0.017836196906205058,0.865040650406504,0.03578877836145078,0.8579850471157323,0.010946734656994549,0.8727153892244907,0.02684180280527103,86.0,0.0,123.0,0.0,0.8845655430728474,0.012489345310368688,0.8914382700135335,0.027020982200362267,0.8858095238095238,0.01070411039460468,0.9039999999999999,0.02458545188611438,0.8844758863692823,0.008248398347740497,0.8974527352197799,0.020977193000356793,105.0,0.0,150.0,0.0,73.68,1.5339129339336335,106.4,4.402019738458447,12.32,1.5339129339336341,16.6,4.402019738458447,11.99,1.1239315914334922,14.4,3.687817782917155,93.01,1.123931591433493,135.6,3.687817782917155,0.8567441860465117,0.017836196906205058,0.865040650406504,0.03578877836145078,0.8613915312654286,0.011025336245780724,0.8812063339093861,0.02859707278191287,0.14325581395348835,0.01783619690620504,0.13495934959349595,0.03578877836145079,0.11419047619047618,0.01070411039460468,0.096,0.02458545188611437,X_STATS
