Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,F1_macro_CV,Best_Params_Outer_Folds
0.8755 ± 0.0223,0.8076 ± 0.1087,0.6607 ± 0.0110,0.6851 ± 0.0186,0.8200 ± 0.0095,0.8740 ± 0.0219,0.8755 ± 0.0223,0.8701 ± 0.0208,0.9097 ± 0.0166,0.7485 ± 0.0453,"[OrderedDict({'model__criterion': 'gini', 'model__max_depth': 24, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2}), OrderedDict({'model__criterion': 'gini', 'model__max_depth': 28, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5}), OrderedDict({'model__criterion': 'gini', 'model__max_depth': 25, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 12})]"
0.9035 ± 0.0056,0.7674 ± 0.0457,0.7260 ± 0.0275,0.7405 ± 0.0330,0.9479 ± 0.0026,0.9031 ± 0.0053,0.9035 ± 0.0056,0.9012 ± 0.0048,0.9612 ± 0.0088,0.8034 ± 0.0172,"[OrderedDict({'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10, 'model__min_samples_split': 20, 'model__n_estimators': 200}), OrderedDict({'model__bootstrap': True, 'model__max_depth': 13, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__min_samples_split': 3, 'model__n_estimators': 551}), OrderedDict({'model__bootstrap': True, 'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_leaf': 9, 'model__min_samples_split': 20, 'model__n_estimators': 200})]"
0.9023 ± 0.0021,0.7124 ± 0.1917,0.6340 ± 0.0258,0.6370 ± 0.0466,0.9472 ± 0.0076,0.8885 ± 0.0146,0.9023 ± 0.0021,0.8919 ± 0.0023,0.9546 ± 0.0134,0.6480 ± 0.0069,"[OrderedDict({'model__max_depth': 28, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 244}), OrderedDict({'model__max_depth': 15, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 568}), OrderedDict({'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 392})]"
0.8999 ± 0.0165,0.8239 ± 0.1036,0.6776 ± 0.0174,0.7001 ± 0.0173,0.9371 ± 0.0058,0.8979 ± 0.0192,0.8999 ± 0.0165,0.8941 ± 0.0143,0.9533 ± 0.0106,0.7539 ± 0.0170,"[OrderedDict({'model__colsample_bytree': 0.6, 'model__gamma': 1e-08, 'model__learning_rate': 0.29999999999999993, 'model__max_depth': 7, 'model__min_child_weight': 6, 'model__n_estimators': 200, 'model__reg_alpha': 0.8366551532266674, 'model__reg_lambda': 2.1420747661544417e-08, 'model__subsample': 0.6377972017025924}), OrderedDict({'model__colsample_bytree': 0.9922841573678705, 'model__gamma': 0.08557000567714486, 'model__learning_rate': 0.04917460542175238, 'model__max_depth': 4, 'model__min_child_weight': 8, 'model__n_estimators': 578, 'model__reg_alpha': 9.129640155745133e-07, 'model__reg_lambda': 0.5825146022923476, 'model__subsample': 0.6014968202178732}), OrderedDict({'model__colsample_bytree': 0.8779947618940804, 'model__gamma': 1.148763276914743e-06, 'model__learning_rate': 0.023652625178463442, 'model__max_depth': 8, 'model__min_child_weight': 8, 'model__n_estimators': 350, 'model__reg_alpha': 1.4966894448259302e-07, 'model__reg_lambda': 0.00038580225608081517, 'model__subsample': 0.8805839231085895})]"
0.8877 ± 0.0056,0.6946 ± 0.0579,0.6847 ± 0.0225,0.6842 ± 0.0320,0.9272 ± 0.0097,0.8913 ± 0.0070,0.8877 ± 0.0056,0.8884 ± 0.0050,0.9382 ± 0.0047,0.7677 ± 0.0236,"[OrderedDict({'model__learning_rate': 0.42149456283334996, 'model__n_estimators': 127}), OrderedDict({'model__learning_rate': 0.46788917464550833, 'model__n_estimators': 348}), OrderedDict({'model__learning_rate': 1.0, 'model__n_estimators': 50})]"
0.8999 ± 0.0153,0.8245 ± 0.0970,0.6784 ± 0.0170,0.7001 ± 0.0147,0.9475 ± 0.0101,0.8995 ± 0.0131,0.8999 ± 0.0153,0.8939 ± 0.0134,0.9570 ± 0.0144,0.7374 ± 0.0127,"[OrderedDict({'model__C': 635.698501428629, 'model__gamma': 0.0034713776785007906, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 5.0405293861834055, 'model__gamma': 0.07530466730222446, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 62.7076678988192, 'model__gamma': 0.0015493371417640521, 'model__kernel': 'rbf'})]"
0.8852 ± 0.0169,0.6888 ± 0.0509,0.6993 ± 0.0549,0.6917 ± 0.0535,0.9441 ± 0.0054,0.8918 ± 0.0152,0.8852 ± 0.0169,0.8860 ± 0.0167,0.9570 ± 0.0119,0.7560 ± 0.0205,"[OrderedDict({'model__C': 3.932197897902101, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 0.3211283376117862, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 0.16921464658517807, 'model__penalty': 'l2', 'model__solver': 'lbfgs'})]"
0.8791 ± 0.0194,0.7576 ± 0.0110,0.6507 ± 0.0123,0.6675 ± 0.0133,0.8169 ± 0.0177,0.8803 ± 0.0152,0.8791 ± 0.0194,0.8720 ± 0.0196,0.9150 ± 0.0246,0.6815 ± 0.0082,"[OrderedDict({'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'uniform'}), OrderedDict({'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'uniform'}), OrderedDict({'model__n_neighbors': 7, 'model__p': 1, 'model__weights': 'distance'})]"
0.8620 ± 0.0169,0.6842 ± 0.0198,0.7893 ± 0.0484,0.7033 ± 0.0267,0.9347 ± 0.0031,0.8959 ± 0.0044,0.8620 ± 0.0169,0.8729 ± 0.0111,0.9407 ± 0.0055,0.7219 ± 0.0070,"[OrderedDict({'model__var_smoothing': 2.9397976202716854e-08}), OrderedDict({'model__var_smoothing': 1.6877096921643484e-10}), OrderedDict({'model__var_smoothing': 1.213829014916143e-10})]"
