Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0.5634 ± 0.0271,0.3933 ± 0.0284,0.3929 ± 0.0297,0.3921 ± 0.0286,0.5582 ± 0.0219,0.5668 ± 0.0263,0.5634 ± 0.0271,0.5640 ± 0.0265,0.5852 ± 0.0243,0.5643 ± 0.0230,0.4006 ± 0.0135,0.4002 ± 0.0147,0.4002 ± 0.0139,0.5626 ± 0.0130,0.5662 ± 0.0225,0.5643 ± 0.0230,0.5650 ± 0.0227,0.5873 ± 0.0221
0.6707 ± 0.0320,0.4503 ± 0.0226,0.4547 ± 0.0212,0.4491 ± 0.0215,0.7537 ± 0.0339,0.6570 ± 0.0321,0.6707 ± 0.0320,0.6589 ± 0.0315,0.7455 ± 0.0292,0.6681 ± 0.0122,0.4472 ± 0.0087,0.4540 ± 0.0085,0.4483 ± 0.0085,0.7354 ± 0.0195,0.6509 ± 0.0124,0.6681 ± 0.0122,0.6560 ± 0.0122,0.7406 ± 0.0144
0.6685 ± 0.0180,0.4478 ± 0.0125,0.4533 ± 0.0122,0.4477 ± 0.0124,0.7436 ± 0.0294,0.6537 ± 0.0178,0.6685 ± 0.0180,0.6570 ± 0.0180,0.7416 ± 0.0302,0.6621 ± 0.0141,0.4434 ± 0.0095,0.4494 ± 0.0100,0.4435 ± 0.0101,0.7341 ± 0.0190,0.6454 ± 0.0138,0.6621 ± 0.0141,0.6495 ± 0.0145,0.7360 ± 0.0119
0.6637 ± 0.0328,0.4443 ± 0.0226,0.4519 ± 0.0214,0.4463 ± 0.0216,0.7467 ± 0.0237,0.6494 ± 0.0321,0.6637 ± 0.0328,0.6539 ± 0.0318,0.7468 ± 0.0274,0.6684 ± 0.0165,0.4459 ± 0.0112,0.4566 ± 0.0111,0.4509 ± 0.0111,0.7389 ± 0.0129,0.6502 ± 0.0160,0.6684 ± 0.0165,0.6587 ± 0.0161,0.7458 ± 0.0106
0.6311 ± 0.0241,0.4646 ± 0.1075,0.4380 ± 0.0198,0.4368 ± 0.0304,0.6936 ± 0.0190,0.6253 ± 0.0238,0.6311 ± 0.0241,0.6219 ± 0.0230,0.6453 ± 0.0231,0.6116 ± 0.0189,0.4373 ± 0.0451,0.4255 ± 0.0168,0.4252 ± 0.0218,0.6779 ± 0.0199,0.6011 ± 0.0187,0.6116 ± 0.0189,0.6054 ± 0.0189,0.6248 ± 0.0208
0.6648 ± 0.0231,0.4448 ± 0.0159,0.4510 ± 0.0166,0.4455 ± 0.0167,0.7682 ± 0.0337,0.6496 ± 0.0229,0.6648 ± 0.0231,0.6536 ± 0.0238,0.7383 ± 0.0265,0.6538 ± 0.0145,0.4371 ± 0.0096,0.4444 ± 0.0106,0.4386 ± 0.0106,0.7482 ± 0.0184,0.6364 ± 0.0140,0.6538 ± 0.0145,0.6420 ± 0.0150,0.7244 ± 0.0149
0.6205 ± 0.0150,0.4489 ± 0.0409,0.4418 ± 0.0231,0.4427 ± 0.0292,0.6825 ± 0.0448,0.6138 ± 0.0142,0.6205 ± 0.0150,0.6160 ± 0.0143,0.6813 ± 0.0306,0.6129 ± 0.0183,0.4879 ± 0.0569,0.4491 ± 0.0247,0.4578 ± 0.0310,0.6795 ± 0.0298,0.6069 ± 0.0189,0.6129 ± 0.0183,0.6089 ± 0.0181,0.6709 ± 0.0190
0.5495 ± 0.0244,0.3746 ± 0.0182,0.3832 ± 0.0170,0.3679 ± 0.0166,0.5671 ± 0.0230,0.5509 ± 0.0274,0.5495 ± 0.0244,0.5342 ± 0.0245,0.5955 ± 0.0277,0.5327 ± 0.0194,0.3623 ± 0.0126,0.3727 ± 0.0128,0.3571 ± 0.0145,0.5634 ± 0.0139,0.5312 ± 0.0186,0.5327 ± 0.0194,0.5169 ± 0.0220,0.5853 ± 0.0159
0.3429 ± 0.1174,0.3946 ± 0.0284,0.3764 ± 0.0909,0.2869 ± 0.0732,0.5423 ± 0.0553,0.5653 ± 0.0401,0.3429 ± 0.1174,0.3903 ± 0.0976,0.5527 ± 0.0261,0.3591 ± 0.1104,0.3866 ± 0.0317,0.3899 ± 0.0989,0.2992 ± 0.0757,0.5497 ± 0.0598,0.5451 ± 0.0372,0.3591 ± 0.1104,0.3963 ± 0.0945,0.5512 ± 0.0297
