Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0.5634 ± 0.0271,0.3933 ± 0.0284,0.3929 ± 0.0297,0.3921 ± 0.0286,0.5582 ± 0.0219,0.5668 ± 0.0263,0.5634 ± 0.0271,0.5640 ± 0.0265,0.5852 ± 0.0243,0.5643 ± 0.0230,0.4006 ± 0.0135,0.4002 ± 0.0147,0.4002 ± 0.0139,0.5626 ± 0.0130,0.5662 ± 0.0225,0.5643 ± 0.0230,0.5650 ± 0.0227,0.5873 ± 0.0221
0.6670 ± 0.0325,0.4489 ± 0.0225,0.4511 ± 0.0227,0.4452 ± 0.0232,0.7439 ± 0.0463,0.6546 ± 0.0324,0.6670 ± 0.0325,0.6539 ± 0.0333,0.7310 ± 0.0327,0.6555 ± 0.0170,0.4409 ± 0.0118,0.4437 ± 0.0122,0.4375 ± 0.0126,0.7290 ± 0.0190,0.6410 ± 0.0170,0.6555 ± 0.0170,0.6412 ± 0.0178,0.7215 ± 0.0139
0.6685 ± 0.0180,0.4478 ± 0.0125,0.4533 ± 0.0122,0.4477 ± 0.0124,0.7436 ± 0.0294,0.6537 ± 0.0178,0.6685 ± 0.0180,0.6570 ± 0.0180,0.7416 ± 0.0302,0.6621 ± 0.0141,0.4434 ± 0.0095,0.4494 ± 0.0100,0.4435 ± 0.0101,0.7341 ± 0.0190,0.6454 ± 0.0138,0.6621 ± 0.0141,0.6495 ± 0.0145,0.7360 ± 0.0119
0.6718 ± 0.0244,0.4491 ± 0.0169,0.4581 ± 0.0166,0.4524 ± 0.0173,0.7490 ± 0.0198,0.6568 ± 0.0243,0.6718 ± 0.0244,0.6625 ± 0.0251,0.7508 ± 0.0253,0.6695 ± 0.0133,0.4466 ± 0.0093,0.4572 ± 0.0093,0.4514 ± 0.0093,0.7373 ± 0.0070,0.6511 ± 0.0134,0.6695 ± 0.0133,0.6595 ± 0.0133,0.7447 ± 0.0080
0.6311 ± 0.0241,0.4646 ± 0.1075,0.4380 ± 0.0198,0.4368 ± 0.0304,0.6936 ± 0.0190,0.6253 ± 0.0238,0.6311 ± 0.0241,0.6219 ± 0.0230,0.6453 ± 0.0231,0.6116 ± 0.0189,0.4373 ± 0.0451,0.4255 ± 0.0168,0.4252 ± 0.0218,0.6779 ± 0.0199,0.6011 ± 0.0187,0.6116 ± 0.0189,0.6054 ± 0.0189,0.6248 ± 0.0208
0.6648 ± 0.0231,0.4448 ± 0.0159,0.4510 ± 0.0166,0.4455 ± 0.0167,0.7682 ± 0.0337,0.6496 ± 0.0229,0.6648 ± 0.0231,0.6536 ± 0.0238,0.7383 ± 0.0265,0.6538 ± 0.0145,0.4371 ± 0.0096,0.4444 ± 0.0106,0.4386 ± 0.0106,0.7482 ± 0.0184,0.6364 ± 0.0140,0.6538 ± 0.0145,0.6420 ± 0.0150,0.7244 ± 0.0149
0.6220 ± 0.0189,0.4657 ± 0.0416,0.4703 ± 0.0491,0.4664 ± 0.0440,0.6919 ± 0.0427,0.6213 ± 0.0184,0.6220 ± 0.0189,0.6205 ± 0.0183,0.6838 ± 0.0311,0.6080 ± 0.0179,0.4719 ± 0.0251,0.4602 ± 0.0210,0.4644 ± 0.0224,0.6893 ± 0.0321,0.6059 ± 0.0170,0.6080 ± 0.0179,0.6067 ± 0.0175,0.6730 ± 0.0194
0.5495 ± 0.0244,0.3746 ± 0.0182,0.3832 ± 0.0170,0.3679 ± 0.0166,0.5671 ± 0.0230,0.5509 ± 0.0274,0.5495 ± 0.0244,0.5342 ± 0.0245,0.5955 ± 0.0277,0.5327 ± 0.0194,0.3623 ± 0.0126,0.3727 ± 0.0128,0.3571 ± 0.0145,0.5634 ± 0.0139,0.5312 ± 0.0186,0.5327 ± 0.0194,0.5169 ± 0.0220,0.5853 ± 0.0159
0.3429 ± 0.1174,0.3946 ± 0.0284,0.3764 ± 0.0909,0.2869 ± 0.0732,0.5423 ± 0.0553,0.5653 ± 0.0401,0.3429 ± 0.1174,0.3903 ± 0.0976,0.5527 ± 0.0261,0.3591 ± 0.1104,0.3866 ± 0.0317,0.3899 ± 0.0989,0.2992 ± 0.0757,0.5497 ± 0.0598,0.5451 ± 0.0372,0.3591 ± 0.1104,0.3963 ± 0.0945,0.5512 ± 0.0297
