Model,Sampler,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
adaboost,SMOTE,0.8707 ± 0.0225,0.6954 ± 0.0524,0.7008 ± 0.0521,0.6898 ± 0.0384,0.9155 ± 0.0138,0.8751 ± 0.0185,0.8707 ± 0.0225,0.8712 ± 0.0206,0.9251 ± 0.0135,0.8720 ± 0.0057,0.7341 ± 0.0348,0.7183 ± 0.0327,0.7242 ± 0.0300,0.9214 ± 0.0136,0.8715 ± 0.0068,0.8720 ± 0.0057,0.8714 ± 0.0062,0.9232 ± 0.0124
adaboost,ADASYN,0.8747 ± 0.0210,0.7024 ± 0.0554,0.6940 ± 0.0493,0.6933 ± 0.0474,0.9137 ± 0.0139,0.8761 ± 0.0176,0.8747 ± 0.0210,0.8747 ± 0.0191,0.9215 ± 0.0123,0.8720 ± 0.0104,0.7365 ± 0.0214,0.7234 ± 0.0206,0.7290 ± 0.0194,0.9211 ± 0.0115,0.8718 ± 0.0107,0.8720 ± 0.0104,0.8716 ± 0.0107,0.9218 ± 0.0105
adaboost,SMOTEENN,0.8355 ± 0.0240,0.6691 ± 0.0268,0.7631 ± 0.0442,0.6781 ± 0.0325,0.9250 ± 0.0069,0.8810 ± 0.0144,0.8355 ± 0.0240,0.8445 ± 0.0209,0.9358 ± 0.0091,0.8472 ± 0.0145,0.6899 ± 0.0139,0.8035 ± 0.0222,0.7088 ± 0.0188,0.9345 ± 0.0112,0.8875 ± 0.0048,0.8472 ± 0.0145,0.8553 ± 0.0125,0.9388 ± 0.0082
svm,RandomOverSampler,0.8996 ± 0.0085,0.7675 ± 0.1754,0.6495 ± 0.0375,0.6619 ± 0.0606,0.9276 ± 0.0256,0.8929 ± 0.0156,0.8996 ± 0.0085,0.8911 ± 0.0086,0.9526 ± 0.0104,0.9024 ± 0.0063,0.8104 ± 0.1001,0.6524 ± 0.0215,0.6665 ± 0.0345,0.9412 ± 0.0082,0.8965 ± 0.0117,0.9024 ± 0.0063,0.8931 ± 0.0069,0.9546 ± 0.0032
svm,SMOTE,0.8989 ± 0.0074,0.6666 ± 0.1394,0.6354 ± 0.0375,0.6366 ± 0.0602,0.9213 ± 0.0223,0.8838 ± 0.0122,0.8989 ± 0.0074,0.8887 ± 0.0075,0.9514 ± 0.0104,0.9025 ± 0.0060,0.7962 ± 0.1464,0.6455 ± 0.0197,0.6556 ± 0.0346,0.9339 ± 0.0118,0.8948 ± 0.0138,0.9025 ± 0.0060,0.8923 ± 0.0065,0.9531 ± 0.0035
svm,ADASYN,0.8989 ± 0.0076,0.6999 ± 0.1596,0.6354 ± 0.0307,0.6384 ± 0.0514,0.9227 ± 0.0222,0.8863 ± 0.0128,0.8989 ± 0.0076,0.8888 ± 0.0075,0.9517 ± 0.0100,0.9027 ± 0.0058,0.7963 ± 0.1462,0.6456 ± 0.0195,0.6557 ± 0.0345,0.9334 ± 0.0137,0.8949 ± 0.0135,0.9027 ± 0.0058,0.8924 ± 0.0063,0.9531 ± 0.0039
svm,SMOTEENN,0.7403 ± 0.0587,0.6287 ± 0.0290,0.7122 ± 0.0370,0.6034 ± 0.0582,0.9254 ± 0.0186,0.8299 ± 0.0216,0.7403 ± 0.0587,0.7344 ± 0.0715,0.9459 ± 0.0076,0.7382 ± 0.0521,0.6387 ± 0.0209,0.7315 ± 0.0147,0.6192 ± 0.0428,0.9361 ± 0.0135,0.8255 ± 0.0212,0.7382 ± 0.0521,0.7298 ± 0.0621,0.9471 ± 0.0074
logistic_regression,RandomOverSampler,0.8714 ± 0.0123,0.6993 ± 0.0694,0.6879 ± 0.0564,0.6910 ± 0.0608,0.9127 ± 0.0194,0.8689 ± 0.0109,0.8714 ± 0.0123,0.8690 ± 0.0117,0.9360 ± 0.0081,0.8786 ± 0.0080,0.7300 ± 0.0337,0.7018 ± 0.0291,0.7129 ± 0.0306,0.9230 ± 0.0123,0.8755 ± 0.0078,0.8786 ± 0.0080,0.8765 ± 0.0077,0.9396 ± 0.0082
logistic_regression,SMOTE,0.8722 ± 0.0107,0.7012 ± 0.0694,0.6929 ± 0.0611,0.6941 ± 0.0619,0.9124 ± 0.0193,0.8702 ± 0.0096,0.8722 ± 0.0107,0.8699 ± 0.0102,0.9359 ± 0.0083,0.8796 ± 0.0098,0.7304 ± 0.0347,0.7007 ± 0.0291,0.7123 ± 0.0310,0.9228 ± 0.0126,0.8763 ± 0.0097,0.8796 ± 0.0098,0.8773 ± 0.0095,0.9395 ± 0.0083
logistic_regression,ADASYN,0.8714 ± 0.0120,0.6984 ± 0.0706,0.6880 ± 0.0568,0.6907 ± 0.0615,0.9123 ± 0.0197,0.8692 ± 0.0112,0.8714 ± 0.0120,0.8691 ± 0.0116,0.9359 ± 0.0083,0.8785 ± 0.0092,0.7294 ± 0.0351,0.7017 ± 0.0292,0.7126 ± 0.0311,0.9230 ± 0.0126,0.8754 ± 0.0093,0.8785 ± 0.0092,0.8764 ± 0.0091,0.9396 ± 0.0083
logistic_regression,SMOTEENN,0.7762 ± 0.0335,0.6414 ± 0.0165,0.7530 ± 0.0374,0.6294 ± 0.0310,0.9249 ± 0.0153,0.8594 ± 0.0145,0.7762 ± 0.0335,0.7830 ± 0.0347,0.9398 ± 0.0106,0.7780 ± 0.0224,0.6473 ± 0.0111,0.7600 ± 0.0157,0.6409 ± 0.0201,0.9335 ± 0.0094,0.8563 ± 0.0107,0.7780 ± 0.0224,0.7844 ± 0.0241,0.9401 ± 0.0066
knn,RandomOverSampler,0.7322 ± 0.0221,0.5718 ± 0.0400,0.5523 ± 0.0389,0.5351 ± 0.0372,0.7786 ± 0.0244,0.7816 ± 0.0166,0.7322 ± 0.0221,0.7203 ± 0.0256,0.8533 ± 0.0219,0.7409 ± 0.0139,0.6262 ± 0.0255,0.6003 ± 0.0158,0.5918 ± 0.0179,0.7871 ± 0.0068,0.7795 ± 0.0099,0.7409 ± 0.0139,0.7310 ± 0.0144,0.8551 ± 0.0107
knn,SMOTE,0.6385 ± 0.0254,0.5833 ± 0.0137,0.7095 ± 0.0413,0.5091 ± 0.0269,0.8365 ± 0.0196,0.8014 ± 0.0172,0.6385 ± 0.0254,0.6294 ± 0.0310,0.8184 ± 0.0249,0.6322 ± 0.0257,0.5819 ± 0.0122,0.7180 ± 0.0231,0.5106 ± 0.0262,0.8468 ± 0.0166,0.7961 ± 0.0160,0.6322 ± 0.0257,0.6281 ± 0.0310,0.8199 ± 0.0149
knn,ADASYN,0.6352 ± 0.0224,0.5799 ± 0.0159,0.6893 ± 0.0509,0.5023 ± 0.0243,0.8312 ± 0.0210,0.8026 ± 0.0172,0.6352 ± 0.0224,0.6304 ± 0.0222,0.8112 ± 0.0310,0.6272 ± 0.0325,0.5810 ± 0.0144,0.7199 ± 0.0297,0.5069 ± 0.0347,0.8459 ± 0.0184,0.7953 ± 0.0152,0.6272 ± 0.0325,0.6232 ± 0.0374,0.8172 ± 0.0175
knn,SMOTEENN,0.4828 ± 0.0157,0.5530 ± 0.0231,0.6333 ± 0.0290,0.3309 ± 0.0166,0.7735 ± 0.0178,0.7767 ± 0.0388,0.4828 ± 0.0157,0.3789 ± 0.0257,0.7232 ± 0.0247,0.4772 ± 0.0106,0.5435 ± 0.0310,0.6426 ± 0.0146,0.3323 ± 0.0155,0.7816 ± 0.0157,0.7592 ± 0.0463,0.4772 ± 0.0106,0.3785 ± 0.0175,0.7257 ± 0.0168
gaussian_nb,RandomOverSampler,0.7055 ± 0.0847,0.6005 ± 0.0162,0.6138 ± 0.0706,0.5492 ± 0.0557,0.7780 ± 0.0417,0.8514 ± 0.0155,0.7055 ± 0.0847,0.7502 ± 0.0735,0.8811 ± 0.0097,0.7113 ± 0.0755,0.6004 ± 0.0196,0.6167 ± 0.0646,0.5590 ± 0.0519,0.7789 ± 0.0347,0.8443 ± 0.0175,0.7113 ± 0.0755,0.7572 ± 0.0606,0.8760 ± 0.0109
gaussian_nb,SMOTE,0.7147 ± 0.0797,0.5991 ± 0.0167,0.6109 ± 0.0679,0.5525 ± 0.0523,0.7787 ± 0.0431,0.8499 ± 0.0157,0.7147 ± 0.0797,0.7566 ± 0.0687,0.8824 ± 0.0110,0.7250 ± 0.0690,0.6020 ± 0.0178,0.6222 ± 0.0558,0.5666 ± 0.0469,0.7823 ± 0.0344,0.8455 ± 0.0150,0.7250 ± 0.0690,0.7674 ± 0.0541,0.8801 ± 0.0108
gaussian_nb,ADASYN,0.7143 ± 0.0797,0.5996 ± 0.0160,0.6153 ± 0.0708,0.5531 ± 0.0526,0.7783 ± 0.0434,0.8498 ± 0.0148,0.7143 ± 0.0797,0.7558 ± 0.0690,0.8816 ± 0.0113,0.7248 ± 0.0689,0.6026 ± 0.0192,0.6221 ± 0.0617,0.5669 ± 0.0484,0.7822 ± 0.0347,0.8462 ± 0.0159,0.7248 ± 0.0689,0.7676 ± 0.0540,0.8800 ± 0.0113
gaussian_nb,SMOTEENN,0.7216 ± 0.0511,0.5757 ± 0.0260,0.6398 ± 0.0624,0.5639 ± 0.0422,0.7305 ± 0.0583,0.7962 ± 0.0276,0.7216 ± 0.0511,0.7441 ± 0.0448,0.7679 ± 0.0430,0.6962 ± 0.0521,0.5686 ± 0.0259,0.6481 ± 0.0525,0.5560 ± 0.0437,0.7382 ± 0.0462,0.7784 ± 0.0242,0.6962 ± 0.0521,0.7218 ± 0.0448,0.7524 ± 0.0380
