Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0.7011 ± 0.0706,0.5984 ± 0.0265,0.6688 ± 0.0494,0.5445 ± 0.0595,0.7617 ± 0.0358,0.8349 ± 0.0295,0.7011 ± 0.0706,0.7097 ± 0.0764,0.7819 ± 0.0446,0.6917 ± 0.0520,0.5962 ± 0.0243,0.6715 ± 0.0611,0.5443 ± 0.0510,0.7588 ± 0.0403,0.8231 ± 0.0226,0.6917 ± 0.0520,0.6953 ± 0.0591,0.7691 ± 0.0360
0.5985 ± 0.0653,0.5801 ± 0.0181,0.6675 ± 0.0325,0.4578 ± 0.0726,0.9354 ± 0.0101,0.7992 ± 0.0183,0.5985 ± 0.0653,0.5521 ± 0.0968,0.9487 ± 0.0102,0.6061 ± 0.0822,0.5880 ± 0.0297,0.6914 ± 0.0430,0.4767 ± 0.0943,0.9451 ± 0.0094,0.7940 ± 0.0245,0.6061 ± 0.0822,0.5558 ± 0.1194,0.9506 ± 0.0072
0.6542 ± 0.1006,0.6045 ± 0.0251,0.6984 ± 0.0399,0.5127 ± 0.1021,0.9357 ± 0.0057,0.8243 ± 0.0155,0.6542 ± 0.1006,0.6245 ± 0.1349,0.9508 ± 0.0074,0.6572 ± 0.1072,0.6057 ± 0.0424,0.6994 ± 0.0481,0.5248 ± 0.1130,0.9412 ± 0.0112,0.8124 ± 0.0304,0.6572 ± 0.1072,0.6259 ± 0.1383,0.9493 ± 0.0066
0.6564 ± 0.0727,0.5969 ± 0.0144,0.6862 ± 0.0430,0.5100 ± 0.0661,0.9253 ± 0.0107,0.8257 ± 0.0155,0.6564 ± 0.0727,0.6385 ± 0.0964,0.9433 ± 0.0106,0.6667 ± 0.0689,0.6095 ± 0.0263,0.7246 ± 0.0475,0.5370 ± 0.0720,0.9387 ± 0.0114,0.8267 ± 0.0188,0.6667 ± 0.0689,0.6519 ± 0.0841,0.9476 ± 0.0069
0.7451 ± 0.0475,0.6272 ± 0.0218,0.7377 ± 0.0691,0.5970 ± 0.0456,0.9116 ± 0.0116,0.8554 ± 0.0156,0.7451 ± 0.0475,0.7544 ± 0.0484,0.9243 ± 0.0156,0.7390 ± 0.0647,0.6318 ± 0.0330,0.7406 ± 0.0376,0.6031 ± 0.0667,0.9066 ± 0.0251,0.8448 ± 0.0194,0.7390 ± 0.0647,0.7412 ± 0.0687,0.9023 ± 0.0279
0.5755 ± 0.1023,0.5096 ± 0.1691,0.5849 ± 0.1036,0.4310 ± 0.1332,0.9333 ± 0.0154,0.6703 ± 0.2349,0.5755 ± 0.1023,0.4941 ± 0.1640,0.9444 ± 0.0086,0.5882 ± 0.0988,0.5832 ± 0.0454,0.6152 ± 0.0483,0.4659 ± 0.1119,0.9357 ± 0.0165,0.7582 ± 0.0439,0.5882 ± 0.0988,0.5132 ± 0.1528,0.9437 ± 0.0082
0.7022 ± 0.0482,0.6131 ± 0.0161,0.7286 ± 0.0472,0.5594 ± 0.0421,0.9339 ± 0.0177,0.8419 ± 0.0155,0.7022 ± 0.0482,0.7032 ± 0.0565,0.9421 ± 0.0136,0.7006 ± 0.0628,0.6193 ± 0.0238,0.7424 ± 0.0365,0.5690 ± 0.0604,0.9364 ± 0.0082,0.8371 ± 0.0184,0.7006 ± 0.0628,0.6975 ± 0.0736,0.9434 ± 0.0038
0.4711 ± 0.0060,0.3623 ± 0.1666,0.6312 ± 0.0318,0.3084 ± 0.0078,0.7192 ± 0.0135,0.4764 ± 0.2587,0.4711 ± 0.0060,0.3412 ± 0.0105,0.6472 ± 0.0136,0.4733 ± 0.0055,0.4660 ± 0.1597,0.6396 ± 0.0152,0.3169 ± 0.0098,0.7337 ± 0.0116,0.6319 ± 0.2447,0.4733 ± 0.0055,0.3428 ± 0.0043,0.6524 ± 0.0075
0.5198 ± 0.0859,0.4532 ± 0.0598,0.5529 ± 0.0492,0.4041 ± 0.0749,0.6626 ± 0.0303,0.6286 ± 0.0901,0.5198 ± 0.0859,0.5228 ± 0.1068,0.6611 ± 0.0339,0.5112 ± 0.0618,0.4582 ± 0.0378,0.5622 ± 0.0332,0.4021 ± 0.0607,0.6663 ± 0.0263,0.6327 ± 0.0544,0.5112 ± 0.0618,0.5141 ± 0.0858,0.6562 ± 0.0279
