Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,F1_macro_CV,Best_Params_Outer_Folds
0.8487 ± 0.0239,0.6638 ± 0.0635,0.6456 ± 0.0515,0.6485 ± 0.0534,0.8302 ± 0.0308,0.8457 ± 0.0222,0.8487 ± 0.0239,0.8455 ± 0.0239,0.8906 ± 0.0186,0.7243 ± 0.0430,"[OrderedDict({'model__criterion': 'entropy', 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10, 'model__min_samples_split': 2}), OrderedDict({'model__criterion': 'gini', 'model__max_depth': 28, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 4}), OrderedDict({'model__criterion': 'entropy', 'model__max_depth': 24, 'model__max_features': None, 'model__min_samples_leaf': 9, 'model__min_samples_split': 13}), OrderedDict({'model__criterion': 'entropy', 'model__max_depth': 9, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 6, 'model__min_samples_split': 5}), OrderedDict({'model__criterion': 'entropy', 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 10, 'model__min_samples_split': 20}), OrderedDict({'model__criterion': 'entropy', 'model__max_depth': 28, 'model__max_features': None, 'model__min_samples_leaf': 3, 'model__min_samples_split': 16}), OrderedDict({'model__criterion': 'entropy', 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__min_samples_split': 11}), OrderedDict({'model__criterion': 'gini', 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 14}), OrderedDict({'model__criterion': 'entropy', 'model__max_depth': 30, 'model__max_features': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}), OrderedDict({'model__criterion': 'entropy', 'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 7, 'model__min_samples_split': 2})]"
0.9000 ± 0.0127,0.7720 ± 0.0759,0.7169 ± 0.0461,0.7293 ± 0.0449,0.9503 ± 0.0085,0.8989 ± 0.0125,0.9000 ± 0.0127,0.8973 ± 0.0118,0.9620 ± 0.0067,0.7733 ± 0.0291,"[OrderedDict({'model__bootstrap': True, 'model__max_depth': 30, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10, 'model__min_samples_split': 12, 'model__n_estimators': 800}), OrderedDict({'model__bootstrap': True, 'model__max_depth': 26, 'model__max_features': 'log2', 'model__min_samples_leaf': 10, 'model__min_samples_split': 20, 'model__n_estimators': 772}), OrderedDict({'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10, 'model__min_samples_split': 2, 'model__n_estimators': 643}), OrderedDict({'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10, 'model__min_samples_split': 20, 'model__n_estimators': 327}), OrderedDict({'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10, 'model__min_samples_split': 9, 'model__n_estimators': 800}), OrderedDict({'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 9, 'model__min_samples_split': 2, 'model__n_estimators': 239}), OrderedDict({'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': 'log2', 'model__min_samples_leaf': 9, 'model__min_samples_split': 20, 'model__n_estimators': 472}), OrderedDict({'model__bootstrap': True, 'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 9, 'model__min_samples_split': 20, 'model__n_estimators': 506}), OrderedDict({'model__bootstrap': True, 'model__max_depth': 26, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10, 'model__min_samples_split': 15, 'model__n_estimators': 385}), OrderedDict({'model__bootstrap': True, 'model__max_depth': 22, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10, 'model__min_samples_split': 9, 'model__n_estimators': 771})]"
0.9018 ± 0.0131,0.6011 ± 0.0087,0.6184 ± 0.0091,0.6093 ± 0.0089,0.9511 ± 0.0105,0.8793 ± 0.0128,0.9018 ± 0.0131,0.8899 ± 0.0129,0.9589 ± 0.0086,0.6151 ± 0.0082,"[OrderedDict({'model__max_depth': 23, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 680}), OrderedDict({'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 289}), OrderedDict({'model__max_depth': 7, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 800}), OrderedDict({'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 7, 'model__min_samples_split': 2, 'model__n_estimators': 281}), OrderedDict({'model__max_depth': 18, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10, 'model__min_samples_split': 7, 'model__n_estimators': 255}), OrderedDict({'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 19, 'model__n_estimators': 216}), OrderedDict({'model__max_depth': 7, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 264}), OrderedDict({'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10, 'model__min_samples_split': 18, 'model__n_estimators': 337}), OrderedDict({'model__max_depth': 8, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 20, 'model__n_estimators': 212}), OrderedDict({'model__max_depth': 29, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10, 'model__min_samples_split': 6, 'model__n_estimators': 631})]"
0.8982 ± 0.0154,0.7554 ± 0.1534,0.6614 ± 0.0470,0.6770 ± 0.0690,0.9319 ± 0.0240,0.8899 ± 0.0228,0.8982 ± 0.0154,0.8907 ± 0.0166,0.9563 ± 0.0100,0.7276 ± 0.0218,"[OrderedDict({'model__colsample_bytree': 0.7111862685828085, 'model__gamma': 1.9043441009761557e-07, 'model__learning_rate': 0.29999999999999993, 'model__max_depth': 6, 'model__min_child_weight': 7, 'model__n_estimators': 326, 'model__reg_alpha': 9.903291398465072e-06, 'model__reg_lambda': 9.101816555499613e-05, 'model__subsample': 0.6043776939293308}), OrderedDict({'model__colsample_bytree': 1.0, 'model__gamma': 1.2746008415857386, 'model__learning_rate': 0.06459636048540116, 'model__max_depth': 8, 'model__min_child_weight': 8, 'model__n_estimators': 266, 'model__reg_alpha': 1.5835939759522942e-06, 'model__reg_lambda': 0.20708261451135407, 'model__subsample': 0.8346732764615268}), OrderedDict({'model__colsample_bytree': 0.7662256975662411, 'model__gamma': 0.00794066792770938, 'model__learning_rate': 0.13028733497115108, 'model__max_depth': 5, 'model__min_child_weight': 4, 'model__n_estimators': 213, 'model__reg_alpha': 2.0059071779527466e-08, 'model__reg_lambda': 1e-08, 'model__subsample': 0.9146704832875594}), OrderedDict({'model__colsample_bytree': 0.6, 'model__gamma': 4.276918169338557, 'model__learning_rate': 0.17845088582769333, 'model__max_depth': 6, 'model__min_child_weight': 3, 'model__n_estimators': 495, 'model__reg_alpha': 3.79183349129352e-08, 'model__reg_lambda': 1.123016211960525e-07, 'model__subsample': 0.7967636899111997}), OrderedDict({'model__colsample_bytree': 0.817361227076125, 'model__gamma': 1.007239304540517, 'model__learning_rate': 0.05411797281355388, 'model__max_depth': 9, 'model__min_child_weight': 4, 'model__n_estimators': 220, 'model__reg_alpha': 0.0009229517224544347, 'model__reg_lambda': 1.6766517437995118e-08, 'model__subsample': 0.7542918363938659}), OrderedDict({'model__colsample_bytree': 0.7008554999110078, 'model__gamma': 0.005548227640899408, 'model__learning_rate': 0.07552035886750234, 'model__max_depth': 7, 'model__min_child_weight': 3, 'model__n_estimators': 226, 'model__reg_alpha': 1e-08, 'model__reg_lambda': 2.2783869021941832e-05, 'model__subsample': 0.6120807161971241}), OrderedDict({'model__colsample_bytree': 0.6, 'model__gamma': 6.723255832144537e-07, 'model__learning_rate': 0.29999999999999993, 'model__max_depth': 10, 'model__min_child_weight': 10, 'model__n_estimators': 305, 'model__reg_alpha': 1.5079334461693367e-06, 'model__reg_lambda': 0.00010159992247777192, 'model__subsample': 0.6622618097518583}), OrderedDict({'model__colsample_bytree': 0.6079766532299518, 'model__gamma': 0.015608653922352679, 'model__learning_rate': 0.18884871469768713, 'model__max_depth': 4, 'model__min_child_weight': 6, 'model__n_estimators': 265, 'model__reg_alpha': 3.607381792771172e-08, 'model__reg_lambda': 1e-08, 'model__subsample': 0.7857985288499398}), OrderedDict({'model__colsample_bytree': 0.6, 'model__gamma': 0.0011082516525462098, 'model__learning_rate': 0.21593175147320184, 'model__max_depth': 6, 'model__min_child_weight': 6, 'model__n_estimators': 448, 'model__reg_alpha': 0.23539078164840396, 'model__reg_lambda': 9.650787759692565e-06, 'model__subsample': 0.9125271425981212}), OrderedDict({'model__colsample_bytree': 0.7498137147103067, 'model__gamma': 4.999999999999999, 'model__learning_rate': 0.29999999999999993, 'model__max_depth': 8, 'model__min_child_weight': 2, 'model__n_estimators': 384, 'model__reg_alpha': 1e-08, 'model__reg_lambda': 2.8407042063609077e-05, 'model__subsample': 0.6611770527160223})]"
0.8817 ± 0.0257,0.7442 ± 0.0779,0.7083 ± 0.0474,0.7043 ± 0.0330,0.9125 ± 0.0251,0.8847 ± 0.0209,0.8817 ± 0.0257,0.8807 ± 0.0229,0.9224 ± 0.0338,0.7387 ± 0.0303,"[OrderedDict({'model__learning_rate': 0.1728091250365026, 'model__n_estimators': 368}), OrderedDict({'model__learning_rate': 0.10275031339027359, 'model__n_estimators': 443}), OrderedDict({'model__learning_rate': 0.999372258113061, 'model__n_estimators': 64}), OrderedDict({'model__learning_rate': 0.21356306033218742, 'model__n_estimators': 354}), OrderedDict({'model__learning_rate': 0.4131022186596319, 'model__n_estimators': 50}), OrderedDict({'model__learning_rate': 0.7484396621196598, 'model__n_estimators': 62}), OrderedDict({'model__learning_rate': 0.9914746490592424, 'model__n_estimators': 495}), OrderedDict({'model__learning_rate': 0.8110248169200155, 'model__n_estimators': 227}), OrderedDict({'model__learning_rate': 0.9922464387301926, 'model__n_estimators': 286}), OrderedDict({'model__learning_rate': 0.07518531809908632, 'model__n_estimators': 500})]"
0.8901 ± 0.0116,0.7239 ± 0.0962,0.6652 ± 0.0463,0.6780 ± 0.0596,0.9354 ± 0.0113,0.8827 ± 0.0140,0.8901 ± 0.0116,0.8839 ± 0.0114,0.9491 ± 0.0082,0.7143 ± 0.0387,"[OrderedDict({'model__C': 18.59006401546194, 'model__gamma': 0.0013009880943405541, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 5.629932152345013, 'model__gamma': 0.0052034209825423585, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 19.859438312752648, 'model__gamma': 0.0005971213904929305, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 1000.0, 'model__gamma': 1.8968139373315466e-05, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 392.97064335084684, 'model__gamma': 3.68245412772921e-05, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 29.68860093174057, 'model__gamma': 0.00066538197147684, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 18.07708353069866, 'model__gamma': 0.0017989714048605111, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 123.65558186316323, 'model__gamma': 0.00038748201707225537, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 64.97259491251238, 'model__gamma': 0.00023461443323134266, 'model__kernel': 'rbf'}), OrderedDict({'model__C': 255.81022635156313, 'model__gamma': 9.209435851044184e-05, 'model__kernel': 'rbf'})]"
0.8637 ± 0.0185,0.6900 ± 0.0463,0.7489 ± 0.0738,0.7005 ± 0.0469,0.9366 ± 0.0180,0.8836 ± 0.0148,0.8637 ± 0.0185,0.8662 ± 0.0162,0.9466 ± 0.0092,0.7486 ± 0.0300,"[OrderedDict({'model__C': 0.008599894157959172, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 0.005121310293822244, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 0.04666540870368648, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 0.0020874059839810586, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 0.004179598263140543, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 7.722789375941188, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 0.009546659858971721, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 0.06065109986610347, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 0.03483021183379741, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}), OrderedDict({'model__C': 0.0027161000378217548, 'model__penalty': 'l2', 'model__solver': 'lbfgs'})]"
0.7498 ± 0.0179,0.5245 ± 0.0066,0.5226 ± 0.0110,0.5038 ± 0.0136,0.7847 ± 0.0300,0.7747 ± 0.0092,0.7498 ± 0.0179,0.7332 ± 0.0206,0.8619 ± 0.0209,0.5228 ± 0.0143,"[OrderedDict({'model__n_neighbors': 10, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 6, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 3, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 4, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 4, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 4, 'model__p': 1, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 7, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 4, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 10, 'model__p': 2, 'model__weights': 'distance'}), OrderedDict({'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'distance'})]"
0.7421 ± 0.0577,0.6040 ± 0.0158,0.6280 ± 0.0701,0.5720 ± 0.0385,0.7863 ± 0.0422,0.8530 ± 0.0111,0.7421 ± 0.0577,0.7810 ± 0.0431,0.8894 ± 0.0090,0.5803 ± 0.0318,"[OrderedDict({'model__var_smoothing': 1.5783879853890547e-07}), OrderedDict({'model__var_smoothing': 9.966916991770303e-07}), OrderedDict({'model__var_smoothing': 3.7073662876053897e-07}), OrderedDict({'model__var_smoothing': 6.636085077612337e-07}), OrderedDict({'model__var_smoothing': 1e-06}), OrderedDict({'model__var_smoothing': 9.966916991770303e-07}), OrderedDict({'model__var_smoothing': 9.966916991770303e-07}), OrderedDict({'model__var_smoothing': 9.966916991770303e-07}), OrderedDict({'model__var_smoothing': 4.1565544624080427e-07}), OrderedDict({'model__var_smoothing': 1e-06})]"
