Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0.8286 ± 0.0249,0.6134 ± 0.0469,0.6131 ± 0.0465,0.6092 ± 0.0404,0.7540 ± 0.0273,0.8301 ± 0.0201,0.8286 ± 0.0249,0.8287 ± 0.0222,0.8424 ± 0.0204,0.8203 ± 0.0078,0.6250 ± 0.0272,0.6239 ± 0.0363,0.6222 ± 0.0296,0.7563 ± 0.0184,0.8204 ± 0.0099,0.8203 ± 0.0078,0.8200 ± 0.0084,0.8329 ± 0.0093
0.8982 ± 0.0137,0.5989 ± 0.0092,0.6156 ± 0.0093,0.6068 ± 0.0093,0.9397 ± 0.0165,0.8757 ± 0.0132,0.8982 ± 0.0137,0.8864 ± 0.0135,0.9567 ± 0.0067,0.8980 ± 0.0079,0.5990 ± 0.0053,0.6165 ± 0.0054,0.6076 ± 0.0053,0.9515 ± 0.0074,0.8726 ± 0.0076,0.8980 ± 0.0079,0.8851 ± 0.0077,0.9594 ± 0.0028
0.8963 ± 0.0132,0.5984 ± 0.0084,0.6142 ± 0.0093,0.6060 ± 0.0087,0.9492 ± 0.0101,0.8748 ± 0.0124,0.8963 ± 0.0132,0.8851 ± 0.0127,0.9582 ± 0.0063,0.8987 ± 0.0052,0.6001 ± 0.0036,0.6171 ± 0.0036,0.6085 ± 0.0036,0.9545 ± 0.0105,0.8741 ± 0.0051,0.8987 ± 0.0052,0.8863 ± 0.0052,0.9608 ± 0.0033
0.8982 ± 0.0153,0.7947 ± 0.1228,0.6841 ± 0.0537,0.7066 ± 0.0703,0.9334 ± 0.0214,0.8939 ± 0.0208,0.8982 ± 0.0153,0.8924 ± 0.0167,0.9584 ± 0.0076,0.8964 ± 0.0046,0.7725 ± 0.0609,0.6685 ± 0.0308,0.6891 ± 0.0417,0.9431 ± 0.0132,0.8890 ± 0.0067,0.8964 ± 0.0046,0.8897 ± 0.0054,0.9571 ± 0.0039
0.8755 ± 0.0244,0.7191 ± 0.0958,0.6762 ± 0.0395,0.6820 ± 0.0429,0.9096 ± 0.0124,0.8758 ± 0.0211,0.8755 ± 0.0244,0.8739 ± 0.0219,0.9210 ± 0.0155,0.8725 ± 0.0052,0.7402 ± 0.0293,0.7082 ± 0.0352,0.7202 ± 0.0303,0.9178 ± 0.0136,0.8703 ± 0.0072,0.8725 ± 0.0052,0.8708 ± 0.0064,0.9222 ± 0.0101
0.8978 ± 0.0095,0.5988 ± 0.0062,0.6166 ± 0.0062,0.6065 ± 0.0065,0.9446 ± 0.0166,0.8769 ± 0.0087,0.8978 ± 0.0095,0.8858 ± 0.0095,0.9555 ± 0.0096,0.9009 ± 0.0062,0.6004 ± 0.0041,0.6200 ± 0.0042,0.6096 ± 0.0042,0.9498 ± 0.0071,0.8763 ± 0.0060,0.9009 ± 0.0062,0.8877 ± 0.0061,0.9574 ± 0.0033
0.8725 ± 0.0102,0.7000 ± 0.0675,0.6932 ± 0.0615,0.6937 ± 0.0612,0.9131 ± 0.0186,0.8704 ± 0.0098,0.8725 ± 0.0102,0.8702 ± 0.0099,0.9364 ± 0.0081,0.8794 ± 0.0083,0.7312 ± 0.0342,0.7059 ± 0.0311,0.7159 ± 0.0319,0.9234 ± 0.0124,0.8766 ± 0.0082,0.8794 ± 0.0083,0.8774 ± 0.0080,0.9399 ± 0.0081
0.7458 ± 0.0229,0.5240 ± 0.0099,0.5203 ± 0.0145,0.5001 ± 0.0173,0.7830 ± 0.0264,0.7745 ± 0.0141,0.7458 ± 0.0229,0.7277 ± 0.0260,0.8590 ± 0.0209,0.7454 ± 0.0131,0.5168 ± 0.0077,0.5209 ± 0.0086,0.5014 ± 0.0094,0.7886 ± 0.0055,0.7609 ± 0.0112,0.7454 ± 0.0131,0.7278 ± 0.0139,0.8575 ± 0.0100
0.7040 ± 0.0844,0.5998 ± 0.0160,0.6128 ± 0.0706,0.5480 ± 0.0552,0.7767 ± 0.0416,0.8508 ± 0.0156,0.7040 ± 0.0844,0.7489 ± 0.0734,0.8794 ± 0.0099,0.7107 ± 0.0750,0.6005 ± 0.0194,0.6162 ± 0.0645,0.5586 ± 0.0516,0.7784 ± 0.0349,0.8445 ± 0.0173,0.7107 ± 0.0750,0.7570 ± 0.0602,0.8753 ± 0.0110
