Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0.8275 ± 0.0289,0.6438 ± 0.0259,0.6943 ± 0.0293,0.6460 ± 0.0299,0.8006 ± 0.0177,0.8666 ± 0.0154,0.8275 ± 0.0289,0.8351 ± 0.0252,0.8604 ± 0.0203,0.8305 ± 0.0169,0.6638 ± 0.0236,0.7431 ± 0.0467,0.6774 ± 0.0305,0.8257 ± 0.0255,0.8651 ± 0.0113,0.8305 ± 0.0169,0.8372 ± 0.0150,0.8623 ± 0.0127
0.8835 ± 0.0142,0.7278 ± 0.0396,0.7807 ± 0.0522,0.7390 ± 0.0363,0.9470 ± 0.0087,0.9023 ± 0.0076,0.8835 ± 0.0142,0.8855 ± 0.0120,0.9585 ± 0.0076,0.8939 ± 0.0081,0.7419 ± 0.0247,0.7883 ± 0.0284,0.7573 ± 0.0253,0.9556 ± 0.0071,0.9063 ± 0.0050,0.8939 ± 0.0081,0.8954 ± 0.0072,0.9622 ± 0.0025
0.8861 ± 0.0108,0.7142 ± 0.0407,0.7505 ± 0.0570,0.7225 ± 0.0409,0.9449 ± 0.0125,0.9004 ± 0.0070,0.8861 ± 0.0108,0.8874 ± 0.0092,0.9578 ± 0.0094,0.8936 ± 0.0090,0.7427 ± 0.0282,0.7792 ± 0.0257,0.7550 ± 0.0275,0.9537 ± 0.0052,0.9042 ± 0.0055,0.8936 ± 0.0090,0.8947 ± 0.0079,0.9609 ± 0.0030
0.8626 ± 0.0138,0.6850 ± 0.0280,0.7491 ± 0.0500,0.6972 ± 0.0326,0.9406 ± 0.0114,0.8905 ± 0.0084,0.8626 ± 0.0138,0.8672 ± 0.0121,0.9568 ± 0.0065,0.8736 ± 0.0110,0.7155 ± 0.0223,0.7805 ± 0.0383,0.7329 ± 0.0265,0.9505 ± 0.0054,0.8941 ± 0.0070,0.8736 ± 0.0110,0.8763 ± 0.0103,0.9590 ± 0.0036
0.8751 ± 0.0190,0.7057 ± 0.0284,0.7649 ± 0.0358,0.7210 ± 0.0241,0.9305 ± 0.0114,0.8917 ± 0.0165,0.8751 ± 0.0190,0.8789 ± 0.0179,0.9378 ± 0.0143,0.8830 ± 0.0094,0.7258 ± 0.0172,0.7943 ± 0.0184,0.7478 ± 0.0180,0.9414 ± 0.0063,0.8976 ± 0.0058,0.8830 ± 0.0094,0.8865 ± 0.0085,0.9450 ± 0.0047
0.8722 ± 0.0150,0.6878 ± 0.0401,0.7187 ± 0.0573,0.6940 ± 0.0456,0.9390 ± 0.0098,0.8866 ± 0.0093,0.8722 ± 0.0150,0.8731 ± 0.0132,0.9538 ± 0.0076,0.8792 ± 0.0102,0.7236 ± 0.0235,0.7399 ± 0.0217,0.7264 ± 0.0190,0.9453 ± 0.0086,0.8881 ± 0.0052,0.8792 ± 0.0102,0.8792 ± 0.0088,0.9567 ± 0.0038
0.8531 ± 0.0181,0.6839 ± 0.0175,0.7883 ± 0.0533,0.6965 ± 0.0215,0.9384 ± 0.0099,0.8966 ± 0.0066,0.8531 ± 0.0181,0.8614 ± 0.0151,0.9467 ± 0.0095,0.8593 ± 0.0105,0.6925 ± 0.0128,0.7923 ± 0.0232,0.7107 ± 0.0169,0.9409 ± 0.0049,0.8961 ± 0.0042,0.8593 ± 0.0105,0.8673 ± 0.0092,0.9483 ± 0.0026
0.6901 ± 0.0307,0.6113 ± 0.0113,0.7301 ± 0.0397,0.5489 ± 0.0264,0.8547 ± 0.0193,0.8438 ± 0.0148,0.6901 ± 0.0307,0.6931 ± 0.0354,0.8507 ± 0.0147,0.7049 ± 0.0331,0.6246 ± 0.0144,0.7594 ± 0.0290,0.5756 ± 0.0364,0.8638 ± 0.0161,0.8460 ± 0.0079,0.7049 ± 0.0331,0.7072 ± 0.0349,0.8551 ± 0.0113
0.7974 ± 0.0256,0.6513 ± 0.0133,0.7949 ± 0.0509,0.6444 ± 0.0208,0.8899 ± 0.0288,0.8877 ± 0.0104,0.7974 ± 0.0256,0.8275 ± 0.0215,0.9093 ± 0.0128,0.8153 ± 0.0118,0.6637 ± 0.0101,0.8109 ± 0.0258,0.6713 ± 0.0144,0.8815 ± 0.0176,0.8844 ± 0.0093,0.8153 ± 0.0118,0.8403 ± 0.0097,0.8994 ± 0.0101
