Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0.8293 ± 0.0182,0.6258 ± 0.0364,0.6269 ± 0.0377,0.6222 ± 0.0313,0.7607 ± 0.0186,0.8301 ± 0.0144,0.8293 ± 0.0182,0.8289 ± 0.0159,0.8419 ± 0.0152,0.8303 ± 0.0082,0.6443 ± 0.0129,0.6501 ± 0.0238,0.6463 ± 0.0179,0.7728 ± 0.0126,0.8318 ± 0.0089,0.8303 ± 0.0082,0.8309 ± 0.0083,0.8432 ± 0.0084
0.9011 ± 0.0093,0.6678 ± 0.1409,0.6268 ± 0.0206,0.6255 ± 0.0356,0.9339 ± 0.0225,0.8843 ± 0.0138,0.9011 ± 0.0093,0.8905 ± 0.0092,0.9586 ± 0.0074,0.8967 ± 0.0056,0.6481 ± 0.1146,0.6211 ± 0.0143,0.6166 ± 0.0245,0.9520 ± 0.0073,0.8757 ± 0.0135,0.8967 ± 0.0056,0.8845 ± 0.0064,0.9614 ± 0.0035
0.8993 ± 0.0105,0.6840 ± 0.1427,0.6302 ± 0.0241,0.6318 ± 0.0395,0.9490 ± 0.0103,0.8849 ± 0.0160,0.8993 ± 0.0105,0.8895 ± 0.0103,0.9604 ± 0.0064,0.8983 ± 0.0044,0.7720 ± 0.1372,0.6380 ± 0.0183,0.6464 ± 0.0322,0.9570 ± 0.0083,0.8886 ± 0.0124,0.8983 ± 0.0044,0.8883 ± 0.0046,0.9623 ± 0.0029
0.8912 ± 0.0104,0.7751 ± 0.0848,0.6927 ± 0.0546,0.7124 ± 0.0611,0.9255 ± 0.0254,0.8872 ± 0.0108,0.8912 ± 0.0104,0.8867 ± 0.0103,0.9546 ± 0.0062,0.8896 ± 0.0086,0.7726 ± 0.0666,0.6827 ± 0.0319,0.7070 ± 0.0420,0.9412 ± 0.0098,0.8839 ± 0.0105,0.8896 ± 0.0086,0.8848 ± 0.0092,0.9547 ± 0.0045
0.8788 ± 0.0151,0.7394 ± 0.0777,0.6969 ± 0.0321,0.7017 ± 0.0288,0.9180 ± 0.0084,0.8806 ± 0.0118,0.8788 ± 0.0151,0.8777 ± 0.0145,0.9291 ± 0.0102,0.8791 ± 0.0072,0.7623 ± 0.0348,0.7218 ± 0.0288,0.7333 ± 0.0173,0.9198 ± 0.0126,0.8781 ± 0.0062,0.8791 ± 0.0072,0.8777 ± 0.0069,0.9245 ± 0.0106
0.8949 ± 0.0123,0.5966 ± 0.0082,0.6140 ± 0.0083,0.6046 ± 0.0084,0.9464 ± 0.0089,0.8730 ± 0.0118,0.8949 ± 0.0123,0.8830 ± 0.0122,0.9543 ± 0.0070,0.8959 ± 0.0066,0.5973 ± 0.0044,0.6156 ± 0.0046,0.6062 ± 0.0045,0.9494 ± 0.0054,0.8706 ± 0.0064,0.8959 ± 0.0066,0.8830 ± 0.0065,0.9554 ± 0.0036
0.8505 ± 0.0255,0.6565 ± 0.0385,0.6790 ± 0.0594,0.6602 ± 0.0397,0.8948 ± 0.0278,0.8583 ± 0.0198,0.8505 ± 0.0255,0.8524 ± 0.0226,0.9125 ± 0.0131,0.8497 ± 0.0109,0.6823 ± 0.0307,0.6974 ± 0.0331,0.6889 ± 0.0316,0.9011 ± 0.0160,0.8525 ± 0.0107,0.8497 ± 0.0109,0.8509 ± 0.0107,0.9147 ± 0.0097
0.8502 ± 0.0147,0.6579 ± 0.1409,0.6008 ± 0.0227,0.5979 ± 0.0380,0.8549 ± 0.0348,0.8515 ± 0.0143,0.8502 ± 0.0147,0.8393 ± 0.0148,0.9210 ± 0.0093,0.8550 ± 0.0059,0.7824 ± 0.1250,0.6180 ± 0.0206,0.6247 ± 0.0345,0.8635 ± 0.0078,0.8608 ± 0.0106,0.8550 ± 0.0059,0.8444 ± 0.0053,0.9209 ± 0.0044
0.7949 ± 0.0275,0.6495 ± 0.0161,0.7853 ± 0.0389,0.6405 ± 0.0259,0.8978 ± 0.0296,0.8867 ± 0.0156,0.7949 ± 0.0275,0.8230 ± 0.0244,0.9257 ± 0.0115,0.8072 ± 0.0200,0.6593 ± 0.0129,0.7986 ± 0.0290,0.6607 ± 0.0229,0.8912 ± 0.0157,0.8852 ± 0.0084,0.8072 ± 0.0200,0.8330 ± 0.0156,0.9234 ± 0.0069
