Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0.8271 ± 0.0187,0.6298 ± 0.0471,0.6261 ± 0.0360,0.6216 ± 0.0299,0.7605 ± 0.0193,0.8315 ± 0.0150,0.8271 ± 0.0187,0.8280 ± 0.0159,0.8423 ± 0.0149,0.8281 ± 0.0101,0.6429 ± 0.0216,0.6506 ± 0.0305,0.6450 ± 0.0245,0.7726 ± 0.0148,0.8307 ± 0.0083,0.8281 ± 0.0101,0.8291 ± 0.0091,0.8420 ± 0.0083
0.8993 ± 0.0103,0.6664 ± 0.1397,0.6257 ± 0.0197,0.6241 ± 0.0345,0.9363 ± 0.0182,0.8824 ± 0.0134,0.8993 ± 0.0103,0.8885 ± 0.0099,0.9593 ± 0.0048,0.8984 ± 0.0059,0.6658 ± 0.1414,0.6222 ± 0.0133,0.6179 ± 0.0235,0.9527 ± 0.0096,0.8786 ± 0.0143,0.8984 ± 0.0059,0.8861 ± 0.0062,0.9610 ± 0.0028
0.9018 ± 0.0122,0.7522 ± 0.1641,0.6456 ± 0.0299,0.6563 ± 0.0503,0.9465 ± 0.0176,0.8926 ± 0.0152,0.9018 ± 0.0122,0.8932 ± 0.0109,0.9614 ± 0.0056,0.8976 ± 0.0035,0.7673 ± 0.1157,0.6445 ± 0.0195,0.6567 ± 0.0335,0.9581 ± 0.0056,0.8880 ± 0.0089,0.8976 ± 0.0035,0.8885 ± 0.0030,0.9622 ± 0.0027
0.8971 ± 0.0141,0.8113 ± 0.0871,0.7013 ± 0.0513,0.7278 ± 0.0616,0.9231 ± 0.0242,0.8949 ± 0.0162,0.8971 ± 0.0141,0.8929 ± 0.0148,0.9561 ± 0.0045,0.8947 ± 0.0042,0.7926 ± 0.0504,0.6933 ± 0.0285,0.7199 ± 0.0360,0.9410 ± 0.0088,0.8897 ± 0.0063,0.8947 ± 0.0042,0.8900 ± 0.0052,0.9564 ± 0.0039
0.8780 ± 0.0188,0.7307 ± 0.0870,0.6917 ± 0.0388,0.6959 ± 0.0377,0.9191 ± 0.0074,0.8798 ± 0.0159,0.8780 ± 0.0188,0.8771 ± 0.0173,0.9320 ± 0.0123,0.8756 ± 0.0090,0.7462 ± 0.0336,0.7175 ± 0.0399,0.7271 ± 0.0348,0.9191 ± 0.0132,0.8740 ± 0.0105,0.8756 ± 0.0090,0.8742 ± 0.0098,0.9242 ± 0.0098
0.8960 ± 0.0115,0.5973 ± 0.0076,0.6147 ± 0.0076,0.6053 ± 0.0078,0.9465 ± 0.0096,0.8741 ± 0.0108,0.8960 ± 0.0115,0.8841 ± 0.0114,0.9549 ± 0.0071,0.8967 ± 0.0075,0.5978 ± 0.0050,0.6162 ± 0.0052,0.6067 ± 0.0051,0.9502 ± 0.0055,0.8714 ± 0.0073,0.8967 ± 0.0075,0.8837 ± 0.0074,0.9567 ± 0.0035
0.8524 ± 0.0205,0.6539 ± 0.0319,0.6713 ± 0.0504,0.6561 ± 0.0345,0.8949 ± 0.0259,0.8599 ± 0.0158,0.8524 ± 0.0205,0.8542 ± 0.0179,0.9175 ± 0.0120,0.8542 ± 0.0135,0.6930 ± 0.0380,0.7075 ± 0.0351,0.6992 ± 0.0365,0.8991 ± 0.0173,0.8571 ± 0.0127,0.8542 ± 0.0135,0.8555 ± 0.0130,0.9202 ± 0.0095
0.8560 ± 0.0161,0.6279 ± 0.1146,0.6001 ± 0.0231,0.5938 ± 0.0361,0.8640 ± 0.0338,0.8536 ± 0.0160,0.8560 ± 0.0161,0.8448 ± 0.0167,0.9249 ± 0.0090,0.8597 ± 0.0080,0.8590 ± 0.0598,0.6280 ± 0.0220,0.6403 ± 0.0327,0.8669 ± 0.0089,0.8710 ± 0.0058,0.8597 ± 0.0080,0.8498 ± 0.0085,0.9221 ± 0.0049
0.7927 ± 0.0295,0.6485 ± 0.0153,0.7841 ± 0.0351,0.6382 ± 0.0250,0.9019 ± 0.0270,0.8861 ± 0.0164,0.7927 ± 0.0295,0.8207 ± 0.0265,0.9265 ± 0.0114,0.8009 ± 0.0256,0.6546 ± 0.0156,0.7842 ± 0.0424,0.6522 ± 0.0290,0.8857 ± 0.0232,0.8831 ± 0.0086,0.8009 ± 0.0256,0.8280 ± 0.0198,0.9225 ± 0.0067
