Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,F1_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,F1_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
0.8209 ± 0.0282,0.6372 ± 0.0269,0.6944 ± 0.0434,0.6408 ± 0.0353,0.7990 ± 0.0269,0.8619 ± 0.0178,0.8209 ± 0.0282,0.8291 ± 0.0259,0.8554 ± 0.0213,0.8289 ± 0.0108,0.6667 ± 0.0184,0.7423 ± 0.0274,0.6793 ± 0.0227,0.8246 ± 0.0148,0.8641 ± 0.0062,0.8289 ± 0.0108,0.8351 ± 0.0088,0.8604 ± 0.0070
0.8813 ± 0.0159,0.7136 ± 0.0391,0.7566 ± 0.0519,0.7227 ± 0.0393,0.9455 ± 0.0140,0.8995 ± 0.0096,0.8813 ± 0.0159,0.8833 ± 0.0143,0.9594 ± 0.0083,0.8932 ± 0.0063,0.7463 ± 0.0204,0.7896 ± 0.0299,0.7598 ± 0.0181,0.9579 ± 0.0047,0.9050 ± 0.0045,0.8932 ± 0.0063,0.8945 ± 0.0057,0.9627 ± 0.0028
0.8853 ± 0.0130,0.7120 ± 0.0417,0.7546 ± 0.0578,0.7215 ± 0.0431,0.9420 ± 0.0125,0.9014 ± 0.0074,0.8853 ± 0.0130,0.8873 ± 0.0110,0.9584 ± 0.0081,0.8923 ± 0.0061,0.7435 ± 0.0116,0.7906 ± 0.0143,0.7595 ± 0.0093,0.9547 ± 0.0059,0.9039 ± 0.0042,0.8923 ± 0.0061,0.8937 ± 0.0059,0.9618 ± 0.0031
0.8564 ± 0.0209,0.6808 ± 0.0307,0.7453 ± 0.0441,0.6896 ± 0.0351,0.9394 ± 0.0085,0.8900 ± 0.0080,0.8564 ± 0.0209,0.8621 ± 0.0180,0.9570 ± 0.0062,0.8741 ± 0.0100,0.7160 ± 0.0186,0.7844 ± 0.0325,0.7343 ± 0.0210,0.9499 ± 0.0051,0.8954 ± 0.0064,0.8741 ± 0.0100,0.8770 ± 0.0095,0.9594 ± 0.0032
0.8718 ± 0.0165,0.7041 ± 0.0443,0.7677 ± 0.0461,0.7175 ± 0.0391,0.9284 ± 0.0105,0.8935 ± 0.0106,0.8718 ± 0.0165,0.8767 ± 0.0138,0.9383 ± 0.0127,0.8803 ± 0.0075,0.7191 ± 0.0170,0.7873 ± 0.0163,0.7401 ± 0.0155,0.9390 ± 0.0103,0.8961 ± 0.0049,0.8803 ± 0.0075,0.8842 ± 0.0069,0.9425 ± 0.0068
0.8692 ± 0.0145,0.6870 ± 0.0476,0.7213 ± 0.0550,0.6941 ± 0.0495,0.9395 ± 0.0104,0.8863 ± 0.0101,0.8692 ± 0.0145,0.8712 ± 0.0132,0.9544 ± 0.0073,0.8799 ± 0.0118,0.7229 ± 0.0252,0.7438 ± 0.0240,0.7277 ± 0.0212,0.9459 ± 0.0081,0.8891 ± 0.0063,0.8799 ± 0.0118,0.8802 ± 0.0104,0.9574 ± 0.0036
0.8469 ± 0.0117,0.6736 ± 0.0168,0.7796 ± 0.0631,0.6852 ± 0.0216,0.9393 ± 0.0093,0.8926 ± 0.0073,0.8469 ± 0.0117,0.8565 ± 0.0090,0.9474 ± 0.0078,0.8588 ± 0.0122,0.6936 ± 0.0147,0.7972 ± 0.0234,0.7120 ± 0.0194,0.9423 ± 0.0056,0.8967 ± 0.0052,0.8588 ± 0.0122,0.8672 ± 0.0105,0.9499 ± 0.0025
0.6908 ± 0.0321,0.6124 ± 0.0118,0.7307 ± 0.0394,0.5496 ± 0.0274,0.8542 ± 0.0186,0.8454 ± 0.0169,0.6908 ± 0.0321,0.6941 ± 0.0368,0.8510 ± 0.0152,0.7046 ± 0.0319,0.6254 ± 0.0142,0.7627 ± 0.0283,0.5757 ± 0.0355,0.8662 ± 0.0141,0.8475 ± 0.0078,0.7046 ± 0.0319,0.7075 ± 0.0332,0.8561 ± 0.0094
0.8051 ± 0.0243,0.6542 ± 0.0161,0.7999 ± 0.0536,0.6522 ± 0.0228,0.8935 ± 0.0258,0.8868 ± 0.0132,0.8051 ± 0.0243,0.8325 ± 0.0203,0.9089 ± 0.0132,0.8192 ± 0.0101,0.6651 ± 0.0118,0.8119 ± 0.0364,0.6755 ± 0.0159,0.8803 ± 0.0257,0.8829 ± 0.0089,0.8192 ± 0.0101,0.8421 ± 0.0081,0.8987 ± 0.0119
