Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
0.8341 ± 0.0230,0.6250 ± 0.0609,0.6170 ± 0.0406,0.6172 ± 0.0448,0.7580 ± 0.0258,0.8253 ± 0.0097,0.6455 ± 0.0383,0.6448 ± 0.0312,0.6440 ± 0.0336,0.7685 ± 0.0168
0.9005 ± 0.0131,0.6009 ± 0.0089,0.6183 ± 0.0091,0.6093 ± 0.0090,0.9435 ± 0.0181,0.8986 ± 0.0049,0.7164 ± 0.1118,0.6264 ± 0.0083,0.6262 ± 0.0152,0.9532 ± 0.0088
0.8995 ± 0.0132,0.6004 ± 0.0091,0.6173 ± 0.0093,0.6085 ± 0.0092,0.9460 ± 0.0226,0.8967 ± 0.0049,0.6155 ± 0.0530,0.6168 ± 0.0065,0.6099 ± 0.0104,0.9543 ± 0.0071
0.9011 ± 0.0147,0.7770 ± 0.1724,0.6631 ± 0.0484,0.6795 ± 0.0714,0.9105 ± 0.0155,0.8963 ± 0.0040,0.8004 ± 0.0309,0.6833 ± 0.0254,0.7094 ± 0.0318,0.9425 ± 0.0060
0.8681 ± 0.0294,0.6820 ± 0.1045,0.6584 ± 0.0520,0.6595 ± 0.0535,0.9065 ± 0.0152,0.8747 ± 0.0077,0.7405 ± 0.0317,0.7176 ± 0.0190,0.7260 ± 0.0194,0.9213 ± 0.0051
0.8648 ± 0.0257,0.6978 ± 0.1387,0.6497 ± 0.0632,0.6591 ± 0.0782,0.9022 ± 0.0333,0.8711 ± 0.0100,0.7417 ± 0.0391,0.6826 ± 0.0232,0.7024 ± 0.0274,0.8988 ± 0.0174
0.8599 ± 0.0198,0.7090 ± 0.1573,0.6379 ± 0.0681,0.6502 ± 0.0871,0.8454 ± 0.0282,0.8535 ± 0.0106,0.7381 ± 0.0286,0.6432 ± 0.0265,0.6659 ± 0.0291,0.8425 ± 0.0227
0.8940 ± 0.0206,0.5963 ± 0.0136,0.6136 ± 0.0144,0.6046 ± 0.0140,nan ± nan,0.8878 ± 0.0045,0.5919 ± 0.0030,0.6093 ± 0.0031,0.6004 ± 0.0030,nan ± nan
0.7527 ± 0.0201,0.5269 ± 0.0119,0.5258 ± 0.0132,0.5052 ± 0.0147,0.7672 ± 0.0256,0.7512 ± 0.0046,0.5418 ± 0.0535,0.5267 ± 0.0055,0.5076 ± 0.0095,0.7856 ± 0.0119
0.6445 ± 0.0828,0.5991 ± 0.0167,0.6229 ± 0.0737,0.5178 ± 0.0561,0.7881 ± 0.0459,0.6682 ± 0.0863,0.5977 ± 0.0197,0.6087 ± 0.0548,0.5316 ± 0.0574,0.7748 ± 0.0293
