epoch,train_loss,val_loss,val_acc,val_f1,val_balanced_acc
1,0.3714119118690491,0.23015197219362685,0.9044585987261147,0.9056603773584906,0.909640522875817
2,0.18515547189712525,0.20545578088350358,0.9171974522292994,0.9202453987730062,0.920343137254902
3,0.15613421081006526,0.2134659696536459,0.9171974522292994,0.9202453987730062,0.920343137254902
4,0.1310654703207314,0.22128862674069252,0.910828025477707,0.9156626506024096,0.9123366013071896
5,0.11896772651672363,0.23831919443075825,0.9171974522292994,0.9221556886227545,0.9182189542483661
6,0.11436842542873983,0.25515492725524175,0.9044585987261147,0.9112426035502958,0.9043300653594771
7,0.0944856923342719,0.26144099444340746,0.9044585987261147,0.9090909090909091,0.9064542483660131
8,0.07111072072982788,0.2927420779967764,0.9044585987261147,0.9090909090909091,0.9064542483660131
9,0.07323427713785495,0.30188982824611055,0.9044585987261147,0.9101796407185628,0.9053921568627451
10,0.06260604894161224,0.35506603064810394,0.9044585987261147,0.9122807017543859,0.903267973856209
11,0.04397934395968914,0.3826642337308568,0.8789808917197452,0.8914285714285715,0.8754901960784314
12,0.041797455925866964,0.38292901758935044,0.8980891719745223,0.9080459770114943,0.8952614379084968
