,model,target_type,classes,n_classes,accuracy_cv_mean,accuracy_cv_std,accuracy_test_mean,accuracy_test_std,f1_macro_cv_mean,f1_macro_cv_std,f1_macro_test_mean,f1_macro_test_std,f1_weighted_cv_mean,f1_weighted_cv_std,f1_weighted_test_mean,f1_weighted_test_std,recall_macro_cv_mean,recall_macro_cv_std,recall_macro_test_mean,recall_macro_test_std,recall_weighted_cv_mean,recall_weighted_cv_std,recall_weighted_test_mean,recall_weighted_test_std,precision_macro_cv_mean,precision_macro_cv_std,precision_macro_test_mean,precision_macro_test_std,precision_weighted_cv_mean,precision_weighted_cv_std,precision_weighted_test_mean,precision_weighted_test_std,mae_cv_mean,mae_cv_std,mae_test_mean,mae_test_std,qwk_cv_mean,qwk_cv_std,qwk_test_mean,qwk_test_std,misclassification_disease_cost_mean_cv_mean,misclassification_disease_cost_mean_cv_std,misclassification_disease_cost_mean_test_mean,misclassification_disease_cost_mean_test_std,misclassification_disease_cost_total_cv_mean,misclassification_disease_cost_total_cv_std,misclassification_disease_cost_total_test_mean,misclassification_disease_cost_total_test_std,misclassification_disease_score_cv_mean,misclassification_disease_score_cv_std,misclassification_disease_score_test_mean,misclassification_disease_score_test_std,misclassification_disease_cost_mean_true_class_0_cv_mean,misclassification_disease_cost_mean_true_class_0_cv_std,misclassification_disease_cost_mean_true_class_0_test_mean,misclassification_disease_cost_mean_true_class_0_test_std,misclassification_disease_cost_mean_true_class_1_cv_mean,misclassification_disease_cost_mean_true_class_1_cv_std,misclassification_disease_cost_mean_true_class_1_test_mean,misclassification_disease_cost_mean_true_class_1_test_std,misclassification_disease_cost_mean_true_class_2_cv_mean,misclassification_disease_cost_mean_true_class_2_cv_std,misclassification_disease_cost_mean_true_class_2_test_mean,misclassification_disease_cost_mean_true_class_2_test_std,auc_ovr_macro_cv_mean,auc_ovr_macro_cv_std,auc_ovr_macro_test_mean,auc_ovr_macro_test_std,auc_ovr_weighted_cv_mean,auc_ovr_weighted_cv_std,auc_ovr_weighted_test_mean,auc_ovr_weighted_test_std,precision_class_0_cv_mean,precision_class_0_cv_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_cv_mean,recall_class_0_cv_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_cv_mean,f1_class_0_cv_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_cv_mean,support_class_0_cv_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_cv_mean,precision_class_1_cv_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_cv_mean,recall_class_1_cv_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_cv_mean,f1_class_1_cv_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_cv_mean,support_class_1_cv_std,support_class_1_test_mean,support_class_1_test_std,precision_class_2_cv_mean,precision_class_2_cv_std,precision_class_2_test_mean,precision_class_2_test_std,recall_class_2_cv_mean,recall_class_2_cv_std,recall_class_2_test_mean,recall_class_2_test_std,f1_class_2_cv_mean,f1_class_2_cv_std,f1_class_2_test_mean,f1_class_2_test_std,support_class_2_cv_mean,support_class_2_cv_std,support_class_2_test_mean,support_class_2_test_std,conf_0_to_1_cv_mean,conf_0_to_1_cv_std,conf_0_to_1_test_mean,conf_0_to_1_test_std,conf_0_to_2_cv_mean,conf_0_to_2_cv_std,conf_0_to_2_test_mean,conf_0_to_2_test_std,conf_0_to_1_given_error_cv_mean,conf_0_to_1_given_error_cv_std,conf_0_to_1_given_error_test_mean,conf_0_to_1_given_error_test_std,conf_0_to_2_given_error_cv_mean,conf_0_to_2_given_error_cv_std,conf_0_to_2_given_error_test_mean,conf_0_to_2_given_error_test_std,conf_1_to_0_cv_mean,conf_1_to_0_cv_std,conf_1_to_0_test_mean,conf_1_to_0_test_std,conf_1_to_2_cv_mean,conf_1_to_2_cv_std,conf_1_to_2_test_mean,conf_1_to_2_test_std,conf_1_to_0_given_error_cv_mean,conf_1_to_0_given_error_cv_std,conf_1_to_0_given_error_test_mean,conf_1_to_0_given_error_test_std,conf_1_to_2_given_error_cv_mean,conf_1_to_2_given_error_cv_std,conf_1_to_2_given_error_test_mean,conf_1_to_2_given_error_test_std,conf_2_to_0_cv_mean,conf_2_to_0_cv_std,conf_2_to_0_test_mean,conf_2_to_0_test_std,conf_2_to_1_cv_mean,conf_2_to_1_cv_std,conf_2_to_1_test_mean,conf_2_to_1_test_std,conf_2_to_0_given_error_cv_mean,conf_2_to_0_given_error_cv_std,conf_2_to_0_given_error_test_mean,conf_2_to_0_given_error_test_std,conf_2_to_1_given_error_cv_mean,conf_2_to_1_given_error_cv_std,conf_2_to_1_given_error_test_mean,conf_2_to_1_given_error_test_std,Subdomain
0,minmax_decision_tree,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.7558115183246074,0.011321497734681035,0.7684981684981684,0.024162253686865046,0.6163720566120455,0.00948419128790276,0.6258352818417041,0.03396316233402254,0.7550084868960232,0.009259953759097639,0.7654259319648993,0.021566529632979288,0.6179595791805095,0.010138517654125219,0.625698866458926,0.032643548522543454,0.7558115183246074,0.011321497734681035,0.7684981684981684,0.024162253686865046,0.6187524875892463,0.009959226390433793,0.6283104527748953,0.03665526843990388,0.75717535868928,0.007898684766826928,0.7637955502961271,0.02168246263667547,0.3136125654450262,0.015954990922358674,0.29633699633699634,0.03022810408172565,0.7455272667661459,0.015579703101379431,0.7619122691324618,0.028538683972146425,0.5831413612565445,0.05402900094274673,0.5560439560439561,0.08868537934623244,111.38000000000002,10.319539180064623,151.8,24.21110856152146,-0.5831413612565445,0.05402900094274673,-0.5560439560439561,0.08868537934623244,0.7143023255813954,0.11788433289691862,0.689344262295082,0.18828487174762995,0.7923809523809524,0.019336434708369595,0.8,0.07200822998230957,0.39654761904761904,0.03456460825927161,0.36115702479338846,0.05960225559270104,0.7455655030033458,0.007532954352396811,0.7522328383772493,0.021650585783520433,0.8097571402392733,0.007911474229419657,0.8181502154433586,0.017030444696670997,0.8374075626056694,0.014202801828728106,0.8405788627306837,0.02097127268366317,0.857093023255814,0.017984245520841546,0.871311475409836,0.03325036705262578,0.8461066683547858,0.01031903278318727,0.8553697528826522,0.021564852437985782,86.0,0.0,122.0,0.0,0.2060309283817293,0.019147107994413857,0.22418778010082355,0.0902852829144189,0.2076190476190476,0.019336434708369606,0.2,0.07200822998230956,0.20335477152070758,0.016325292676049635,0.20958568829674426,0.07724826041085604,21.0,0.0,30.0,0.0,0.8128189717803405,0.01975649618984762,0.8201647154931788,0.026204814838897836,0.7891666666666667,0.01723748500776129,0.8057851239669421,0.021070328568565225,0.799654729960643,0.01650411020635016,0.8125504043457161,0.015319153428087269,84.0,0.0,121.0,0.0,0.0794186046511628,0.01679730663665394,0.06639344262295083,0.027445079789831003,0.06348837209302324,0.01211139530691124,0.0622950819672131,0.018611351219591697,0.5495714806349481,0.09104815174403594,0.5074244434615951,0.11295983248338948,0.4504285193650518,0.09104815174403597,0.4925755565384048,0.11295983248338949,0.3176190476190476,0.05197291773005102,0.33666666666666667,0.05973191135873607,0.4747619047619048,0.047356418630292677,0.4633333333333334,0.08812168915065934,0.39994852704914624,0.06275389545972523,0.42304519152345244,0.0816787070094666,0.6000514729508537,0.06275389545972519,0.5769548084765476,0.0816787070094666,0.09285714285714283,0.010968472191337501,0.0834710743801653,0.02538324958631282,0.11797619047619046,0.014465905041412744,0.11074380165289258,0.028681906523020103,0.44440802565242593,0.04642529017640887,0.43095461784592215,0.12771389104577008,0.5555919743475741,0.04642529017640885,0.5690453821540779,0.12771389104577008,examen_motor
1,minmax_random_forest,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.8524607329842931,0.0070838812068053795,0.8597069597069599,0.010790501145438692,0.6282624073793751,0.015699341342565683,0.6428338689063866,0.023655307821910485,0.8110442563772157,0.009614151031569549,0.8205577374608112,0.011805314694188954,0.6502999261720191,0.01011805082020454,0.6597305393728642,0.014143344748365606,0.8524607329842931,0.0070838812068053795,0.8597069597069599,0.010790501145438692,0.7200922927248826,0.0343554456498084,0.7655524660714299,0.09810004416905073,0.8111600196297065,0.01593000855049944,0.8311379500304283,0.0359997268583619,0.18654450261780103,0.013552132376982011,0.1728937728937729,0.0191350798770791,0.8593471337806957,0.013946841179506515,0.8732131437219681,0.019884597336978827,0.30947643979057593,0.03947198781185171,0.2619047619047619,0.04358991459798252,59.11,7.539149672063672,71.5,11.900046685249228,-0.30947643979057593,0.03947198781185171,-0.2619047619047619,0.04358991459798252,0.2674418604651163,0.0849005328294887,0.18114754098360655,0.09452525292498673,0.9523809523809523,0.022222222222222192,0.9366666666666668,0.03990729999126215,0.19178571428571428,0.038508219486260535,0.17603305785123968,0.06703334716738282,0.8855457098799819,0.004456093914362027,0.8921795510339898,0.009844036469272538,0.9358581164030909,0.00310621097006502,0.9404621058704297,0.006280486345176123,0.8746529913017504,0.017080542546780205,0.8751151743779255,0.027195225776663307,0.9722093023255814,0.008795119405274903,0.9811475409836066,0.010963061556141476,0.920443619409826,0.00937880844985334,0.9248780742109368,0.01596463954271084,86.0,0.0,122.0,0.0,0.4489047619047618,0.0914072947024324,0.57,0.2851034033772378,0.047619047619047616,0.022222222222222227,0.06333333333333332,0.039907299991262156,0.08338985603768212,0.03584693294666459,0.1127616501145913,0.06850866532253293,21.0,0.0,30.0,0.0,0.8367191249681355,0.009025746599705725,0.8515422238363641,0.018057998966790202,0.9310714285714285,0.012120401479455183,0.9347107438016531,0.024778079142445012,0.8809537466906171,0.006502837617436733,0.8908618823936315,0.011007957088193285,84.0,0.0,121.0,0.0,0.0011627906976744186,0.0012256890155691392,0.000819672131147541,0.002592030868990475,0.026627906976744185,0.008464356668647281,0.018032786885245903,0.009305675609795849,0.04083333333333333,0.047701812994507486,0.02,0.06324555320336758,0.8291666666666666,0.14349312798102137,0.9800000000000001,0.06324555320336758,0.33095238095238094,0.043426552445410944,0.35000000000000003,0.08784104611578833,0.6214285714285714,0.03200292881532696,0.5866666666666667,0.09838197164968289,0.34804678362573094,0.040438312181765156,0.37440283216145287,0.09533298717451434,0.651953216374269,0.04043831218176516,0.6255971678385471,0.09533298717451434,0.06142857142857143,0.013318207595811447,0.05537190082644629,0.021356526108335324,0.0075,0.0033224501093546788,0.009917355371900827,0.006519096179724094,0.8735727883227883,0.07157244679138587,0.8481637806637806,0.0951736355296048,0.11642721167721166,0.06835824363800919,0.15183621933621932,0.0951736355296048,examen_motor
2,minmax_extra_trees,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.8506806282722513,0.005839515599413044,0.8597069597069599,0.007536654145060324,0.6304241730236761,0.014252173063641523,0.6496913911009738,0.02338442236707164,0.8109182633748289,0.007992038969183938,0.8217798338046995,0.009852065614763577,0.650327611664821,0.008583507425211955,0.6631001520420299,0.013077125079259252,0.8506806282722513,0.005839515599413044,0.8597069597069599,0.007536654145060324,0.7284396411982339,0.044836086437968485,0.8362998867888747,0.08313840127934602,0.8137813353944885,0.016439211786484605,0.8535638216679173,0.02768628167952947,0.1887958115183246,0.012505188078134537,0.1761904761904762,0.014286236071578758,0.857452663391466,0.013745863835391232,0.8680031545855021,0.015592045188209938,0.33125654450261777,0.0331964973703795,0.30183150183150187,0.06073668041871409,63.269999999999996,6.340530997742487,82.4,16.581113754308948,-0.33125654450261777,0.0331964973703795,-0.30183150183150187,0.06073668041871409,0.33034883720930236,0.060879740208566166,0.28688524590163933,0.15576167009551065,0.9471428571428572,0.02337702420692107,0.9233333333333335,0.041722185234485745,0.17821428571428571,0.0376714607080353,0.1628099173553719,0.058833327383569924,0.8863158857906706,0.004840790588464642,0.8900947254401818,0.011961020857819646,0.9361102349928571,0.0034747413757126996,0.9396824705250987,0.007034582751098476,0.8794727391961981,0.014979353917479047,0.8810644109798644,0.02173724769170281,0.9637209302325582,0.0048658464578217545,0.9713114754098362,0.015576167009551082,0.9193616076218893,0.008858699760352175,0.92370485922877,0.008992961487260882,86.0,0.0,122.0,0.0,0.47450000000000003,0.1328510955176769,0.7849999999999999,0.2507334918805569,0.05285714285714286,0.023377024206921095,0.07666666666666667,0.04172218523448575,0.09238454781933043,0.03763746446298373,0.1364372000021905,0.06969092372830013,21.0,0.0,30.0,0.0,0.8313461843985035,0.005718871419482353,0.8428352493867598,0.026981390805699924,0.9344047619047618,0.01153458873187095,0.9413223140495868,0.02078018971421059,0.8795263636298085,0.0061125523255405306,0.8889321140719615,0.013226749963654874,84.0,0.0,121.0,0.0,0.003604651162790698,0.0018548040486830078,0.0,0.0,0.032674418604651166,0.006236577438238095,0.02868852459016393,0.015576167009551063,0.07995238095238094,0.04326944531605626,0.0,0.0,0.880047619047619,0.08381304105173694,1.0,0.0,0.31999999999999995,0.03652863457433022,0.3266666666666667,0.07825251938515115,0.6271428571428571,0.03382479720592081,0.5966666666666666,0.10237910666479504,0.3381190476190476,0.03606910193707806,0.3558341403168989,0.09389357742341016,0.6618809523809522,0.03606910193707807,0.644165859683101,0.09389357742341019,0.056309523809523795,0.013363651282901134,0.05206611570247934,0.01949899544813927,0.009285714285714284,0.0050756434778792,0.006611570247933884,0.0075945172187824915,0.8569216339216339,0.09065984984735374,0.8930555555555555,0.11786022329836154,0.13307836607836607,0.08471425734968353,0.10694444444444444,0.11786022329836153,examen_motor
3,minmax_xgboost,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.8392670157068064,0.006224277312435271,0.8410256410256409,0.009645136829368245,0.6474392971970199,0.015992936246850074,0.6611759306003752,0.026448999629991695,0.8115242805885442,0.008531242672852466,0.8167242763139946,0.010893266241472943,0.655608157991879,0.011123937289865441,0.6641528549278177,0.01899142039988963,0.8392670157068064,0.006224277312435271,0.8410256410256409,0.009645136829368245,0.6809990451328229,0.022363473768705087,0.6979704839032378,0.0447932948475378,0.800017141649328,0.010206837960442054,0.8077037265745528,0.015938420253139653,0.2001047120418848,0.012253247858975292,0.19743589743589746,0.01375456656081948,0.8496551209599643,0.01324901740896541,0.851638595658472,0.014992032642620572,0.34759162303664926,0.04119224532035062,0.3384615384615385,0.057560851843071394,66.38999999999999,7.867718856186969,92.4,15.714112553158495,-0.34759162303664926,0.04119224532035062,-0.3384615384615385,0.057560851843071394,0.36034883720930233,0.08627745041210018,0.3459016393442623,0.1471255028319861,0.891904761904762,0.03174999975201514,0.8633333333333335,0.05973191135873607,0.19845238095238096,0.034744550643888074,0.20082644628099172,0.05739687767098071,0.872439791739343,0.005970022362137606,0.8878273906550911,0.012132315798642702,0.9267173679473256,0.0037913799623572352,0.9359139660364116,0.006590475566763427,0.8823430051108098,0.012337651945815464,0.8766498797957573,0.023359554384022915,0.948372093023256,0.007619015426546064,0.9491803278688524,0.020373062166455982,0.9138035120782261,0.007497689561953779,0.9111556147098554,0.012814389649177556,86.0,0.0,122.0,0.0,0.32655827505827506,0.06443344736649234,0.3707342657342657,0.13423683756389526,0.10809523809523809,0.031749999752015125,0.13666666666666666,0.05973191135873605,0.15843130675227798,0.04180587657228503,0.19727792295522564,0.07812477441719597,21.0,0.0,30.0,0.0,0.834095855229384,0.012605659649392139,0.8465273061796903,0.019473561981245956,0.9103571428571428,0.012334186197555105,0.9066115702479338,0.02728524631275898,0.8700830727605556,0.008556708670985113,0.8750942541360445,0.010660368047115051,84.0,0.0,121.0,0.0,0.017325581395348837,0.005327166526675558,0.018032786885245903,0.012096144055288882,0.03430232558139536,0.008893638686499047,0.032786885245901634,0.014457657437511422,0.30009920634920634,0.0982381097180428,0.3502777777777778,0.2146888599447166,0.6999007936507937,0.09823810971804281,0.6497222222222222,0.2146888599447166,0.30428571428571427,0.03114106106174609,0.33,0.08527370601933286,0.5876190476190475,0.04596053605296222,0.5333333333333333,0.10772621905369618,0.3417296918767506,0.03821348651679734,0.3844183224183224,0.10316334712917849,0.6582703081232492,0.03821348651679731,0.6155816775816775,0.10316334712917849,0.0544047619047619,0.011945037690272085,0.05371900826446282,0.017531573087269773,0.03523809523809524,0.007256590127404734,0.03966942148760331,0.019788743797320076,0.6140363558010618,0.07934126401388794,0.5825634169751817,0.13493654194631938,0.3859636441989383,0.07934126401388794,0.4174365830248183,0.13493654194631938,examen_motor
4,minmax_adaboost,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.8100523560209425,0.007713708116753237,0.823076923076923,0.016745977217087864,0.6496913168364323,0.011177974215618698,0.6462522211744139,0.021860652418204847,0.7990644231455899,0.008040712326096848,0.8033717055910236,0.01182458883883763,0.6517377260981914,0.009470663000435428,0.6515305062547985,0.015091615309378961,0.8100523560209425,0.007713708116753237,0.823076923076923,0.016745977217087864,0.6569660807053076,0.013541190076167876,0.6621962011043587,0.021573250611797958,0.7923706852810691,0.008994728982711902,0.7924182989211797,0.012223935810049377,0.2304712041884817,0.012579495731593745,0.21904761904761907,0.02334636073790891,0.8277856463671917,0.012761432418381109,0.8345371116010197,0.022737148025850817,0.4054973821989528,0.04434613009435533,0.41245421245421243,0.10547641503642952,77.44999999999999,8.470110848021871,112.6,28.795061304945257,-0.4054973821989528,0.04434613009435533,-0.41245421245421243,0.10547641503642952,0.45802325581395353,0.08645661402696657,0.5008196721311475,0.25453719670874436,0.8195238095238094,0.02062881472544091,0.8600000000000001,0.06813204318558173,0.24821428571428567,0.026686323537452258,0.212396694214876,0.050654258267738776,0.8362998296253951,0.00948246095387839,0.8508107876703159,0.016962249608326273,0.912789264377278,0.004695175449588955,0.9211276005437412,0.00495746714168049,0.8905539931703439,0.010703032249549726,0.8877150063287849,0.017119150509874656,0.9260465116279072,0.007697483154918706,0.9344262295081969,0.03091177185514962,0.9074221205893644,0.005502484181766167,0.9100344165995299,0.012784859382206472,86.0,0.0,122.0,0.0,0.25386919738720626,0.02906447975374868,0.27400813628273585,0.05357050973575859,0.18047619047619046,0.02062881472544093,0.13999999999999999,0.06813204318558173,0.20501192481193625,0.022478331494902005,0.17779247336881712,0.0704232696474444,21.0,0.0,30.0,0.0,0.8264750515583728,0.018474859502893976,0.8248654607015553,0.028166829983237513,0.8486904761904762,0.014444117386843286,0.8801652892561982,0.03533265933438198,0.8366399051079961,0.014830872896502093,0.8509297735548952,0.01851410805095812,84.0,0.0,121.0,0.0,0.03127906976744186,0.008410942020745452,0.01721311475409836,0.014170822382393375,0.04267441860465116,0.009140221946546895,0.04836065573770491,0.02517519016347419,0.39585084360084355,0.11752709864683468,0.2376984126984127,0.18756455175037265,0.6041491563991563,0.11752709864683467,0.7623015873015874,0.18756455175037265,0.27666666666666667,0.04092961099479737,0.2966666666666667,0.0710590086903088,0.5428571428571429,0.0504951546685297,0.5633333333333334,0.12516655570345722,0.34029051843409425,0.052453572240433316,0.3504862349045258,0.10140890200380273,0.6597094815659057,0.05245357224043334,0.6495137650954741,0.10140890200380272,0.048452380952380955,0.007837678311219062,0.046280991735537194,0.015189034437564983,0.10285714285714284,0.01188092852369014,0.07355371900826446,0.03580207514332723,0.3291118972187083,0.04224879675080686,0.4190427438918151,0.18785880604280428,0.6708881027812915,0.042248796750806894,0.5809572561081848,0.18785880604280428,examen_motor
5,minmax_svm,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.8297905759162305,0.008290897314581307,0.8336996336996337,0.014874180544899711,0.680234542941916,0.011805592236184038,0.6924980106145826,0.02218355070514954,0.8200298241738235,0.007448749622900122,0.8274790592243499,0.013338549350346162,0.679389073458841,0.010075359634903545,0.6912169383853437,0.02071657235512386,0.8297905759162305,0.008290897314581307,0.8336996336996337,0.014874180544899711,0.6907125868847767,0.01532075596907534,0.6980542048923631,0.025212382128287907,0.8149264274219744,0.0080874610001672,0.8243293282795081,0.013225971959318978,0.2000523560209424,0.011705731223031424,0.18937728937728937,0.018919609932631327,0.8562243287270721,0.011982537704968276,0.8689307915340712,0.017573802700354683,0.28010471204188486,0.03242224068423997,0.23809523809523808,0.042577767458272756,53.5,6.1926479706898325,65.0,11.623730516108463,-0.28010471204188486,0.03242224068423997,-0.23809523809523808,0.042577767458272756,0.1963953488372093,0.05406511330029103,0.11885245901639344,0.08711092113076427,0.768095238095238,0.02961498126189436,0.7333333333333334,0.0566557723732532,0.24380952380952384,0.02775963126087927,0.23553719008264462,0.05988172209169189,0.8781896393854216,0.007642863242829242,0.8880433752366089,0.0103279316515529,0.9320290568446394,0.004678839040002827,0.9389958345993807,0.0063202051452044385,0.8830188387799256,0.013125695185198289,0.8893428984442519,0.021225763752889083,0.9469767441860466,0.009685270201014172,0.9549180327868851,0.02451415088104693,0.9135265311451816,0.009914953160824318,0.9205788905225954,0.011254249146206558,86.0,0.0,122.0,0.0,0.320232729125817,0.042559698251827816,0.3213309082864436,0.0646222925385673,0.2319047619047619,0.029614981261894345,0.26666666666666666,0.05665577237325316,0.2638168486738558,0.029666320861689573,0.2900612480809729,0.056075163387000644,21.0,0.0,30.0,0.0,0.8688861927485874,0.009304203885447044,0.8834888079463941,0.023814019865618152,0.8592857142857143,0.018131056168431497,0.8520661157024794,0.03806241491567824,0.8633602490067107,0.012365114342563693,0.8668538932401797,0.020254261430867,84.0,0.0,121.0,0.0,0.037093023255813956,0.010635280351253117,0.036885245901639344,0.020537290134389218,0.015930232558139534,0.0057763642744997346,0.00819672131147541,0.007727942963787406,0.68172113997114,0.10965236707820451,0.8368181818181819,0.15960882507918808,0.30827886002886007,0.10569096099536739,0.16318181818181818,0.15960882507918808,0.3119047619047619,0.03472165532417041,0.31,0.08020036636719373,0.45619047619047615,0.030925914610685848,0.42333333333333334,0.093028603061931,0.4068328839633019,0.04034804470699809,0.42390892250388823,0.11107548667591778,0.5931671160366981,0.040348044706998105,0.5760910774961119,0.11107548667591778,0.05154761904761905,0.009688555248161316,0.043801652892561986,0.013523898301524603,0.08916666666666667,0.0197334371358427,0.10413223140495868,0.0304778329166707,0.37717366130601426,0.08593793983720148,0.2975941558441558,0.07027449029123468,0.6228263386939857,0.0859379398372015,0.7024058441558442,0.07027449029123468,examen_motor
6,minmax_logistic_regression,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.7782198952879581,0.00953397247337384,0.7761904761904761,0.021529128963019492,0.6515774693080982,0.008333101579217494,0.6591493302418799,0.021302832952728088,0.7879815920379929,0.006860847889235942,0.7897890299803608,0.015120901452353803,0.655264857881137,0.009292501127554467,0.6656273615439041,0.02328214632297285,0.7782198952879581,0.00953397247337384,0.7761904761904761,0.021529128963019492,0.6559849785121513,0.007147721196898137,0.665496525377298,0.018157874887585607,0.8032424519134335,0.00513621465997401,0.8123086616923499,0.010849994562502237,0.24963350785340316,0.012465180741296938,0.24761904761904763,0.020372799623554788,0.8243955364506335,0.01386282306453444,0.8287652017938374,0.015727801395999746,0.34125654450261783,0.03780992516912939,0.30989010989010984,0.056091685114205043,65.18,7.221695707303713,84.6,15.313030036177977,-0.34125654450261783,0.03780992516912939,-0.30989010989010984,0.056091685114205043,0.2754651162790698,0.07038582537127999,0.19672131147540986,0.1404913675648354,0.7095238095238094,0.033067724850793144,0.6633333333333333,0.06929984946450078,0.316547619047619,0.033655145346054384,0.33636363636363636,0.06354626132894174,0.8461756980123065,0.01016293743020851,0.8550745899946666,0.01396402214944078,0.9130026931161954,0.005496696038981294,0.919849635921341,0.007931063673615507,0.8939701462964764,0.012792950212977262,0.894805337322358,0.017801818796738873,0.9066279069767443,0.012134321254134495,0.9139344262295082,0.033070268953306566,0.8996387327216075,0.00827401177297969,0.9037541342009122,0.013379887330506844,86.0,0.0,122.0,0.0,0.21709280257443342,0.021320401340717256,0.2275799934864832,0.04619499020104829,0.29047619047619044,0.0330677248507931,0.33666666666666667,0.06929984946450078,0.24590977225122698,0.02437267903460575,0.26991819590510746,0.051072448827048006,21.0,0.0,30.0,0.0,0.8568919866655438,0.008859247958102518,0.8741042453230523,0.025679422198623056,0.768690476190476,0.02055884940208758,0.7462809917355371,0.04928743439845262,0.80918390295146,0.013029293595565693,0.8037756606196199,0.023316679627337425,84.0,0.0,121.0,0.0,0.07313953488372094,0.01168525907846229,0.07377049180327869,0.03162796967975471,0.020232558139534885,0.007234680679268277,0.012295081967213115,0.01406506849861612,0.7824998612498613,0.06717499390639378,0.8642463092463093,0.15236635678380708,0.21750013875013874,0.06717499390639378,0.13575369075369076,0.15236635678380706,0.27476190476190465,0.027035432085643546,0.2733333333333333,0.06440611887195305,0.43476190476190474,0.026279310622477188,0.39,0.09302860306193102,0.3877699838431262,0.030058752476165195,0.4150545034600762,0.09939472005477937,0.6122300161568738,0.03005875247616518,0.5849454965399238,0.09939472005477934,0.042619047619047626,0.011470931197363336,0.04132231404958678,0.015583620522017578,0.1886904761904762,0.021503762846964335,0.212396694214876,0.04851145025303115,0.18430172672807615,0.048098712457146336,0.1666052905781259,0.058983632912318805,0.8156982732719238,0.04809871245714631,0.8333947094218741,0.058983632912318805,examen_motor
7,minmax_knn,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.7989005235602094,0.01073674362006812,0.8,0.020372799623554767,0.6073778782062339,0.017727770560425772,0.6125849500048819,0.034265033353325196,0.7702264791216213,0.011331421213491203,0.7732146455433426,0.021816693546267966,0.619045773348099,0.01282412177047634,0.6223002002137621,0.02633590786822243,0.7989005235602094,0.01073674362006812,0.8,0.020372799623554767,0.6369436128946069,0.03575416644567508,0.6388107784725188,0.05330754433572245,0.766568419692684,0.014961191733431007,0.7696133546039634,0.025016905081698407,0.27240837696335074,0.020017459614654603,0.26849816849816854,0.0331271830211899,0.7753033347932863,0.02196050821363293,0.780413409144929,0.0338699432822066,0.34921465968586385,0.03401216621320341,0.3395604395604396,0.050374254746135404,66.70000000000002,6.49632374672185,92.7,13.752171545694964,-0.34921465968586385,0.03401216621320341,-0.3395604395604396,0.050374254746135404,0.020465116279069766,0.017542346200601033,0.00901639344262295,0.025761419817099816,0.9142857142857143,0.03591653491741197,0.9066666666666666,0.06045098003882418,0.5445238095238095,0.06452092966883939,0.5322314049586777,0.10145822626180152,0.8221462364776382,0.009925657373635741,0.8206358683947809,0.01824216365570795,0.8912583406215646,0.00968323289213215,0.8915411063081564,0.013048473082145497,0.7841362335532234,0.018982677492014134,0.7863352415596929,0.030644223887621138,0.9952325581395348,0.003695406646993184,0.9983606557377049,0.0034560411586539706,0.876798668909489,0.012529441316189592,0.8794689259968951,0.019389755578091663,86.0,0.0,122.0,0.0,0.2486269008769008,0.1027332860882974,0.24802419802419803,0.14318661810446778,0.0857142857142857,0.03591653491741194,0.09333333333333334,0.060450980038824195,0.12221531958032164,0.04782485582860271,0.13362865433446705,0.08309981594145252,21.0,0.0,30.0,0.0,0.8780677042536965,0.011321652635241078,0.8820728958336653,0.026065070697122595,0.7761904761904763,0.02282349816594985,0.7752066115702478,0.03892007275470933,0.8231196461288912,0.014728557811413474,0.8246572696832836,0.026283494682384636,84.0,0.0,121.0,0.0,0.0030232558139534882,0.002401850137182894,0.000819672131147541,0.002592030868990475,0.0017441860465116279,0.0015744260474100699,0.000819672131147541,0.002592030868990475,0.20250000000000004,0.13252358280698573,0.1,0.31622776601683794,0.1275,0.10830127730856487,0.1,0.31622776601683794,0.489047619047619,0.04772738997781287,0.48999999999999994,0.09692812661139727,0.42523809523809525,0.042712867087860124,0.4166666666666667,0.1021376461713902,0.5341594918669222,0.046090981614744286,0.5411395309671171,0.10459754504518806,0.46584050813307787,0.0460909816147443,0.4588604690328829,0.10459754504518806,0.16035714285714284,0.023717082451262847,0.15371900826446278,0.03423079794382164,0.06345238095238095,0.019682299665715268,0.07107438016528925,0.025308394661941274,0.7211483684014386,0.08526743490396994,0.6839713115717072,0.09947894217356952,0.27885163159856136,0.08526743490396997,0.3160286884282927,0.0994789421735695,examen_motor
