epoch,train_loss,val_loss,val_acc,val_balanced_acc,val_f1_macro,val_f1_weighted,val_recall_0,val_recall_1,val_recall_2
1,2.6696739494800568,2.2863607717596968,0.34782608695652173,0.3333333333333333,0.17204301075268816,0.17952314165497896,1.0,0.0,0.0
2,2.4453463405370712,1.8463409568952478,0.6086956521739131,0.5833333333333334,0.47719298245614034,0.4979405034324943,1.0,0.75,0.0
3,2.123197317123413,1.5220747356829436,0.6086956521739131,0.5833333333333334,0.48677248677248675,0.5079365079365079,1.0,0.75,0.0
4,1.7369202077388763,1.2519903649454531,0.6086956521739131,0.5833333333333334,0.48677248677248675,0.5079365079365079,1.0,0.75,0.0
5,1.5809768959879875,1.0284780160240505,0.6086956521739131,0.5833333333333334,0.48677248677248675,0.5079365079365079,1.0,0.75,0.0
6,1.334123209118843,0.887497383615245,0.6086956521739131,0.5833333333333334,0.48677248677248675,0.5079365079365079,1.0,0.75,0.0
7,1.008228838443756,0.8088598795559095,0.6086956521739131,0.5833333333333334,0.48677248677248675,0.5079365079365079,1.0,0.75,0.0
8,0.9751020446419716,0.7884136749350507,0.6521739130434783,0.6309523809523809,0.5796296296296296,0.5939613526570049,1.0,0.75,0.14285714285714285
9,1.0270715281367302,0.7743384371633115,0.6521739130434783,0.6309523809523809,0.5796296296296296,0.5939613526570049,1.0,0.75,0.14285714285714285
10,0.994072213768959,0.7876407659572103,0.5217391304347826,0.5119047619047619,0.4877492877492877,0.49557785209959115,1.0,0.25,0.2857142857142857
11,0.8647714182734489,0.7887427651363871,0.5217391304347826,0.5119047619047619,0.4877492877492877,0.49557785209959115,1.0,0.25,0.2857142857142857
12,0.9160105288028717,0.7720358060753864,0.5217391304347826,0.5119047619047619,0.4877492877492877,0.49557785209959115,1.0,0.25,0.2857142857142857
13,0.860398419201374,0.7655911471532739,0.5217391304347826,0.5119047619047619,0.4877492877492877,0.49557785209959115,1.0,0.25,0.2857142857142857
14,0.9096469655632973,0.7749036757842355,0.5217391304347826,0.5119047619047619,0.4877492877492877,0.49557785209959115,1.0,0.25,0.2857142857142857
15,0.8708404824137688,0.7814041479774143,0.5652173913043478,0.5595238095238095,0.5343915343915343,0.5389924085576259,1.0,0.25,0.42857142857142855
16,0.7441306486725807,0.7738129600234653,0.5652173913043478,0.5595238095238095,0.5343915343915343,0.5389924085576259,1.0,0.25,0.42857142857142855
17,0.7311341986060143,0.782982701840608,0.6086956521739131,0.6071428571428571,0.5766381766381766,0.5785209959123002,1.0,0.25,0.5714285714285714
18,0.8366071805357933,0.7911369152691053,0.5652173913043478,0.5714285714285715,0.48148148148148145,0.4782608695652174,1.0,0.0,0.7142857142857143
19,0.751139871776104,0.7943847542223723,0.5652173913043478,0.5714285714285715,0.48148148148148145,0.4782608695652174,1.0,0.0,0.7142857142857143
20,0.7696412950754166,0.8065463304519653,0.6086956521739131,0.6190476190476191,0.50682261208577,0.5013984235952199,1.0,0.0,0.8571428571428571
21,0.7073433771729469,0.770137273746988,0.6956521739130435,0.6964285714285715,0.6723646723646723,0.6726124117428466,1.0,0.375,0.7142857142857143
22,0.7550035864114761,0.785732943078746,0.6086956521739131,0.6130952380952381,0.5529807882749059,0.5514479836730477,1.0,0.125,0.7142857142857143
23,0.7668007984757423,0.7777243671209916,0.6086956521739131,0.6130952380952381,0.5529807882749059,0.5514479836730477,1.0,0.125,0.7142857142857143
