,model,used_sample_weight,accuracy_cv_mean,accuracy_cv_std,accuracy_test_mean,accuracy_test_std,f1_macro_cv_mean,f1_macro_cv_std,f1_macro_test_mean,f1_macro_test_std,f1_weighted_cv_mean,f1_weighted_cv_std,f1_weighted_test_mean,f1_weighted_test_std,recall_macro_cv_mean,recall_macro_cv_std,recall_macro_test_mean,recall_macro_test_std,recall_weighted_cv_mean,recall_weighted_cv_std,recall_weighted_test_mean,recall_weighted_test_std,precision_macro_cv_mean,precision_macro_cv_std,precision_macro_test_mean,precision_macro_test_std,precision_weighted_cv_mean,precision_weighted_cv_std,precision_weighted_test_mean,precision_weighted_test_std,mae_cv_mean,mae_cv_std,mae_test_mean,mae_test_std,qwk_cv_mean,qwk_cv_std,qwk_test_mean,qwk_test_std,auc_ovr_macro_cv_mean,auc_ovr_macro_cv_std,auc_ovr_macro_test_mean,auc_ovr_macro_test_std,auc_ovr_weighted_cv_mean,auc_ovr_weighted_cv_std,auc_ovr_weighted_test_mean,auc_ovr_weighted_test_std,precision_class_0_cv_mean,precision_class_0_cv_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_cv_mean,recall_class_0_cv_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_cv_mean,f1_class_0_cv_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_cv_mean,support_class_0_cv_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_cv_mean,precision_class_1_cv_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_cv_mean,recall_class_1_cv_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_cv_mean,f1_class_1_cv_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_cv_mean,support_class_1_cv_std,support_class_1_test_mean,support_class_1_test_std,precision_class_2_cv_mean,precision_class_2_cv_std,precision_class_2_test_mean,precision_class_2_test_std,recall_class_2_cv_mean,recall_class_2_cv_std,recall_class_2_test_mean,recall_class_2_test_std,f1_class_2_cv_mean,f1_class_2_cv_std,f1_class_2_test_mean,f1_class_2_test_std,support_class_2_cv_mean,support_class_2_cv_std,support_class_2_test_mean,support_class_2_test_std,conf_0_to_1_cv_mean,conf_0_to_1_cv_std,conf_0_to_1_test_mean,conf_0_to_1_test_std,conf_0_to_2_cv_mean,conf_0_to_2_cv_std,conf_0_to_2_test_mean,conf_0_to_2_test_std,conf_0_to_1_given_error_cv_mean,conf_0_to_1_given_error_cv_std,conf_0_to_1_given_error_test_mean,conf_0_to_1_given_error_test_std,conf_0_to_2_given_error_cv_mean,conf_0_to_2_given_error_cv_std,conf_0_to_2_given_error_test_mean,conf_0_to_2_given_error_test_std,conf_1_to_0_cv_mean,conf_1_to_0_cv_std,conf_1_to_0_test_mean,conf_1_to_0_test_std,conf_1_to_2_cv_mean,conf_1_to_2_cv_std,conf_1_to_2_test_mean,conf_1_to_2_test_std,conf_1_to_0_given_error_cv_mean,conf_1_to_0_given_error_cv_std,conf_1_to_0_given_error_test_mean,conf_1_to_0_given_error_test_std,conf_1_to_2_given_error_cv_mean,conf_1_to_2_given_error_cv_std,conf_1_to_2_given_error_test_mean,conf_1_to_2_given_error_test_std,conf_2_to_0_cv_mean,conf_2_to_0_cv_std,conf_2_to_0_test_mean,conf_2_to_0_test_std,conf_2_to_1_cv_mean,conf_2_to_1_cv_std,conf_2_to_1_test_mean,conf_2_to_1_test_std,conf_2_to_0_given_error_cv_mean,conf_2_to_0_given_error_cv_std,conf_2_to_0_given_error_test_mean,conf_2_to_0_given_error_test_std,conf_2_to_1_given_error_cv_mean,conf_2_to_1_given_error_cv_std,conf_2_to_1_given_error_test_mean,conf_2_to_1_given_error_test_std
0,standard_decision_tree,True,0.8072774869109948,0.013321838378948845,0.8179487179487179,0.018114490342518406,0.6317644371485023,0.03156473887030788,0.6530835134316545,0.03857772507809576,0.8057261798466533,0.013777616781412058,0.8165782338123841,0.01689911598884788,0.6309348837209302,0.03245593514955377,0.6504316821389992,0.04523245392933468,0.8072774869109948,0.013321838378948845,0.8179487179487179,0.018114490342518406,0.6475003159564136,0.03537777563172058,0.6678942876171555,0.0514454751868551,0.8075691410031534,0.014409907728558873,0.8174509876979407,0.016766530992403255,0.1975916230366492,0.01351421039046073,0.18608058608058609,0.019520751054174695,0.6468494502114328,0.026834016259076054,0.6691292375347382,0.0374322858445919,0.7547861231791464,0.019513518483410035,0.7679830796788435,0.023308857365446932,0.8179560439560438,0.012741535475142318,0.8283017158280316,0.0166190756007571,0.8206918910263845,0.020408084871510506,0.8220283632129689,0.026130505025919553,0.8236046511627906,0.014851082592438069,0.8439024390243903,0.03466293106844333,0.820862778896626,0.013234942795981268,0.8322627794842512,0.020453940855490838,86.0,0.0,123.0,0.0,0.821654294938094,0.012147780953803089,0.8366400696240675,0.02410070692069972,0.8211999999999999,0.02194842439295665,0.8216783216783217,0.035543008582696746,0.8202878810827,0.013943643616217749,0.8284457472686986,0.017981895794726553,100.0,0.0,143.0,0.0,0.30015476190476187,0.09262243179437775,0.34501443001443,0.15078543616336104,0.248,0.08495750571772796,0.2857142857142857,0.15058465048420852,0.25414265146618087,0.07975827706189118,0.2985420135420135,0.12278925325026861,5.0,0.0,7.0,0.0,0.17348837209302329,0.014552186084040077,0.15284552845528454,0.03487416356020686,0.0029069767441860465,0.001754919600414228,0.0032520325203252037,0.004198355930848149,0.9840694600956243,0.009494281030584287,0.9784083066691762,0.02883463047411886,0.015930539904375547,0.009494281030584297,0.021591693330823763,0.028834630474118866,0.1503,0.020596925336887856,0.15314685314685317,0.025841555341567526,0.028500000000000004,0.005502524673073058,0.025174825174825177,0.013268297874832361,0.8420258050038134,0.02995156100148099,0.8656963917308745,0.0533873656639904,0.15797419499618653,0.02995156100148098,0.1343036082691255,0.05338736566399039,0.13599999999999998,0.07411702458499891,0.1,0.09642122253007898,0.616,0.11067469850371803,0.6142857142857142,0.15133570078162575,0.18233333333333335,0.10184168299405567,0.13999999999999999,0.1340720278133187,0.8176666666666668,0.10184168299405565,0.86,0.13407202781331873
1,standard_random_forest,True,0.891675392670157,0.007373137326231892,0.8948717948717949,0.011063376107520692,0.6025850248158833,0.005030570456499367,0.6045828451375321,0.007519969788419085,0.8798612313771231,0.007297488648908936,0.883231960831678,0.010890129392947461,0.6101178294573643,0.005110090481071995,0.6124452782989369,0.00806428307330392,0.891675392670157,0.007373137326231892,0.8948717948717949,0.011063376107520692,0.5959032797968921,0.004872439288429093,0.5973413548578751,0.007017928533911631,0.8693171184492006,0.007049702106439899,0.8724988761586431,0.01057071087542455,0.10832460732984295,0.00737313732623193,0.1054945054945055,0.010893630292158953,0.8011576064165249,0.013562280899622177,0.80515768643871,0.020333189075406956,0.9506809216498263,0.008183390503015335,0.9367885770822193,0.021961271035898785,0.9584948104870415,0.00561289197670082,0.9556054464140062,0.007545541722433426,0.9093867368050239,0.0104202922520341,0.9033624021359431,0.016938039393884226,0.908953488372093,0.012306430444065547,0.921951219512195,0.028474635309623176,0.9087151608381759,0.00828843167023048,0.9121857628476574,0.01277760128370516,86.0,0.0,123.0,0.0,0.8783231025856525,0.00871163228031857,0.8886616624376822,0.020797885456182035,0.9213999999999999,0.010156552345926996,0.9153846153846154,0.016953936173396918,0.8990399136094739,0.0069030925717844084,0.9015627725649388,0.010043346080422724,100.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.09104651162790697,0.012306430444065531,0.07804878048780488,0.02847463530962319,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0786,0.010156552345927009,0.08461538461538462,0.016953936173396904,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.04517539514526255,1.0,0.0,0.9857142857142858,0.04517539514526258,0.0,0.0,0.014285714285714285,0.04517539514526255,1.0,0.0,0.9857142857142858,0.04517539514526258
2,standard_extra_trees,True,0.8927748691099475,0.006114681181426806,0.8970695970695971,0.012624231526801309,0.6182428319253132,0.013454690048378395,0.6307536639459895,0.039485576630037794,0.8818918777988742,0.006332262803686593,0.8868697984559919,0.01251854777452829,0.6197984496124032,0.009491335606512752,0.6277714155762936,0.0228698594293177,0.8927748691099475,0.006114681181426806,0.8970695970695971,0.012624231526801309,0.6383207503398831,0.0324968913754612,0.698525068965048,0.15972403678726163,0.8738230855241136,0.007322214875342755,0.8823342833167972,0.0162572653351144,0.10738219895287959,0.006182298035973442,0.10366300366300366,0.01184434120906254,0.8031119265618377,0.011869134248826302,0.8083603770453452,0.020540301811768594,0.9595065166932759,0.005548000471213317,0.9525242479885231,0.016632821592991773,0.9609752727146749,0.004805929610927292,0.9595208018637746,0.007429255368925946,0.9086439833470882,0.010586290855945923,0.8994997620259945,0.013354128933429502,0.9113953488372093,0.012400678057957068,0.9292682926829269,0.027914594648928103,0.9095629907421374,0.006825498084763043,0.9138933427171869,0.014704679345082504,86.0,0.0,123.0,0.0,0.881318267672561,0.008811176216836211,0.896075444869149,0.021771844513747543,0.9199999999999999,0.010603982480391268,0.9111888111888111,0.014388157913296956,0.8999274097957068,0.005661157177907051,0.9033676491207817,0.01199822333250012,100.0,0.0,143.0,0.0,0.12500000000000003,0.09204467514322717,0.3,0.48304589153964794,0.028000000000000004,0.0214993539954628,0.04285714285714286,0.06900655593423542,0.04523809523809523,0.03406232338710307,0.075,0.12076147288491199,5.0,0.0,7.0,0.0,0.0886046511627907,0.012400678057957049,0.07073170731707316,0.027914594648928107,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0793,0.010488618169764359,0.08811188811188812,0.014063499420977487,0.0007,0.0010593499054713802,0.0006993006993006993,0.0022113829791387267,0.9922059884559886,0.01265654026225384,0.9928571428571429,0.022587697572631273,0.007794011544011543,0.012656540262253869,0.007142857142857143,0.022587697572631276,0.006,0.00966091783079296,0.02857142857142857,0.06023386019368342,0.966,0.01897366596101028,0.9285714285714286,0.0752923252421043,0.006,0.00966091783079296,0.02857142857142857,0.06023386019368342,0.994,0.009660917830792913,0.9714285714285715,0.06023386019368344
3,standard_xgboost,True,0.8941884816753927,0.007043566020703565,0.8952380952380953,0.01804439873202557,0.7050934685458893,0.04295637612203399,0.7118776920578653,0.07551853845950848,0.8882006255995721,0.008343066200657044,0.8897310495638127,0.020741876955682935,0.68124496124031,0.03327398663030216,0.6855940807160319,0.05989593711600104,0.8941884816753927,0.007043566020703565,0.8952380952380953,0.01804439873202557,0.8011668294929762,0.06825848717765358,0.8228762564731797,0.14360211229810166,0.8889128839703732,0.010297900789382539,0.8916133663302631,0.025933514084939626,0.10591623036649216,0.007119263842263893,0.10476190476190476,0.01804439873202556,0.8107373872837315,0.014411024104217181,0.8131007552827159,0.0349689848500415,0.9500436425498318,0.0077284687186044655,0.9442737173683302,0.010283475275961523,0.9575517543875931,0.004536551849942449,0.9565024084584524,0.008070396850475656,0.8990015244917775,0.00912041174707088,0.890173250941614,0.021095821463943922,0.9195348837209304,0.010498081871150528,0.9317073170731707,0.02688259461818373,0.9086064939655991,0.007932502738595245,0.9101924233399246,0.017161548766576388,86.0,0.0,123.0,0.0,0.8941656306538175,0.009300356523094607,0.9034555184779249,0.026064817130697852,0.9062000000000001,0.007583608053631907,0.8965034965034964,0.017691063833109814,0.8997135942117517,0.006437509653379353,0.8997413521343708,0.01647421750786576,100.0,0.0,143.0,0.0,0.6103333333333334,0.2000922626696168,0.675,0.40909792362111924,0.21800000000000003,0.09727395449051213,0.22857142857142856,0.1535668142533057,0.3069603174603174,0.12432299265693936,0.32569930069930064,0.19769343290269908,5.0,0.0,7.0,0.0,0.08046511627906976,0.010498081871150512,0.06829268292682927,0.026882594618183726,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0896,0.00888444333277743,0.09930069930069929,0.021056577698156113,0.004200000000000001,0.0026161889160464776,0.004195804195804196,0.006755886594960112,0.9551462426462427,0.03028678767391397,0.9536545910230121,0.08512589651678501,0.044853757353757344,0.03028678767391398,0.04634540897698792,0.08512589651678501,0.004,0.008432740427115677,0.0,0.0,0.778,0.09402127418834531,0.7714285714285714,0.1535668142533057,0.005,0.010540925533894598,0.0,0.0,0.9949999999999999,0.010540925533894607,1.0,0.0
4,standard_adaboost,True,0.7152356020942409,0.023678778626823573,0.6879120879120879,0.029647961339733707,0.5895188172512777,0.02551959299515535,0.5542072750351446,0.037374207242702476,0.7066407133553445,0.027259216962090393,0.67852278769114,0.03373755854187202,0.7176472868217054,0.020199458521913814,0.7106709009148033,0.061744262720010136,0.7152356020942409,0.023678778626823573,0.6879120879120879,0.029647961339733707,0.6237568328441295,0.012629852966785801,0.6095103209113352,0.01838831991545609,0.822477195314654,0.010282569603838486,0.8251522313084927,0.014691266260721984,0.288586387434555,0.023683087232560015,0.3168498168498169,0.030316749738547342,0.5998345843660049,0.022993767615951254,0.5854501197378975,0.02874042423818401,0.925195197654725,0.009346422363306019,0.9249517645441555,0.02246950028534163,0.9303525051765215,0.00961243843799711,0.9364165873969229,0.009524242952978566,0.6856676402234482,0.01724280707455616,0.6795520675005295,0.016696949450622785,0.9924418604651162,0.00368726697489159,0.9967479674796748,0.004198355930848171,0.8105210886125812,0.01250911528399351,0.8080544166032819,0.012757640301504001,86.0,0.0,123.0,0.0,0.970502241624607,0.0072278870719172505,0.9826382542501395,0.019309814533029636,0.47850000000000004,0.045726845992747435,0.420979020979021,0.05736349991709847,0.6365619559419216,0.04235364963153095,0.5872357054261946,0.057079280115805264,100.0,0.0,143.0,0.0,0.21510061668433367,0.029614619853711648,0.16634064098333606,0.04888975786296865,0.6819999999999999,0.056134758493389045,0.7142857142857143,0.19047619047619047,0.32147340719933065,0.03649263682312473,0.26733170307595666,0.07178086893603468,5.0,0.0,7.0,0.0,0.006162790697674418,0.0036791092945997785,0.0024390243902439024,0.00392720237024104,0.0013953488372093023,0.0014293867375647887,0.0008130081300813009,0.0025709574472913654,0.38166666666666665,0.18765117362532793,0.3,0.4830458915396479,0.09833333333333333,0.1037714725660117,0.1,0.31622776601683794,0.3882,0.031530584799172014,0.3965034965034965,0.031282363933558585,0.1333,0.02765280777385504,0.18251748251748254,0.051751401655534594,0.7478291023910576,0.03681929189088899,0.6885482630404928,0.06471932410513787,0.25217089760894235,0.03681929189088895,0.31145173695950723,0.06471932410513787,0.122,0.05613475849338902,0.17142857142857143,0.17561037061510262,0.196,0.04299870799092561,0.11428571428571428,0.14754222271266348,0.34666666666666657,0.14525414084320887,0.55,0.43779751788545657,0.5833333333333333,0.11331154474650633,0.35,0.4116363011742823
5,standard_svm,True,0.8473821989528796,0.007008018500963808,0.8611721611721611,0.024810672704268708,0.6274764076162896,0.03685336093424249,0.6491585022839811,0.07856654922951006,0.8392862442885839,0.007102086964871587,0.8542721385171103,0.026705134809192056,0.6148124031007752,0.025947700992078267,0.6342413683877098,0.06483911033227029,0.8473821989528796,0.007008018500963808,0.8611721611721611,0.024810672704268708,0.7005496107671098,0.07679969830418946,0.7543666874404609,0.16522516704136053,0.8377392091725995,0.00964767190139474,0.8552924697345656,0.030793700815943393,0.15277486910994764,0.00726221607723548,0.13956043956043956,0.024810672704268715,0.7225644896431686,0.013544756517576239,0.7458266652494822,0.04822961929277136,0.9345600055691579,0.005627286207084741,0.9313490515444837,0.014197089218636457,0.9319991570946646,0.003929916973487819,0.9357462280666444,0.008853382388523935,0.8615495912976018,0.011377694053748015,0.8684232337210653,0.022404487518252136,0.8538372093023255,0.01184614325041107,0.878048780487805,0.04369787397451788,0.8568454948110485,0.007399548069273664,0.8727260923237484,0.026950217438181982,86.0,0.0,123.0,0.0,0.8390992410037272,0.0071258198016920385,0.8596768286003172,0.036232044281428344,0.8785999999999999,0.012038826077875393,0.8818181818181818,0.019902446812248547,0.8577583312124238,0.00675512321487202,0.8702039599827402,0.021833065660737394,100.0,0.0,143.0,0.0,0.40099999999999997,0.22713486503304647,0.5349999999999999,0.4784523661417787,0.11200000000000002,0.08066391179868894,0.14285714285714285,0.1649572197684645,0.16782539682539682,0.11080404281094705,0.20454545454545453,0.20524571491127375,5.0,0.0,7.0,0.0,0.1458139534883721,0.011797216979687938,0.12032520325203251,0.04298618982958993,0.0003488372093023256,0.0007848239043145963,0.0016260162601626018,0.0034279432630551538,0.9971249999999999,0.007169815199849982,0.9877622377622378,0.026844505375946414,0.002875,0.007169815199849994,0.012237762237762238,0.02684450537594644,0.1193,0.011842015594202424,0.11468531468531469,0.02166703969906247,0.0021000000000000003,0.002282785822435191,0.003496503496503497,0.005942913186005577,0.9847507781755495,0.015484650028339698,0.9685213032581453,0.05377303809538173,0.015249221824450657,0.015484650028339682,0.031478696741854634,0.053773038095381726,0.0,0.0,0.0,0.0,0.8880000000000001,0.08066391179868895,0.8571428571428571,0.1649572197684645,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
6,standard_logistic_regression,True,0.8486387434554974,0.006550666091286794,0.8465201465201465,0.01449344393233106,0.6747111610267646,0.027669116837213424,0.7099085053321448,0.039488620511938036,0.8437213931319762,0.007318430848513983,0.8440742364905777,0.013911636911066715,0.6557596899224806,0.023190301062389198,0.6888133546670131,0.037928692250594746,0.8486387434554974,0.006550666091286794,0.8465201465201465,0.01449344393233106,0.7455891163093437,0.04742816469877473,0.7586641764422833,0.04971866480460172,0.8446257069693818,0.0076268927863549505,0.8459029447335634,0.01423553189387384,0.15219895287958113,0.006636583165818223,0.1556776556776557,0.01487919121728198,0.7290992662274562,0.013716926316692876,0.7230740376276114,0.025680739217435904,0.9108574251163523,0.013972872574676026,0.8986022637448245,0.01751315077764779,0.9216078835312074,0.007311422616104691,0.918925902386284,0.010079228789003884,0.8404089186893696,0.01370748767090015,0.8313428176452662,0.022128421846883916,0.886279069767442,0.008680786157624465,0.8886178861788618,0.031847142645902625,0.8620651018693678,0.00649072901329532,0.8584986478526571,0.015331147995559045,86.0,0.0,123.0,0.0,0.8638584302386615,0.0056499387828143535,0.8717925688244412,0.023905067570005722,0.8470000000000001,0.01406334873981933,0.834965034965035,0.027422734116275486,0.8547667939093391,0.007341633718699421,0.8524878294047384,0.014396258566321018,100.0,0.0,143.0,0.0,0.5325,0.1426041962570648,0.5728571428571428,0.14156025081474383,0.23399999999999999,0.06603029607687673,0.3428571428571428,0.12046772038736682,0.3073015873015873,0.07912236254389872,0.4187390387390387,0.11917565660412385,5.0,0.0,7.0,0.0,0.11220930232558142,0.009011106928343162,0.10731707317073172,0.03178943804577817,0.0015116279069767441,0.00205462919080598,0.0040650406504065045,0.0042849290788189425,0.98578885003885,0.02103379231562698,0.9637662337662338,0.0388315146995396,0.014211149961149961,0.02103379231562693,0.03623376623376623,0.0388315146995396,0.14569999999999997,0.015684741346643584,0.15524475524475528,0.027541362214903362,0.007299999999999999,0.002406010991015812,0.009790209790209791,0.0058970212777032715,0.9519333839655854,0.0191459038073486,0.9391116138003271,0.03582889943968988,0.04806661603441452,0.019145903807348607,0.06088838619967283,0.035828899439689886,0.006,0.00966091783079296,0.014285714285714285,0.04517539514526255,0.76,0.061101009266077894,0.6428571428571428,0.1010152544552211,0.006500000000000001,0.01055409346599171,0.016666666666666666,0.05270462766947298,0.9935,0.010554093465991687,0.9833333333333334,0.05270462766947298
7,standard_knn,False,0.47748691099476437,0.006804044917842216,0.4776556776556776,0.009330878229324935,0.2455315800095969,0.00941961143116848,0.24547936676118023,0.012159836293629678,0.33893248236206064,0.014543529723424337,0.33911567660673364,0.018821385392102197,0.3505418604651163,0.004249583917327814,0.35046904315197003,0.00594395758189363,0.47748691099476437,0.006804044917842216,0.4776556776556776,0.009330878229324935,0.37948661814679097,0.025276906289874595,0.3992814450900247,0.05557456478430121,0.5617188571785178,0.03968849168243598,0.5931947551118462,0.0872301038506458,0.5373298429319371,0.008802630393789623,0.5388278388278389,0.009836451311903707,0.0886943663639935,0.020043232326982536,0.0786951611834145,0.024650863261691126,0.5908615319122821,0.01810566214328514,0.5896034783600698,0.020709117305305547,0.6210269980259003,0.022153918090040546,0.6237406830686182,0.03211432973890916,0.468405980210028,0.004298054377530541,0.46747858990432867,0.004696738484885236,0.9973255813953488,0.002797687198855595,0.997560975609756,0.003927202370241061,0.6373835622661063,0.0035976451716704144,0.636603431345402,0.004081350552142677,86.0,0.0,123.0,0.0,0.6700538742303449,0.07575189246986225,0.7303657453657454,0.16539258933111878,0.0543,0.014651886492113493,0.05384615384615384,0.01807090670705297,0.09921117776268437,0.02484529679049185,0.0998346689381387,0.03258033150467311,100.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.002674418604651163,0.0027976871988555953,0.0024390243902439024,0.00392720237024104,0.0,0.0,0.0,0.0,0.22000000000000003,0.23944379994757295,0.3,0.4830458915396479,0.0,0.0,0.0,0.0,0.9456999999999999,0.014651886492113481,0.946153846153846,0.018070906707052952,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5660000000000001,0.11236844159579086,0.6428571428571428,0.20481726826291968,0.434,0.11236844159579086,0.3571428571428571,0.20481726826291968,0.5660000000000001,0.11236844159579086,0.6428571428571428,0.20481726826291968,0.434,0.11236844159579086,0.3571428571428571,0.20481726826291968
8,standard_gaussian_nb,True,0.7013089005235603,0.031034408949285264,0.6065934065934067,0.05471938461659735,0.5232691046523203,0.014227797698682095,0.4733995687621146,0.032415866067439764,0.7396910550578144,0.028512929640897328,0.6528977041038868,0.05911234369225392,0.5385116279069767,0.019157384693584318,0.5377246060172889,0.05331674601063538,0.7013089005235603,0.031034408949285264,0.6065934065934067,0.05471938461659735,0.566090075397068,0.007129759738042556,0.5649367046293401,0.016611615495808606,0.8164654010529757,0.011679598279276083,0.811015064228128,0.027187383897028055,0.3059685863874345,0.0322491178814999,0.4043956043956044,0.05884161846064964,0.6320703415198985,0.015352139199840003,0.6095960614682755,0.028490242241111043,0.6532780230771978,0.014043934941495754,0.6219734277247291,0.0358072263471897,0.746482845561802,0.021124240603854046,0.6907249046821053,0.03837467658110159,0.8494351536192349,0.02009694748756004,0.8548273609903887,0.018680247182986134,0.8995348837209303,0.014020082259677236,0.9227642276422763,0.027436933240266387,0.8731573910189148,0.010085004492807699,0.8873337919253744,0.019192776259879966,86.0,0.0,123.0,0.0,0.827887295021098,0.012694434690470713,0.8116431460454244,0.042509951712104664,0.558,0.06828860324632022,0.3475524475524475,0.10267264864332185,0.6600653291971119,0.05223935060690937,0.48065413538980356,0.10399989002202224,100.0,0.0,143.0,0.0,0.02094777755087133,0.011201279298962096,0.02833960685220744,0.015554102135682181,0.158,0.09772978620211503,0.34285714285714286,0.2352207435281613,0.036584593740934535,0.01986907574349741,0.05221077897116603,0.029210378853985072,5.0,0.0,7.0,0.0,0.08534883720930234,0.014148083231273532,0.05284552845528455,0.01681527594307704,0.015116279069767442,0.004778615506177501,0.024390243902439025,0.01670572900533598,0.8461379176379176,0.044886845273235304,0.7019841269841269,0.11380735917496528,0.15386208236208238,0.04488684527323529,0.298015873015873,0.11380735917496528,0.1375,0.023481671339342272,0.13496503496503498,0.018951493355876776,0.30450000000000005,0.058763650896337845,0.5174825174825176,0.09616620673536722,0.3263626407185691,0.04091705950107883,0.21038539069479492,0.03719229769129413,0.6736373592814309,0.04091705950107883,0.7896146093052051,0.037192297691294146,0.018,0.025733678754158374,0.0,0.0,0.8240000000000001,0.10823841996054619,0.6571428571428571,0.2352207435281613,0.020499999999999997,0.03166228039797513,0.0,0.0,0.9795,0.03166228039797512,1.0,0.0
