epoch,train_loss,val_loss,val_acc,val_balanced_acc,val_f1_macro,val_f1_weighted,val_recall_0,val_recall_1,val_recall_2
1,0.6073198318481445,0.7753760374110678,0.6521739130434783,0.6666666666666666,0.5296296296296296,0.5222222222222221,1.0,0.0,1.0
2,0.5640181079506874,0.7541405506755995,0.6521739130434783,0.6666666666666666,0.5296296296296296,0.5222222222222221,1.0,0.0,1.0
3,0.47150733321905136,0.7158182030138762,0.6521739130434783,0.6666666666666666,0.5296296296296296,0.5222222222222221,1.0,0.0,1.0
4,0.5003594867885113,0.6698883745981299,0.6521739130434783,0.6666666666666666,0.5296296296296296,0.5222222222222221,1.0,0.0,1.0
5,0.4907018356025219,0.667646700921266,0.6956521739130435,0.7083333333333334,0.6211328976034858,0.6177038931514633,1.0,0.125,1.0
6,0.4043533727526665,0.6612136208492777,0.7391304347826086,0.75,0.6926728586171311,0.690752456589043,1.0,0.25,1.0
7,0.42747295647859573,0.6434587603029998,0.7391304347826086,0.75,0.6926728586171311,0.690752456589043,1.0,0.25,1.0
8,0.41631923615932465,0.6585072564042133,0.7391304347826086,0.75,0.6926728586171311,0.690752456589043,1.0,0.25,1.0
