exp_id,seed,reserved_per_class,hidden_dims,dropout,bin_lr,head_lr,ft_lr,weight_decay,scaler_strategy,use_transfer,transfer_mode,phase1_freeze,phase2_finetune,use_class_weights,multiclass_weights,test_loss,test_acc,test_balanced_acc,test_f1_macro,test_f1_weighted,test_precision_macro,test_recall_0,test_recall_1,test_recall_2,test_precision_0,test_precision_1,test_precision_2,bin_val_loss,bin_val_acc,bin_val_f1,bin_val_balanced_acc
E8_arch_32_16,42,72,"(32, 16)",0.1,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.0, 1.0)",0.6090403740222637,0.7230769230769231,0.7272727272727272,0.7186415651531931,0.7153386148734987,0.7138888888888889,1.0,0.5454545454545454,0.6363636363636364,0.875,0.6,0.6666666666666666,0.2123478413433642,0.9054054054054054,0.9113924050632911,0.9071310116086235
E8_arch_64_32,42,72,"(64, 32)",0.1,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.0, 1.0)",0.6008642746851994,0.7846153846153846,0.7878787878787877,0.7796296296296297,0.7772649572649574,0.7787842190016102,1.0,0.5909090909090909,0.7727272727272727,0.875,0.7222222222222222,0.7391304347826086,0.21394666264186035,0.9121621621621622,0.9202453987730062,0.9107241569928137
E8_arch_128_64,42,72,"(128, 64)",0.1,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.0, 1.0)",0.5179796195947207,0.8,0.8030303030303031,0.7942028985507247,0.7920624303232999,0.7965686274509803,1.0,0.5909090909090909,0.8181818181818182,0.875,0.7647058823529411,0.75,0.23484607765803467,0.9054054054054054,0.9125,0.9058411645476322
