exp_id,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,test_balanced_acc_mean,test_balanced_acc_std,test_balanced_acc_min,test_balanced_acc_max,test_f1_macro_mean,test_f1_macro_std,test_f1_macro_min,test_f1_macro_max,test_f1_weighted_mean,test_f1_weighted_std,test_f1_weighted_min,test_f1_weighted_max,test_recall_0_mean,test_recall_0_std,test_recall_0_min,test_recall_0_max,test_recall_1_mean,test_recall_1_std,test_recall_1_min,test_recall_1_max,test_recall_2_mean,test_recall_2_std,test_recall_2_min,test_recall_2_max
E6_reserved_20,0.7777777777777778,,0.7777777777777778,0.7777777777777778,0.7777777777777778,,0.7777777777777778,0.7777777777777778,0.764102564102564,,0.764102564102564,0.764102564102564,0.7641025641025642,,0.7641025641025642,0.7641025641025642,1.0,,1.0,1.0,0.5,,0.5,0.5,0.8333333333333334,,0.8333333333333334,0.8333333333333334
E6_reserved_35,0.6875,,0.6875,0.6875,0.6939393939393939,,0.6939393939393939,0.6939393939393939,0.70050620622703,,0.70050620622703,0.70050620622703,0.6927917620137299,,0.6927917620137299,0.6927917620137299,0.9,,0.9,0.9,0.5454545454545454,,0.5454545454545454,0.5454545454545454,0.6363636363636364,,0.6363636363636364,0.6363636363636364
E6_reserved_51,0.7391304347826086,,0.7391304347826086,0.7391304347826086,0.7388888888888889,,0.7388888888888889,0.7388888888888889,0.7368814192343605,,0.7368814192343605,0.7368814192343605,0.7362075264888565,,0.7362075264888565,0.7362075264888565,0.9333333333333333,,0.9333333333333333,0.9333333333333333,0.5333333333333333,,0.5333333333333333,0.5333333333333333,0.75,,0.75,0.75
E6_reserved_60,0.7962962962962963,,0.7962962962962963,0.7962962962962963,0.7962962962962963,,0.7962962962962963,0.7962962962962963,0.7956384956384955,,0.7956384956384955,0.7956384956384955,0.7956384956384956,,0.7956384956384956,0.7956384956384956,0.9444444444444444,,0.9444444444444444,0.9444444444444444,0.6666666666666666,,0.6666666666666666,0.6666666666666666,0.7777777777777778,,0.7777777777777778,0.7777777777777778
E6_reserved_72,0.7846153846153846,,0.7846153846153846,0.7846153846153846,0.7878787878787877,,0.7878787878787877,0.7878787878787877,0.7796296296296297,,0.7796296296296297,0.7796296296296297,0.7772649572649574,,0.7772649572649574,0.7772649572649574,1.0,,1.0,1.0,0.5909090909090909,,0.5909090909090909,0.5909090909090909,0.7727272727272727,,0.7727272727272727,0.7727272727272727
