exp_id,seed,reserved_per_class,hidden_dims,dropout,bin_lr,head_lr,ft_lr,weight_decay,scaler_strategy,use_transfer,transfer_mode,phase1_freeze,phase2_finetune,use_class_weights,multiclass_weights,test_loss,test_acc,test_balanced_acc,test_f1_macro,test_f1_weighted,test_precision_macro,test_recall_0,test_recall_1,test_recall_2,test_precision_0,test_precision_1,test_precision_2,bin_val_loss,bin_val_acc,bin_val_f1,bin_val_balanced_acc
E7_baseline_many_seeds,7,72,"(64, 32)",0.1,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.0, 1.0)",0.5835527089925913,0.8,0.8008658008658008,0.7929586563307494,0.7922778771615981,0.7968600027423557,0.9545454545454546,0.5909090909090909,0.8571428571428571,0.8076923076923077,0.7647058823529411,0.8181818181818182,0.313367546410174,0.8918918918918919,0.8961038961038961,0.8960751796572692
E7_baseline_many_seeds,21,72,"(64, 32)",0.1,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.0, 1.0)",0.4257160323743637,0.8615384615384616,0.862914862914863,0.8631967515688447,0.861824686940966,0.8640441683919945,0.9523809523809523,0.8181818181818182,0.8181818181818182,0.9523809523809523,0.782608695652174,0.8571428571428571,0.28286807923703583,0.8986486486486487,0.9019607843137255,0.9035378662244333
E7_baseline_many_seeds,42,72,"(64, 32)",0.1,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.0, 1.0)",0.6008642746851994,0.7846153846153846,0.7878787878787877,0.7796296296296297,0.7772649572649574,0.7787842190016102,1.0,0.5909090909090909,0.7727272727272727,0.875,0.7222222222222222,0.7391304347826086,0.21394666264186035,0.9121621621621622,0.9202453987730062,0.9107241569928137
E7_baseline_many_seeds,84,72,"(64, 32)",0.1,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.0, 1.0)",0.4712005644463576,0.8307692307692308,0.831890331890332,0.8335222140100189,0.8320867208672087,0.8357707509881424,0.9047619047619048,0.7727272727272727,0.8181818181818182,0.95,0.7391304347826086,0.8181818181818182,0.2167788243575676,0.918918918918919,0.9259259259259259,0.9181868435599778
E7_baseline_many_seeds,128,72,"(64, 32)",0.1,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.0, 1.0)",0.5641689396821535,0.6923076923076923,0.6948051948051948,0.6978111319574735,0.6950382450570067,0.7138655462184874,0.8571428571428571,0.6818181818181818,0.5454545454545454,0.9,0.5357142857142857,0.7058823529411765,0.27968339259560043,0.8986486486486487,0.906832298136646,0.898378477980468
E7_baseline_many_seeds,256,72,"(64, 32)",0.1,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.0, 1.0)",0.5302467625874739,0.7692307692307693,0.7662337662337663,0.7635566188197767,0.765587044534413,0.7690936514465926,0.9090909090909091,0.5714285714285714,0.8181818181818182,0.9090909090909091,0.7058823529411765,0.6923076923076923,0.21244225570478956,0.9324324324324325,0.9367088607594937,0.9344020637552976
E7_baseline_many_seeds,512,72,"(64, 32)",0.1,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.0, 1.0)",0.6763019534257743,0.6307692307692307,0.621933621933622,0.5330125887026613,0.5398141809764085,0.7671004337671005,1.0,0.8181818181818182,0.047619047619047616,0.8148148148148148,0.4864864864864865,1.0,0.08882280079194822,0.9527027027027027,0.9565217391304348,0.952920582273816
E7_baseline_many_seeds,777,72,"(64, 32)",0.1,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.0, 1.0)",0.5948997450025323,0.8,0.8001443001443002,0.8029976464759074,0.8019392276248464,0.8105877616747182,0.8095238095238095,0.7272727272727273,0.8636363636363636,0.9444444444444444,0.6956521739130435,0.7916666666666666,0.27974923284774694,0.8918918918918919,0.9,0.8922056384742951
E7_baseline_many_seeds,1024,72,"(64, 32)",0.1,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.0, 1.0)",0.5607852229705224,0.8153846153846154,0.8181818181818182,0.8145586297760211,0.8124049863180298,0.8182367149758454,1.0,0.7727272727272727,0.6818181818181818,0.9130434782608695,0.7083333333333334,0.8333333333333334,0.2863886275806943,0.9054054054054054,0.9066666666666666,0.9122903998525889
E7_baseline_many_seeds,2026,72,"(64, 32)",0.1,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.0, 1.0)",0.4381403764279989,0.8,0.7987012987012987,0.8003567699984382,0.8014129154280576,0.8035714285714285,0.9090909090909091,0.7727272727272727,0.7142857142857143,0.9523809523809523,0.7083333333333334,0.75,0.28513640507652954,0.9054054054054054,0.9125,0.9058411645476322
