epoch,train_loss,val_loss,val_acc,val_f1,val_balanced_acc
1,0.3349385632266048,0.23146696174456402,0.9084967320261438,0.9125,0.9111876075731498
2,0.160041587212716,0.23725215589104134,0.9150326797385621,0.9202453987730062,0.9160929432013769
3,0.1309927042982192,0.25959458226471943,0.9150326797385621,0.9202453987730062,0.9160929432013769
4,0.11367216203270294,0.2818170294068218,0.9150326797385621,0.9202453987730062,0.9160929432013769
5,0.08897748167600647,0.30900196633697335,0.9019607843137255,0.9090909090909091,0.9018072289156627
6,0.070081592545084,0.34788014296612707,0.9019607843137255,0.9101796407185628,0.9006884681583476
7,0.06401047584602271,0.3695912394380453,0.9019607843137255,0.9090909090909091,0.9018072289156627
8,0.04485223440105879,0.39713613395548725,0.9084967320261438,0.9166666666666666,0.9067125645438898
9,0.037113555489068334,0.4181559166682312,0.9019607843137255,0.9090909090909091,0.9018072289156627
10,0.025463812470850694,0.48240541385523245,0.8888888888888888,0.8982035928143712,0.8875215146299484
11,0.021985452626515783,0.4956279382006162,0.8888888888888888,0.8982035928143712,0.8875215146299484
