epoch,train_loss,val_loss,val_acc,val_f1_macro,val_f1_weighted,val_balanced_acc,val_recall_0,val_recall_1,val_recall_2
1,0.5805857479572296,0.7680326518805131,0.6086956521739131,0.49673202614379086,0.4893435635123614,0.625,0.875,0.0,1.0
2,0.5706333965063095,0.7630658927171127,0.6086956521739131,0.49673202614379086,0.4893435635123614,0.625,0.875,0.0,1.0
3,0.566217701882124,0.7608614589857019,0.6086956521739131,0.49673202614379086,0.4893435635123614,0.625,0.875,0.0,1.0
4,0.529851283878088,0.7550270764724069,0.6086956521739131,0.49673202614379086,0.4893435635123614,0.625,0.875,0.0,1.0
5,0.5057120285928249,0.7489766776561737,0.6086956521739131,0.49673202614379086,0.4893435635123614,0.625,0.875,0.0,1.0
6,0.484304279088974,0.7480740521265112,0.6086956521739131,0.49673202614379086,0.4893435635123614,0.625,0.875,0.0,1.0
7,0.445987943559885,0.7444941038670747,0.6086956521739131,0.49673202614379086,0.4893435635123614,0.625,0.875,0.0,1.0
8,0.4382188320159912,0.744157726350038,0.6086956521739131,0.49673202614379086,0.4893435635123614,0.625,0.875,0.0,1.0
9,0.4018528200685978,0.7519481674484585,0.6086956521739131,0.5078431372549019,0.49948849104859333,0.625,0.875,0.0,1.0
10,0.41174567490816116,0.7557493383469789,0.6086956521739131,0.5078431372549019,0.49948849104859333,0.625,0.875,0.0,1.0
11,0.39395520463585854,0.7506486229274584,0.6086956521739131,0.5078431372549019,0.49948849104859333,0.625,0.875,0.0,1.0
12,0.3659178093075752,0.7464394815590071,0.6086956521739131,0.5078431372549019,0.49948849104859333,0.625,0.875,0.0,1.0
13,0.33126571774482727,0.7526321631410847,0.6086956521739131,0.5078431372549019,0.49948849104859333,0.625,0.875,0.0,1.0
14,0.3226044736802578,0.7457659348197605,0.6086956521739131,0.5078431372549019,0.49948849104859333,0.625,0.875,0.0,1.0
15,0.3055214695632458,0.7505777206109918,0.6086956521739131,0.5078431372549019,0.49948849104859333,0.625,0.875,0.0,1.0
16,0.2881514560431242,0.7591418986735137,0.6086956521739131,0.5078431372549019,0.49948849104859333,0.625,0.875,0.0,1.0
17,0.26118576154112816,0.7603544683560081,0.6086956521739131,0.5078431372549019,0.49948849104859333,0.625,0.875,0.0,1.0
18,0.259437857195735,0.7566089409848918,0.6086956521739131,0.5573380867498514,0.5525846702317291,0.6190476190476191,0.875,0.125,0.8571428571428571
19,0.22602225095033646,0.7554960250854492,0.6086956521739131,0.5573380867498514,0.5525846702317291,0.6190476190476191,0.875,0.125,0.8571428571428571
20,0.21722727827727795,0.7558792777683424,0.6086956521739131,0.5573380867498514,0.5525846702317291,0.6190476190476191,0.875,0.125,0.8571428571428571
21,0.18753950484097004,0.7664323578710142,0.6086956521739131,0.5573380867498514,0.5525846702317291,0.6190476190476191,0.875,0.125,0.8571428571428571
22,0.16256818547844887,0.7782899504122527,0.6086956521739131,0.5573380867498514,0.5525846702317291,0.6190476190476191,0.875,0.125,0.8571428571428571
23,0.16328277718275785,0.7849771276764248,0.6521739130434783,0.6209150326797386,0.6172208013640238,0.6607142857142857,0.875,0.25,0.8571428571428571
