,model,target_type,classes,n_classes,accuracy_cv_mean,accuracy_cv_std,accuracy_test_mean,accuracy_test_std,f1_macro_cv_mean,f1_macro_cv_std,f1_macro_test_mean,f1_macro_test_std,f1_weighted_cv_mean,f1_weighted_cv_std,f1_weighted_test_mean,f1_weighted_test_std,recall_macro_cv_mean,recall_macro_cv_std,recall_macro_test_mean,recall_macro_test_std,recall_weighted_cv_mean,recall_weighted_cv_std,recall_weighted_test_mean,recall_weighted_test_std,precision_macro_cv_mean,precision_macro_cv_std,precision_macro_test_mean,precision_macro_test_std,precision_weighted_cv_mean,precision_weighted_cv_std,precision_weighted_test_mean,precision_weighted_test_std,mae_cv_mean,mae_cv_std,mae_test_mean,mae_test_std,qwk_cv_mean,qwk_cv_std,qwk_test_mean,qwk_test_std,misclassification_disease_cost_mean_cv_mean,misclassification_disease_cost_mean_cv_std,misclassification_disease_cost_mean_test_mean,misclassification_disease_cost_mean_test_std,misclassification_disease_cost_total_cv_mean,misclassification_disease_cost_total_cv_std,misclassification_disease_cost_total_test_mean,misclassification_disease_cost_total_test_std,misclassification_disease_score_cv_mean,misclassification_disease_score_cv_std,misclassification_disease_score_test_mean,misclassification_disease_score_test_std,misclassification_disease_cost_mean_true_class_0_cv_mean,misclassification_disease_cost_mean_true_class_0_cv_std,misclassification_disease_cost_mean_true_class_0_test_mean,misclassification_disease_cost_mean_true_class_0_test_std,misclassification_disease_cost_mean_true_class_1_cv_mean,misclassification_disease_cost_mean_true_class_1_cv_std,misclassification_disease_cost_mean_true_class_1_test_mean,misclassification_disease_cost_mean_true_class_1_test_std,misclassification_disease_cost_mean_true_class_2_cv_mean,misclassification_disease_cost_mean_true_class_2_cv_std,misclassification_disease_cost_mean_true_class_2_test_mean,misclassification_disease_cost_mean_true_class_2_test_std,auc_ovr_macro_cv_mean,auc_ovr_macro_cv_std,auc_ovr_macro_test_mean,auc_ovr_macro_test_std,auc_ovr_weighted_cv_mean,auc_ovr_weighted_cv_std,auc_ovr_weighted_test_mean,auc_ovr_weighted_test_std,precision_class_0_cv_mean,precision_class_0_cv_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_cv_mean,recall_class_0_cv_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_cv_mean,f1_class_0_cv_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_cv_mean,support_class_0_cv_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_cv_mean,precision_class_1_cv_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_cv_mean,recall_class_1_cv_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_cv_mean,f1_class_1_cv_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_cv_mean,support_class_1_cv_std,support_class_1_test_mean,support_class_1_test_std,precision_class_2_cv_mean,precision_class_2_cv_std,precision_class_2_test_mean,precision_class_2_test_std,recall_class_2_cv_mean,recall_class_2_cv_std,recall_class_2_test_mean,recall_class_2_test_std,f1_class_2_cv_mean,f1_class_2_cv_std,f1_class_2_test_mean,f1_class_2_test_std,support_class_2_cv_mean,support_class_2_cv_std,support_class_2_test_mean,support_class_2_test_std,conf_0_to_1_cv_mean,conf_0_to_1_cv_std,conf_0_to_1_test_mean,conf_0_to_1_test_std,conf_0_to_2_cv_mean,conf_0_to_2_cv_std,conf_0_to_2_test_mean,conf_0_to_2_test_std,conf_0_to_1_given_error_cv_mean,conf_0_to_1_given_error_cv_std,conf_0_to_1_given_error_test_mean,conf_0_to_1_given_error_test_std,conf_0_to_2_given_error_cv_mean,conf_0_to_2_given_error_cv_std,conf_0_to_2_given_error_test_mean,conf_0_to_2_given_error_test_std,conf_1_to_0_cv_mean,conf_1_to_0_cv_std,conf_1_to_0_test_mean,conf_1_to_0_test_std,conf_1_to_2_cv_mean,conf_1_to_2_cv_std,conf_1_to_2_test_mean,conf_1_to_2_test_std,conf_1_to_0_given_error_cv_mean,conf_1_to_0_given_error_cv_std,conf_1_to_0_given_error_test_mean,conf_1_to_0_given_error_test_std,conf_1_to_2_given_error_cv_mean,conf_1_to_2_given_error_cv_std,conf_1_to_2_given_error_test_mean,conf_1_to_2_given_error_test_std,conf_2_to_0_cv_mean,conf_2_to_0_cv_std,conf_2_to_0_test_mean,conf_2_to_0_test_std,conf_2_to_1_cv_mean,conf_2_to_1_cv_std,conf_2_to_1_test_mean,conf_2_to_1_test_std,conf_2_to_0_given_error_cv_mean,conf_2_to_0_given_error_cv_std,conf_2_to_0_given_error_test_mean,conf_2_to_0_given_error_test_std,conf_2_to_1_given_error_cv_mean,conf_2_to_1_given_error_cv_std,conf_2_to_1_given_error_test_mean,conf_2_to_1_given_error_test_std
0,decision_tree,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.7331413612565444,0.010795022114818684,0.7556776556776557,0.021362287864230008,0.593030105105352,0.010070996611322826,0.612068523388037,0.02336345574103967,0.734147734945929,0.009929352133858576,0.7547650134779016,0.019152030967889772,0.5932059800664453,0.01025486277700788,0.6135952671273089,0.022130634245723115,0.7331413612565444,0.010795022114818684,0.7556776556776557,0.021362287864230008,0.5954081496591603,0.010021446517691834,0.6120780440717837,0.025021278696884454,0.7372599877820935,0.009204418142153642,0.7555200351183037,0.0187808770934151,0.34780104712041887,0.018689217302489132,0.31062271062271063,0.03742722278225582,0.7125679782057317,0.02006973384300217,0.7508658567424886,0.041157382310800905,0.6874869109947644,0.0545762236151956,0.5769230769230769,0.14152294327057685,131.31,10.424058710502353,157.5,38.635763512867484,-0.6874869109947644,0.0545762236151956,-0.5769230769230769,0.14152294327057685,0.9027906976744186,0.10846509855022216,0.7204918032786886,0.32462994917257404,0.8233333333333333,0.024636434252305613,0.8099999999999999,0.07036062310661141,0.43309523809523814,0.046527841235953604,0.37438016528925616,0.10691047995222365,0.7272863063504036,0.007724987701053819,0.7434930558943156,0.015468064895174499,0.7920499489515432,0.008753832759119881,0.8100862669919833,0.01702084111606988,0.8295255897836367,0.017211059478495883,0.8383027889919548,0.022025154765030537,0.836046511627907,0.013437934746790454,0.8549180327868854,0.042862225959063825,0.8320112186115735,0.012115205893578469,0.8459108563341466,0.024063952823158402,86.0,0.0,122.0,0.0,0.17278170202056858,0.019925822176144872,0.1842380571401379,0.061618277440165875,0.17666666666666667,0.02463643425230564,0.19,0.0703606231066114,0.1727839928428483,0.021853109697459197,0.18654874908488442,0.06642287826970605,21.0,0.0,30.0,0.0,0.7839171571732757,0.016099360006513918,0.8136932860832584,0.028850797046951072,0.7669047619047619,0.019855550416397902,0.7958677685950413,0.046920997834587995,0.7742951038616346,0.01632668769568077,0.8037459647450799,0.027489982907547332,84.0,0.0,121.0,0.0,0.08186046511627906,0.012369139551496556,0.08114754098360655,0.024574980133080713,0.08209302325581394,0.011222921594327976,0.0639344262295082,0.03205000721008783,0.5021144061476879,0.053069839353706114,0.5727913318565492,0.11408043451113593,0.4978855938523122,0.05306983935370615,0.4272086681434507,0.11408043451113595,0.3085714285714286,0.04426266681379905,0.32999999999999996,0.059731911358736046,0.5147619047619048,0.045144710072927224,0.4800000000000001,0.09054021683317048,0.3755593461406155,0.050075952749974735,0.4096060343953897,0.08107548662155101,0.6244406538593845,0.05007595274997475,0.5903939656046103,0.08107548662155101,0.09999999999999999,0.01520416195291112,0.08512396694214877,0.03352516347454832,0.1330952380952381,0.014228279605742175,0.11900826446280992,0.030971833217752497,0.43476499187528683,0.04503954866007479,0.4162442879013337,0.10424929392498823,0.5652350081247131,0.04503954866007483,0.5837557120986663,0.10424929392498823
1,random_forest,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.8519371727748691,0.005211112006969922,0.8597069597069599,0.00574000452920303,0.6016509563239899,0.00408083793460926,0.6085240601612686,0.005992699721899383,0.802843459141185,0.005007947980824892,0.8103841780675728,0.005095143219941057,0.6382567368032486,0.004033831206405482,0.6446869590088665,0.004093385414952093,0.8519371727748691,0.005211112006969922,0.8597069597069599,0.00574000452920303,0.5752292661635694,0.01512571225440473,0.606860503489124,0.10368752397304452,0.76152909996937,0.00724496238245511,0.7768131067710174,0.032728326583841116,0.18602094240837694,0.010301267947661582,0.1710622710622711,0.011969549141052468,0.8613866326815748,0.010859733711522023,0.8769105963035815,0.013008080176348018,0.3192670157068063,0.03598060433307288,0.2582417582417582,0.04483751899140059,60.980000000000004,6.872295427616921,70.5,12.24064268465236,-0.3192670157068063,0.03598060433307288,-0.2582417582417582,0.04483751899140059,0.3024418604651163,0.07986838295745198,0.180327868852459,0.12096144055288882,0.9990476190476191,0.0020077953397894402,0.9966666666666667,0.010540925533894595,0.16654761904761903,0.029346036296387525,0.15371900826446283,0.05200705032248685,0.8718678774414931,0.007063409811816323,0.8742535566208103,0.01572795946929042,0.9299164667971217,0.004576962144038754,0.9327523539524754,0.008459180523661104,0.877141510465097,0.013594921473188687,0.8796153819357466,0.023743329647162466,0.9696511627906977,0.008212116404313217,0.9819672131147541,0.012096144055288896,0.920802578433174,0.007959427551311654,0.9277435481004531,0.012270413762328724,86.0,0.0,122.0,0.0,0.02,0.04216370213557839,0.1,0.31622776601683794,0.0009523809523809523,0.002007795339789447,0.003333333333333333,0.010540925533894597,0.0018181818181818182,0.0038330638305071264,0.0064516129032258064,0.020401791355925028,21.0,0.0,30.0,0.0,0.828546288025611,0.009398189252843452,0.8409661285316254,0.020824951528626862,0.9441666666666666,0.009727484808283619,0.9487603305785125,0.01733568344082896,0.8823321087206137,0.00541879527423185,0.8913770194801265,0.012048856652123128,84.0,0.0,121.0,0.0,0.00011627906976744185,0.00036770670467074177,0.0,0.0,0.030232558139534883,0.00796226301712176,0.018032786885245903,0.012096144055288882,0.0025,0.007905694150420948,0.0,0.0,0.8975,0.10304394963099753,0.9,0.31622776601683794,0.3385714285714285,0.04123625006563929,0.3433333333333334,0.098193560423492,0.6604761904761905,0.04071977746928261,0.6533333333333333,0.09711899281516514,0.33888095238095234,0.0410783178027,0.34436781609195405,0.09773975647699998,0.6611190476190477,0.04107831780270003,0.6556321839080459,0.097739756477,0.05535714285714285,0.009820927516479828,0.05123966942148761,0.01733568344082895,0.00047619047619047614,0.0008323879747382154,0.0,0.0,0.9906547619047619,0.017196899128393763,1.0,0.0,0.009345238095238094,0.017196899128393735,0.0,0.0
2,extra_trees,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.85,0.004690987803042074,0.8586080586080588,0.008494518745263068,0.6008866354741093,0.0037693018402705117,0.605799695403141,0.00608120546637517,0.8012105571046547,0.00453789524771579,0.8089024702717872,0.008122482433500855,0.6370884090070137,0.003563959402824883,0.6430452061599603,0.006370791354376391,0.85,0.004690987803042074,0.8586080586080588,0.008494518745263068,0.5808371630494795,0.02321190932754363,0.5730109528116005,0.006021134139931292,0.7623551177748864,0.008574721826511547,0.7651423270769249,0.008061962038010018,0.19015706806282723,0.009384572333398266,0.17289377289377292,0.01698903749052608,0.8568909307014257,0.009968355062067348,0.8751983085801449,0.017979479692736618,0.3505235602094241,0.030569669925460844,0.2838827838827839,0.060343901309653565,66.95,5.838806955763024,77.5,16.473885057535423,-0.3505235602094241,0.030569669925460844,-0.2838827838827839,0.060343901309653565,0.3813953488372093,0.07591360106880678,0.2540983606557377,0.14170822382393375,0.9980952380952381,0.00332955189895285,1.0,0.0,0.1570238095238095,0.03486851268870957,0.13636363636363635,0.05387770582812106,0.8719649513431398,0.00585595998579884,0.8750304107778362,0.012391809609479148,0.9296740180145063,0.004020382442114077,0.9338859985872915,0.008500259370641233,0.8794312032672356,0.01526587895562058,0.8808794213894771,0.02585243364018125,0.9618604651162791,0.007591360106880648,0.9745901639344263,0.014170822382393393,0.9184375883021996,0.008357319095851974,0.925084952857717,0.01329559507498074,86.0,0.0,122.0,0.0,0.04,0.06992058987801011,0.0,0.0,0.0019047619047619045,0.0033295518989528614,0.0,0.0,0.0036363636363636364,0.006356417261637282,0.0,0.0,21.0,0.0,30.0,0.0,0.823080285881203,0.008543710445528676,0.8381534370453247,0.021154737516644134,0.9475,0.011616212031475287,0.9545454545454547,0.017959235276040347,0.8805859544837646,0.004819324246696767,0.8923141333517061,0.012117187529722798,84.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.03813953488372093,0.007591360106880677,0.02540983606557377,0.014170822382393377,0.0,0.0,0.0,0.0,0.97,0.06749485577105528,0.9,0.31622776601683794,0.3357142857142857,0.04568837449087063,0.3566666666666667,0.08755950357709132,0.6623809523809524,0.04558900381488347,0.6433333333333333,0.08755950357709132,0.33635714285714285,0.04569499841140814,0.3566666666666667,0.08755950357709132,0.6636428571428572,0.045694998411408165,0.6433333333333333,0.08755950357709132,0.05226190476190475,0.011629760218995177,0.045454545454545456,0.017959235276040358,0.00023809523809523807,0.0005019488349473618,0.0,0.0,0.9954166666666666,0.01083867389729262,1.0,0.0,0.004583333333333333,0.010838673897292593,0.0,0.0
3,xgboost,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.8425654450261781,0.004709132318695073,0.8512820512820513,0.010672416792875292,0.6180918952879397,0.007637350982468031,0.6301058518493682,0.024285896833751583,0.8036792314901609,0.004925338584461163,0.8131870490660921,0.011905605156361517,0.6406349206349206,0.005071846232628886,0.6500903219979225,0.015081558378790284,0.8425654450261781,0.004709132318695073,0.8512820512820513,0.010672416792875292,0.6548502681713393,0.03246795396187366,0.6763511333487109,0.08533783859485033,0.7878053008629686,0.012486213501410269,0.8003374583896672,0.03137439044292137,0.19717277486910995,0.008837679792876339,0.1816849816849817,0.01658045928866222,0.8523459245007208,0.009265494169796542,0.8677957768543749,0.01585586309149019,0.34246073298429314,0.03758260427429755,0.29926739926739926,0.048289016057027005,65.41,7.178277416390834,81.7,13.182901383568371,-0.34246073298429314,0.03758260427429755,-0.29926739926739926,0.048289016057027005,0.3413953488372093,0.09123639121417479,0.2762295081967213,0.1175212808630925,0.9614285714285714,0.011761037176408055,0.95,0.042309850588132816,0.18880952380952382,0.026137512584826137,0.16115702479338845,0.05443821720487466,0.8675932479055521,0.008326831162209197,0.8851952920311901,0.015965931711009733,0.9245388451412271,0.005384231779659304,0.9360788853198132,0.009692957290800526,0.877397442824762,0.011600313889903542,0.8833314014637306,0.0252842773675478,0.96,0.010813884026339086,0.9672131147540982,0.013385189851274189,0.9165096434304447,0.006999717076473299,0.9231018493017361,0.012757868046874572,86.0,0.0,122.0,0.0,0.2588293650793651,0.09293848328816719,0.30666666666666664,0.2478549954417544,0.03857142857142857,0.011761037176408065,0.05,0.04230985058813282,0.0649118045206501,0.019696237458296764,0.0840819964349376,0.06745298543661225,21.0,0.0,30.0,0.0,0.8283239966098905,0.012298795347551529,0.8390553319157356,0.025175838972280474,0.9233333333333332,0.008251678559092108,0.9330578512396693,0.024157753463794767,0.8728542379127241,0.006595721007193,0.8831337098114312,0.013912076630664209,84.0,0.0,121.0,0.0,0.0065116279069767444,0.0035608322722033648,0.005737704918032787,0.0039593925536036715,0.03348837209302326,0.008986900307714379,0.027049180327868856,0.011624069609935872,0.13937698412698413,0.07546110703076936,0.17761904761904762,0.15847678189755332,0.810623015873016,0.05774209380870497,0.8223809523809524,0.15847678189755335,0.3295238095238095,0.039446919535261124,0.33333333333333337,0.09162456945817024,0.6319047619047617,0.0412728936600137,0.6166666666666666,0.11992796191623835,0.34294486215538844,0.04144438159423406,0.35369107265658994,0.10668688504917592,0.6570551378446116,0.04144438159423401,0.6463089273434101,0.10668688504917594,0.05607142857142857,0.009364574912429363,0.04710743801652893,0.016086833411191662,0.020595238095238097,0.004861718458981517,0.019834710743801654,0.01303819235944819,0.7357002164502164,0.06461769295335955,0.710103785103785,0.1282733867750178,0.2642997835497835,0.06461769295335956,0.28989621489621487,0.12827338677501776
4,adaboost,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.8002094240837696,0.0066966605048458545,0.8153846153846154,0.019928894518293713,0.6374061025795175,0.010372455177091535,0.6452923452131899,0.026848780937756937,0.7909206921512877,0.005851987145196156,0.801558134101592,0.017416506696499936,0.6397268364710226,0.009964192524454449,0.6474008339731141,0.023532569975994008,0.8002094240837696,0.0066966605048458545,0.8153846153846154,0.019928894518293713,0.6421196057006313,0.011045773006236026,0.6519359242674492,0.03594313795137842,0.7852185582633694,0.006637159704792985,0.7919015233597182,0.018066957622039286,0.24005235602094244,0.008740825108650024,0.22087912087912084,0.026697799677956657,0.8221644853018418,0.008905586634599722,0.8386425076125986,0.0250638075130338,0.4093193717277487,0.04023268669727694,0.38278388278388276,0.08592674100245076,78.17999999999999,7.684443159179895,104.5,23.458000293669063,-0.4093193717277487,0.04023268669727694,-0.38278388278388276,0.08592674100245076,0.43895348837209297,0.09127598375270156,0.421311475409836,0.20160157805285953,0.8376190476190477,0.030154552759976336,0.8533333333333333,0.050184843513938725,0.2719047619047619,0.02885769290690608,0.22727272727272724,0.06906309166237837,0.8284522113489314,0.009873963701947847,0.8386638336334327,0.014006736008636238,0.9085781745197957,0.0038191451170317336,0.9151880015349508,0.006848348572373865,0.8848485767445837,0.009421040518340149,0.8907249186111279,0.024854260261901257,0.929418604651163,0.00988258087360146,0.9401639344262295,0.023519496411647346,0.9060840958872888,0.005388723802047962,0.9143526281741208,0.012405997173664607,86.0,0.0,122.0,0.0,0.2159856057419794,0.02845973576489913,0.23466318187353993,0.09468992773021125,0.16238095238095238,0.0301545527599763,0.14666666666666667,0.05018484351393874,0.1805183149351916,0.02766645221051853,0.17945168495414754,0.06459363461829723,21.0,0.0,30.0,0.0,0.8255246346153307,0.017536043713630982,0.83041967231768,0.03242768333160784,0.8273809523809523,0.017550273323409554,0.8553719008264464,0.03782239729406607,0.8256158969160724,0.012899933882129733,0.8420727225113016,0.024616287060530727,84.0,0.0,121.0,0.0,0.029651162790697672,0.012951189493491179,0.019672131147540982,0.014038505550453693,0.04093023255813953,0.009924297314312061,0.04016393442622951,0.0202444082544729,0.3986576479076479,0.1478853378181915,0.3104906204906205,0.20691212065187126,0.591342352092352,0.1454133869350202,0.6895093795093795,0.20691212065187126,0.3014285714285714,0.0358498309681995,0.3066666666666667,0.07665861471404596,0.5361904761904762,0.05110026504263518,0.5466666666666666,0.10909277963229844,0.35990752616836214,0.04955943538138587,0.3625339424304942,0.10167174272768562,0.6400924738316378,0.04955943538138589,0.6374660575695059,0.10167174272768564,0.04964285714285714,0.007736568836021391,0.04132231404958677,0.02169148174658901,0.12297619047619046,0.015006612299197072,0.10330578512396696,0.03424188125249601,0.29456040949075,0.03356308395434916,0.28558782933463245,0.12033121015080141,0.70543959050925,0.03356308395434912,0.7144121706653677,0.12033121015080141
5,svm,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.6311518324607329,0.020190471178574226,0.6692307692307693,0.025846608833533798,0.49549574331452434,0.01970848508405631,0.5430871025085079,0.03433611466224373,0.6093234250502536,0.02166907338237783,0.6585683822377806,0.028222824408375678,0.5115208564045772,0.018928836262538364,0.5533491396829698,0.03179354495817698,0.6311518324607329,0.020190471178574226,0.6692307692307693,0.025846608833533798,0.5567411790450776,0.018245589308913852,0.5876929988599049,0.033907013877288665,0.6862534317700079,0.01628287130994945,0.7194810236264713,0.028043732281391925,0.5548691099476439,0.031687577884984434,0.47619047619047616,0.036097058605847325,0.4767420901191777,0.034612418643569315,0.5656920516050091,0.037939965962318536,0.8072251308900524,0.05227556354267868,0.6626373626373627,0.07135182627698562,154.18,9.984632636651627,180.9,19.47904857361707,-0.8072251308900524,0.05227556354267868,-0.6626373626373627,0.07135182627698562,0.251046511627907,0.07015921440312116,0.1737704918032787,0.13090825164393816,0.8376190476190477,0.06095940766375648,0.79,0.07209390310003709,1.369047619047619,0.10518642941574054,1.1239669421487601,0.11950970778778987,0.8047527658603831,0.009475762406770042,0.8327313666335694,0.019968864867629804,0.8741567599491722,0.005983356369199568,0.8958702406170878,0.010872414071048693,0.6310223215987272,0.015672948735494057,0.6740643406257948,0.02353890932171899,0.938372093023256,0.00918858107839514,0.9442622950819672,0.014354016979851003,0.7541267515820467,0.011547939602674296,0.7863337927867298,0.016049714176163073,86.0,0.0,122.0,0.0,0.16645105229342058,0.035679967296642225,0.1932780601840066,0.0673951060621334,0.16238095238095238,0.06095940766375646,0.21000000000000002,0.07209390310003705,0.15860962910834597,0.04196719710100754,0.19931630387319718,0.06688167385059943,21.0,0.0,30.0,0.0,0.872750163243085,0.024909990645655498,0.895736595769913,0.05447993376808432,0.43380952380952376,0.05067011266476836,0.5057851239669422,0.05709860675716415,0.5737508492531804,0.04285834358214467,0.6436112108655963,0.04762394311053418,84.0,0.0,121.0,0.0,0.04058139534883721,0.010054386089993551,0.042622950819672135,0.01719358767492052,0.021046511627906973,0.007444484356548525,0.013114754098360656,0.014038505550453695,0.6635465367965367,0.12948748584472677,0.7660714285714285,0.25502461977099855,0.33645346320346314,0.1294874858447268,0.2339285714285714,0.2550246197709986,0.6552380952380952,0.04405727049988715,0.5933333333333334,0.06629526173411687,0.1823809523809524,0.04772738997781286,0.19666666666666668,0.10937533068733078,0.7875298417612658,0.04623951585583831,0.7580612905612906,0.11382224326456906,0.2124701582387341,0.0462395158558383,0.2419387094387094,0.11382224326456905,0.4014285714285714,0.034323905830540964,0.3148760330578512,0.04415454634743323,0.16476190476190475,0.04305217234897368,0.1793388429752066,0.05998302344910045,0.7146839222037318,0.06183478565931352,0.6406374727081945,0.08645963160567435,0.2853160777962682,0.0618347856593135,0.3593625272918054,0.08645963160567431
6,logistic_regression,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.7895811518324607,0.008572648950260104,0.7948717948717949,0.021218738946254898,0.6225085727016206,0.01047158483135142,0.6301155182978653,0.019695377483541544,0.7817008612011312,0.006511678929899913,0.7884518974331305,0.01628342762906884,0.6253294573643411,0.009863381366351122,0.6328275301449668,0.01818445342801647,0.7895811518324607,0.008572648950260104,0.7948717948717949,0.021218738946254898,0.6240022025554091,0.012263392194498644,0.6302534610339285,0.022090329213642224,0.7766501771283898,0.0056995949126248556,0.784476726293893,0.01381557884737771,0.2506282722513089,0.009979893226364665,0.23809523809523808,0.029758382434563954,0.8158283580492224,0.009111943603137978,0.8303433979964581,0.028034009542512135,0.3993193717277487,0.027554337091051796,0.3608058608058608,0.08270875171327624,76.27,5.262878384390896,98.5,22.57948921772442,-0.3993193717277487,0.027554337091051796,-0.3608058608058608,0.08270875171327624,0.39127906976744187,0.07353980880691909,0.32459016393442625,0.183007087990684,0.8633333333333333,0.026183260189184668,0.85,0.05719794522770555,0.29154761904761906,0.033420379541643196,0.27603305785123966,0.0725935827746583,0.8224693501250387,0.012104812158207169,0.8272116202637261,0.017107173387294953,0.8949156312718364,0.00825245039029411,0.8997312237757678,0.009021766704926455,0.8708961431398423,0.012443305088923098,0.8797633626588486,0.027988302406002658,0.9184883720930234,0.009113885938062505,0.9336065573770492,0.03378490151835984,0.893587375475345,0.008800485761103203,0.905353072055622,0.020395789004777155,86.0,0.0,122.0,0.0,0.16905021426540137,0.03352441255726368,0.17032553230485842,0.052513958136094656,0.13666666666666666,0.026183260189184668,0.15000000000000002,0.057197945227705556,0.14848366003719127,0.027994836780723426,0.15813096939490207,0.052649180689930644,21.0,0.0,30.0,0.0,0.8320602502609832,0.012813917263482289,0.8406714881380786,0.022102011387980666,0.8208333333333332,0.020429764644917248,0.8148760330578513,0.03976877671100516,0.8254546825923257,0.014773051436787326,0.8268625134430717,0.019428217028995932,84.0,0.0,121.0,0.0,0.04709302325581395,0.010096136649326438,0.03770491803278688,0.020519107492370042,0.03441860465116279,0.007813707391227382,0.02868852459016394,0.016953106073758002,0.571017316017316,0.09693077889625028,0.5582792207792208,0.210839493616071,0.42898268398268397,0.09693077889625029,0.44172077922077924,0.210839493616071,0.3376190476190476,0.03643540068088339,0.34,0.08577892918052793,0.5257142857142857,0.04411442095911866,0.51,0.09169191571456779,0.39097402868029807,0.04353080515580401,0.40044716530623586,0.09609782062271288,0.609025971319702,0.043530805155804014,0.5995528346937642,0.09609782062271287,0.05619047619047618,0.009765452962077474,0.045454545454545456,0.018376947746730488,0.12297619047619049,0.0188067608981443,0.1396694214876033,0.02739627524066517,0.32030454174383366,0.05450190931350832,0.23712121212121215,0.07519008573138868,0.6796954582561663,0.05450190931350832,0.7628787878787879,0.07519008573138869
7,knn,multiclass,"[np.int64(0), np.int64(1), np.int64(2)]",3,0.7241361256544503,0.013932014890063854,0.7446886446886447,0.019076556710519523,0.5387862562895352,0.010390273375616245,0.5659567243526268,0.025883700049504896,0.6950525122896931,0.011388537984266986,0.7180203805952589,0.02069562466389093,0.5541583610188261,0.010018583637829726,0.5766620000301075,0.020918047077987906,0.7241361256544503,0.013932014890063854,0.7446886446886447,0.019076556710519523,0.5620179234997005,0.021432537992541183,0.5957023675739266,0.03731687572501426,0.6972225633209754,0.011053724372679244,0.7207098307706216,0.022062435402154232,0.41554973821989527,0.02149085519457175,0.37875457875457874,0.03655670314981582,0.6236888759649574,0.02153248853445527,0.6618181365255176,0.03932417219202532,0.7,0.05087312420590072,0.6201465201465202,0.09723724397705737,133.7,9.716766723327034,169.3,26.54576760573666,-0.7,0.05087312420590072,-0.6201465201465202,0.09723724397705737,0.47732558139534886,0.08595436437577253,0.390983606557377,0.19227092586059616,0.949047619047619,0.020209285438605354,0.9233333333333335,0.03865006029094685,0.8657142857142857,0.052584381312080666,0.7760330578512395,0.10729311412322143,0.771715245346128,0.006912536220786839,0.7767673641232129,0.014371847416407445,0.8369194267030098,0.00758488912590328,0.8466515931751755,0.01251270259418475,0.6976843732538269,0.010018411680683773,0.715364775084754,0.024875675469041885,0.936046511627907,0.010769336425930073,0.9483606557377049,0.02046446263505353,0.7990115736481176,0.00815562265933258,0.8152668292828935,0.01812160622368776,86.0,0.0,122.0,0.0,0.15641866466866466,0.061802364937905876,0.22199494949494944,0.10040859413895573,0.05095238095238095,0.020209285438605378,0.07666666666666666,0.03865006029094686,0.07328777595123395,0.027127886005013743,0.11250542710748102,0.05396526960689924,21.0,0.0,30.0,0.0,0.8319507325766102,0.01991023780401928,0.8497473781420762,0.03306045420652859,0.6754761904761905,0.0272466224118628,0.7049586776859504,0.031179413370624603,0.7440594192692542,0.021803699588842828,0.7700979166675062,0.02434522320641557,84.0,0.0,121.0,0.0,0.01802325581395349,0.0045614737581162095,0.013934426229508195,0.010963061556141464,0.045930232558139536,0.008443031360772077,0.03770491803278688,0.019396982895408577,0.27838356088356087,0.0667206083041317,0.26996753246753247,0.19733513801864713,0.711616439116439,0.05538779067003682,0.7300324675324676,0.19733513801864716,0.5871428571428572,0.05034774512982032,0.5700000000000001,0.09088046687412678,0.3619047619047619,0.042650885214426684,0.35333333333333333,0.07568616162633957,0.6183012924468032,0.048533099564588116,0.616233632268115,0.08533231502561306,0.3816987075531967,0.04853309956458812,0.38376636773188494,0.08533231502561306,0.2705952380952381,0.013410702396798995,0.24049586776859502,0.03943341180667072,0.05392857142857142,0.01644840073141809,0.05454545454545455,0.019165319152535634,0.8403004229870913,0.03962864940233758,0.8120230998640012,0.06984551991008071,0.15969957701290877,0.039628649402337596,0.1879769001359988,0.0698455199100807
