exp_id,test_acc_mean,test_acc_std,test_balanced_acc_mean,test_balanced_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_weighted_mean,test_f1_weighted_std,test_recall_0_mean,test_recall_0_std,test_recall_1_mean,test_recall_1_std,test_recall_2_mean,test_recall_2_std
E0_baseline_transfer,0.8615384615384616,,0.8636363636363636,,0.8590840711238256,,0.8582539263986402,,1.0,,0.7272727272727273,,0.8636363636363636,
E14_scratch_same_budget,0.8615384615384616,,0.8636363636363636,,0.8573764399851357,,0.8562078723951635,,1.0,,0.6818181818181818,,0.9090909090909091,
E1_from_scratch,0.8,,0.8030303030303031,,0.7794011544011544,,0.7782051282051282,,1.0,,0.45454545454545453,,0.9545454545454546,
E2_transfer_no_freeze_phase1,0.8307692307692308,,0.8333333333333334,,0.8251455468846772,,0.8237932710173512,,1.0,,0.6363636363636364,,0.8636363636363636,
E3_transfer_head_only,0.6923076923076923,,0.6969696969696969,,0.6697799248523886,,0.6660374086461043,,1.0,,0.7727272727272727,,0.3181818181818182,
E4_transfer_no_class_weights,0.8307692307692308,,0.8333333333333334,,0.8186335403726708,,0.8171810797897754,,1.0,,0.5454545454545454,,0.9545454545454546,
