exp_id,test_acc_mean,test_acc_std,test_balanced_acc_mean,test_balanced_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_weighted_mean,test_f1_weighted_std,test_recall_0_mean,test_recall_0_std,test_recall_1_mean,test_recall_1_std,test_recall_2_mean,test_recall_2_std
E5_weights_1p0_1p0_1p0,0.8307692307692308,,0.8333333333333334,,0.8186335403726708,,0.8171810797897754,,1.0,,0.5454545454545454,,0.9545454545454546,
E5_weights_1p0_1p0_1p1,0.8307692307692308,,0.8333333333333334,,0.8186335403726708,,0.8171810797897754,,1.0,,0.5454545454545454,,0.9545454545454546,
E5_weights_1p0_1p0_1p2,0.8153846153846154,,0.8181818181818182,,0.8000341005967604,,0.7982954947865433,,1.0,,0.5,,0.9545454545454546,
E5_weights_1p0_1p0_1p3,0.8,,0.8030303030303031,,0.7808778320287271,,0.7788445143943865,,1.0,,0.45454545454545453,,0.9545454545454546,
E5_weights_1p0_1p0_1p4,0.8,,0.8030303030303031,,0.7808778320287271,,0.7788445143943865,,1.0,,0.45454545454545453,,0.9545454545454546,
E5_weights_1p0_1p0_1p5,0.8,,0.8030303030303031,,0.7808778320287271,,0.7788445143943865,,1.0,,0.45454545454545453,,0.9545454545454546,
E5_weights_1p0_1p0_1p6,0.8,,0.8030303030303031,,0.7808778320287271,,0.7788445143943865,,1.0,,0.45454545454545453,,0.9545454545454546,
E5_weights_1p0_1p0_1p7,0.7230769230769231,,0.7272727272727272,,0.6597854918694498,,0.6558892151557356,,1.0,,0.18181818181818182,,1.0,
E5_weights_1p0_1p0_1p8,0.7230769230769231,,0.7272727272727272,,0.6597854918694498,,0.6558892151557356,,1.0,,0.18181818181818182,,1.0,
E5_weights_1p0_1p0_1p9,0.7230769230769231,,0.7272727272727272,,0.6597854918694498,,0.6558892151557356,,1.0,,0.18181818181818182,,1.0,
E5_weights_1p0_1p0_2p0,0.676923076923077,,0.6818181818181818,,0.5737704918032787,,0.5685509073962388,,1.0,,0.045454545454545456,,1.0,
E5_weights_1p0_1p0_2p1,0.676923076923077,,0.6818181818181818,,0.5737704918032787,,0.5685509073962388,,1.0,,0.045454545454545456,,1.0,
E5_weights_1p0_1p0_2p2,0.6615384615384615,,0.6666666666666666,,0.5409069658719027,,0.5351817887582264,,1.0,,0.0,,1.0,
